/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,68.00,68.70,67.50,68.25,201000,68.30
2012-07-20,68.00,68.70,67.50,68.30,201000,68.30
2012-07-19,69.85,70.05,67.65,68.00,480300,68.00
2012-07-18,68.50,69.15,67.50,69.00,180200,69.00
2012-07-17,69.40,70.00,68.10,68.30,203000,68.30
2012-07-16,69.75,70.55,69.10,69.50,334500,69.50
2012-07-13,71.60,72.60,69.50,69.80,580100,69.80
2012-07-12,71.55,71.75,70.70,71.50,242100,71.50
2012-07-11,72.40,72.85,71.35,71.80,411300,71.80
2012-07-10,71.65,72.35,71.25,72.00,507400,72.00
2012-07-09,72.95,73.45,70.90,70.90,435400,70.90
2012-07-06,74.00,74.30,72.25,72.50,844800,72.50
2012-07-05,72.00,74.90,71.60,73.40,1813300,73.40
2012-07-04,70.60,72.40,70.10,71.65,1236500,71.65
2012-07-03,71.15,71.30,70.30,70.55,1015400,70.55
2012-07-02,70.25,71.70,70.10,70.50,1068900,70.50
2012-06-29,67.00,70.40,66.80,70.25,1728300,70.25
2012-06-28,68.75,68.80,65.70,66.15,3847800,66.15
2012-06-27,69.00,69.00,67.50,67.60,635700,67.60
2012-06-26,67.00,69.10,66.60,68.50,2159300,68.50
2012-06-25,64.85,66.75,64.30,66.40,914200,66.40
2012-06-22,64.65,65.10,63.55,64.75,384700,64.75
2012-06-21,64.80,65.10,63.40,65.00,791000,65.00
2012-06-20,63.95,64.85,63.70,64.15,411800,64.15
2012-06-19,63.65,64.50,63.25,63.70,397300,63.70
2012-06-18,64.45,65.20,63.30,63.60,369000,63.60
2012-06-15,64.80,65.35,63.95,64.10,435000,64.10
2012-06-14,65.25,66.10,64.35,64.50,957600,64.50
2012-06-13,65.10,66.50,64.55,65.15,2151800,65.15
2012-06-12,66.00,66.00,64.35,64.70,640400,64.70
2012-06-11,66.00,68.20,65.45,65.75,1705300,65.75
2012-06-08,66.55,66.55,64.60,65.35,800000,65.35
2012-06-07,67.20,68.00,65.80,65.90,660500,65.90
2012-06-06,66.50,68.20,66.50,66.65,863500,66.65
2012-06-05,68.65,70.15,66.90,67.05,916700,67.05
2012-06-01,63.05,73.90,62.85,69.35,2994500,69.35
2012-05-31,63.35,64.40,62.75,63.25,555200,63.25
2012-05-30,64.80,65.00,63.00,63.50,319600,63.50
2012-05-29,64.40,65.10,63.75,64.45,458400,64.45
2012-05-28,63.30,64.60,62.90,63.70,346800,63.70
2012-05-25,63.30,63.45,62.60,62.95,1879600,62.95
2012-05-24,62.95,63.45,62.30,62.40,943600,62.40
2012-05-23,63.35,63.40,62.10,62.10,440700,62.10
2012-05-22,64.35,64.50,62.45,63.20,418700,63.20
2012-05-21,64.20,64.95,63.25,63.50,485500,63.50
2012-05-18,62.90,64.60,62.65,63.90,600700,63.90
2012-05-17,70.00,70.00,63.05,64.00,426300,64.00
2012-05-16,63.75,64.35,62.60,62.70,688800,62.70
2012-05-14,65.50,66.00,63.55,63.90,623700,63.90
2012-05-11,66.75,66.75,65.00,65.70,909900,65.70
2012-05-10,64.50,66.75,64.40,66.50,366800,66.50
2012-05-09,66.10,66.10,64.60,64.70,259200,64.70
2012-05-08,66.20,68.50,65.75,65.80,502100,65.80
2012-05-07,65.00,66.85,63.60,66.25,340300,66.25
2012-05-04,67.00,67.00,65.20,65.60,233900,65.60
2012-05-03,67.20,67.65,66.50,66.90,824500,66.90
2012-05-02,66.35,67.50,66.35,67.10,264900,67.10
2012-04-30,65.75,67.75,65.55,66.30,743500,66.30
2012-04-27,66.80,66.80,65.50,66.15,375700,66.15
2012-04-26,66.75,67.70,65.55,66.45,2248400,66.45
2012-04-25,67.80,68.65,64.90,66.10,1805300,66.10
2012-04-24,69.15,69.35,67.80,68.00,390100,68.00
2012-04-23,70.20,71.00,68.05,68.15,813100,68.15
2012-04-20,70.25,70.75,69.40,69.80,966700,69.80
2012-04-19,77.00,77.00,69.10,70.20,1522000,70.20
2012-04-18,68.95,70.45,67.75,69.80,2085200,69.80
2012-04-17,68.50,68.85,67.55,68.05,1942700,68.05
2012-04-16,70.35,70.35,66.90,68.00,3120900,68.00
2012-04-13,71.45,71.70,69.55,69.80,3227300,69.80
2012-04-12,70.00,71.30,70.00,70.90,1578900,70.90
2012-04-11,70.95,72.50,68.10,69.75,5781100,69.75
2012-04-10,74.95,74.95,66.10,70.95,9791500,70.95
2012-04-09,78.50,78.50,76.15,76.60,503700,76.60
2012-04-04,77.70,79.00,76.60,78.70,545300,78.70
2012-04-03,78.80,79.70,78.15,78.25,532400,78.25
2012-04-02,76.60,79.00,76.40,78.70,1003000,78.70
2012-03-30,75.25,76.80,75.25,76.35,1302100,76.35
2012-03-29,75.20,76.50,74.25,75.10,2675800,75.10
2012-03-28,75.05,75.90,74.10,75.00,2082000,75.00
