/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,381.95,381.95,365.20,369.55,74400,371.00
2012-07-20,381.95,381.95,365.10,371.00,74400,371.00
2012-07-19,386.70,387.95,375.60,377.00,66000,377.00
2012-07-18,384.90,389.00,380.00,383.00,62500,383.00
2012-07-17,385.00,393.05,380.35,381.50,55400,381.50
2012-07-16,395.30,399.65,381.05,383.50,52700,383.50
2012-07-13,398.05,401.00,392.50,393.50,47400,393.50
2012-07-12,399.30,399.85,395.00,396.50,44800,396.50
2012-07-11,404.90,408.55,399.30,399.80,61700,399.80
2012-07-10,404.00,409.00,401.50,407.00,95200,407.00
2012-07-09,418.60,418.60,401.15,401.65,92500,401.65
2012-07-06,422.00,423.50,413.20,419.00,112400,419.00
2012-07-05,428.00,428.95,420.50,421.50,173700,421.50
2012-07-04,425.00,429.50,418.85,421.05,140600,421.05
2012-07-03,400.65,428.00,400.65,420.00,501100,420.00
2012-07-02,399.10,402.40,395.00,399.00,61900,399.00
2012-06-29,404.95,404.95,395.10,398.00,44400,398.00
2012-06-28,404.80,407.80,390.15,393.90,222700,393.90
2012-06-27,409.70,415.50,401.05,403.00,33700,403.00
2012-06-26,415.35,415.50,405.20,407.90,44800,407.90
2012-06-25,418.60,422.00,411.00,411.00,42500,411.00
2012-06-22,414.65,418.70,411.95,412.50,20600,412.50
2012-06-21,415.90,416.90,410.70,414.50,19400,414.50
2012-06-20,416.30,417.95,413.55,414.45,25600,414.45
2012-06-19,371.30,418.00,371.30,417.00,42200,417.00
2012-06-18,412.15,414.95,405.35,409.95,18500,409.95
2012-06-15,405.55,414.50,405.55,411.00,41700,411.00
2012-06-14,412.00,418.95,405.15,405.35,28400,405.35
2012-06-13,406.05,421.00,406.05,413.55,58500,413.55
2012-06-12,392.35,416.00,392.35,410.50,48600,410.50
2012-06-11,414.00,423.70,409.00,409.00,70400,409.00
2012-06-08,413.00,415.50,407.35,413.80,78300,413.80
2012-06-07,419.95,419.95,412.00,414.65,37100,414.65
2012-06-06,407.05,421.70,406.20,415.00,72700,415.00
2012-06-05,400.00,411.60,400.00,402.10,40200,402.10
2012-06-01,407.00,413.85,397.05,397.55,73900,397.55
2012-05-31,401.00,410.55,395.35,408.05,169300,408.05
2012-05-30,420.00,421.95,403.25,403.75,183500,403.75
2012-05-29,415.00,421.50,411.00,419.50,79000,419.50
2012-05-28,430.00,430.00,406.80,416.90,140400,416.90
2012-05-25,435.00,443.00,404.80,415.00,721800,415.00
2012-05-24,413.90,433.00,410.05,430.60,83100,430.60
2012-05-23,414.00,415.45,405.95,408.00,23900,408.00
2012-05-22,428.00,430.00,412.50,413.30,28500,413.30
2012-05-21,414.00,429.85,411.05,422.90,48100,422.90
2012-05-18,404.40,414.50,404.40,414.00,54700,414.00
2012-05-17,404.05,414.95,404.05,413.20,81200,413.20
2012-05-16,410.00,410.00,396.00,404.65,74800,404.65
2012-05-14,436.60,436.95,415.15,418.00,50500,418.00
2012-05-11,422.00,438.20,421.50,429.85,86000,429.85
2012-05-10,420.00,427.35,415.00,422.60,45100,422.60
2012-05-09,421.90,426.90,413.30,416.75,42100,416.75
2012-05-08,438.65,444.75,415.65,418.00,56200,418.00
2012-05-07,421.45,439.50,412.00,439.50,73700,439.50
2012-05-04,455.00,455.00,423.25,428.00,105600,428.00
2012-05-03,462.55,466.70,453.20,454.05,72800,454.05
2012-05-02,463.75,469.00,460.00,464.00,44900,464.00
2012-04-30,459.80,465.90,452.00,461.45,25600,461.45
2012-04-27,454.00,462.00,451.10,453.55,47400,453.55
2012-04-26,449.00,465.00,446.30,448.30,357200,448.30
2012-04-25,468.00,471.00,457.10,457.10,43600,457.10
2012-04-24,460.00,468.90,450.10,466.15,89700,466.15
2012-04-23,484.00,488.10,455.00,455.25,105200,455.25
2012-04-20,487.05,492.50,480.00,481.00,62500,481.00
2012-04-19,490.00,493.70,486.05,487.55,35300,487.55
2012-04-18,494.70,496.30,487.20,491.00,66900,491.00
2012-04-17,489.75,492.90,481.50,487.90,48900,487.90
2012-04-16,490.65,493.50,481.60,484.15,44800,484.15
2012-04-13,504.30,504.30,482.85,484.20,75900,484.20
2012-04-12,500.40,509.00,496.00,497.00,172800,497.00
2012-04-11,494.00,508.40,490.10,495.50,138000,495.50
2012-04-10,498.05,503.30,481.00,495.80,175000,495.80
2012-04-09,522.40,522.40,491.00,494.25,177700,494.25
2012-04-04,522.50,533.00,518.30,522.80,205200,522.80
2012-04-03,532.40,532.40,514.00,523.30,192700,523.30
2012-04-02,514.90,542.10,508.00,526.05,538200,526.05
2012-03-30,492.00,515.10,484.00,511.50,230100,511.50
2012-03-29,493.00,512.95,485.10,485.65,547400,485.65
2012-03-28,502.00,503.85,485.00,494.00,107000,494.00
2012-03-27,505.00,506.65,497.05,503.00,90800,503.00
2012-03-26,505.00,515.00,491.50,497.20,201000,497.20
2012-03-23,502.00,509.90,500.15,509.00,105100,509.00
2012-03-21,507.00,527.10,502.30,523.70,335800,523.70
2012-03-20,515.00,516.95,502.35,504.15,272800,504.15
2012-03-19,509.70,520.00,502.00,508.90,185600,508.90
2012-03-16,511.70,526.40,498.00,509.95,352200,509.95
2012-03-15,515.00,525.00,499.80,504.50,275800,504.50
2012-03-14,525.00,531.95,515.05,517.55,290000,517.55
2012-03-13,504.00,523.00,493.50,518.55,396700,518.55
2012-03-12,492.20,504.00,490.30,502.00,127400,502.00
2012-03-09,490.00,502.50,487.50,493.85,91800,493.85
2012-03-07,485.00,491.00,481.20,485.50,56100,485.50
2012-03-06,499.40,507.90,485.05,488.00,75600,488.00
2012-03-05,511.85,519.00,497.00,497.00,60900,497.00
2012-03-02,524.00,524.90,512.20,513.00,149300,513.00
2012-03-01,505.00,521.90,502.10,514.50,97900,514.50
2012-02-29,524.90,526.05,501.50,506.25,102000,506.25
2012-02-28,481.10,519.00,481.05,513.00,246800,513.00
2012-02-27,505.00,505.00,478.00,478.95,85700,478.95
2012-02-24,492.50,506.75,490.35,502.10,114600,502.10
2012-02-23,494.15,501.80,472.40,498.40,299600,498.40
2012-02-22,509.35,514.00,489.00,494.75,73200,494.75
2012-02-21,517.40,517.40,498.30,510.00,41700,510.00
2012-02-17,522.55,527.95,507.00,513.10,73500,513.10
2012-02-16,520.10,523.35,509.40,519.25,70100,519.25
2012-02-15,522.00,533.90,514.00,519.90,213000,519.90
2012-02-14,497.65,522.00,495.70,518.90,292300,518.90
2012-02-13,489.00,504.10,477.10,498.05,120600,498.05
2012-02-10,497.95,504.00,480.20,488.15,68200,488.15
2012-02-09,489.95,499.00,486.25,491.00,60800,491.00
2012-02-08,485.00,495.00,477.50,493.00,63400,493.00
2012-02-07,502.05,506.95,485.30,488.85,47600,488.85
2012-02-06,507.95,513.00,497.35,499.25,45300,499.25
2012-02-03,502.40,506.00,496.15,500.20,44500,500.20
2012-02-02,499.90,508.00,490.00,501.35,162000,501.35
2012-02-01,487.85,499.00,478.30,494.55,106100,494.55
2012-01-31,480.00,490.50,466.65,486.95,115500,486.95
2012-01-30,499.00,519.40,474.60,476.10,275600,476.10
2012-01-27,499.90,500.00,478.00,485.00,79800,485.00
2012-01-25,479.35,498.00,476.50,492.50,199700,492.50
2012-01-24,452.00,488.80,441.50,474.00,222300,474.00
2012-01-23,426.00,453.65,418.00,448.00,180200,448.00
2012-01-20,427.75,434.00,423.05,424.50,41900,424.50
2012-01-19,420.00,433.00,415.05,426.60,77100,426.60
2012-01-18,425.05,429.55,416.00,416.00,51400,416.00
2012-01-17,411.00,428.75,409.05,425.00,173500,425.00
2012-01-16,408.90,416.25,400.00,409.80,131400,409.80
2012-01-13,410.95,416.90,405.25,409.05,109400,409.05
2012-01-12,393.00,413.25,390.05,406.50,186700,406.50
2012-01-11,394.00,400.00,382.50,391.50,113700,391.50
2012-01-10,400.00,403.95,391.70,392.40,114200,392.40
2012-01-06,385.00,396.40,381.65,388.10,80800,388.10
2012-01-05,381.00,389.90,377.05,386.85,72100,386.85
2012-01-04,390.00,393.50,377.00,381.00,91200,381.00
2012-01-03,361.00,394.50,358.00,386.90,320800,386.90
2012-01-02,350.00,359.25,340.10,359.25,68000,359.25
2011-12-30,349.00,359.90,341.05,346.30,116000,346.30
2011-12-29,343.50,354.00,325.65,353.00,617900,353.00
2011-12-28,374.50,374.50,339.65,344.50,329600,344.50
2011-12-27,390.00,399.95,368.00,369.20,69000,369.20
2011-12-26,387.50,399.50,384.60,397.60,133900,397.60
2011-12-23,369.00,403.50,368.00,385.45,180700,385.45
2011-12-22,346.95,371.00,342.55,366.00,138400,366.00
2011-12-21,346.20,349.70,343.35,347.05,87000,347.05
2011-12-20,352.90,352.95,340.00,341.00,113000,341.00
2011-12-19,352.65,360.00,339.15,352.50,74700,352.50
2011-12-16,368.40,376.00,338.50,350.00,154600,350.00
2011-12-15,382.05,387.00,349.95,364.45,259800,364.45
2011-12-14,400.00,405.00,393.10,398.00,33200,398.00
2011-12-13,393.00,405.00,383.00,401.50,141200,401.50
2011-12-12,411.10,417.95,394.35,397.20,73100,397.20
2011-12-09,402.40,405.70,386.85,405.05,87100,405.05
2011-12-08,415.00,424.60,400.50,405.00,101900,405.00
2011-12-07,429.00,432.00,400.00,414.00,181300,414.00
2011-12-05,433.00,438.90,426.20,427.15,26000,427.15
2011-12-02,432.00,441.90,423.00,441.90,28100,441.90
2011-12-01,432.00,448.80,425.00,427.50,45600,427.50
2011-11-30,431.00,431.00,416.00,427.30,26500,427.30
2011-11-29,439.90,444.00,421.65,431.35,41000,431.35
2011-11-28,445.00,453.00,432.10,435.00,135300,435.00
2011-11-25,424.85,448.80,412.30,446.80,103300,446.80
2011-11-24,390.95,430.95,371.25,424.00,263500,424.00
2011-11-23,428.10,428.10,382.50,399.50,249200,399.50
2011-11-22,424.90,436.00,415.00,421.05,70500,421.05
2011-11-21,453.50,456.75,416.95,420.00,120100,420.00
2011-11-18,442.00,459.80,428.00,453.40,66500,453.40
2011-11-17,463.00,467.70,435.00,444.50,64700,444.50
2011-11-16,478.00,478.00,436.00,470.90,309800,470.90
2011-11-15,508.00,511.65,468.40,481.60,168700,481.60
2011-11-14,532.00,532.00,508.20,508.35,56200,508.35
2011-11-11,538.00,538.00,519.90,521.25,28800,521.25
2011-11-09,531.15,536.85,529.00,530.70,66000,530.70
2011-11-08,538.75,538.75,529.00,531.00,33900,531.00
2011-11-04,535.00,536.70,532.00,533.25,308900,533.25
2011-11-03,532.05,533.90,526.10,530.05,15800,530.05
2011-11-02,526.50,541.50,526.50,530.00,100300,530.00
2011-11-01,530.30,539.00,530.30,531.05,26100,531.05
2011-10-31,530.00,544.40,529.00,532.00,103700,532.00
2011-10-28,540.00,545.40,533.85,540.00,42200,540.00
2011-10-26,538.35,553.95,522.65,532.40,19400,532.40
2011-10-25,532.00,538.00,502.35,534.50,82800,534.50
2011-10-24,557.55,565.00,535.05,537.00,75100,537.00
2011-10-21,480.00,546.90,480.00,542.95,45400,542.95
2011-10-20,539.75,543.45,531.20,538.00,47000,538.00
2011-10-19,538.70,544.65,536.25,543.00,59800,543.00
2011-10-18,520.00,540.65,520.00,536.40,15100,536.40
2011-10-17,602.00,602.00,534.95,538.10,25600,538.10
2011-10-14,538.00,542.00,532.25,538.75,39300,538.75
2011-10-13,542.00,548.00,535.10,539.00,131000,539.00
2011-10-12,532.90,541.00,526.50,535.40,102600,535.40
2011-10-11,528.90,542.00,522.05,525.50,110800,525.50
2011-10-10,500.10,529.20,495.20,528.05,65500,528.05
2011-10-07,505.00,519.05,500.65,501.20,54200,501.20
2011-10-05,530.90,536.65,491.75,498.80,164200,498.80
2011-10-04,538.00,542.90,522.00,527.00,51800,527.00
2011-10-03,533.00,543.70,527.00,536.00,42100,536.00
2011-09-30,540.10,554.80,535.00,535.95,56900,535.95
2011-09-29,528.00,549.85,525.70,547.05,117200,547.05
2011-09-28,534.55,538.00,525.50,526.50,48200,526.50
2011-09-27,526.00,535.60,525.80,530.10,64700,530.10
2011-09-26,538.60,540.00,518.10,521.00,70200,521.00
2011-09-23,539.70,542.00,525.00,537.50,111000,537.50
2011-09-22,545.15,560.00,532.50,537.00,180900,537.00
2011-09-21,545.65,554.50,540.10,550.30,101400,550.30
2011-09-20,531.70,551.00,531.70,543.00,41600,543.00
2011-09-19,536.85,543.00,530.10,531.15,26900,531.15
2011-09-16,537.85,541.90,527.55,538.00,67500,538.00
2011-09-15,480.00,538.90,480.00,533.10,56800,533.10
2011-09-14,570.00,570.00,525.25,529.60,98500,529.60
2011-09-13,540.00,559.50,539.50,545.00,245300,545.00
2011-09-12,530.05,544.85,530.05,540.00,167400,540.00
2011-09-09,480.00,544.90,480.00,539.80,92700,539.80
2011-09-08,540.00,547.30,533.00,540.15,86500,540.15
2011-09-07,533.75,545.00,532.00,541.95,119900,541.95
2011-09-06,539.90,546.25,527.40,530.00,315500,530.00
2011-09-05,495.05,536.00,492.05,535.00,294200,535.00
2011-09-02,499.70,507.05,490.10,499.50,147800,499.50
2011-08-30,497.00,499.70,487.00,494.00,108900,494.00
2011-08-29,486.70,495.00,477.50,485.50,86400,485.50
2011-08-26,487.00,487.95,477.10,480.00,35400,480.00
2011-08-25,485.05,492.00,482.25,487.00,91300,487.00
2011-08-24,480.00,493.00,478.30,480.00,118600,480.00
2011-08-23,475.00,484.00,468.00,480.50,160900,480.50
2011-08-22,460.05,476.95,459.00,476.95,106600,476.95
2011-08-19,445.00,465.90,436.00,457.00,185800,457.00
2011-08-18,487.30,491.50,448.10,457.20,198300,457.20
2011-08-17,486.90,503.80,478.25,485.85,322900,485.85
2011-08-16,459.90,507.60,452.00,482.65,741900,482.65
2011-08-12,448.15,461.00,441.00,452.00,121300,452.00
2011-08-11,456.95,456.95,430.00,444.95,26500,444.95
2011-08-10,444.90,455.00,444.90,449.00,78300,449.00
2011-08-09,436.00,459.50,424.00,432.15,114500,432.15
2011-08-08,450.00,455.95,436.00,444.25,104000,444.25
2011-08-05,438.30,466.00,420.00,455.80,222900,455.80
2011-08-04,478.25,484.90,445.00,448.00,196400,448.00
2011-08-03,438.00,477.70,407.50,468.20,169000,468.20
2011-08-02,473.00,473.00,441.00,446.40,104500,446.40
2011-08-01,490.00,498.90,466.30,469.95,61400,469.95
2011-07-29,493.00,495.00,480.00,487.10,74600,487.10
2011-07-28,485.00,492.80,471.20,487.00,67200,487.00
2011-07-27,479.80,493.75,476.00,489.50,137000,489.50
2011-07-26,476.00,481.00,462.50,474.00,179500,474.00
2011-07-25,455.00,475.00,455.00,474.00,130700,474.00
2011-07-22,441.00,457.95,438.00,454.40,133300,454.40
2011-07-21,438.40,444.00,430.00,441.00,95500,441.00
2011-07-20,431.05,441.00,430.60,434.00,180700,434.00
2011-07-19,415.00,429.00,413.00,426.10,132900,426.10
2011-07-18,414.95,419.00,407.00,416.80,82000,416.80
2011-07-15,407.00,412.00,405.20,410.00,28700,410.00
2011-07-14,400.00,415.00,400.00,408.95,72200,408.95
2011-07-13,410.00,410.00,401.60,406.00,24700,406.00
2011-07-12,406.70,408.75,395.40,400.00,44000,400.00
2011-07-11,402.00,411.95,400.00,405.10,36100,405.10
