/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,14.80,14.80,14.55,14.60,3633700,14.60
2012-07-20,14.80,14.80,14.50,14.60,3633700,14.60
2012-07-19,14.50,15.00,14.50,14.80,8980700,14.80
2012-07-18,14.50,14.75,14.20,14.60,8577600,14.60
2012-07-17,15.10,15.30,14.35,14.45,9936000,14.45
2012-07-16,15.85,15.85,14.90,14.90,8853400,14.90
2012-07-13,15.55,15.80,15.35,15.40,6389700,15.40
2012-07-12,15.75,15.75,15.30,15.45,10529200,15.45
2012-07-11,15.90,16.35,15.60,15.85,19875800,15.85
2012-07-10,15.10,15.85,15.10,15.75,8678400,15.75
2012-07-09,15.80,15.80,15.15,15.25,10271900,15.25
2012-07-06,16.25,16.35,15.80,15.90,10988400,15.90
2012-07-05,16.00,16.40,16.00,16.25,10909100,16.25
2012-07-04,16.00,16.25,15.95,16.15,11909900,16.15
2012-07-03,16.20,16.30,15.80,15.90,15690300,15.90
2012-07-02,15.50,15.90,15.15,15.80,15298000,15.80
2012-06-29,14.95,15.45,14.90,15.40,15918300,15.40
2012-06-28,14.70,14.95,14.60,14.70,9041500,14.70
2012-06-27,14.70,14.95,14.55,14.65,8138800,14.65
2012-06-26,14.65,15.00,14.45,14.70,10931500,14.70
2012-06-25,15.00,15.45,14.55,14.60,15010500,14.60
2012-06-22,14.50,15.40,14.40,14.80,23209700,14.80
2012-06-21,14.30,15.00,14.10,14.95,13642600,14.95
2012-06-20,14.00,14.85,14.00,14.50,17266100,14.50
2012-06-19,13.50,14.30,13.30,14.15,21602800,14.15
2012-06-18,14.05,14.45,13.25,13.45,11409300,13.45
2012-06-15,14.00,14.25,13.90,14.05,6059800,14.05
2012-06-14,14.55,14.75,13.85,13.90,18519300,13.90
2012-06-13,14.75,14.80,14.40,14.50,15564000,14.50
2012-06-12,14.00,15.05,14.00,14.80,36171600,14.80
2012-06-11,12.65,15.25,12.65,14.40,57392800,14.40
2012-06-08,12.70,12.85,12.15,12.80,12941800,12.80
2012-06-07,12.50,12.85,12.45,12.65,14574400,12.65
2012-06-06,11.80,12.55,11.70,12.40,14834800,12.40
2012-06-05,12.05,12.20,11.60,11.70,9060400,11.70
2012-06-01,12.00,12.00,11.65,11.80,5937700,11.80
2012-05-31,11.85,12.10,11.75,12.00,16313600,12.00
2012-05-30,12.50,12.75,11.90,12.00,15432800,12.00
2012-05-29,12.00,12.75,12.00,12.45,17412700,12.45
2012-05-28,11.85,12.10,11.85,12.00,7724100,12.00
2012-05-25,11.95,12.10,11.75,11.75,9529100,11.75
2012-05-24,11.80,12.00,11.75,11.90,4946700,11.90
2012-05-23,11.55,11.90,11.55,11.80,6299800,11.80
2012-05-22,12.05,12.45,11.65,11.75,7933500,11.75
2012-05-21,11.95,12.25,11.85,12.15,6955200,12.15
2012-05-18,11.65,12.00,11.45,11.90,7624700,11.90
2012-05-17,11.80,12.30,11.75,11.80,13088500,11.80
2012-05-16,12.00,12.15,11.55,11.85,12184600,11.85
2012-05-14,12.00,12.35,11.55,11.65,10259700,11.65
2012-05-11,11.50,12.50,11.50,12.15,17800500,12.15
2012-05-10,13.00,13.05,11.70,12.00,27794900,12.00
2012-05-09,13.90,14.10,12.55,12.80,21435800,12.80
2012-05-08,14.50,14.90,13.90,13.95,10369000,13.95
2012-05-07,14.30,14.60,13.60,14.55,14304300,14.55
2012-05-04,14.85,15.20,14.20,14.35,12648700,14.35
2012-05-03,15.65,16.00,15.20,15.30,7144600,15.30
2012-05-02,16.00,16.20,15.80,15.90,5184700,15.90
2012-04-30,16.00,16.30,15.70,16.10,7263500,16.10
2012-04-27,16.00,16.15,15.20,15.50,7731100,15.50
2012-04-26,16.00,16.30,15.70,15.85,12392600,15.85
2012-04-25,16.65,16.80,15.90,15.95,12666800,15.95
2012-04-24,16.55,16.80,16.35,16.65,9747400,16.65
2012-04-23,17.10,17.75,16.30,16.50,16706000,16.50
2012-04-20,18.25,18.70,17.60,17.70,13339600,17.70
2012-04-19,18.90,18.90,17.85,18.30,15851600,18.30
2012-04-18,17.60,18.90,17.25,18.65,32735900,18.65
