/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,600.75,613.75,600.75,606.65,726000,607.15
2012-07-20,600.75,613.75,600.00,607.15,726000,607.15
2012-07-19,584.70,604.00,578.50,600.85,578900,600.85
2012-07-18,572.75,586.50,571.15,578.00,121000,578.00
2012-07-17,585.55,591.80,578.30,579.95,105100,579.95
2012-07-16,588.50,593.00,582.20,583.80,140200,583.80
2012-07-13,579.35,594.10,578.80,586.60,255800,586.60
2012-07-12,580.00,584.50,574.45,575.50,142700,575.50
2012-07-11,586.70,594.40,580.00,584.95,325000,584.95
2012-07-10,563.00,588.90,562.65,587.35,303200,587.35
2012-07-09,562.70,571.40,558.10,560.50,76400,560.50
2012-07-06,580.00,580.80,569.25,572.15,108100,572.15
2012-07-05,577.05,588.45,570.60,578.50,183900,578.50
2012-07-04,582.45,582.45,571.10,576.00,112100,576.00
2012-07-03,590.00,590.00,580.00,580.50,74700,580.50
2012-07-02,587.35,588.95,577.00,582.80,132800,582.80
2012-06-29,584.40,584.40,577.00,582.35,171300,582.35
2012-06-28,572.60,576.00,569.00,574.25,236100,574.25
2012-06-27,560.20,569.90,557.10,567.90,304200,567.90
2012-06-26,558.75,563.90,554.20,555.30,116600,555.30
2012-06-25,556.75,566.00,554.00,555.90,213900,555.90
2012-06-22,540.50,563.70,537.20,555.80,524300,555.80
2012-06-21,549.85,551.00,537.00,545.25,172600,545.25
2012-06-20,534.00,549.80,534.00,545.35,228800,545.35
2012-06-19,534.55,542.45,522.40,537.75,321600,537.75
2012-06-18,548.70,551.00,529.70,536.00,184200,536.00
2012-06-15,540.45,549.30,540.00,540.00,202200,540.00
2012-06-14,546.80,555.00,535.10,540.25,147900,540.25
2012-06-13,554.65,559.60,548.80,549.00,156400,549.00
2012-06-12,544.05,555.00,542.55,551.55,214300,551.55
2012-06-11,569.65,569.95,539.55,542.60,334600,542.60
2012-06-08,555.65,574.25,555.65,562.95,465800,562.95
2012-06-07,563.45,565.70,548.80,561.20,188900,561.20
2012-06-06,556.00,563.60,553.80,556.75,240600,556.75
2012-06-05,540.50,559.50,536.05,549.10,311400,549.10
2012-06-01,556.70,563.00,526.60,527.90,231100,527.90
2012-05-31,547.05,569.45,540.00,559.05,652400,559.05
2012-05-30,585.50,597.90,543.00,544.30,1206800,544.30
2012-05-29,601.50,602.95,580.05,586.65,392600,586.65
2012-05-28,574.30,601.40,572.20,597.10,604700,597.10
2012-05-25,566.30,577.00,566.30,568.05,164300,568.05
2012-05-24,568.00,579.35,560.85,574.45,392700,574.45
2012-05-23,530.35,572.00,530.30,567.95,612200,567.95
2012-05-22,545.00,548.40,534.00,535.00,130600,535.00
2012-05-21,524.70,544.85,522.05,536.80,188400,536.80
2012-05-18,520.00,526.00,514.30,520.30,96800,520.30
2012-05-17,524.95,535.90,521.65,523.00,201000,523.00
2012-05-16,522.05,526.85,518.00,522.00,198400,522.00
2012-05-14,546.00,548.00,539.10,542.50,105500,542.50
2012-05-11,545.00,549.90,534.25,545.50,179400,545.50
2012-05-10,546.10,557.40,541.10,547.00,175500,547.00
2012-05-09,560.10,574.00,533.45,543.25,290700,543.25
2012-05-08,569.00,571.80,552.70,555.95,329700,555.95
2012-05-07,551.00,569.90,525.25,569.00,201300,569.00
2012-05-04,547.30,559.00,538.00,539.50,161200,539.50
2012-05-03,559.65,559.65,550.25,554.00,110600,554.00
2012-05-02,556.50,567.25,556.50,558.00,172100,558.00
2012-04-30,554.70,559.90,541.20,557.25,149300,557.25
2012-04-27,550.15,567.70,546.05,553.90,233700,553.90
2012-04-26,572.00,572.70,556.95,561.60,167900,561.60
2012-04-25,552.70,572.00,552.70,566.00,228700,566.00
2012-04-24,578.35,578.35,551.30,555.10,300400,555.10
2012-04-23,579.20,590.50,571.20,572.00,262600,572.00
2012-04-20,584.70,599.20,576.10,577.35,359300,577.35
2012-04-19,584.60,589.45,580.05,589.25,128700,589.25
2012-04-18,589.70,596.10,579.15,579.25,285500,579.25
2012-04-17,588.95,590.00,579.85,584.45,222200,584.45
2012-04-16,562.25,588.85,560.00,588.70,447400,588.70
2012-04-13,570.00,577.00,557.25,562.00,127800,562.00
2012-04-12,567.65,574.00,563.75,566.00,142000,566.00
2012-04-11,570.00,580.00,561.65,563.60,197100,563.60
2012-04-10,572.40,584.00,565.80,580.10,156500,580.10
2012-04-09,570.00,585.45,570.00,575.25,214200,575.25
2012-04-04,588.10,589.40,575.30,581.60,275900,581.60
2012-04-03,594.00,605.80,585.75,589.00,363700,589.00
2012-04-02,569.75,601.70,569.75,599.90,466300,599.90
2012-03-30,560.10,576.80,560.00,570.00,353300,570.00
2012-03-29,558.00,560.50,549.95,557.00,174000,557.00
2012-03-28,557.15,566.30,555.15,557.00,330500,557.00
2012-03-27,570.00,574.75,551.70,560.00,291200,560.00
2012-03-26,569.90,574.50,557.35,563.50,189600,563.50
2012-03-23,587.90,591.90,555.70,570.50,411900,570.50
2012-03-21,601.00,613.95,599.95,612.00,741200,612.00
2012-03-20,588.00,603.00,588.00,597.05,391800,597.05
2012-03-19,575.35,592.90,573.00,589.90,291800,589.90
2012-03-16,587.30,592.40,570.20,577.00,211900,577.00
2012-03-15,593.25,600.90,582.10,588.25,325800,588.25
2012-03-14,598.20,603.90,585.35,593.00,299400,593.00
2012-03-13,584.05,608.80,584.00,595.00,720300,595.00
2012-03-12,567.70,584.80,558.05,579.00,653100,579.00
2012-03-09,554.75,566.80,552.95,559.00,382600,559.00
2012-03-07,520.10,549.45,520.10,549.00,517800,549.00
2012-03-06,506.00,537.30,503.00,526.80,385600,526.80
2012-03-05,527.00,530.00,513.15,516.30,196600,516.30
2012-03-02,537.90,551.30,521.90,526.20,346600,526.20
2012-03-01,542.00,545.70,528.00,532.80,146600,532.80
2012-02-29,539.70,601.70,534.00,542.65,443600,542.65
2012-02-28,505.70,538.70,501.00,529.50,666300,529.50
2012-02-27,515.50,518.00,492.15,502.00,153100,502.00
2012-02-24,520.00,524.05,505.30,519.90,224500,519.90
2012-02-23,523.40,524.65,489.15,519.00,601800,519.00
2012-02-22,549.55,550.60,520.25,522.30,334700,522.30
2012-02-21,530.00,557.90,530.00,547.10,319100,547.10
2012-02-17,547.80,563.45,526.40,530.15,412500,530.15
2012-02-16,553.90,559.00,537.20,539.95,471500,539.95
2012-02-15,512.00,560.70,510.70,557.00,1430300,557.00
2012-02-14,487.95,510.80,485.65,509.25,775400,509.25
2012-02-13,488.90,492.80,481.00,486.00,186300,486.00
2012-02-10,489.50,500.75,483.00,486.00,368600,486.00
2012-02-09,482.10,489.05,480.00,485.00,286000,485.00
2012-02-08,488.75,493.60,478.05,484.85,458500,484.85
2012-02-07,487.65,492.50,480.25,485.00,448900,485.00
2012-02-06,495.40,501.90,486.10,487.00,278100,487.00
2012-02-03,498.00,504.75,488.35,489.00,347700,489.00
2012-02-02,487.40,506.50,480.10,499.40,798800,499.40
2012-02-01,480.00,486.00,472.00,483.00,704500,483.00
2012-01-31,451.40,484.80,449.00,483.55,2106700,483.55
2012-01-30,422.15,448.00,422.15,444.30,865500,444.30
2012-01-27,438.00,444.45,427.25,429.45,310300,429.45
2012-01-25,427.55,441.00,426.40,433.00,351600,433.00
2012-01-24,428.05,432.50,424.50,425.50,114000,425.50
2012-01-23,421.20,436.50,421.20,424.90,204100,424.90
2012-01-20,432.00,437.70,421.50,424.75,122900,424.75
2012-01-19,424.95,436.40,424.95,428.40,99600,428.40
2012-01-18,434.90,444.90,426.80,426.85,175100,426.85
2012-01-17,424.10,437.50,424.05,433.15,150300,433.15
2012-01-16,424.95,424.95,418.00,423.90,126300,423.90
2012-01-13,445.00,450.00,425.00,425.50,407600,425.50
2012-01-12,412.00,447.00,408.00,441.00,679100,441.00
2012-01-11,419.40,424.75,408.30,411.00,119900,411.00
2012-01-10,413.50,424.50,413.50,415.60,131200,415.60
2012-01-06,409.10,414.70,403.20,412.00,91500,412.00
2012-01-05,409.00,418.00,407.00,409.80,110400,409.80
2012-01-04,446.70,446.70,399.10,410.80,174200,410.80
2012-01-03,385.30,405.00,385.30,404.95,159700,404.95
2012-01-02,385.20,389.50,384.75,386.00,43600,386.00
2011-12-30,385.40,390.70,384.55,387.00,45700,387.00
2011-12-29,384.85,390.90,380.60,385.20,213200,385.20
2011-12-28,390.85,390.90,383.05,385.00,141100,385.00
2011-12-27,397.95,404.00,391.30,392.90,202600,392.90
2011-12-26,386.65,401.80,385.50,399.80,527300,399.80
2011-12-23,389.70,389.70,380.10,388.65,137800,388.65
2011-12-22,379.00,389.95,377.00,384.10,180900,384.10
2011-12-21,375.35,386.10,375.35,380.00,235200,380.00
2011-12-20,389.95,389.95,367.35,369.00,131100,369.00
2011-12-19,391.90,391.90,366.00,380.15,218100,380.15
2011-12-16,394.20,409.00,386.50,391.25,441500,391.25
2011-12-15,426.95,426.95,393.20,394.00,484100,394.00
2011-12-14,432.10,434.80,427.00,427.00,310300,427.00
2011-12-13,425.25,432.95,423.90,428.00,163100,428.00
2011-12-12,436.95,439.65,433.20,436.00,213700,436.00
2011-12-09,436.10,438.25,432.10,435.00,378500,435.00
2011-12-08,441.40,445.25,436.65,441.50,590900,441.50
2011-12-07,428.00,441.50,427.00,436.75,543100,436.75
2011-12-05,424.85,431.00,420.50,426.85,140800,426.85
2011-12-02,417.20,428.90,414.55,422.00,347900,422.00
2011-12-01,418.50,434.80,417.25,418.00,774800,418.00
2011-11-30,417.70,422.70,410.25,410.25,320700,410.25
2011-11-29,401.15,423.70,401.05,416.85,573500,416.85
2011-11-28,396.25,406.00,394.00,405.00,213100,405.00
2011-11-25,412.00,412.00,392.10,395.05,106400,395.05
2011-11-24,390.50,409.90,390.50,408.00,277700,408.00
2011-11-23,401.70,401.70,388.80,395.05,198400,395.05
2011-11-22,381.15,403.70,381.15,401.95,317900,401.95
2011-11-21,405.00,405.00,379.35,380.90,196200,380.90
2011-11-18,405.95,409.50,392.45,401.75,257500,401.75
2011-11-17,420.10,422.25,398.15,413.25,324400,413.25
2011-11-16,419.65,424.75,415.00,420.50,397900,420.50
2011-11-15,415.00,426.85,410.60,419.50,284500,419.50
2011-11-14,425.00,430.00,416.00,421.00,269200,421.00
2011-11-11,410.00,427.05,409.95,423.25,475000,423.25
2011-11-09,418.25,430.80,413.10,416.00,813300,416.00
2011-11-08,421.00,423.00,408.70,419.50,735300,419.50
2011-11-04,389.00,423.70,385.30,414.50,1488400,414.50
2011-11-03,382.95,388.00,378.65,386.85,284900,386.85
2011-11-02,380.70,391.90,380.70,381.50,546100,381.50
2011-11-01,354.00,384.80,354.00,383.00,1421600,383.00
2011-10-31,366.80,369.85,353.50,357.00,158000,357.00
2011-10-28,365.00,371.95,362.20,365.00,67000,365.00
2011-10-26,362.40,363.15,359.80,363.00,16300,363.00
2011-10-25,353.05,362.00,353.05,360.25,112200,360.25
2011-10-24,355.00,359.95,352.30,357.90,63100,357.90
2011-10-21,360.50,365.15,352.00,352.90,88200,352.90
2011-10-20,363.70,368.00,360.50,360.50,95100,360.50
2011-10-19,359.60,366.50,359.60,365.05,151900,365.05
2011-10-18,352.00,357.35,349.30,356.65,199800,356.65
2011-10-17,345.75,354.00,344.05,352.70,85600,352.70
2011-10-14,347.35,348.65,339.05,343.10,93400,343.10
2011-10-13,350.80,352.50,345.35,345.50,96500,345.50
2011-10-12,343.60,350.00,343.10,349.70,63700,349.70
2011-10-11,354.05,354.05,342.05,343.00,211600,343.00
2011-10-10,341.75,352.00,341.75,346.00,339400,346.00
2011-10-07,350.00,354.10,340.30,344.05,101900,344.05
2011-10-05,344.95,347.00,336.00,347.00,116200,347.00
2011-10-04,354.00,354.00,342.35,343.00,259000,343.00
2011-10-03,365.00,365.00,347.70,350.40,132100,350.40
2011-09-30,356.40,369.00,343.50,369.00,135700,369.00
2011-09-29,359.70,366.00,351.60,362.70,176600,362.70
2011-09-28,369.00,374.00,358.00,365.00,186900,365.00
2011-09-27,364.30,369.00,361.05,368.00,72500,368.00
2011-09-26,360.15,360.15,353.60,359.50,61800,359.50
2011-09-23,366.25,366.25,356.55,359.00,156400,359.00
2011-09-22,361.25,373.50,357.00,370.40,422700,370.40
2011-09-21,366.00,371.90,364.50,370.05,226100,370.05
2011-09-20,353.00,368.75,352.00,365.05,104100,365.05
2011-09-19,358.80,363.95,355.10,361.45,95600,361.45
2011-09-16,365.00,375.00,356.00,357.00,450200,357.00
2011-09-15,347.00,363.00,344.00,362.20,210200,362.20
2011-09-14,350.00,352.50,343.75,351.00,110700,351.00
2011-09-13,362.00,362.00,346.20,347.10,279700,347.10
2011-09-12,340.10,348.00,338.25,344.95,178100,344.95
2011-09-09,358.05,360.95,345.40,345.50,180100,345.50
2011-09-08,363.00,363.05,357.60,359.00,66100,359.00
2011-09-07,356.60,363.25,353.50,362.70,236700,362.70
2011-09-06,337.90,354.60,334.45,354.00,240200,354.00
2011-09-05,332.00,338.85,330.00,337.50,90600,337.50
2011-09-02,337.05,340.45,329.90,332.60,169000,332.60
2011-08-30,327.10,347.75,327.10,336.75,172000,336.75
2011-08-29,317.05,326.55,317.00,325.00,119800,325.00
2011-08-26,322.35,323.95,313.35,315.95,148200,315.95
2011-08-25,339.65,344.75,316.10,322.00,335700,322.00
2011-08-24,321.50,343.00,321.50,335.00,241700,335.00
2011-08-23,321.00,334.80,321.00,332.15,560800,332.15
2011-08-22,327.70,334.00,319.55,330.25,197000,330.25
2011-08-19,325.90,329.00,314.50,325.00,452700,325.00
2011-08-18,342.00,343.40,326.05,326.05,326400,326.05
2011-08-17,349.50,359.80,338.50,339.90,387000,339.90
2011-08-16,351.95,351.95,345.15,346.40,241800,346.40
2011-08-12,354.00,355.50,344.55,345.70,183900,345.70
2011-08-11,339.00,355.00,339.00,355.00,239200,355.00
2011-08-10,353.95,357.00,346.50,347.65,115600,347.65
2011-08-09,347.70,359.70,342.40,346.20,220000,346.20
2011-08-08,341.60,359.50,341.00,355.90,255600,355.90
2011-08-05,340.30,354.00,337.95,353.95,277500,353.95
2011-08-04,362.70,365.60,353.00,354.05,178000,354.05
2011-08-03,356.40,364.70,354.00,361.50,231000,361.50
2011-08-02,359.00,368.00,356.40,359.15,675700,359.15
2011-08-01,366.00,371.70,347.90,355.25,445600,355.25
2011-07-29,363.95,368.85,361.50,363.05,433000,363.05
2011-07-28,360.00,367.50,355.95,365.80,644300,365.80
2011-07-27,370.75,370.90,363.00,363.30,165100,363.30
2011-07-26,373.05,375.90,366.00,369.20,174800,369.20
2011-07-25,373.50,375.50,369.25,374.40,260200,374.40
2011-07-22,371.90,375.95,370.25,372.00,231100,372.00
2011-07-21,366.00,377.85,356.00,373.05,679800,370.55
2011-07-20,391.70,392.00,364.40,365.05,653100,362.60
2011-07-19,387.50,393.00,387.50,389.00,228000,386.39
2011-07-18,388.70,393.00,386.55,387.10,295600,384.51
2011-07-15,387.35,391.30,385.50,388.50,135900,385.90
2011-07-14,384.70,392.70,384.70,386.20,266500,383.61
2011-07-13,384.90,390.50,382.10,387.70,632500,385.10
2011-07-12,385.00,386.45,379.10,381.60,292800,379.04
2011-07-11,396.05,399.00,385.50,389.00,299500,386.39
2011-07-08,401.20,403.85,393.25,394.50,743000,391.86
2011-07-07,397.15,403.80,395.40,401.60,917900,398.91
2011-07-06,396.00,402.80,395.00,395.60,1243900,392.95
2011-07-05,387.50,398.50,382.00,393.15,1285200,390.52
2011-07-04,387.00,389.90,385.00,386.20,181600,383.61
2011-07-01,387.75,389.95,383.50,387.00,194000,384.41
2011-06-30,392.80,392.80,381.10,385.00,632100,382.42
2011-06-29,385.00,394.90,385.00,390.45,710600,387.83
2011-06-28,389.70,394.80,384.10,385.10,649600,382.52
2011-06-27,381.00,390.70,381.00,384.35,369500,381.77
2011-06-24,385.05,395.00,384.00,391.50,866500,388.88
2011-06-23,401.60,401.60,376.00,380.00,915800,377.45
2011-06-22,409.05,415.40,401.50,403.40,295700,400.70
2011-06-21,411.70,415.00,400.05,405.05,312200,402.34
2011-06-20,428.25,431.50,402.60,409.85,258500,407.10
2011-06-17,427.00,439.00,425.00,427.40,503500,424.54
2011-06-16,431.20,435.75,425.30,426.00,262500,423.15
2011-06-15,440.40,451.25,433.65,436.00,836700,433.08
2011-06-14,427.50,443.25,420.35,440.00,817000,437.05
2011-06-13,428.50,429.00,423.10,428.20,188400,425.33
2011-06-10,428.15,434.00,422.00,427.30,444800,424.44
2011-06-09,434.80,436.00,425.00,426.60,323200,423.74
2011-06-08,430.00,435.50,425.00,431.90,794000,429.01
