/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,19.20,19.65,18.90,19.20,2541600,19.10
2012-07-20,19.30,19.70,18.90,19.10,2542600,19.10
2012-07-19,19.75,19.85,19.20,19.25,1528200,19.25
2012-07-18,19.30,19.70,18.05,19.55,3258400,19.55
2012-07-17,19.55,19.70,18.90,19.00,2020500,19.00
2012-07-16,20.00,20.20,19.40,19.45,2283100,19.45
2012-07-13,20.25,20.45,19.85,19.95,2251400,19.95
2012-07-12,20.50,20.70,19.85,20.00,5409200,20.00
2012-07-11,20.75,21.20,20.10,20.75,5004900,20.75
2012-07-10,20.40,21.20,20.30,21.10,3229700,21.10
2012-07-09,21.30,21.30,20.15,20.25,3178800,20.25
2012-07-06,21.80,22.10,21.25,21.35,3105100,21.35
2012-07-05,21.40,22.05,21.25,21.80,4668800,21.80
2012-07-04,20.55,21.65,20.55,21.40,2859800,21.40
2012-07-03,21.45,21.65,21.00,21.25,3273700,21.25
2012-07-02,21.00,21.55,20.60,21.30,6147500,21.30
2012-06-29,19.65,20.80,19.65,20.45,5227900,20.45
2012-06-28,19.85,19.90,19.30,19.40,1262900,19.40
2012-06-27,19.65,19.90,19.55,19.70,1532500,19.70
2012-06-26,20.00,20.25,19.40,19.70,1667900,19.70
2012-06-25,20.40,20.80,19.70,19.80,3893300,19.80
2012-06-22,19.60,19.90,19.15,19.50,3573000,19.50
2012-06-21,19.00,20.10,18.90,19.85,3761000,19.85
2012-06-20,18.80,19.40,18.55,19.15,1963100,19.15
2012-06-19,18.40,18.85,18.20,18.70,1882800,18.70
2012-06-18,19.80,20.30,18.35,18.60,2372400,18.60
2012-06-15,19.10,19.45,19.00,19.00,1734000,19.00
2012-06-14,19.55,19.75,18.85,19.00,2097300,19.00
2012-06-13,19.65,20.40,19.40,19.70,3333100,19.70
2012-06-12,19.50,19.85,19.05,19.50,3344100,19.50
2012-06-11,19.70,20.70,19.15,19.40,8115400,19.40
2012-06-08,18.50,19.25,18.05,19.20,3178400,19.20
2012-06-07,18.65,18.90,18.25,18.60,2794600,18.60
2012-06-06,17.70,18.65,17.55,18.40,3286900,18.40
2012-06-05,17.80,18.10,17.10,17.35,1619400,17.35
2012-06-01,17.70,17.90,17.10,17.25,1553400,17.25
2012-05-31,17.00,17.90,16.60,17.90,3537400,17.90
2012-05-30,18.20,18.30,17.05,17.25,3438300,17.25
2012-05-29,18.30,18.50,18.15,18.25,3041300,18.25
2012-05-28,18.40,18.50,18.00,18.20,3044000,18.20
2012-05-25,18.35,18.55,18.15,18.25,2328000,18.25
2012-05-24,18.50,18.95,18.00,18.35,1962000,18.35
2012-05-23,18.10,18.45,17.85,18.15,1517400,18.15
2012-05-22,18.85,19.05,17.90,18.10,2614300,18.10
2012-05-21,18.45,19.10,18.35,18.60,3147300,18.60
2012-05-18,18.00,18.60,17.60,18.25,2725300,18.25
2012-05-17,19.00,19.00,18.00,18.45,2477600,18.45
2012-05-16,18.75,19.20,18.25,18.45,3544500,18.45
2012-05-14,18.60,18.95,17.75,18.25,2103500,18.25
2012-05-11,18.20,19.35,18.05,18.55,3581700,18.55
2012-05-10,19.00,19.25,18.25,18.45,2533100,18.45
2012-05-09,19.25,19.75,18.55,18.85,4496400,18.85
2012-05-08,20.25,20.40,18.85,19.10,2833700,19.10
2012-05-07,19.65,20.30,19.15,20.20,3869100,20.20
2012-05-04,20.10,20.45,19.40,19.85,3071100,19.85
2012-05-03,20.90,21.10,20.35,20.55,2329300,20.55
2012-05-02,21.55,22.00,20.95,21.20,3182800,21.20
2012-04-30,20.30,21.30,20.30,21.20,3930300,21.20
2012-04-27,21.25,21.80,19.85,20.05,13043900,20.05
2012-04-26,21.60,21.95,20.90,21.00,15808800,21.00
2012-04-25,22.60,23.00,20.90,21.55,3160900,21.55
2012-04-24,24.05,24.05,22.20,22.90,2497100,22.90
2012-04-23,24.70,24.75,23.15,23.20,2299600,23.20
2012-04-20,21.00,25.25,21.00,24.45,2365100,24.45
2012-04-19,25.70,25.85,24.80,25.15,2675000,25.15
2012-04-18,25.80,26.45,25.50,25.55,2695800,25.55
2012-04-17,25.20,26.00,25.10,25.60,2140800,25.60
2012-04-16,25.60,25.65,24.85,25.25,1825700,25.25
2012-04-13,25.70,26.80,25.10,25.20,3623800,25.20
2012-04-12,24.95,25.75,24.95,25.70,1358100,25.70
2012-04-11,25.30,25.95,25.00,25.35,2041300,25.35
2012-04-10,26.00,26.35,25.20,25.65,1834100,25.65
2012-04-09,26.50,27.10,25.70,26.00,2223200,26.00
2012-04-04,26.95,26.95,26.05,26.60,1911300,26.60
2012-04-03,26.00,27.45,25.90,26.95,3405900,26.95
2012-04-02,26.00,26.70,25.80,26.25,1573600,26.25
2012-03-30,24.00,25.85,24.00,25.70,2354000,25.70
2012-03-29,24.75,24.95,24.10,24.90,3305300,24.90
2012-03-28,25.55,25.90,24.25,24.45,2500000,24.45
2012-03-27,25.55,26.15,25.30,25.85,2193800,25.85
2012-03-26,26.50,26.50,24.90,25.10,2084100,25.10
2012-03-23,25.80,27.00,25.05,26.45,2670700,26.45
2012-03-21,26.05,27.40,26.05,27.00,3762500,27.00
2012-03-20,25.60,26.80,24.95,26.65,3578600,26.65
2012-03-19,26.45,27.00,25.55,25.80,2129400,25.80
2012-03-16,27.85,28.40,26.00,26.80,4699900,26.80
2012-03-15,28.50,28.50,27.15,27.50,2397200,27.50
2012-03-14,29.65,29.80,28.40,28.55,3302600,28.55
2012-03-13,28.25,29.55,28.25,29.15,3815400,29.15
2012-03-12,28.10,28.50,27.60,28.10,3518200,28.10
2012-03-09,27.00,27.90,27.00,27.45,3632700,27.45
2012-03-07,26.00,26.85,25.45,26.70,3532400,26.70
2012-03-06,27.10,28.55,25.70,26.00,5309000,26.00
2012-03-05,28.60,28.80,26.65,27.20,3989300,27.20
2012-03-02,30.00,30.25,28.10,28.50,7423600,28.50
2012-03-01,28.75,30.60,27.50,29.75,6724700,29.75
2012-02-29,29.70,29.70,27.15,28.65,7536300,28.65
2012-02-28,25.20,29.25,25.00,28.80,6290800,28.80
2012-02-27,27.70,27.70,25.15,25.30,4488800,25.30
2012-02-24,27.90,29.00,27.10,27.40,4817800,27.40
2012-02-23,28.50,29.15,27.40,27.85,6254700,27.85
2012-02-22,32.25,32.80,28.20,28.95,5854300,28.95
2012-02-21,31.00,32.60,30.85,32.00,5141400,32.00
2012-02-17,31.25,33.00,30.80,31.30,9741500,31.30
2012-02-16,30.20,31.40,29.65,30.75,6821000,30.75
2012-02-15,29.50,30.65,28.55,30.35,10405000,30.35
2012-02-14,26.55,29.45,26.40,29.30,10207400,29.30
2012-02-13,27.30,27.75,26.50,26.65,3613600,26.65
2012-02-10,27.40,27.90,26.00,27.50,8491300,27.50
2012-02-09,24.20,27.35,23.90,27.10,10875200,27.10
2012-02-08,23.70,24.50,23.60,24.20,3410900,24.20
2012-02-07,24.40,24.95,23.30,23.55,3730100,23.55
2012-02-06,24.75,25.50,24.40,24.65,4934500,24.65
2012-02-03,24.50,24.65,24.00,24.00,3305700,24.00
2012-02-02,25.40,25.70,24.00,24.50,6149600,24.50
2012-02-01,23.50,25.15,22.80,25.00,5154700,25.00
2012-01-31,22.45,23.85,22.35,23.65,3135200,23.65
2012-01-30,23.95,23.95,22.20,22.25,2518100,22.25
2012-01-27,24.40,24.50,23.30,23.60,4289600,23.60
2012-01-25,22.75,24.20,22.75,24.15,6343400,24.15
2012-01-24,21.85,23.40,21.60,22.70,6324800,22.70
2012-01-23,20.80,22.00,20.75,21.55,2690000,21.55
2012-01-20,21.95,22.50,20.35,21.10,9801700,21.10
2012-01-19,21.00,21.85,20.65,21.65,3476800,21.65
2012-01-18,21.75,21.85,20.15,20.70,3836400,20.70
2012-01-17,21.15,22.10,21.15,21.60,3348000,21.60
2012-01-16,21.00,21.50,20.55,21.20,3420400,21.20
2012-01-13,19.95,21.70,19.90,21.40,4257400,21.40
2012-01-12,19.70,20.50,19.40,19.90,3349800,19.90
2012-01-11,19.00,19.80,18.05,19.75,3307200,19.75
2012-01-10,18.20,18.95,18.20,18.80,2290200,18.80
2012-01-06,17.35,17.65,16.75,17.45,2245400,17.45
2012-01-05,17.55,17.95,17.30,17.55,1600500,17.55
2012-01-04,17.95,18.25,17.30,17.35,2901000,17.35
2012-01-03,16.70,18.05,16.65,17.65,3568000,17.65
2012-01-02,17.40,17.40,16.30,16.75,2303400,16.75
2011-12-30,16.55,17.30,16.55,16.85,1960000,16.85
2011-12-29,17.00,17.25,16.40,16.65,5842100,16.65
2011-12-28,17.50,17.60,17.00,17.20,1286200,17.20
2011-12-27,18.80,18.80,17.40,17.55,2453200,17.55
2011-12-26,17.40,18.05,17.40,18.00,1017800,18.00
2011-12-23,17.70,18.35,17.15,17.35,1702700,17.35
2011-12-22,17.00,17.95,15.85,17.80,3445300,17.80
2011-12-21,17.50,18.20,16.50,17.35,2804600,17.35
2011-12-20,17.50,17.60,16.35,17.00,1935200,17.00
2011-12-19,18.60,18.60,16.75,17.10,3100500,17.10
2011-12-16,19.85,20.40,18.05,18.20,2212600,18.20
2011-12-15,20.00,20.20,19.55,19.60,1347700,19.60
2011-12-14,20.40,20.75,19.90,20.15,1461800,20.15
2011-12-13,20.20,20.85,20.05,20.45,1551800,20.45
2011-12-12,21.75,21.85,20.50,20.55,1919600,20.55
2011-12-09,21.20,21.85,19.30,21.45,1626300,21.45
2011-12-08,22.75,22.85,21.40,21.65,1653400,21.65
2011-12-07,23.00,23.30,22.60,22.80,1510200,22.80
2011-12-05,22.10,23.00,22.10,22.85,2387900,22.85
2011-12-02,22.10,22.70,21.80,22.55,1742600,22.55
2011-12-01,22.65,23.00,21.35,21.95,2579100,21.95
2011-11-30,22.75,22.75,21.30,21.80,2040900,21.80
2011-11-29,22.75,23.35,22.30,22.50,2848000,22.50
2011-11-28,21.50,22.90,21.50,22.80,2207500,22.80
2011-11-25,21.30,22.00,20.90,21.50,2368700,21.50
2011-11-24,20.65,21.55,19.90,21.40,7337700,21.40
2011-11-23,21.05,21.75,19.90,20.75,4896700,20.75
2011-11-22,20.90,21.70,20.70,21.55,1800400,21.55
2011-11-21,22.10,22.25,20.60,20.95,2535200,20.95
2011-11-18,23.00,23.40,21.15,22.10,3375900,22.10
2011-11-17,23.90,24.45,22.80,23.35,2663800,23.35
2011-11-16,24.70,25.00,23.10,24.20,3080600,24.20
2011-11-15,25.50,26.25,24.10,24.30,3562000,24.30
2011-11-14,28.30,28.40,25.90,26.05,4669200,26.05
2011-11-11,28.50,30.00,27.70,28.00,11670600,28.00
2011-11-09,27.40,28.90,26.70,27.60,5511800,27.60
2011-11-08,27.10,28.10,27.10,27.60,1366000,27.60
2011-11-04,27.50,27.85,26.30,27.75,3179500,27.75
2011-11-03,26.70,27.35,26.50,27.35,1629500,27.35
