/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,478.00,483.85,472.35,479.80,680000,479.15
2012-07-20,478.50,483.95,472.35,479.15,680000,479.15
2012-07-19,482.00,485.45,478.15,479.30,536200,479.30
2012-07-18,478.25,483.25,471.45,478.00,1214500,478.00
2012-07-17,482.90,484.40,472.75,480.65,512700,480.65
2012-07-16,485.00,488.00,477.10,482.00,623600,482.00
2012-07-13,486.90,489.00,482.55,485.00,768000,485.00
2012-07-12,480.00,485.00,477.50,481.00,1187700,481.00
2012-07-11,500.00,500.00,491.55,492.00,966800,492.00
2012-07-10,489.80,499.20,484.00,497.10,839600,497.10
2012-07-09,485.30,490.70,482.30,487.00,611200,487.00
2012-07-06,491.40,493.00,482.45,491.35,699800,491.35
2012-07-05,483.00,493.00,481.80,492.40,713700,492.40
2012-07-04,481.50,486.60,475.50,481.65,589600,481.65
2012-07-03,489.00,489.50,482.50,483.60,766500,483.60
2012-07-02,478.00,485.90,476.45,484.00,759500,484.00
2012-06-29,465.00,477.90,461.50,474.90,1540700,474.90
2012-06-28,470.35,470.45,455.05,465.00,2038900,465.00
2012-06-27,464.70,471.45,460.20,469.95,1956400,469.95
2012-06-26,464.05,465.70,453.25,460.65,2049600,460.65
2012-06-25,473.15,475.00,461.10,465.00,1342800,465.00
2012-06-22,478.10,483.25,471.55,473.00,1210600,473.00
2012-06-21,483.00,489.00,478.00,482.00,961100,482.00
2012-06-20,471.10,489.70,471.10,487.00,1368300,487.00
2012-06-19,470.10,476.35,465.00,473.10,2258900,473.10
2012-06-18,486.85,489.90,459.05,469.80,2391700,469.80
2012-06-15,480.00,488.00,479.25,485.20,628400,485.20
2012-06-14,490.00,494.65,476.45,477.95,484500,477.95
2012-06-13,486.45,494.20,485.00,492.45,701300,492.45
2012-06-12,478.00,486.20,472.05,485.50,1203200,485.50
2012-06-11,499.40,499.40,477.40,478.45,2360100,478.45
2012-06-08,500.00,500.65,491.15,497.00,431200,497.00
2012-06-07,505.00,507.55,493.20,500.00,732100,500.00
2012-06-06,496.05,506.50,496.05,500.40,955600,500.40
2012-06-05,493.90,498.00,489.90,495.40,759400,495.40
2012-06-01,505.00,507.45,480.50,481.50,903100,481.50
2012-05-31,505.10,507.95,495.15,504.20,1273600,504.20
2012-05-30,504.05,511.90,504.05,509.00,813600,509.00
2012-05-29,495.80,507.90,494.05,504.50,1208200,504.50
2012-05-28,486.30,493.70,483.60,493.70,313600,493.70
2012-05-25,488.70,489.00,482.50,487.90,445600,487.90
2012-05-24,489.45,489.45,479.50,484.90,240200,484.90
2012-05-23,491.00,492.95,482.15,484.00,373200,484.00
2012-05-22,482.10,494.00,479.15,490.00,335400,490.00
2012-05-21,485.00,485.95,477.00,479.50,774500,479.50
2012-05-18,480.85,487.55,475.20,485.00,616200,485.00
2012-05-17,488.00,489.80,476.35,485.45,866900,485.45
2012-05-16,483.90,487.00,478.00,486.50,461000,486.50
2012-05-14,485.00,489.70,473.05,482.00,615300,482.00
2012-05-11,486.10,490.90,484.00,489.00,1080100,489.00
2012-05-10,490.00,497.65,482.60,489.30,1166000,489.30
2012-05-09,475.10,488.80,475.00,486.50,779300,486.50
2012-05-08,497.00,501.10,474.00,474.00,1046300,474.00
2012-05-07,499.00,511.60,499.00,503.10,416400,503.10
2012-05-04,515.25,522.00,508.50,515.40,1180900,515.40
2012-05-03,514.30,520.65,511.55,515.90,751600,515.90
2012-05-02,513.00,524.45,512.00,517.95,896500,517.95
2012-04-30,509.10,514.50,506.00,512.00,721500,512.00
2012-04-27,502.00,513.50,501.00,509.55,1090900,509.55
2012-04-26,507.80,510.00,496.25,501.00,1454200,501.00
2012-04-25,509.80,513.10,504.05,509.00,1037300,509.00
2012-04-24,498.80,519.50,498.25,510.75,1887900,510.75
2012-04-23,507.00,507.05,493.10,497.20,571500,497.20
2012-04-20,499.35,508.60,498.05,505.00,980300,505.00
2012-04-19,496.60,504.75,494.30,502.75,1188600,502.75
2012-04-18,502.00,511.35,492.45,494.30,5482300,494.30
2012-04-17,487.95,497.70,479.30,481.00,1255000,481.00
2012-04-16,474.00,488.10,471.00,485.95,836900,485.95
2012-04-13,479.80,490.00,475.00,475.45,1395300,475.45
2012-04-12,491.30,503.45,490.35,493.00,1035300,493.00
2012-04-11,489.00,494.40,484.15,493.95,852400,493.95
2012-04-10,496.65,502.05,487.40,491.50,459200,491.50
2012-04-09,507.00,511.45,495.05,497.05,615100,497.05
2012-04-04,504.00,512.40,500.00,508.95,501500,508.95
2012-04-03,506.00,506.35,497.90,505.15,432500,505.15
2012-04-02,483.90,504.80,477.50,501.90,757600,501.90
2012-03-30,472.20,486.45,472.20,482.45,609000,482.45
2012-03-29,465.00,484.40,440.60,469.65,1174100,469.65
2012-03-28,471.05,477.80,465.65,470.10,630200,470.10
2012-03-27,480.00,484.90,468.15,472.70,953600,472.70
2012-03-26,487.90,504.50,471.50,476.50,2837500,476.50
2012-03-23,480.80,488.90,475.50,484.55,2696400,484.55
2012-03-21,489.50,497.00,487.95,492.00,655700,492.00
2012-03-20,499.00,500.95,485.70,489.00,502700,489.00
2012-03-19,494.05,502.45,488.00,499.00,2907000,499.00
2012-03-16,499.00,506.00,490.60,498.00,697200,498.00
2012-03-15,502.40,505.75,493.35,496.00,511500,496.00
2012-03-14,510.00,519.20,502.15,503.50,913900,503.50
2012-03-13,508.00,509.90,496.20,506.60,1109600,506.60
2012-03-12,507.00,512.00,500.20,508.00,1286600,508.00
2012-03-09,497.20,513.20,497.20,504.00,1675200,504.00
2012-03-07,479.50,496.80,474.50,495.00,725500,495.00
2012-03-06,482.00,491.50,475.00,480.50,570700,480.50
2012-03-05,477.20,483.95,469.55,480.65,293800,480.65
2012-03-02,487.00,487.00,476.00,483.15,297700,483.15
2012-03-01,481.00,485.00,474.55,481.90,420900,481.90
2012-02-29,484.00,486.10,481.95,484.95,672800,484.95
2012-02-28,486.35,487.20,472.45,483.40,874600,483.40
2012-02-27,494.00,498.00,480.25,486.10,1214500,486.10
2012-02-24,491.00,499.85,482.40,493.30,732200,493.30
2012-02-23,492.00,498.00,490.45,496.15,1275400,496.15
