Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,693.55,695.30,682.75,683.95,27000,686.30
2012-07-20,696.95,696.95,683.05,686.30,1870200,686.30
2012-07-19,690.00,695.00,687.45,693.95,2261000,693.95
2012-07-18,684.00,688.20,682.60,686.80,2282900,686.80
2012-07-17,683.00,684.55,680.75,682.25,2138600,682.25
2012-07-16,677.00,683.00,677.00,680.10,1312700,680.10
2012-07-13,676.50,679.90,675.15,676.00,904000,676.00
2012-07-12,677.00,682.25,672.40,675.00,1780900,675.00
2012-07-11,678.05,684.50,675.30,677.50,2544600,677.50
2012-07-10,679.70,683.50,676.00,682.00,2778700,682.00
2012-07-09,684.00,684.00,670.00,675.75,1409200,675.75
2012-07-06,677.40,685.50,675.35,683.80,3395200,683.80
2012-07-05,670.20,677.50,670.20,677.40,2127100,677.40
2012-07-04,679.10,682.90,670.65,673.35,4573200,673.35
2012-07-03,663.50,676.00,663.50,675.25,2984100,675.25
2012-07-02,653.70,664.00,652.10,661.00,3005600,661.00
2012-06-29,650.50,655.00,647.75,650.70,2568900,650.70
2012-06-28,646.00,649.50,641.85,642.70,2330200,642.70
2012-06-27,646.00,648.55,643.05,645.00,2793400,645.00
2012-06-26,641.60,646.25,640.80,644.15,2409700,644.15
2012-06-25,644.00,646.85,641.85,643.05,2475900,643.05
2012-06-22,635.10,641.90,629.95,640.85,1992200,640.85
2012-06-21,637.60,649.40,637.60,649.00,1346300,649.00
2012-06-20,645.85,645.85,640.00,644.15,1151600,644.15
2012-06-19,639.65,645.00,638.00,641.50,2582700,641.50
2012-06-18,649.50,650.75,637.55,638.00,1537100,638.00
2012-06-15,639.95,647.85,638.00,646.00,4004800,646.00
2012-06-14,652.00,657.95,641.65,643.05,1526500,643.05
2012-06-13,659.35,660.65,654.40,655.40,1020000,655.40
2012-06-12,652.00,659.80,652.00,658.75,2089600,658.75
2012-06-11,658.25,664.90,655.65,656.80,1763200,656.80
2012-06-08,654.55,658.25,649.40,655.50,1673700,655.50
2012-06-07,657.00,658.40,650.45,655.30,1815500,655.30
2012-06-06,647.25,652.50,644.50,650.00,3218200,650.00
2012-06-05,643.00,645.80,639.25,644.00,1407200,644.00
2012-06-01,650.50,656.30,642.15,643.65,1297400,643.65
2012-05-31,649.10,660.00,643.65,651.60,6753600,651.60
2012-05-30,658.00,660.90,654.30,657.00,1844700,657.00
2012-05-29,665.45,667.30,658.50,660.65,2020000,660.65
2012-05-28,657.25,665.20,657.15,664.00,1565600,664.00
2012-05-25,660.00,663.00,651.30,657.25,1719700,657.25
2012-05-24,642.50,667.65,642.50,663.50,5113300,663.50
2012-05-23,639.80,643.45,629.10,635.25,3943700,635.25
2012-05-22,647.80,653.45,637.20,644.20,3144600,644.20
2012-05-21,640.00,650.00,638.15,639.00,1723300,639.00
2012-05-18,624.30,640.05,623.50,635.00,4204800,635.00
2012-05-17,625.80,638.75,624.75,633.45,4665400,633.45
2012-05-16,637.50,637.50,610.50,624.90,8030100,624.90
2012-05-14,648.00,650.40,637.25,642.00,2937000,642.00
2012-05-11,648.00,654.00,644.65,649.00,1547900,649.00
2012-05-10,653.00,662.65,649.30,654.05,2602500,654.05
2012-05-09,651.90,659.70,648.90,650.75,3051900,650.75
2012-05-08,668.40,670.75,654.55,657.00,2492500,657.00
2012-05-07,647.00,666.40,647.00,664.10,2714400,664.10
2012-05-04,665.30,670.65,658.15,660.05,2829600,660.05
2012-05-03,670.00,672.00,665.20,667.50,3295400,667.50
2012-05-02,674.55,677.30,670.25,671.00,915300,671.00
2012-04-30,673.55,681.80,672.30,673.25,1387600,673.25
2012-04-27,673.00,679.85,671.05,674.70,1257600,674.70
2012-04-26,679.85,679.85,672.30,674.40,1352100,674.40
2012-04-25,687.75,687.75,674.25,677.45,1256300,677.45
2012-04-24,685.25,688.40,679.95,683.95,959900,683.95
2012-04-23,685.00,689.95,681.65,683.00,1722200,683.00
2012-04-20,687.00,690.90,676.25,685.00,1342900,685.00
2012-04-19,685.00,692.25,682.15,689.95,1399300,689.95
2012-04-18,688.00,690.40,679.05,681.15,1239700,681.15
2012-04-17,678.50,688.35,671.60,684.00,2051200,684.00
2012-04-16,679.50,680.55,672.95,677.00,1746800,677.00
2012-04-13,680.00,685.25,676.15,679.00,2945100,679.00
2012-04-12,675.85,681.80,673.35,674.80,1512900,674.80
2012-04-11,667.30,679.80,665.55,676.80,2580500,676.80
2012-04-10,668.00,674.65,666.00,671.80,2614100,671.80
2012-04-09,674.25,675.25,663.85,667.40,2418900,667.40
2012-04-04,684.95,684.95,678.15,680.00,1140900,680.00
2012-04-03,687.00,689.00,682.25,687.50,2388600,687.50
2012-04-02,673.00,685.00,673.00,681.70,3299500,681.70
2012-03-30,671.55,677.00,670.30,674.00,3169700,674.00
2012-03-29,654.10,672.05,653.15,670.00,13418600,670.00
2012-03-28,663.50,665.60,659.25,660.00,3547700,660.00
2012-03-27,657.00,671.05,655.00,668.00,4122900,668.00
2012-03-26,659.25,660.65,649.50,651.05,3095800,651.05
2012-03-23,663.40,664.35,656.50,661.55,2904200,661.55
2012-03-21,658.00,669.00,656.55,668.50,3734300,668.50
2012-03-20,650.70,660.80,650.00,659.60,3053800,659.60
2012-03-19,670.00,672.00,648.25,649.15,4471400,649.15
2012-03-16,662.25,676.95,662.25,665.85,5040000,665.85
2012-03-15,677.00,677.00,660.05,660.85,3766100,660.85
2012-03-14,689.00,689.25,670.00,678.00,5596300,678.00
2012-03-13,675.00,683.70,675.00,683.50,2111100,683.50
2012-03-12,688.75,688.75,669.10,670.35,3170200,670.35
2012-03-09,662.00,682.30,660.90,681.50,6022800,681.50
2012-03-07,650.00,658.95,648.00,652.55,2016200,652.55
2012-03-06,656.50,666.00,649.50,650.00,5077600,650.00
2012-03-05,666.50,668.00,654.45,655.20,3192300,655.20
2012-03-02,673.00,676.00,662.35,673.70,2868700,673.70
2012-03-01,663.00,670.95,659.20,669.15,3298200,669.15
2012-02-29,677.00,679.30,660.60,663.25,6466800,663.25
2012-02-28,669.00,682.00,668.50,670.00,3664000,670.00
2012-02-27,682.90,682.90,661.80,663.10,5268900,663.10
2012-02-24,673.00,685.55,657.50,675.90,158414100,675.90
2012-02-23,703.00,707.95,695.95,703.55,3289100,703.55
2012-02-22,713.25,719.85,698.70,701.40,2132600,701.40
2012-02-21,714.05,721.15,711.00,712.50,2489500,712.50
2012-02-17,725.00,726.20,711.80,715.50,2414600,715.50
2012-02-16,712.00,720.00,706.00,716.50,2586100,716.50
2012-02-15,702.10,714.90,697.70,713.00,3335600,713.00
2012-02-14,694.10,699.00,691.95,698.65,1127800,698.65
2012-02-13,695.00,700.00,694.00,694.85,1384600,694.85
2012-02-10,697.80,700.00,676.25,692.60,1261300,692.60
2012-02-09,693.85,699.70,688.75,697.05,2417800,697.05
2012-02-08,687.55,699.90,686.80,698.00,2158900,698.00
2012-02-07,709.00,709.00,683.75,685.40,3314100,685.40
2012-02-06,700.00,705.00,692.45,699.25,3351600,699.25
2012-02-03,688.00,699.00,685.05,697.90,1518000,697.90
2012-02-02,696.00,696.00,682.80,686.00,2945400,686.00
2012-02-01,691.00,692.00,680.00,690.60,4956100,690.60
2012-01-31,692.50,701.95,689.95,699.95,2647200,699.95
2012-01-30,692.05,699.80,685.00,688.00,1921800,688.00
2012-01-27,717.00,717.00,696.10,698.00,1661100,698.00
2012-01-25,704.80,711.95,702.55,709.00,3459400,709.00
2012-01-24,696.00,706.00,695.35,699.90,2105600,699.90
2012-01-23,692.50,700.70,688.00,695.70,1130400,695.70
2012-01-20,695.00,695.00,684.35,690.35,1419300,690.35
2012-01-19,687.50,695.00,684.95,693.10,2146600,693.10
2012-01-18,677.00,684.30,672.10,681.65,1461700,681.65
2012-01-17,678.00,680.45,671.85,674.90,1335800,674.90
2012-01-16,679.05,679.90,671.05,674.30,1739300,674.30
2012-01-13,688.00,694.75,671.00,683.90,1881300,683.90
2012-01-12,685.00,701.65,669.45,689.15,4372500,689.15
2012-01-11,685.00,692.75,677.50,679.80,2494900,679.80
2012-01-10,666.55,687.60,666.55,685.50,1669900,685.50
2012-01-06,667.10,674.70,657.50,672.00,1318400,672.00
2012-01-05,662.50,673.75,660.70,668.50,1708000,668.50
2012-01-04,663.20,668.20,658.95,659.35,1447200,659.35
2012-01-03,655.90,669.00,655.90,665.70,771200,665.70
2012-01-02,650.00,655.30,641.35,653.10,626400,653.10
2011-12-30,655.00,668.90,648.00,648.80,1841100,648.80
2011-12-29,659.50,664.10,654.60,654.60,1100100,654.60
2011-12-28,675.00,675.80,658.30,659.00,1422400,659.00
2011-12-27,666.00,670.80,662.15,667.50,1521400,667.50
2011-12-26,659.00,670.70,658.25,665.95,1077400,665.95
2011-12-23,668.65,668.65,655.40,662.00,2392600,662.00
2011-12-22,645.50,665.00,645.50,660.50,2716600,660.50
2011-12-21,633.00,659.75,633.00,656.85,2774800,656.85
2011-12-20,619.75,628.70,618.00,622.50,2775100,622.50
2011-12-19,620.00,624.40,600.30,612.30,3601100,612.30
2011-12-16,636.40,646.00,618.55,632.60,2231800,632.60
2011-12-15,622.00,642.25,622.00,637.50,3841300,637.50
2011-12-14,645.25,647.90,628.30,631.15,2442400,631.15
2011-12-13,642.00,654.50,636.25,649.00,1799400,649.00
2011-12-12,659.90,661.00,644.10,650.00,2397600,650.00
2011-12-09,660.00,663.75,652.35,654.00,1486800,654.00
2011-12-08,674.90,677.00,659.45,668.00,2531300,668.00
2011-12-07,663.00,677.85,656.55,675.00,3498000,675.00
2011-12-05,665.90,670.50,656.85,662.05,1666800,662.05
2011-12-02,658.00,669.00,654.70,668.35,1803700,668.35
2011-12-01,659.90,664.45,651.00,656.95,1769000,656.95
2011-11-30,626.05,647.80,625.30,643.10,3367200,643.10
2011-11-29,648.50,648.50,632.10,633.30,2200400,633.30
2011-11-28,618.25,649.05,618.25,646.90,2123100,646.90
2011-11-25,621.70,623.25,606.60,614.90,1768200,614.90
2011-11-24,623.00,630.00,607.10,627.70,3268800,627.70
2011-11-23,636.60,639.30,613.20,620.00,2742500,620.00
2011-11-22,625.60,645.90,625.60,637.85,2002700,637.85
2011-11-21,639.00,643.90,618.10,619.75,1752300,619.75
2011-11-18,630.10,648.00,630.10,646.35,2470300,646.35
2011-11-17,648.95,651.80,631.40,637.00,1623000,637.00
2011-11-16,657.80,657.80,626.25,654.05,2229300,654.05
2011-11-15,670.50,673.70,654.00,654.60,1306400,654.60
2011-11-14,671.00,676.70,666.15,674.50,2475400,674.50
2011-11-11,680.00,680.00,663.65,666.55,2097100,666.55
2011-11-09,681.25,687.00,679.15,681.70,2656800,681.70
2011-11-08,683.00,690.30,675.05,678.35,832800,678.35
2011-11-04,688.50,689.75,678.25,684.00,1650700,684.00
2011-11-03,678.00,687.00,674.30,687.00,1454800,687.00
2011-11-02,680.00,689.00,679.20,681.50,1040300,681.50
2011-11-01,683.00,686.70,679.50,682.70,1697200,682.70
2011-10-31,689.00,695.05,678.10,688.40,2342700,688.40
2011-10-28,685.00,699.50,681.00,687.55,2589200,687.55
2011-10-26,665.90,673.80,662.30,669.00,385900,669.00
2011-10-25,645.80,674.70,633.00,668.90,4630400,668.90
2011-10-24,644.00,648.00,634.35,640.30,3512700,640.30
2011-10-21,647.00,649.70,630.00,636.85,3474100,636.85
2011-10-20,669.75,669.75,638.20,646.30,5542600,646.30
2011-10-19,679.90,679.90,669.75,674.15,2981600,674.15
2011-10-18,668.70,677.65,664.65,674.45,2323600,674.45
2011-10-17,670.50,677.65,664.50,673.30,2443500,673.30
2011-10-14,661.90,669.00,659.00,666.95,1512900,666.95
2011-10-13,672.00,673.35,662.70,663.95,1461700,663.95
2011-10-12,670.00,672.50,658.00,670.90,2270000,670.90
2011-10-11,669.80,679.00,665.00,668.00,3005000,668.00
2011-10-10,643.20,666.65,643.20,665.85,1614300,665.85
2011-10-07,640.00,655.55,636.70,645.85,3144900,645.85
2011-10-05,622.00,640.00,618.00,618.00,2930700,618.00
2011-10-04,629.35,634.75,617.50,619.05,2678200,619.05
2011-10-03,630.55,635.10,617.30,634.90,2607200,634.90
2011-09-30,646.70,654.50,636.25,642.00,4413700,642.00
2011-09-29,638.75,660.00,637.00,649.00,6773200,649.00
2011-09-28,646.70,646.70,631.55,639.80,3877300,639.80
2011-09-27,630.15,646.95,626.35,642.00,2974700,642.00
2011-09-26,626.80,628.80,617.70,622.30,3553500,622.30
2011-09-23,639.00,639.00,622.55,626.00,7087600,626.00
2011-09-22,664.00,669.90,641.10,646.40,1815000,646.40
2011-09-21,679.90,679.90,665.60,676.00,1161000,676.00
