Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,83.35,83.85,81.70,81.90,11836900,81.75
2012-07-20,83.70,83.90,81.65,81.75,11836900,81.75
2012-07-19,85.00,86.00,83.00,83.25,15340300,83.25
2012-07-18,86.00,86.00,83.50,84.15,12628900,84.15
2012-07-17,87.10,88.35,84.90,85.00,10157100,85.00
2012-07-16,86.50,88.25,84.20,86.30,14467600,86.30
2012-07-13,89.40,90.60,85.75,86.00,13131200,86.00
2012-07-12,88.00,90.20,85.80,88.70,14772400,88.70
2012-07-11,89.95,89.95,88.30,88.85,11748600,88.85
2012-07-10,85.90,90.40,85.80,89.85,18487100,89.85
2012-07-09,89.00,89.00,85.05,85.65,16695400,85.65
2012-07-06,91.50,91.50,88.35,88.90,17337900,88.90
2012-07-05,92.05,93.10,90.40,90.75,19442000,90.75
2012-07-04,89.10,92.85,89.00,92.20,24734200,92.20
2012-07-03,89.90,89.90,87.75,88.80,19673100,88.80
2012-07-02,87.30,89.65,85.85,88.85,19656100,88.85
2012-06-29,85.60,87.90,85.60,86.90,14467700,86.90
2012-06-28,85.00,85.60,83.80,84.90,16469000,84.90
2012-06-27,84.00,86.00,83.85,84.50,18773600,84.50
2012-06-26,83.20,84.75,82.65,84.00,19744100,84.00
2012-06-25,82.70,85.80,82.05,83.05,40819800,83.05
2012-06-22,77.80,82.30,76.85,81.90,45819900,81.90
2012-06-21,73.00,79.90,72.25,79.30,30540900,79.30
2012-06-20,72.70,74.00,72.25,73.40,13875300,73.40
2012-06-19,71.50,73.25,70.00,73.20,17174600,73.20
2012-06-18,75.00,77.10,70.60,71.60,23241200,71.60
2012-06-15,72.95,74.60,71.80,74.10,16405200,74.10
2012-06-14,75.00,76.05,71.85,72.45,18938400,72.45
2012-06-13,76.00,77.10,74.60,75.25,20154600,75.25
2012-06-12,71.50,76.15,71.00,75.90,23887600,75.90
2012-06-11,74.10,76.60,72.30,72.50,23519400,72.50
2012-06-08,68.50,73.25,67.60,73.05,35728000,73.05
2012-06-07,67.00,69.15,66.45,68.95,17778700,68.95
2012-06-06,64.45,67.00,64.40,66.55,12810800,66.55
2012-06-05,65.65,66.50,63.15,64.00,15638700,64.00
2012-06-01,67.55,68.60,63.40,63.65,17990100,63.65
2012-05-31,64.25,67.95,64.05,67.90,20232100,67.90
2012-05-30,66.80,67.40,64.70,64.90,20261700,64.90
2012-05-29,64.75,68.20,64.50,66.55,22462900,66.55
2012-05-28,63.20,64.80,62.50,64.40,11500800,64.40
2012-05-25,62.00,63.80,61.50,62.90,12137900,62.90
2012-05-24,61.90,62.40,59.55,62.25,16860400,62.25
2012-05-23,62.55,62.55,60.55,60.85,11166300,60.85
2012-05-22,64.00,64.90,62.25,62.70,12757400,62.70
2012-05-21,61.50,64.30,61.10,63.05,12924800,63.05
2012-05-18,59.10,62.60,59.10,62.20,15555500,62.20
2012-05-17,62.50,64.70,61.30,62.05,18346000,62.05
2012-05-16,64.00,64.00,61.10,62.15,16191400,62.15
2012-05-14,64.00,65.20,61.20,61.75,16710800,61.75
2012-05-11,63.00,65.75,61.60,64.30,26957300,64.30
2012-05-10,66.00,67.30,61.80,63.10,28454900,63.10
2012-05-09,70.00,70.40,65.65,66.25,26376500,66.25
