/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,2063.00,2097.35,2041.45,2086.10,519300,2086.10
2012-07-19,2135.00,2135.70,2066.30,2104.05,966000,2104.05
2012-07-18,2086.00,2124.00,2060.00,2112.95,165100,2112.95
2012-07-17,2111.00,2121.15,2093.70,2100.00,295000,2100.00
2012-07-16,2098.00,2111.90,2081.25,2095.00,150700,2095.00
2012-07-13,2065.00,2090.00,2065.00,2088.05,173700,2088.05
2012-07-12,2029.00,2075.00,2020.20,2065.00,280600,2065.00
2012-07-11,2064.75,2077.75,2032.20,2040.00,266300,2040.00
2012-07-10,2027.00,2067.40,2027.00,2067.05,184100,2067.05
2012-07-09,2073.00,2082.30,2022.00,2024.70,362700,2024.70
2012-07-06,2118.00,2132.40,2072.60,2090.00,322300,2090.00
2012-07-05,2106.40,2132.20,2106.40,2118.65,208800,2118.65
2012-07-04,2100.00,2125.00,2098.10,2114.00,176500,2114.00
2012-07-03,2114.35,2138.00,2083.45,2094.00,360000,2094.00
2012-07-02,2148.00,2148.00,2106.10,2108.00,327500,2108.00
2012-06-29,2097.00,2160.00,2094.00,2144.65,367400,2144.65
2012-06-28,2067.00,2099.00,2040.00,2079.70,334200,2079.70
2012-06-27,2060.00,2071.25,2043.00,2052.00,173000,2052.00
2012-06-26,2021.00,2060.00,2010.00,2057.00,299400,2057.00
2012-06-25,2074.05,2108.75,2021.30,2030.00,291000,2030.00
2012-06-22,2055.05,2112.00,2055.00,2087.00,505800,2087.00
2012-06-21,2028.00,2080.65,2019.75,2078.00,352500,2078.00
2012-06-20,2007.00,2055.00,2003.65,2021.30,397100,2021.30
2012-06-19,1982.00,2014.30,1982.00,2001.25,289900,2001.25
2012-06-18,2012.00,2043.90,1976.80,1995.90,245400,1995.90
2012-06-15,1957.95,2019.00,1957.95,2000.00,410000,2000.00
2012-06-14,1959.90,1979.90,1936.10,1952.50,214600,1952.50
2012-06-13,1990.30,2004.00,1945.30,1954.00,343100,1954.00
2012-06-12,1956.50,2015.00,1956.50,1986.80,418800,1986.80
2012-06-11,2006.05,2025.00,1962.05,1969.35,322600,1969.35
2012-06-08,1976.10,2018.80,1967.70,2002.00,289300,2002.00
2012-06-07,1963.05,2009.00,1963.05,2000.00,472600,2000.00
2012-06-06,1884.00,1973.95,1880.65,1960.00,806900,1960.00
2012-06-05,1852.00,1875.00,1846.00,1865.50,559600,1865.50
2012-06-01,1812.00,1834.00,1810.00,1820.90,265200,1820.90
2012-05-31,1835.15,1851.95,1821.00,1830.00,422800,1830.00
2012-05-30,1850.50,1867.50,1840.20,1851.20,674100,1851.20
2012-05-29,1850.35,1868.00,1850.10,1861.10,468300,1861.10
2012-05-28,1840.00,1861.95,1832.00,1853.25,243400,1853.25
2012-05-25,1810.25,1848.00,1810.25,1848.00,425900,1848.00
2012-05-24,1813.25,1836.00,1795.15,1822.00,492400,1822.00
2012-05-23,1845.00,1850.50,1808.00,1826.00,936900,1826.00
2012-05-22,1877.00,1894.80,1842.55,1852.00,559700,1852.00
2012-05-21,1856.20,1884.25,1852.00,1866.00,349500,1866.00
2012-05-18,1875.00,1885.00,1836.50,1865.00,378800,1865.00
2012-05-17,1900.00,1921.60,1880.25,1885.00,595100,1885.00
2012-05-16,1871.05,1904.25,1851.10,1896.00,575400,1896.00
2012-05-14,1828.00,1868.00,1818.50,1835.00,364900,1835.00
2012-05-11,1843.00,1878.00,1835.55,1838.00,391900,1838.00
2012-05-10,1890.00,1923.50,1821.05,1844.95,690900,1844.95
2012-05-09,1885.00,1924.00,1862.00,1873.15,646400,1873.15
2012-05-08,1964.95,1991.00,1880.00,1888.75,647500,1888.75
2012-05-07,1940.00,1971.55,1893.75,1970.00,1240800,1970.00
2012-05-04,2055.35,2057.25,1966.20,1973.70,1263300,1973.70
2012-05-03,2173.00,2173.00,2052.10,2068.00,2058800,2068.00
2012-05-02,2262.25,2279.00,2202.65,2210.00,604200,2210.00
2012-04-30,2183.80,2248.90,2178.00,2237.00,553400,2237.00
2012-04-27,2183.80,2206.00,2152.65,2174.90,454900,2174.90
2012-04-26,2249.00,2253.00,2146.05,2173.80,657700,2173.80
2012-04-25,2183.00,2257.05,2180.00,2235.00,503900,2235.00
2012-04-24,2140.20,2213.00,2128.50,2192.95,387500,2192.95
2012-04-23,2171.00,2209.65,2138.10,2141.00,222300,2141.00
2012-04-20,2185.00,2217.95,2176.15,2190.00,228100,2190.00
2012-04-19,2145.00,2212.75,2127.15,2203.00,275900,2203.00
2012-04-18,2135.00,2161.95,2128.15,2141.85,171700,2141.85
2012-04-17,2065.00,2135.00,2055.50,2134.00,345100,2134.00
2012-04-16,2064.00,2084.00,2039.80,2057.00,282000,2057.00
2012-04-13,2035.00,2098.90,2035.00,2054.00,457100,2054.00
2012-04-12,1992.00,2035.00,1976.45,2018.00,417400,2018.00
2012-04-11,1970.00,1983.55,1953.00,1970.00,193800,1970.00
2012-04-10,1988.40,1988.40,1944.45,1972.25,176600,1972.25
2012-04-09,2000.00,2008.05,1962.05,1963.00,274600,1963.00
2012-04-04,2009.90,2042.45,1990.05,2019.00,302700,2019.00
2012-04-03,2065.45,2067.00,2005.00,2006.80,334700,2006.80
2012-04-02,2070.00,2072.00,2033.40,2057.00,176500,2057.00
2012-03-30,2045.00,2065.00,2035.30,2053.65,572600,2053.65
2012-03-29,1981.00,2049.80,1971.65,2020.05,793900,2020.05
2012-03-28,2005.90,2010.80,1969.75,1998.50,466400,1998.50
2012-03-27,2010.00,2039.80,1988.60,2011.00,379400,2011.00
2012-03-26,2023.85,2023.85,1958.00,1995.00,369200,1995.00
2012-03-23,1940.15,2058.80,1922.00,2015.00,693400,2015.00
2012-03-21,1944.70,1944.70,1910.00,1931.95,230400,1931.95
2012-03-20,1949.95,1958.00,1890.50,1940.00,337600,1940.00
2012-03-19,1959.30,1964.80,1920.15,1927.00,222500,1927.00
2012-03-16,1982.00,1982.00,1925.10,1956.10,358500,1956.10
2012-03-15,1978.00,1978.00,1919.00,1960.05,302800,1960.05
2012-03-14,1982.00,1995.00,1950.10,1973.95,283300,1973.95
2012-03-13,1940.10,1974.50,1940.10,1964.80,421100,1964.80
2012-03-12,1921.05,1942.00,1904.70,1929.00,432500,1929.00
2012-03-09,1923.00,1933.90,1890.00,1913.10,507900,1913.10
2012-03-07,1890.00,1899.80,1871.70,1889.40,609300,1889.40
2012-03-06,1890.00,1932.30,1810.05,1863.15,738000,1863.15
2012-03-05,1948.00,1948.00,1873.10,1874.95,656600,1874.95
2012-03-02,1969.90,1975.85,1926.30,1936.10,553600,1936.10
2012-03-01,1957.00,1982.40,1920.00,1929.00,887000,1929.00
2012-02-29,1984.00,2015.00,1930.00,1950.00,462900,1950.00
2012-02-28,1941.00,1986.90,1941.00,1966.00,412500,1966.00
2012-02-27,2087.00,2087.00,1915.00,1935.00,635300,1935.00
2012-02-24,2095.00,2109.00,2057.25,2083.00,257000,2083.00
2012-02-23,2159.95,2167.90,2066.80,2088.00,582900,2088.00
2012-02-22,2127.15,2198.00,2127.15,2150.00,273400,2150.00
2012-02-21,2121.50,2157.00,2121.50,2146.00,276200,2146.00
2012-02-17,2200.00,2209.95,2093.35,2104.00,514700,2104.00
2012-02-16,2088.55,2203.15,2002.00,2185.00,480200,2185.00
2012-02-15,2090.65,2100.20,2068.00,2091.00,349300,2091.00
2012-02-14,2012.10,2090.00,2012.10,2084.00,616900,2084.00
2012-02-13,1975.00,2019.95,1963.50,2010.00,437700,2010.00
2012-02-10,1985.00,2024.00,1953.40,1965.25,281100,1965.25
2012-02-09,1983.00,2035.00,1970.70,1990.30,689600,1990.30
2012-02-08,1958.00,2009.45,1953.05,2008.00,398700,2008.00
2012-02-07,1965.00,2014.00,1940.70,1943.10,363400,1943.10
2012-02-06,1961.00,1992.90,1952.00,1960.00,221800,1960.00
2012-02-03,1982.00,1989.00,1940.05,1952.50,371800,1952.50
2012-02-02,1950.25,2007.80,1943.90,1970.00,739600,1970.00
2012-02-01,1870.00,1945.00,1865.60,1940.00,557100,1940.00
2012-01-31,1845.00,1870.00,1811.90,1864.00,869800,1864.00
2012-01-30,1808.00,1839.00,1800.10,1821.30,547200,1821.30
2012-01-27,1865.05,1875.00,1791.10,1825.00,1462100,1825.00
2012-01-25,1886.30,1895.85,1835.35,1841.35,684300,1841.35
2012-01-24,1872.00,1913.50,1828.80,1881.00,1001300,1881.00
2012-01-23,1949.00,1949.00,1861.70,1865.15,589200,1865.15
2012-01-20,1891.10,1995.65,1871.75,1945.00,1104300,1945.00
2012-01-19,1870.00,1931.75,1870.00,1884.00,758600,1884.00
2012-01-18,1837.00,1870.00,1836.90,1864.00,378300,1864.00
2012-01-17,1805.00,1840.00,1805.00,1825.00,423200,1825.00
2012-01-16,1789.00,1807.30,1770.00,1803.45,312900,1803.45
2012-01-13,1817.00,1818.95,1776.05,1790.00,419500,1790.00
2012-01-12,1794.90,1823.10,1782.00,1819.00,489900,1819.00
2012-01-11,1780.00,1828.00,1779.50,1809.00,686800,1809.00
2012-01-10,1734.00,1779.95,1731.00,1775.00,649500,1775.00
2012-01-06,1822.10,1822.10,1724.75,1726.55,1034800,1726.55
2012-01-05,1786.45,1843.00,1782.10,1828.00,626900,1828.00
2012-01-04,1822.10,1827.90,1765.10,1786.00,666600,1786.00
2012-01-03,1860.00,1884.65,1801.00,1825.00,628500,1825.00
2012-01-02,1914.80,1918.80,1797.55,1836.10,910300,1836.10
2011-12-30,1895.00,1932.50,1895.00,1905.00,273500,1905.00
2011-12-29,1896.00,1919.45,1892.85,1901.00,278000,1901.00
2011-12-28,1906.00,1919.90,1886.95,1905.00,422000,1905.00
2011-12-27,1930.00,1935.90,1895.00,1897.50,265900,1897.50
2011-12-26,1867.00,1940.95,1845.55,1940.00,368100,1940.00
2011-12-23,1869.00,1869.00,1812.10,1858.00,392300,1858.00
2011-12-22,1813.00,1870.00,1813.00,1850.30,558800,1850.30
2011-12-21,1853.00,1863.25,1764.90,1861.00,1077200,1861.00
2011-12-20,1917.00,1925.00,1788.10,1795.20,626700,1795.20
2011-12-19,1906.00,1942.75,1878.35,1899.00,554500,1899.00
2011-12-16,1960.00,2003.00,1901.00,1925.00,385500,1925.00
2011-12-15,1951.20,1966.30,1910.00,1961.00,326700,1961.00
2011-12-14,2000.00,2009.00,1965.00,1967.00,299300,1967.00
2011-12-13,1973.50,2013.80,1939.80,2010.00,385400,2010.00
2011-12-12,2041.00,2050.05,1970.45,1975.90,389000,1975.90
2011-12-09,2043.00,2057.65,2011.00,2035.00,330400,2035.00
2011-12-08,2059.00,2091.30,2047.00,2050.50,367600,2050.50
2011-12-07,2053.00,2083.85,2048.60,2053.00,331500,2053.00
2011-12-05,2079.50,2080.00,2051.70,2061.00,243900,2061.00
2011-12-02,2094.10,2108.90,2056.00,2077.50,720000,2077.50
2011-12-01,2035.00,2101.00,2035.00,2093.00,466600,2093.00
2011-11-30,2061.00,2087.30,1971.10,2011.00,2870200,2011.00
2011-11-29,2030.10,2078.90,1990.75,2070.00,722600,2070.00
2011-11-28,2059.00,2082.75,2024.20,2035.00,404300,2035.00
2011-11-25,2090.00,2095.00,2023.00,2037.00,780300,2037.00
2011-11-24,2112.00,2153.65,2078.25,2093.00,598900,2093.00
2011-11-23,2159.95,2220.00,2103.00,2155.00,786700,2155.00
2011-11-22,2177.70,2196.50,2134.05,2149.00,587400,2149.00
2011-11-21,2181.00,2198.00,2156.00,2168.00,658400,2168.00
2011-11-18,2100.00,2202.00,2100.00,2199.00,865300,2199.00
2011-11-17,2093.70,2153.50,2075.70,2123.55,595100,2123.55
2011-11-16,2149.05,2159.50,2087.45,2101.70,459500,2101.70
2011-11-15,2205.00,2229.00,2147.50,2153.00,381000,2153.00
2011-11-14,2177.00,2249.70,2177.00,2210.00,847400,2210.00
2011-11-11,2120.00,2188.90,2115.00,2175.00,346500,2175.00
2011-11-09,2134.70,2166.80,2125.30,2135.10,352000,2135.10
2011-11-08,2136.00,2151.60,2111.00,2116.15,211000,2116.15
2011-11-04,2085.20,2133.65,2085.20,2124.00,323900,2124.00
2011-11-03,2081.20,2089.00,2035.65,2082.00,1043300,2082.00
2011-11-02,2120.00,2139.95,2069.20,2084.95,615700,2084.95
2011-11-01,2159.00,2175.55,2122.30,2146.00,334900,2146.00
2011-10-31,2150.00,2190.60,2150.00,2185.20,485700,2185.20
2011-10-28,2160.00,2231.45,2140.00,2150.05,527800,2150.05
2011-10-26,2101.55,2119.35,2096.15,2096.15,54400,2096.15
2011-10-25,2073.00,2106.40,2032.10,2087.00,1091800,2087.00
