/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,114.65,117.35,114.15,115.05,187000,114.95
2012-07-20,114.85,117.25,114.25,114.95,897300,114.95
2012-07-19,115.00,116.50,113.15,115.00,1111900,115.00
2012-07-18,111.90,114.90,109.80,113.80,1292800,113.80
2012-07-17,114.00,115.35,110.50,110.50,910300,110.50
2012-07-16,115.50,116.15,112.50,114.30,1043200,114.30
2012-07-13,116.10,117.75,113.10,114.35,3446300,114.35
2012-07-12,118.85,119.90,113.80,114.75,2199400,114.75
2012-07-11,119.60,122.70,119.60,120.30,565000,120.30
2012-07-10,120.45,123.30,120.15,121.80,1169600,121.80
2012-07-09,118.75,121.80,118.00,119.50,976500,119.50
2012-07-06,125.50,125.80,120.10,120.80,1091600,120.80
2012-07-05,124.55,126.50,124.00,124.30,589300,124.30
2012-07-04,127.10,127.85,123.50,124.20,860100,124.20
2012-07-03,127.75,128.90,125.10,126.85,849500,126.85
2012-07-02,128.05,129.50,126.40,126.90,559000,126.90
2012-06-29,128.70,129.00,126.70,127.60,476800,127.60
2012-06-28,129.35,130.40,125.55,127.20,758200,127.20
2012-06-27,126.05,128.90,126.05,128.00,776000,128.00
2012-06-26,124.60,130.45,124.60,126.90,2475400,126.90
2012-06-25,125.00,126.90,124.00,125.25,301900,125.25
2012-06-22,121.70,126.40,121.70,125.25,516700,125.25
2012-06-21,125.40,125.90,122.50,125.40,590500,125.40
2012-06-20,119.00,126.20,117.50,124.50,1984600,124.50
2012-06-19,122.20,123.15,118.35,118.65,1229100,118.65
2012-06-18,126.50,127.20,120.55,122.50,970700,122.50
2012-06-15,125.90,126.90,123.70,125.75,794200,125.75
2012-06-14,122.50,127.10,121.40,123.00,1321100,123.00
2012-06-13,125.55,125.55,120.85,122.20,972200,122.20
2012-06-12,122.10,125.45,120.60,124.30,1114200,124.30
2012-06-11,127.90,127.95,122.05,123.15,1112800,123.15
2012-06-08,127.40,128.35,125.10,126.90,1158500,126.90
2012-06-07,124.90,128.50,122.10,126.10,2083400,126.10
2012-06-06,121.00,124.50,121.00,123.50,1196900,123.50
2012-06-05,122.70,123.55,119.20,120.80,1919600,120.80
2012-06-01,118.55,118.70,114.50,114.70,1348800,114.70
2012-05-31,122.00,122.80,116.80,118.10,2946200,118.10
2012-05-30,125.90,125.90,122.20,122.75,1222200,122.75
2012-05-29,126.55,127.00,124.20,125.80,855900,125.80
2012-05-28,125.60,127.50,125.30,126.35,489700,126.35
2012-05-25,127.05,127.70,124.80,125.20,825200,125.20
2012-05-24,122.00,128.10,122.00,126.80,1391200,126.80
2012-05-23,124.70,125.80,122.20,123.05,2070500,123.05
2012-05-22,118.95,125.70,118.95,125.20,2328100,125.20
2012-05-21,118.00,120.85,117.50,117.90,1083300,117.90
2012-05-18,115.80,120.00,114.10,119.40,2565200,119.40
2012-05-17,117.00,123.60,115.55,118.65,3785300,118.65
2012-05-16,119.95,119.95,113.90,115.25,1159100,115.25
2012-05-14,119.75,120.00,116.60,116.60,585000,116.60
2012-05-11,120.90,120.90,116.65,118.50,765100,118.50
2012-05-10,114.00,121.75,112.25,120.55,2182400,120.55
2012-05-09,117.55,121.70,113.00,115.60,1044600,115.60
2012-05-08,124.50,125.10,120.00,120.30,1360200,120.30
2012-05-07,125.40,126.25,122.80,124.95,973800,124.95
2012-05-04,130.00,130.35,126.30,126.60,792100,126.60
2012-05-03,128.25,130.25,126.30,129.90,1290600,129.90
2012-05-02,129.50,130.55,127.40,128.05,1282300,128.05
2012-04-30,129.50,130.60,127.55,129.40,1066600,129.40
2012-04-27,128.50,131.85,125.65,130.00,4481900,130.00
2012-04-26,131.50,131.95,126.80,128.40,1835400,128.40
2012-04-25,131.25,133.85,129.40,130.50,2025600,130.50
2012-04-24,126.85,131.40,125.65,130.75,2130900,130.75
2012-04-23,125.80,128.70,121.80,125.10,2768000,125.10
2012-04-20,128.00,129.70,124.50,126.50,1141400,126.50
2012-04-19,126.35,129.20,125.40,128.80,1662900,128.80
2012-04-18,126.35,128.65,124.50,125.00,1052600,125.00
2012-04-17,127.95,127.95,124.70,125.40,1988100,125.40
2012-04-16,119.00,127.40,119.00,127.00,2425400,127.00
2012-04-13,121.45,124.40,119.00,122.00,1665700,122.00
2012-04-12,121.05,122.55,120.45,121.90,967500,121.90
2012-04-11,116.10,120.95,116.00,120.80,1468700,120.80
2012-04-10,119.00,119.70,116.00,116.80,1533500,116.80
2012-04-09,121.20,123.00,118.00,118.00,976000,118.00
2012-04-04,122.00,124.30,120.35,122.65,2346200,122.65
2012-04-03,117.90,121.35,117.05,121.20,1911800,121.20
2012-04-02,116.00,117.95,115.00,117.50,1051300,117.50
2012-03-30,111.60,117.40,111.05,117.25,3425500,117.25
2012-03-29,106.00,112.30,103.05,110.30,3273100,110.30
2012-03-28,111.00,111.00,106.80,107.20,1208700,107.20
2012-03-27,114.95,116.00,107.90,111.50,1928600,111.50
2012-03-26,110.10,115.75,108.25,113.80,1818600,113.80
2012-03-23,116.45,117.75,112.40,113.70,1772100,113.70
2012-03-21,121.65,125.10,121.00,121.80,2903700,121.80
2012-03-20,115.50,122.25,115.20,120.75,1724000,120.75
2012-03-19,119.00,119.05,113.60,115.40,511100,115.40
2012-03-16,116.50,120.50,115.60,117.00,2126500,117.00
2012-03-15,120.00,121.25,115.25,115.50,2204800,115.50
2012-03-14,121.40,121.45,118.00,120.00,2072200,120.00
2012-03-13,119.00,121.20,117.40,119.40,2662100,119.40
2012-03-12,117.55,119.75,113.95,118.20,3192500,118.20
2012-03-09,115.00,118.10,113.80,116.30,5164000,116.30
2012-03-07,105.00,113.25,105.00,112.50,2583000,112.50
2012-03-06,111.00,111.40,106.70,107.00,1863700,107.00
2012-03-05,110.70,113.20,108.40,108.85,1578700,108.85
2012-03-02,114.50,115.25,108.75,110.35,3057700,110.35
2012-03-01,122.00,122.60,112.50,113.00,4104700,113.00
2012-02-29,116.00,123.00,115.00,121.65,5168700,121.65
2012-02-28,108.00,115.00,107.65,114.60,2171600,114.60
2012-02-27,110.40,110.70,106.10,107.20,901000,107.20
2012-02-24,110.30,114.80,108.25,110.05,1122200,110.05
2012-02-23,109.90,112.10,105.70,110.30,2161500,110.30
2012-02-22,114.90,114.90,109.00,109.00,1526800,109.00
2012-02-21,112.70,115.45,110.40,113.80,2055600,113.80
2012-02-17,110.00,117.50,110.00,111.65,2738300,111.65
2012-02-16,110.30,111.45,108.55,109.95,1423100,109.95
2012-02-15,111.80,112.70,108.25,110.45,1620800,110.45
2012-02-14,111.00,113.00,109.55,109.85,2356700,109.85
2012-02-13,109.80,111.95,107.55,111.30,1911900,111.30
2012-02-10,105.95,110.60,102.95,109.30,2426200,109.30
2012-02-09,107.35,107.90,104.15,105.40,2454500,105.40
2012-02-08,96.60,107.55,96.60,107.55,4274100,107.55
2012-02-07,102.00,102.25,97.30,98.30,1578300,98.30
2012-02-06,100.00,103.70,99.50,101.20,3382700,101.20
