Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,126.25,127.55,123.80,124.50,646800,124.60
2012-07-20,126.30,127.60,123.80,124.60,648900,124.60
2012-07-19,126.35,128.30,125.30,127.00,1014800,127.00
2012-07-18,126.00,126.95,121.05,124.60,908700,124.60
2012-07-17,130.50,130.50,126.00,126.00,847100,126.00
2012-07-16,134.00,134.25,128.00,128.80,961500,128.80
2012-07-13,130.25,133.90,129.40,132.60,1436200,132.60
2012-07-12,130.75,130.75,127.50,128.65,988100,128.65
2012-07-11,132.25,134.75,131.10,131.35,950300,131.35
2012-07-10,129.00,134.75,129.00,134.00,1342400,134.00
2012-07-09,133.40,133.45,128.70,129.45,1154700,129.45
2012-07-06,140.25,140.25,133.20,134.00,1070300,134.00
2012-07-05,136.00,140.00,133.80,138.50,1886600,138.50
2012-07-04,137.35,138.45,133.60,135.50,1909700,135.50
2012-07-03,133.55,135.45,132.50,134.05,2595300,134.05
2012-07-02,132.00,132.85,128.30,131.20,1040900,131.20
2012-06-29,128.50,132.60,128.30,130.75,1330600,130.75
2012-06-28,129.20,131.00,126.10,126.50,1054000,126.50
2012-06-27,128.60,131.80,126.80,128.30,1608400,128.30
2012-06-26,127.70,130.40,125.60,127.80,1057900,127.80
2012-06-25,134.90,136.90,126.55,127.20,2596000,127.20
2012-06-22,130.40,136.40,125.40,136.00,3320000,136.00
2012-06-21,122.90,133.45,121.00,133.30,3764800,133.30
2012-06-20,116.00,126.70,115.50,123.30,1803800,123.30
2012-06-19,112.20,116.80,111.50,116.00,852200,116.00
2012-06-18,117.95,118.70,110.55,112.55,933300,112.55
2012-06-15,116.20,118.75,114.60,117.00,775900,117.00
2012-06-14,121.25,121.25,114.60,115.25,1129200,115.25
2012-06-13,113.60,123.50,110.85,120.60,3258400,120.60
2012-06-12,108.85,114.75,108.15,113.75,799700,113.75
2012-06-11,111.05,114.00,108.85,109.30,1166600,109.30
2012-06-08,106.45,111.50,105.50,109.80,1349100,109.80
2012-06-07,104.00,109.50,103.10,109.00,1174500,109.00
2012-06-06,100.45,104.40,100.15,103.30,829900,103.30
2012-06-05,100.95,101.60,97.65,99.10,625500,99.10
2012-06-01,100.95,102.20,97.50,98.50,733400,98.50
2012-05-31,98.10,102.00,97.20,101.40,561500,101.40
2012-05-30,103.15,103.15,99.40,99.75,562900,99.75
2012-05-29,111.00,111.00,102.65,103.00,541700,103.00
2012-05-28,104.10,104.80,102.75,104.20,546400,104.20
