/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,349.30,350.20,339.35,341.45,716100,341.65
2012-07-20,350.80,350.80,339.30,341.65,716100,341.65
2012-07-19,346.05,352.80,344.00,351.05,1801700,351.05
2012-07-18,347.00,348.90,338.75,345.05,809300,345.05
2012-07-17,344.00,349.80,336.75,346.10,847300,346.10
2012-07-16,343.00,349.85,341.75,342.90,356400,342.90
2012-07-13,354.10,356.60,347.00,348.15,880300,348.15
2012-07-12,343.10,355.50,340.80,354.50,1107200,354.50
2012-07-11,344.45,347.95,342.10,342.15,357100,342.15
2012-07-10,347.95,351.35,341.20,344.10,746200,344.10
2012-07-09,344.90,348.50,343.20,347.40,497400,347.40
2012-07-06,340.70,348.00,340.70,345.30,558100,345.30
2012-07-05,340.10,343.45,337.20,343.00,732100,343.00
2012-07-04,346.10,346.10,338.55,339.95,831000,339.95
2012-07-03,333.00,350.20,331.70,345.85,1713500,345.85
2012-07-02,334.10,335.20,328.20,332.10,483700,332.10
2012-06-29,328.15,336.70,328.15,336.00,527200,336.00
2012-06-28,335.20,340.20,331.60,334.10,1421700,334.10
2012-06-27,339.50,339.95,333.20,336.05,751500,336.05
2012-06-26,330.00,340.00,328.35,339.40,1171000,339.40
2012-06-25,334.95,337.80,328.50,329.50,1057600,329.50
2012-06-22,336.00,344.10,332.55,334.00,1733200,334.00
2012-06-21,323.00,344.10,323.00,334.45,4980300,334.45
2012-06-20,322.00,324.55,316.65,321.55,2058100,321.55
2012-06-19,301.50,322.00,301.15,320.60,3715900,320.60
2012-06-18,299.00,304.00,298.10,301.15,558200,301.15
2012-06-15,302.80,306.50,298.05,299.40,403700,299.40
2012-06-14,301.50,304.05,298.45,302.25,568400,302.25
2012-06-13,305.10,309.95,300.05,301.20,510700,301.20
2012-06-12,303.80,307.00,300.70,305.10,610700,305.10
2012-06-11,304.00,307.50,300.20,304.90,706400,304.90
2012-06-08,296.10,304.55,296.10,302.90,722500,302.90
2012-06-07,299.45,300.30,293.80,295.00,910700,295.00
2012-06-06,304.10,307.05,298.50,299.30,641100,299.30
2012-06-05,310.00,310.00,304.50,305.00,323400,305.00
2012-06-01,290.15,300.00,289.00,296.25,505000,296.25
2012-05-31,288.10,294.45,284.35,291.05,913300,291.05
2012-05-30,290.00,294.85,288.35,289.00,847500,289.00
2012-05-29,297.95,297.95,292.90,295.50,734000,295.50
2012-05-28,301.00,302.80,296.55,297.10,661800,297.10
2012-05-25,306.15,306.15,298.00,299.85,998900,299.85
2012-05-24,319.20,327.70,303.65,304.35,3180200,304.35
2012-05-23,310.05,314.50,305.40,309.55,643900,309.55
2012-05-22,307.50,311.95,304.10,309.90,1130900,309.90
2012-05-21,307.25,311.55,304.60,306.65,676400,306.65
2012-05-18,306.00,308.70,302.80,307.00,507800,307.00
2012-05-17,307.10,314.20,304.00,305.90,1190900,305.90
2012-05-16,303.65,315.70,301.50,306.60,1951900,306.60
2012-05-14,302.00,306.00,298.60,304.00,671100,304.00
2012-05-11,303.05,305.85,297.05,300.00,411400,300.00
2012-05-10,301.00,308.20,298.60,302.10,629200,302.10
2012-05-09,301.10,307.90,297.00,300.60,513800,300.60
2012-05-08,308.05,310.95,298.85,300.90,1116000,300.90
2012-05-07,300.00,312.00,300.00,306.15,1639100,306.15
2012-05-04,260.25,302.65,260.25,298.00,1095200,298.00
2012-05-03,306.00,306.00,294.60,296.80,806200,296.80
2012-05-02,302.35,304.00,296.90,299.50,338900,299.50
2012-04-30,295.00,302.40,294.85,302.00,253700,302.00
2012-04-27,295.00,299.95,292.60,296.35,343300,296.35
2012-04-26,307.10,307.10,291.20,299.00,1455100,299.00
2012-04-25,300.15,306.70,300.00,306.10,957400,306.10
2012-04-24,295.00,305.00,292.10,299.90,837800,299.90
2012-04-23,305.10,308.00,293.15,294.00,871500,294.00
2012-04-20,299.15,308.90,295.75,304.05,1318000,304.05
2012-04-19,293.10,300.90,292.10,300.10,598000,300.10
2012-04-18,292.10,296.90,290.50,293.35,788800,293.35
2012-04-17,284.20,290.90,282.30,290.75,942100,290.75
2012-04-16,280.15,285.90,278.60,285.00,377600,285.00
2012-04-13,282.10,285.75,278.30,281.00,534300,281.00
2012-04-12,284.00,285.85,281.80,283.20,343900,283.20
2012-04-11,280.35,287.10,278.00,282.45,470300,282.45
2012-04-10,286.05,286.40,279.40,280.00,340400,280.00
2012-04-09,294.90,294.90,285.00,285.40,353000,285.40
2012-04-04,300.10,300.90,296.20,297.90,290300,297.90
2012-04-03,298.05,302.00,294.50,300.55,559400,300.55
2012-04-02,299.10,303.40,293.65,298.50,832800,298.50
2012-03-30,285.55,305.00,285.55,304.00,1764200,304.00
2012-03-29,279.50,285.00,278.45,285.00,901100,285.00
2012-03-28,284.95,286.00,279.50,279.95,494800,279.95
2012-03-27,285.50,287.95,282.00,284.50,416800,284.50
2012-03-26,285.95,287.15,283.10,285.00,480800,285.00
2012-03-23,291.00,292.25,283.80,285.20,833800,285.20
2012-03-21,291.85,300.50,291.00,296.80,861200,296.80
2012-03-20,290.10,296.50,289.30,293.00,822000,293.00
2012-03-19,287.20,298.90,286.50,288.50,733400,288.50
2012-03-16,295.80,306.95,287.50,298.00,2120000,298.00
2012-03-15,299.10,303.60,292.50,294.00,555400,294.00
