/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,446.70,449.40,445.15,446.05,1922400,445.60
2012-07-20,446.70,449.40,445.15,445.60,1922400,445.60
2012-07-19,448.80,449.00,444.20,447.00,1153000,447.00
2012-07-18,445.85,447.40,443.05,446.85,1934200,446.85
2012-07-17,441.25,445.70,441.25,442.80,1194100,442.80
2012-07-16,442.00,445.60,439.35,439.75,1047200,439.75
2012-07-13,442.60,445.30,440.50,441.00,823600,441.00
2012-07-12,440.00,447.90,439.35,442.95,1698700,442.95
2012-07-11,446.00,446.55,438.35,441.35,2486800,441.35
2012-07-10,445.60,448.50,440.30,447.70,2182700,447.70
2012-07-09,446.40,446.95,443.10,443.55,1006000,443.55
2012-07-06,441.00,448.00,441.00,446.00,1942600,446.00
2012-07-05,438.00,445.00,438.00,440.60,1228700,440.60
2012-07-04,439.85,441.00,434.70,439.10,1243300,439.10
2012-07-03,446.50,451.00,438.60,442.20,2158800,442.20
2012-07-02,453.25,456.60,445.55,446.60,1476500,446.60
2012-06-29,458.70,463.30,453.35,454.05,4480300,454.05
2012-06-28,452.50,454.70,449.55,450.50,2047600,450.50
2012-06-27,451.80,454.90,449.05,452.00,1547700,452.00
2012-06-26,458.25,458.70,448.10,451.40,2391600,451.40
2012-06-25,460.00,463.80,459.20,460.00,1042400,460.00
2012-06-22,458.60,464.20,458.20,461.30,1112600,461.30
2012-06-21,453.05,464.70,452.75,464.65,1908300,464.65
2012-06-20,449.00,458.00,448.20,457.50,2265500,457.50
2012-06-19,445.00,452.95,445.00,448.85,1865900,448.85
2012-06-18,450.00,453.80,443.75,446.35,1868100,446.35
2012-06-15,443.00,451.95,441.55,448.00,2487600,448.00
2012-06-14,446.00,449.70,440.05,441.00,1950600,441.00
2012-06-13,432.25,448.50,432.20,447.10,3034400,447.10
2012-06-12,434.95,435.50,430.25,432.00,2128900,432.00
2012-06-11,430.25,437.65,429.30,435.30,1765800,435.30
2012-06-08,422.55,431.25,422.30,428.80,2762100,428.80
2012-06-07,423.50,425.00,421.65,424.00,2861600,424.00
2012-06-06,409.15,425.60,409.15,419.90,5031300,419.90
2012-06-05,414.50,415.95,406.10,407.50,1596500,407.50
2012-06-01,428.40,433.00,417.90,418.50,1198600,418.50
2012-05-31,418.75,430.80,417.65,424.20,3840900,424.20
2012-05-30,416.00,423.40,414.05,422.80,1459800,422.80
2012-05-29,418.00,419.55,414.00,416.20,1147200,416.20
2012-05-28,420.50,421.45,413.20,417.20,1259900,417.20
2012-05-25,423.00,425.90,419.00,420.15,1174900,420.15
2012-05-24,428.00,428.00,420.80,425.00,1065200,425.00
2012-05-23,422.90,429.00,419.20,426.95,1594500,426.95
2012-05-22,428.40,429.40,422.35,424.90,1318700,424.90
2012-05-21,431.20,433.95,425.00,425.55,914500,425.55
2012-05-18,426.15,437.00,426.15,432.00,2121700,432.00
2012-05-17,428.70,435.30,426.20,430.25,2518700,430.25
2012-05-16,430.00,433.00,426.75,427.40,2094100,427.40
2012-05-14,433.95,435.00,430.45,435.00,1208400,435.00
2012-05-11,435.00,435.00,431.40,433.50,1811500,433.50
2012-05-10,431.10,440.00,431.10,432.80,1652000,432.80
2012-05-09,430.50,435.70,426.60,430.95,1656000,430.95
2012-05-08,430.00,436.30,429.60,431.05,1505200,431.05
2012-05-07,429.55,434.00,425.00,430.65,1165400,430.65
2012-05-04,432.50,437.75,431.15,433.20,1828500,433.20
2012-05-03,422.50,435.50,422.50,435.00,6817200,435.00
2012-05-02,430.00,433.80,423.60,425.15,4465700,425.15
2012-04-30,417.65,421.40,414.35,414.90,2701900,414.90
2012-04-27,414.00,418.30,412.55,417.80,2408500,417.80
2012-04-26,418.10,419.85,412.25,414.55,2175600,414.55
2012-04-25,419.35,422.00,416.40,419.20,1021500,419.20
2012-04-24,417.90,423.35,416.35,420.60,1386000,420.60
2012-04-23,422.35,424.35,416.00,416.15,498100,416.15
2012-04-20,426.00,426.00,416.40,425.05,1990400,425.05
2012-04-19,423.50,430.50,420.60,424.40,2363000,424.40
2012-04-18,423.00,424.10,420.25,423.35,1749000,423.35
2012-04-17,421.00,425.45,419.35,421.90,1470300,421.90
2012-04-16,424.75,425.90,420.35,421.60,722600,421.60
2012-04-13,424.00,428.40,422.90,426.50,891100,426.50
2012-04-12,416.25,422.00,414.60,421.90,1678700,421.90
2012-04-11,413.25,420.85,410.10,416.25,1747300,416.25
2012-04-10,405.00,417.50,404.85,416.00,2726000,416.00
2012-04-09,401.30,406.20,400.00,405.50,1463700,405.50
2012-04-04,404.00,404.30,398.00,398.60,1285100,398.60
2012-04-03,407.80,409.65,402.75,404.50,1308800,404.50
2012-04-02,408.20,408.95,404.10,406.15,1539500,406.15
2012-03-30,409.20,414.45,406.30,407.00,1963700,407.00
2012-03-29,411.00,414.55,406.20,409.80,2403400,409.80
2012-03-28,415.55,418.55,411.00,412.85,1830500,412.85
2012-03-27,404.80,417.70,403.00,416.50,4279600,416.50
2012-03-26,403.00,405.45,396.55,402.05,1925700,402.05
2012-03-23,396.50,407.00,396.50,402.70,3300800,402.70
2012-03-21,395.20,404.50,395.10,403.60,3610300,403.60
2012-03-20,395.10,398.90,392.65,395.50,2100500,395.50
2012-03-19,391.00,399.70,387.75,394.40,2963400,394.40
2012-03-16,389.90,391.95,383.15,391.00,2672900,391.00
2012-03-15,383.70,390.00,382.10,389.15,2310900,389.15
2012-03-14,384.80,386.00,380.60,382.15,1316600,382.15
2012-03-13,381.00,385.80,380.60,381.90,890900,381.90
2012-03-12,383.50,385.00,380.00,380.70,766400,380.70
2012-03-09,387.85,388.10,381.00,382.90,1401000,382.90
2012-03-07,381.25,386.00,378.30,385.60,1118500,385.60
2012-03-06,380.10,386.40,378.10,380.30,1464000,380.30
2012-03-05,380.00,383.25,377.20,382.05,765900,382.05
2012-03-02,379.65,383.65,376.50,382.65,1316600,382.65
2012-03-01,379.50,382.90,377.30,379.30,1603500,379.30
2012-02-29,382.15,386.85,378.85,381.00,4159300,381.00
2012-02-28,380.65,384.00,380.05,381.00,2574000,381.00
2012-02-27,388.85,390.80,377.60,380.00,2232300,380.00
2012-02-24,389.75,390.40,383.55,386.50,1728400,386.50
2012-02-23,377.15,389.45,377.15,388.00,2728100,388.00
2012-02-22,381.00,383.50,376.10,378.40,2030500,378.40
2012-02-21,386.80,388.40,381.05,382.05,2314400,382.05
2012-02-17,385.55,388.00,381.20,386.60,3128000,386.60
2012-02-16,389.00,389.00,383.10,383.35,1472700,383.35
2012-02-15,393.75,393.75,385.00,388.10,2772600,388.10
2012-02-14,391.20,393.00,388.50,392.70,1096300,392.70
2012-02-13,388.40,393.70,387.10,391.20,1329600,391.20
