/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,61.90,61.95,60.50,60.80,1816300,60.60
2012-07-20,61.90,61.95,60.45,60.60,1816300,60.60
2012-07-19,62.00,63.15,61.40,62.40,2662500,62.40
2012-07-18,58.80,61.70,57.55,61.50,3979700,61.50
2012-07-17,61.50,62.70,58.80,59.00,3134300,59.00
2012-07-16,64.30,64.30,60.90,61.00,3323100,61.00
2012-07-13,65.15,65.65,63.00,63.50,4862100,63.50
2012-07-12,61.45,64.90,60.00,64.45,4884600,64.45
2012-07-11,63.00,63.00,61.30,61.40,2818600,61.40
2012-07-10,60.65,63.45,59.90,63.25,3062200,63.25
2012-07-09,62.50,62.60,59.35,60.00,3337300,60.00
2012-07-06,64.25,64.65,62.15,62.80,3066700,62.80
2012-07-05,64.80,65.40,64.00,64.35,4004500,64.35
2012-07-04,63.45,64.65,62.20,64.40,5266600,64.40
2012-07-03,63.30,64.05,62.10,62.75,4312200,62.75
2012-07-02,61.65,63.60,61.10,63.00,4879800,63.00
2012-06-29,58.30,61.35,58.20,61.25,4448200,61.25
2012-06-28,58.10,58.35,57.00,57.55,1822400,57.55
2012-06-27,58.25,59.20,57.30,57.75,2458200,57.75
2012-06-26,58.10,59.50,57.05,57.75,3466700,57.75
2012-06-25,58.65,60.50,57.50,57.55,5899700,57.55
2012-06-22,56.80,58.75,56.30,58.25,4332500,58.25
2012-06-21,54.60,58.35,54.15,57.80,3316000,57.80
2012-06-20,55.50,55.60,54.25,55.00,1608200,55.00
2012-06-19,54.00,55.25,53.00,54.95,2046100,54.95
2012-06-18,56.55,57.75,53.60,54.35,2540200,54.35
2012-06-15,55.00,56.60,54.15,56.40,2852600,56.40
2012-06-14,57.70,58.15,53.55,53.75,2530900,53.75
2012-06-13,58.90,59.45,57.30,57.75,2394900,57.75
2012-06-12,56.45,58.90,55.35,58.60,3092300,58.60
2012-06-11,58.70,60.00,56.15,56.45,3294200,56.45
2012-06-08,57.80,59.45,56.00,58.45,4018100,58.45
2012-06-07,56.45,58.40,56.45,57.80,2682900,57.80
2012-06-06,54.50,56.65,54.50,56.35,2178400,56.35
2012-06-05,54.00,55.40,53.60,54.25,2590100,54.25
2012-06-01,53.15,53.80,50.15,51.40,1778400,51.40
2012-05-31,50.75,53.90,50.75,53.20,2275400,53.20
2012-05-30,54.40,54.65,51.40,52.00,2281200,52.00
2012-05-29,54.70,55.85,54.30,54.50,2044400,54.50
2012-05-28,53.60,54.80,53.35,54.60,2096000,54.60
2012-05-25,51.00,53.80,50.60,53.40,3020400,53.40
2012-05-24,51.25,51.70,49.50,51.25,2333200,51.25
2012-05-23,51.40,52.00,50.15,50.50,1677100,50.50
2012-05-22,53.30,54.40,51.60,52.00,2192400,52.00
2012-05-21,50.90,53.60,50.80,53.15,3593700,53.15
2012-05-18,50.80,51.55,48.30,51.15,4624100,51.15
2012-05-17,51.50,52.45,51.15,51.65,2449200,51.65
2012-05-16,51.10,52.50,50.50,50.90,2444400,50.90
2012-05-14,56.70,56.75,52.15,52.50,2352800,52.50
2012-05-11,57.65,57.65,54.65,56.15,2287900,56.15
2012-05-10,57.05,58.70,55.70,56.15,2309500,56.15
2012-05-09,58.50,58.75,55.70,56.45,5057900,56.45
2012-05-08,60.20,61.00,57.25,58.40,2717000,58.40
2012-05-07,57.45,60.55,55.60,60.35,7234100,60.35
2012-05-04,59.90,61.00,57.70,58.55,4723600,58.55
2012-05-03,62.45,62.45,60.55,61.20,4132400,61.20
2012-05-02,63.45,63.75,62.10,62.35,5134700,62.35
2012-04-30,62.90,64.25,62.05,63.25,2805900,63.25
2012-04-27,62.50,62.90,60.00,60.90,2693500,60.90
2012-04-26,63.00,65.30,61.80,62.30,4407700,62.30
2012-04-25,61.70,62.50,59.15,62.45,3216800,62.45
2012-04-24,61.00,62.00,59.75,60.90,2685000,60.90
2012-04-23,64.70,65.40,60.05,60.30,3837000,60.30
2012-04-20,66.35,67.50,63.80,64.65,3425100,64.65
2012-04-19,66.00,67.40,65.70,66.80,3066800,66.80
2012-04-18,66.50,67.85,65.60,65.90,3587900,65.90
