Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,1031.80,1038.30,995.60,1001.40,4822300,1001.40
2014-01-28,1010.70,1028.90,978.75,1018.65,4838600,1018.65
2014-01-27,1038.80,1039.25,1007.25,1009.80,5073500,1009.80
2014-01-24,1064.10,1074.00,1052.60,1058.20,1869700,1058.20
2014-01-23,1091.00,1091.00,1072.10,1079.45,1868000,1079.45
2014-01-22,1080.20,1091.00,1069.20,1087.95,2325100,1087.95
2014-01-21,1053.00,1080.00,1048.80,1078.05,2708600,1078.05
2014-01-20,1034.50,1048.00,1028.00,1044.00,1930300,1044.00
2014-01-17,1053.40,1061.90,1031.05,1034.55,1758500,1034.55
2014-01-16,1066.50,1066.50,1049.05,1058.90,1633900,1058.90
2014-01-15,1045.00,1068.80,1042.90,1058.35,3436100,1058.35
2014-01-14,1052.00,1061.00,1033.00,1036.45,3078900,1036.45
2014-01-13,1030.10,1061.10,1030.10,1054.90,3269400,1054.90
2014-01-10,1047.35,1054.60,1018.65,1024.50,3970000,1024.50
2014-01-09,1064.80,1065.60,1042.25,1050.85,3497900,1050.85
2014-01-08,1054.00,1063.85,1043.30,1054.30,3446400,1054.30
2014-01-07,1045.05,1059.20,1023.85,1050.00,3375700,1050.00
2014-01-06,1066.00,1069.00,1035.05,1040.80,2691300,1040.80
2014-01-03,1068.00,1075.00,1045.00,1066.80,2830400,1066.80
2014-01-02,1096.15,1118.00,1070.10,1075.60,2058400,1075.60
2014-01-01,1100.90,1106.05,1092.00,1097.70,564100,1097.70
2013-12-31,1101.10,1108.80,1094.05,1098.75,792100,1098.75
2013-12-30,1115.00,1124.90,1093.20,1096.70,1349000,1096.70
2013-12-27,1108.00,1113.80,1102.40,1110.25,1417500,1110.25
2013-12-26,1095.00,1105.75,1092.35,1099.65,2613400,1099.65
2013-12-25,1098.85,1098.85,1098.85,1098.85,000,1098.85
2013-12-24,1100.00,1109.90,1088.30,1098.85,1745000,1098.85
2013-12-23,1087.00,1106.90,1087.00,1098.05,2037500,1098.05
2013-12-20,1070.00,1090.60,1065.90,1087.70,2823200,1087.70
2013-12-19,1110.00,1111.90,1058.35,1063.50,3837400,1063.50
2013-12-18,1088.40,1132.70,1081.55,1095.80,7305400,1095.80
2013-12-17,1110.00,1121.50,1090.15,1098.30,2409000,1098.30
2013-12-16,1089.00,1103.95,1085.00,1097.55,2075900,1097.55
2013-12-13,1115.00,1115.00,1080.00,1085.00,4610200,1085.00
2013-12-12,1155.05,1156.00,1128.30,1132.60,2646300,1132.60
2013-12-11,1148.00,1172.80,1141.05,1158.35,2950500,1158.35
2013-12-10,1200.00,1203.10,1153.80,1158.35,4975500,1158.35
2013-12-09,1200.00,1206.60,1191.10,1201.70,6164100,1201.70
2013-12-06,1135.40,1147.60,1122.90,1143.90,3338400,1143.90
