/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,95.50,95.50,92.45,92.65,1145800,92.60
2012-07-20,94.00,95.50,92.40,92.60,1145800,92.60
2012-07-19,93.55,94.55,93.15,94.00,997000,94.00
2012-07-18,92.50,93.50,91.25,93.05,1485000,93.05
2012-07-17,95.00,96.00,92.10,92.55,1719500,92.55
2012-07-16,95.10,96.05,93.90,94.90,1134600,94.90
2012-07-13,95.65,96.75,94.75,94.75,964500,94.75
2012-07-12,96.50,96.50,94.25,95.15,1442800,95.15
2012-07-11,97.80,98.50,96.65,96.95,1256700,96.95
2012-07-10,95.35,98.30,95.30,97.85,1983200,97.85
2012-07-09,97.45,97.45,94.50,95.10,1437100,95.10
2012-07-06,98.90,98.90,96.65,97.65,1632000,97.65
2012-07-05,95.70,99.50,95.70,98.35,2281600,98.35
2012-07-04,96.45,97.00,95.60,96.50,1680900,96.50
2012-07-03,95.85,97.10,95.40,96.10,1816400,96.10
2012-07-02,94.80,95.90,93.30,95.35,2001200,95.35
2012-06-29,91.30,94.20,91.30,93.60,1909400,93.60
2012-06-28,91.75,92.85,90.40,90.65,1634000,90.65
2012-06-27,94.50,94.50,91.05,92.40,1250100,92.40
2012-06-26,90.70,91.90,90.20,90.85,956500,90.85
2012-06-25,87.00,94.10,87.00,90.60,2081200,90.60
2012-06-22,91.35,92.00,89.60,91.70,1550900,91.70
2012-06-21,89.60,92.40,88.60,92.00,2357300,92.00
2012-06-20,89.00,89.95,88.10,89.70,1208800,89.70
2012-06-19,87.05,89.35,86.65,88.80,1940200,88.80
2012-06-18,93.00,95.95,86.50,87.85,3014200,87.85
2012-06-15,91.50,92.45,90.60,91.85,1321400,91.85
2012-06-14,93.25,93.70,90.10,90.30,1722400,90.30
2012-06-13,93.00,94.60,92.55,93.20,1864100,93.20
2012-06-12,89.05,93.50,89.05,93.30,2439800,93.30
2012-06-11,92.05,94.20,89.80,90.40,2836400,90.40
2012-06-08,88.90,91.50,88.05,91.30,1722300,91.30
2012-06-07,90.70,90.70,88.20,89.30,2013700,89.30
2012-06-06,86.00,89.40,86.00,88.80,2401300,88.80
2012-06-05,86.05,87.00,84.40,85.70,1473200,85.70
2012-06-01,85.60,86.35,83.45,83.50,1806500,83.50
2012-05-31,86.00,86.00,84.40,85.65,4356200,85.65
