/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,139.00,140.25,136.80,137.20,2994600,137.30
2012-07-20,139.00,140.25,136.80,137.30,2994600,137.30
2012-07-19,137.50,140.60,137.50,140.00,4719500,140.00
2012-07-18,136.90,137.60,133.75,136.20,3753000,136.20
2012-07-17,139.00,139.10,134.80,135.80,3898900,135.80
2012-07-16,137.00,139.50,135.80,137.70,3187300,137.70
2012-07-13,137.10,139.45,136.90,137.20,3774900,137.20
2012-07-12,139.00,139.70,135.50,136.20,3494700,136.20
2012-07-11,140.00,141.40,138.80,140.05,3280500,140.05
2012-07-10,140.00,142.90,138.35,141.50,4617300,141.50
2012-07-09,140.00,142.10,138.85,139.80,3300800,139.80
2012-07-06,141.50,142.65,139.30,142.10,5844300,142.10
2012-07-05,138.00,143.50,137.55,142.40,8456600,142.40
2012-07-04,138.40,138.75,136.55,138.20,6059400,138.20
2012-07-03,138.10,138.90,136.30,137.20,3683100,137.20
2012-07-02,136.25,138.50,134.45,137.60,4627300,137.60
2012-06-29,134.60,136.90,134.15,135.85,5936500,135.85
2012-06-28,134.30,134.30,131.20,131.90,3910500,131.90
2012-06-27,131.30,135.90,131.30,134.90,6500400,134.90
2012-06-26,131.00,132.55,129.70,130.40,2646300,130.40
2012-06-25,132.00,134.10,130.00,130.50,4856600,130.50
2012-06-22,130.55,132.45,128.75,131.20,10778300,131.20
2012-06-21,127.50,133.00,127.10,132.20,6942500,132.20
2012-06-20,130.50,130.95,127.00,128.50,5911500,128.50
2012-06-19,127.00,130.50,125.10,130.45,5253500,130.45
2012-06-18,133.45,134.20,126.20,128.30,4717000,128.30
2012-06-15,129.30,132.30,129.15,130.80,5958200,130.80
2012-06-14,134.40,134.95,128.30,128.40,5088600,128.40
2012-06-13,134.00,136.55,133.50,134.20,6624000,134.20
2012-06-12,130.00,135.50,129.50,133.35,7358800,133.35
2012-06-11,133.50,134.85,130.00,130.15,4916400,130.15
2012-06-08,128.10,133.40,127.40,133.30,6066000,133.30
2012-06-07,130.70,130.75,127.45,129.00,6968500,129.00
2012-06-06,124.50,129.50,124.15,128.15,10570200,128.15
2012-06-05,122.00,123.80,120.65,123.75,4790600,123.75
2012-06-01,124.70,124.85,119.75,120.00,4441300,120.00
2012-05-31,119.00,125.90,118.35,124.30,13172200,124.30
2012-05-30,123.30,123.45,119.70,120.00,4846000,120.00
2012-05-29,127.25,127.40,123.65,124.30,5340100,124.30
2012-05-28,124.25,127.30,124.25,126.95,4386000,126.95
2012-05-25,124.40,126.00,123.40,125.10,4778000,125.10
2012-05-24,121.25,125.40,119.55,125.30,7375000,125.30
2012-05-23,117.05,121.40,117.05,120.00,7160400,120.00
2012-05-22,121.90,122.50,117.55,118.40,5636100,118.40
2012-05-21,117.00,121.10,115.70,120.40,6589000,120.40
2012-05-18,113.00,119.10,111.50,118.65,6691300,118.65
2012-05-17,115.10,118.25,112.80,114.60,7372500,114.60
2012-05-16,114.00,115.35,111.50,114.50,7374900,114.50
2012-05-14,120.10,123.35,117.60,118.25,9983900,118.25
2012-05-11,117.70,122.70,116.50,120.85,7971000,120.85
2012-05-10,116.00,121.70,116.00,118.45,14859600,118.45
2012-05-09,111.85,115.90,110.55,115.70,12942400,115.70
2012-05-08,118.90,120.95,112.40,112.40,8767600,112.40
2012-05-07,112.00,118.80,110.35,117.50,7592000,117.50
2012-05-04,116.15,116.80,112.05,114.65,7971400,114.65
2012-05-03,120.10,121.00,115.60,117.50,4785100,117.50
2012-05-02,121.50,122.95,120.00,120.85,5797600,120.85
2012-04-30,117.45,121.90,117.45,120.80,7665700,120.80
2012-04-27,120.05,121.50,114.60,116.85,10695600,116.85
2012-04-26,123.45,123.45,119.20,119.70,11630800,119.70
2012-04-25,125.00,126.70,122.60,122.70,5354000,122.70
2012-04-24,125.10,129.20,124.10,125.30,6133600,125.30
2012-04-23,129.80,130.40,122.85,125.95,7338600,125.95
2012-04-20,132.00,133.15,127.50,128.95,6535400,128.95
2012-04-19,132.40,134.20,131.10,133.50,4414000,133.50
2012-04-18,135.55,137.00,131.05,131.35,7563100,131.35
2012-04-17,133.00,135.30,129.80,133.70,11529900,133.70
2012-04-16,132.20,133.85,130.20,133.45,6142400,133.45
2012-04-13,137.30,138.90,131.25,132.65,5607200,132.65
2012-04-12,133.00,136.35,133.00,135.40,9410400,135.40
2012-04-11,132.00,133.50,131.35,132.60,9685800,132.60
2012-04-10,132.50,134.70,130.80,133.30,9503300,133.30
2012-04-09,136.60,137.45,131.55,131.80,3786100,131.80
2012-04-04,137.05,139.40,136.05,139.15,4077000,139.15
2012-04-03,135.50,138.70,135.50,137.75,5193300,137.75
2012-04-02,135.40,136.70,134.10,134.85,3988500,134.85
2012-03-30,129.00,135.90,128.90,134.90,9707300,134.90
2012-03-29,126.55,129.50,125.90,128.40,12544100,128.40
2012-03-28,129.00,129.75,127.50,128.40,6226000,128.40
2012-03-27,131.90,132.00,127.50,130.20,9872400,130.20
2012-03-26,134.80,134.80,127.10,128.40,9933600,128.40
2012-03-23,137.00,138.40,134.15,135.00,8723700,135.00
2012-03-21,137.15,145.00,136.40,144.35,9796000,144.35
2012-03-20,138.00,140.35,133.10,139.20,10728500,139.20
2012-03-19,143.00,143.05,136.40,137.60,7238300,137.60
2012-03-16,145.55,152.15,143.65,144.90,10471500,144.90
2012-03-15,150.35,150.90,144.35,144.55,5733300,144.55
2012-03-14,151.95,154.40,149.75,151.95,8612900,151.95
2012-03-13,148.20,152.20,148.10,149.80,7314600,149.80
2012-03-12,151.00,151.05,145.50,147.20,7191000,147.20
2012-03-09,141.70,147.10,141.00,146.60,6619100,146.60
2012-03-07,139.05,141.70,135.10,138.50,10922300,138.50
2012-03-06,138.15,146.95,137.30,139.00,12631100,139.00
2012-03-05,138.50,143.50,137.60,140.00,9088300,140.00
2012-03-02,138.80,141.70,136.10,140.70,5338900,140.70
2012-03-01,140.25,142.45,135.00,136.10,6466000,136.10
2012-02-29,142.00,145.00,138.50,141.85,7681200,141.85
2012-02-28,132.00,141.00,131.80,140.85,6509000,140.85
2012-02-27,139.10,139.60,129.50,130.25,8338200,130.25
2012-02-24,146.90,146.90,137.30,139.75,12310900,139.75
2012-02-23,143.25,148.35,140.10,145.70,13703600,145.70
2012-02-22,150.75,153.50,143.00,143.65,16878000,143.65
2012-02-21,148.50,152.50,145.00,150.50,12235800,150.50
2012-02-17,148.00,161.00,146.20,148.15,25675100,148.15
2012-02-16,141.30,147.00,141.25,146.30,8945600,146.30
2012-02-15,139.50,143.95,139.40,142.70,9082300,142.70
2012-02-14,133.00,139.70,132.25,138.15,5722700,138.15
2012-02-13,134.70,135.50,132.05,133.20,7130200,133.20
2012-02-10,138.05,140.90,130.75,133.40,13486800,133.40
2012-02-09,137.00,138.60,134.30,138.30,6465800,138.30
2012-02-08,137.85,140.25,136.70,138.80,4961200,138.80
2012-02-07,142.40,142.40,134.60,136.15,6362600,136.15
2012-02-06,140.90,141.50,136.80,139.70,9184700,139.70
2012-02-03,131.00,138.70,128.30,138.60,11525100,138.60
2012-02-02,139.50,139.85,129.70,131.00,17367300,131.00
2012-02-01,132.50,138.90,131.35,138.20,13812600,138.20
2012-01-31,126.25,134.50,126.25,133.95,7409700,133.95
2012-01-30,128.50,130.00,124.70,125.00,5533300,125.00
2012-01-27,130.50,132.20,126.40,131.80,8870300,131.80
2012-01-25,126.10,130.00,126.10,128.70,10437000,128.70
2012-01-24,119.85,126.70,119.00,125.90,13308400,125.90
2012-01-23,121.00,123.25,118.30,119.35,6059400,119.35
2012-01-20,122.25,129.50,117.40,120.40,21643200,120.40
2012-01-19,118.65,121.90,118.30,121.70,6519700,121.70
2012-01-18,116.35,119.30,115.80,117.50,13869600,117.50
2012-01-17,112.00,117.80,112.00,115.65,11110100,115.65
2012-01-16,107.50,111.85,106.65,111.60,9882800,111.60
2012-01-13,109.80,111.85,107.15,108.60,10551500,108.60
2012-01-12,105.95,110.25,104.90,109.00,15660500,109.00
2012-01-11,102.05,106.25,102.00,105.10,11240300,105.10
2012-01-10,101.50,103.10,100.50,101.85,11444900,101.85
2012-01-06,99.50,100.20,96.40,97.55,6021700,97.55
2012-01-05,97.80,102.00,97.15,100.55,8426700,100.55
2012-01-04,97.35,99.00,95.45,97.45,7922400,97.45
2012-01-03,93.10,96.90,93.00,96.40,6417300,96.40
2012-01-02,92.00,92.95,90.40,91.75,6004500,91.75
2011-12-30,95.50,95.75,90.90,91.10,6397100,91.10
2011-12-29,94.10,96.40,93.85,94.30,6380400,94.30
2011-12-28,96.50,96.90,93.65,95.00,4414900,95.00
2011-12-27,100.90,100.90,96.15,97.00,4368400,97.00
2011-12-26,99.50,100.70,98.55,100.70,3744100,100.70
2011-12-23,102.95,102.95,97.75,98.65,8607300,98.65
2011-12-22,96.60,102.30,95.20,102.25,10809400,102.25
2011-12-21,104.00,104.10,96.05,99.00,16865000,99.00
2011-12-20,103.10,104.30,100.00,100.80,8812200,100.80
2011-12-19,104.00,104.00,100.10,102.30,7681100,102.30
2011-12-16,108.50,110.60,103.00,103.75,8606900,103.75
2011-12-15,102.70,108.40,102.10,108.00,6032400,108.00
2011-12-14,106.50,108.50,103.50,103.60,5884200,103.60
2011-12-13,102.80,106.85,102.25,106.65,8886000,106.65
2011-12-12,110.20,111.30,103.80,104.40,7040300,104.40
2011-12-09,111.10,113.25,109.20,109.35,7083400,109.35
2011-12-08,116.10,118.05,111.75,112.90,7914900,112.90
2011-12-07,116.95,119.35,115.95,117.00,6671800,117.00
2011-12-05,115.00,116.80,113.00,116.20,5355900,116.20
2011-12-02,110.30,117.25,109.50,115.90,9520300,115.90
2011-12-01,113.00,114.90,109.15,110.50,6273600,110.50
2011-11-30,109.10,110.40,107.50,109.20,7286500,109.20
2011-11-29,114.00,115.50,109.55,109.70,6450500,109.70
2011-11-28,108.50,114.15,107.65,113.70,6766600,113.70
2011-11-25,106.00,109.45,104.20,106.60,6337000,106.60
2011-11-24,104.00,107.80,102.00,106.80,6223900,106.80
2011-11-23,107.60,107.60,101.25,103.00,10230300,103.00
2011-11-22,107.75,109.90,107.00,107.90,5681400,107.90
2011-11-21,111.00,111.00,106.20,106.60,6036400,106.60
2011-11-18,108.10,111.80,106.75,111.55,6713700,111.55
2011-11-17,111.95,113.40,108.05,108.70,9969900,108.70
2011-11-16,114.60,116.00,111.30,112.95,5489900,112.95
2011-11-15,114.90,118.65,113.80,114.45,6042100,114.45
2011-11-14,121.50,121.50,115.50,115.75,5355000,115.75
2011-11-11,122.10,122.40,117.55,119.40,7036500,119.40
2011-11-09,129.70,130.35,122.00,122.35,9184100,122.35
2011-11-08,128.50,129.85,125.25,125.40,5594400,125.40
2011-11-04,131.40,131.80,128.10,129.15,5203500,129.15
2011-11-03,131.90,132.15,127.30,129.30,5345500,129.30
2011-11-02,130.25,135.95,129.25,131.90,5477000,131.90
2011-11-01,131.20,133.20,130.15,131.75,3636100,131.75
2011-10-31,132.00,135.00,130.20,131.30,5716500,131.30
2011-10-28,131.85,134.50,130.90,131.95,8322600,131.95
2011-10-26,129.00,129.80,127.05,128.10,940500,128.10
2011-10-25,124.65,129.85,122.10,128.30,8203400,128.30
2011-10-24,123.00,124.90,121.80,123.20,2875900,123.20
2011-10-21,122.50,123.25,120.20,121.85,2472500,121.85
2011-10-20,125.95,125.95,121.00,121.70,5729200,121.70
2011-10-19,123.90,127.75,123.25,126.60,5332100,126.60
2011-10-18,121.80,123.45,120.25,123.35,2174100,123.35
2011-10-17,125.80,125.95,121.20,123.95,3112800,123.95
2011-10-14,120.30,125.90,118.80,124.90,5125000,124.90
2011-10-13,124.50,124.50,119.50,119.55,4524100,119.55
2011-10-12,121.00,124.25,121.00,123.35,5737200,123.35
2011-10-11,123.60,125.00,119.60,121.00,9514200,121.00
2011-10-10,116.10,122.70,116.10,122.00,10764900,122.00
2011-10-07,114.00,117.75,112.60,116.10,6097400,116.10
2011-10-05,109.30,111.10,108.25,110.10,3120800,110.10
2011-10-04,109.00,112.90,107.00,108.80,4630500,108.80
2011-10-03,110.00,110.00,108.05,109.35,3092600,109.35
2011-09-30,112.50,114.25,110.00,110.10,3319500,110.10
2011-09-29,111.00,113.95,110.10,113.75,3422200,113.75
2011-09-28,113.45,113.45,109.90,111.30,3376000,111.30
2011-09-27,111.00,113.00,111.00,112.30,2423500,112.30
2011-09-26,110.00,110.60,107.70,109.40,3495500,109.40
2011-09-23,107.65,111.15,106.55,109.50,5969000,109.50
2011-09-22,113.35,113.35,108.50,108.85,6688400,108.85
2011-09-21,115.00,116.15,114.00,115.05,5273600,115.05
2011-09-20,114.00,115.55,112.85,115.40,7305800,115.40
2011-09-19,111.25,114.50,110.65,113.35,5771100,113.35
2011-09-16,113.40,113.85,110.25,112.40,9338700,112.40
2011-09-15,111.40,112.80,109.25,112.40,5899300,112.40
2011-09-14,110.05,110.90,107.80,110.00,5747000,110.00
2011-09-13,109.95,111.35,107.10,109.15,5210300,109.15
2011-09-12,111.15,112.10,107.65,108.00,5292800,108.00
2011-09-09,115.55,118.45,113.35,113.60,9260400,113.60
2011-09-08,116.30,117.95,114.30,115.40,6449400,115.40
2011-09-07,113.20,117.20,112.20,115.35,10518500,115.35
2011-09-06,110.00,113.10,107.70,113.00,6285200,113.00
2011-09-05,109.60,112.40,107.70,110.25,8354600,110.25
2011-09-02,117.35,118.30,109.05,110.25,10826800,110.25
2011-08-30,112.15,115.90,111.55,113.80,9609200,113.80
2011-08-29,107.00,111.35,106.65,111.20,5163500,111.20
2011-08-26,106.65,108.70,103.25,105.10,9330700,105.10
2011-08-25,110.10,110.90,106.25,107.10,10924100,107.10
2011-08-24,112.25,115.50,107.60,108.85,8548500,108.85
2011-08-23,114.85,114.90,109.65,113.10,8370900,113.10
2011-08-22,108.15,114.00,106.00,114.00,6582600,114.00
2011-08-19,105.50,110.50,104.55,106.95,12863100,106.95
2011-08-18,112.90,113.50,106.00,106.15,11015100,106.15
2011-08-17,115.20,116.55,111.10,111.90,10129800,111.90
2011-08-16,122.50,122.50,114.10,114.60,7244000,114.60
2011-08-12,124.40,124.95,118.50,120.05,5290300,120.05
2011-08-11,124.55,126.30,122.60,123.45,6689800,123.45
2011-08-10,124.60,126.15,123.55,125.45,6082000,125.45
2011-08-09,119.00,124.65,119.00,122.65,10409600,122.65
2011-08-08,119.00,124.35,118.00,122.10,8623600,122.10
2011-08-05,118.00,122.95,115.80,122.25,13826000,122.25
2011-08-04,125.40,126.50,120.80,120.85,8001500,120.85
2011-08-03,123.00,125.20,122.00,124.60,6882500,124.60
2011-08-02,128.00,128.10,124.25,125.30,5546100,125.30
2011-08-01,128.50,130.30,125.55,128.70,8461000,128.70
2011-07-29,128.45,128.95,122.40,126.20,16441900,126.20
2011-07-28,132.05,133.45,128.00,129.50,13727900,129.50
2011-07-27,135.00,137.70,131.10,134.00,12083300,134.00
2011-07-26,143.15,144.45,133.60,134.90,11404800,134.90
2011-07-25,141.00,145.00,140.15,143.90,3415800,143.90
