/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,40.05,40.05,39.55,39.75,000,39.65
2012-07-20,40.05,40.10,39.55,39.65,3527200,39.65
2012-07-19,40.00,40.55,39.80,39.95,7257100,39.95
2012-07-18,39.15,40.35,38.30,40.15,7439600,40.15
2012-07-17,40.50,40.70,38.75,38.80,8157900,38.80
2012-07-16,41.00,41.25,40.05,40.20,6945700,40.20
2012-07-13,41.20,41.75,40.60,40.85,6353500,40.85
2012-07-12,41.55,41.75,40.65,41.10,8818100,41.10
2012-07-11,42.50,42.80,41.95,42.00,13941500,42.00
2012-07-10,41.30,42.45,41.00,42.30,11514300,42.30
2012-07-09,41.35,41.75,40.25,41.00,13380900,41.00
2012-07-06,40.25,41.65,39.80,41.10,16700300,41.10
2012-07-05,40.00,40.75,39.75,40.05,10473400,40.05
2012-07-04,40.70,41.25,40.50,40.80,6926100,40.80
2012-07-03,41.00,41.55,40.50,40.85,8517300,40.85
2012-07-02,40.10,41.45,39.80,40.60,9952100,40.60
2012-06-29,38.95,40.50,38.45,40.00,10955700,40.00
2012-06-28,37.80,38.35,37.15,38.00,7725400,38.00
2012-06-27,37.95,38.20,37.25,37.45,5264700,37.45
2012-06-26,37.50,38.20,37.25,37.70,5233900,37.70
2012-06-25,37.75,38.80,37.35,37.55,8367100,37.55
2012-06-22,36.30,38.10,36.30,37.70,9786000,37.70
2012-06-21,35.60,37.60,35.60,37.60,7892100,37.60
2012-06-20,36.20,36.70,35.75,36.45,5604900,36.45
2012-06-19,35.25,36.30,34.75,36.05,9088500,36.05
2012-06-18,37.90,38.10,35.40,35.80,9314000,35.80
2012-06-15,31.05,42.40,31.05,37.20,9464400,37.20
2012-06-14,31.20,38.25,31.20,36.55,9479100,36.55
2012-06-13,37.95,38.65,37.40,37.70,10860800,37.70
2012-06-12,36.00,38.20,35.95,37.75,11581500,37.75
2012-06-11,36.50,38.45,36.05,36.20,13088000,36.20
2012-06-08,36.00,36.80,35.15,36.70,9852800,36.70
2012-06-07,35.50,36.55,35.00,36.15,10335300,36.15
2012-06-06,34.00,35.70,33.80,35.25,7809400,35.25
2012-06-05,33.95,34.25,33.35,33.60,4971600,33.60
2012-06-01,34.55,35.30,33.50,33.70,7088400,33.70
2012-05-31,34.00,34.90,33.80,34.80,13112700,34.80
2012-05-30,32.25,35.00,32.25,34.30,4204600,34.30
2012-05-29,35.65,35.65,34.90,35.05,4586300,35.05
2012-05-28,34.90,35.70,34.70,35.55,5661500,35.55
2012-05-25,34.80,35.45,34.20,35.20,9720300,35.20
2012-05-24,34.00,35.00,33.05,34.85,9220900,34.85
2012-05-23,33.75,33.75,32.90,33.50,7467400,33.50
2012-05-22,35.00,35.50,33.60,33.70,10519700,33.70
2012-05-21,35.00,35.55,34.40,34.70,7376900,34.70
2012-05-18,33.25,34.80,33.05,34.65,9192600,34.65
2012-05-17,34.60,35.40,33.40,33.85,8699900,33.85
2012-05-16,35.00,35.00,33.50,34.25,10999200,34.25
2012-05-14,35.55,35.85,33.60,33.90,8920900,33.90
2012-05-11,35.75,36.20,34.70,35.40,9521100,35.40
2012-05-10,36.90,37.80,35.65,36.10,8775000,36.10
2012-05-09,37.40,38.15,36.45,36.70,8949500,36.70
2012-05-08,40.05,40.10,37.20,37.65,11076900,37.65
2012-05-07,38.05,40.10,36.90,39.95,12039100,39.95
2012-05-04,40.10,40.50,38.00,38.60,10804800,38.60
2012-05-03,42.00,42.00,40.20,40.50,6126800,40.50
2012-05-02,41.00,41.85,40.65,40.80,4675000,40.80
2012-04-30,41.30,41.95,40.55,41.40,6965300,41.40
2012-04-27,41.00,42.10,40.00,40.85,11620000,40.85
2012-04-26,41.00,41.30,40.35,41.00,13055500,41.00
2012-04-25,41.75,41.85,40.10,40.65,12971500,40.65
2012-04-24,41.40,41.65,40.30,41.65,8708000,41.65
2012-04-23,42.80,43.50,40.75,40.80,11599400,40.80
2012-04-20,42.50,43.90,42.15,43.10,19571100,43.10
2012-04-19,42.00,43.05,41.65,42.65,13468100,42.65
2012-04-18,42.45,43.05,41.50,41.80,12890100,41.80
