/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,60.85,61.15,60.10,60.35,81200,60.55
2012-07-20,60.80,61.10,60.10,60.55,214100,60.55
2012-07-19,61.00,61.65,60.65,60.75,228000,60.75
2012-07-18,61.60,61.70,60.05,60.85,365600,60.85
2012-07-17,63.50,63.50,61.80,61.80,323500,61.80
2012-07-16,63.75,64.00,62.80,63.20,427800,63.20
2012-07-13,63.75,64.20,63.50,63.50,276900,63.50
2012-07-12,64.20,64.55,62.80,63.70,277100,63.70
2012-07-11,64.45,65.40,63.70,64.00,835500,64.00
2012-07-10,63.90,64.10,62.05,63.70,481200,63.70
2012-07-09,63.70,63.85,62.25,62.95,472700,62.95
2012-07-06,62.60,64.70,62.60,63.90,887600,63.90
2012-07-05,62.25,63.85,61.90,63.75,688300,63.75
2012-07-04,61.60,62.80,61.40,62.50,522200,62.50
2012-07-03,62.05,62.55,61.40,61.60,501300,61.60
2012-07-02,62.70,62.70,61.20,61.65,643400,61.65
2012-06-29,60.25,62.00,60.25,61.80,898700,61.80
2012-06-28,60.00,61.50,59.50,60.80,3897600,60.80
2012-06-27,60.00,60.00,58.60,59.00,489600,59.00
2012-06-26,59.00,59.95,58.20,59.70,640600,59.70
2012-06-25,61.70,62.50,58.25,58.65,1583500,58.65
2012-06-22,56.00,61.00,55.20,60.00,2020100,60.00
2012-06-21,55.50,57.00,54.50,56.80,613500,56.80
2012-06-20,55.10,55.15,54.50,54.90,328300,54.90
2012-06-19,55.00,55.30,54.30,54.70,1404900,54.70
2012-06-18,55.30,55.85,54.75,55.15,311500,55.15
2012-06-15,55.00,55.15,53.60,55.00,234700,55.00
2012-06-14,55.00,55.50,54.45,54.55,173900,54.55
2012-06-13,55.45,55.80,54.90,55.35,458000,55.35
2012-06-12,55.50,55.50,54.25,55.40,201800,55.40
2012-06-11,55.95,55.95,54.90,55.00,927000,55.00
2012-06-08,55.50,55.65,54.55,55.00,300700,55.00
2012-06-07,55.55,56.90,55.25,55.45,352500,55.45
2012-06-06,55.20,55.95,55.10,55.50,733100,55.50
2012-06-05,53.70,55.60,53.25,54.70,600500,54.70
2012-06-01,54.75,56.85,54.45,54.80,332100,54.80
2012-05-31,53.75,56.85,53.20,56.65,961800,56.65
2012-05-30,56.00,56.00,53.50,53.75,759800,53.75
2012-05-29,56.75,57.90,55.60,55.60,891300,55.60
2012-05-28,57.10,57.40,56.40,56.80,775800,56.80
2012-05-25,56.55,57.70,56.55,56.95,446200,56.95
2012-05-24,56.50,57.15,56.25,56.50,553200,56.50
2012-05-23,57.25,57.85,56.35,56.50,458700,56.50
2012-05-22,59.60,60.00,57.00,57.35,394100,57.35
2012-05-21,59.05,60.00,58.75,58.85,181700,58.85
2012-05-18,58.40,59.65,57.25,59.30,203400,59.30
2012-05-17,58.25,59.15,58.20,58.35,213600,58.35
2012-05-16,59.10,59.70,57.65,58.15,683000,58.15
2012-05-14,59.00,59.90,58.50,58.95,236500,58.95
2012-05-11,59.00,60.15,58.15,58.60,869400,58.60
2012-05-10,59.50,60.10,59.00,59.10,367100,59.10
2012-05-09,60.90,60.95,58.75,59.30,542000,59.30
2012-05-08,62.00,62.40,60.00,60.20,363200,60.20
2012-05-07,61.60,62.65,60.00,62.60,197500,62.60
2012-05-04,61.65,61.65,60.35,60.55,265900,60.55
2012-05-03,63.00,63.80,60.65,61.70,450300,61.70
2012-05-02,62.15,63.60,62.10,62.90,482200,62.90
2012-04-30,61.50,62.20,60.70,62.05,169000,62.05
2012-04-27,61.50,62.00,60.00,60.60,276200,60.60
2012-04-26,61.20,62.00,60.30,60.90,540200,60.90
2012-04-25,62.60,62.60,60.75,61.00,452500,61.00
2012-04-24,62.50,63.05,62.10,62.30,158600,62.30
2012-04-23,63.50,64.15,62.00,62.45,217800,62.45
2012-04-20,63.80,64.65,63.05,63.60,399700,63.60
2012-04-19,64.55,64.75,63.90,64.00,298600,64.00
2012-04-18,64.00,64.80,63.55,64.20,368300,64.20
2012-04-17,62.80,64.00,62.60,63.80,280600,63.80
2012-04-16,61.25,63.25,61.10,63.10,166700,63.10
2012-04-13,63.00,63.50,62.05,62.05,313500,62.05
2012-04-12,62.00,63.35,61.45,62.60,422200,62.60
2012-04-11,62.25,62.90,61.15,61.95,597100,61.95
2012-04-10,63.60,63.75,62.05,63.00,398500,63.00
2012-04-09,65.10,65.75,62.85,63.15,563200,63.15
2012-04-04,65.50,65.95,64.25,65.95,471800,65.95
2012-04-03,64.75,66.20,64.00,65.30,579500,65.30
2012-04-02,70.00,70.00,63.25,64.20,604100,64.20
2012-03-30,61.65,64.45,61.10,63.45,752400,63.45
2012-03-29,61.25,62.45,60.35,62.45,1552400,62.45
2012-03-28,61.50,63.00,61.05,61.50,642500,61.50
2012-03-27,61.95,62.70,60.15,61.75,504300,61.75
2012-03-26,62.25,64.50,60.25,60.55,702000,60.55
2012-03-23,61.25,62.95,60.50,62.10,915500,62.10
2012-03-21,61.00,65.45,61.00,64.50,840000,64.50
2012-03-20,63.50,64.10,61.60,62.65,749500,62.65
2012-03-19,64.70,64.70,62.75,63.75,341200,63.75
2012-03-16,65.95,66.90,63.55,63.80,558900,63.80
2012-03-15,67.95,68.15,65.55,66.00,367900,66.00
2012-03-14,67.80,68.30,67.55,67.90,414100,67.90
2012-03-13,68.35,68.70,67.30,67.50,1425800,67.50
2012-03-12,67.60,68.25,66.50,67.90,1028300,67.90
2012-03-09,64.95,66.95,64.95,66.55,560600,66.55
2012-03-07,63.90,65.80,63.10,64.25,863000,64.25
2012-03-06,66.05,67.45,63.55,64.10,1381300,64.10
2012-03-05,69.45,70.00,66.45,66.60,966000,66.60
2012-03-02,68.60,69.35,67.00,67.10,506900,67.10
2012-03-01,69.05,69.35,67.00,67.90,834500,67.90
2012-02-29,70.55,71.35,68.65,69.30,780500,69.30
2012-02-28,69.55,74.30,69.00,70.05,2194700,70.05
2012-02-27,71.80,71.85,69.10,69.50,430900,69.50
2012-02-24,72.15,72.80,71.00,71.80,335600,71.80
2012-02-23,74.05,74.05,71.00,72.80,1330600,72.80
2012-02-22,76.75,76.75,73.25,73.75,1011900,73.75
2012-02-21,76.80,77.70,75.90,76.25,1645900,76.25
2012-02-17,78.45,80.00,76.25,76.65,1914000,76.65
2012-02-16,73.65,78.45,73.45,78.00,3787900,78.00
2012-02-15,73.20,75.90,73.00,73.50,1544300,73.50
2012-02-14,72.45,73.50,72.30,72.85,424500,72.85
2012-02-13,74.35,74.35,72.00,73.00,619700,73.00
2012-02-10,74.00,74.90,71.80,73.60,1148200,73.60
2012-02-09,70.80,74.00,70.15,73.60,1268400,73.60
2012-02-08,70.95,71.50,69.15,71.00,887800,71.00
2012-02-07,74.50,74.50,69.25,70.45,1527300,70.45
2012-02-06,71.70,75.70,69.30,73.60,3658700,73.60
2012-02-03,70.15,71.75,67.70,70.40,1282700,70.40
2012-02-02,67.00,69.90,65.85,69.75,1433400,69.75
2012-02-01,66.45,66.80,64.50,66.75,591800,66.75
2012-01-31,65.45,66.20,63.60,65.50,541200,65.50
2012-01-30,64.25,65.10,63.70,64.50,880700,64.50
2012-01-27,64.55,66.70,62.60,65.00,2247500,65.00
2012-01-25,63.65,65.30,62.85,63.70,1811800,63.70
2012-01-24,62.95,63.50,62.40,62.85,547300,62.85
2012-01-23,61.15,63.40,61.10,62.75,414100,62.75
2012-01-20,60.95,62.20,59.60,61.85,736000,61.85
2012-01-19,59.00,60.45,58.25,60.30,489000,60.30
2012-01-18,60.00,61.50,58.35,59.00,1068500,59.00
2012-01-17,62.35,63.00,59.80,60.45,2064100,60.45
2012-01-16,61.20,63.00,61.00,62.30,369700,62.30
2012-01-13,61.25,63.55,61.25,62.85,360500,62.85
2012-01-12,61.95,61.95,60.05,60.95,630000,60.95
2012-01-11,61.50,62.40,60.75,61.60,262300,61.60
2012-01-10,61.95,62.40,60.55,60.95,652200,60.95
2012-01-06,60.00,60.80,59.10,60.40,290400,60.40
2012-01-05,59.45,60.70,59.00,60.00,359100,60.00
2012-01-04,58.00,59.85,57.55,59.85,406300,59.85
2012-01-03,56.20,59.95,55.50,58.45,686700,58.45
2012-01-02,54.50,55.95,54.00,55.80,714500,55.80
2011-12-30,53.10,54.85,52.50,54.20,619600,54.20
2011-12-29,53.95,55.15,51.90,52.50,1703300,52.50
2011-12-28,54.15,54.75,52.65,53.40,551300,53.40
2011-12-27,55.35,55.80,53.75,54.05,391500,54.05
2011-12-26,59.65,59.65,53.85,55.15,805600,55.15
2011-12-23,54.40,55.50,53.85,54.20,841600,54.20
2011-12-22,50.60,53.45,50.60,53.25,449500,53.25
2011-12-21,55.75,56.00,51.40,52.30,1077400,52.30
2011-12-20,56.00,56.20,54.15,54.45,489800,54.45
2011-12-19,57.80,59.45,54.70,54.95,1407600,54.95
2011-12-16,57.50,57.90,55.05,55.50,883700,55.50
2011-12-15,57.00,58.20,56.25,56.45,1403900,56.45
2011-12-14,57.55,58.35,57.25,57.80,177900,57.80
2011-12-13,57.55,57.90,56.25,57.70,494000,57.70
2011-12-12,59.45,60.50,57.00,57.00,1150900,57.00
2011-12-09,59.50,59.95,58.55,59.20,180800,59.20
2011-12-08,60.20,61.25,59.95,60.30,398300,60.30
2011-12-07,60.20,61.70,60.15,60.65,409500,60.65
2011-12-05,61.10,61.50,60.00,60.40,237600,60.40
2011-12-02,59.90,61.75,59.30,61.40,644400,61.40
2011-12-01,60.60,61.60,58.90,59.30,546100,59.30
2011-11-30,60.30,60.65,59.00,59.50,265700,59.50
2011-11-29,61.00,62.45,59.05,60.30,866700,60.30
2011-11-28,60.00,60.50,59.05,60.05,321500,60.05
2011-11-25,58.25,59.55,57.30,58.95,411400,58.95
2011-11-24,57.70,59.70,56.95,58.65,1320300,58.65
2011-11-23,59.05,59.35,57.30,57.65,865800,57.65
2011-11-22,57.15,59.15,55.25,58.90,1363400,58.90
2011-11-21,61.00,61.00,56.40,56.85,579000,56.85
2011-11-18,59.50,60.70,57.95,60.00,874400,60.00
2011-11-17,59.80,61.95,56.20,59.60,2230000,59.60
2011-11-16,60.35,61.35,58.35,59.70,3254500,59.70
2011-11-15,67.30,67.65,58.30,58.70,3046300,58.70
2011-11-14,69.10,69.35,67.00,67.25,1097600,67.25
2011-11-11,70.00,70.00,68.35,68.55,1520700,68.55
2011-11-09,71.00,71.30,69.05,69.50,1301200,69.50
2011-11-08,71.55,71.90,70.60,71.20,392700,71.20
2011-11-04,72.45,73.25,70.55,71.60,1147200,71.60
2011-11-03,69.50,72.20,69.00,71.75,1959600,71.75
2011-11-02,69.10,70.10,69.10,69.55,311300,69.55
2011-11-01,70.00,70.10,68.60,69.70,984500,69.70
