Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,80.65,81.50,79.00,79.30,779600,79.40
2012-07-20,80.65,81.50,78.80,79.40,779600,79.40
2012-07-19,81.65,82.90,80.40,80.60,479000,80.60
2012-07-18,80.85,82.50,79.90,82.20,656900,82.20
2012-07-17,81.05,81.80,80.50,81.25,731900,81.25
2012-07-16,82.05,82.30,80.00,80.45,615700,80.45
2012-07-13,82.60,83.30,81.40,81.55,414000,81.55
2012-07-12,82.05,83.35,80.70,82.10,569200,82.10
2012-07-11,84.60,84.90,82.00,82.65,803300,82.65
2012-07-10,83.00,85.20,82.75,84.40,920800,84.40
2012-07-09,86.60,86.60,82.30,83.05,1329100,83.05
2012-07-06,87.00,88.70,86.60,87.20,2058900,87.20
2012-07-05,86.00,88.80,85.65,86.15,1448100,86.15
2012-07-04,88.70,89.00,85.50,85.90,1107400,85.90
2012-07-03,91.95,91.95,87.75,88.35,1042800,88.35
2012-07-02,86.95,90.70,86.50,89.65,1219800,89.65
2012-06-29,84.75,87.90,84.55,86.45,1285500,86.45
2012-06-28,82.75,84.45,82.20,84.15,691500,84.15
2012-06-27,82.50,83.70,82.30,82.45,337200,82.45
2012-06-26,83.40,84.85,81.70,82.50,1161800,82.50
2012-06-25,83.20,85.30,82.45,83.40,1045400,83.40
2012-06-22,80.10,84.35,79.00,82.45,2162500,82.45
2012-06-21,85.50,85.50,82.20,83.20,1962800,83.20
2012-06-20,79.50,88.25,76.80,84.20,6764300,84.20
2012-06-19,79.55,81.90,77.05,80.75,1486400,80.75
2012-06-18,82.50,82.95,78.20,80.35,1418100,80.35
2012-06-15,77.15,81.90,76.90,81.60,1455900,81.60
2012-06-14,80.10,81.00,76.00,76.50,1064500,76.50
2012-06-13,75.95,80.20,75.80,79.95,1930600,79.95
2012-06-12,72.80,76.35,71.25,75.65,983500,75.65
2012-06-11,73.10,74.40,72.50,72.85,1435300,72.85
2012-06-08,75.45,75.45,70.55,72.70,3775600,72.70
2012-06-07,77.30,78.40,75.25,76.25,946900,76.25
2012-06-06,73.35,77.20,73.35,76.30,1455000,76.30
2012-06-05,74.15,75.00,72.55,72.95,667400,72.95
2012-06-01,75.50,78.10,74.20,74.40,751500,74.40
2012-05-31,75.00,76.40,74.30,76.00,843700,76.00
2012-05-30,74.15,76.50,73.20,75.80,491700,75.80
2012-05-29,77.55,77.85,74.70,75.00,543600,75.00
2012-05-28,76.35,77.60,75.55,77.00,746800,77.00
2012-05-25,74.30,77.20,73.60,76.50,871200,76.50
2012-05-24,75.45,75.45,71.30,74.20,970800,74.20
2012-05-23,71.45,74.75,71.10,74.00,1473000,74.00
2012-05-22,75.50,76.00,70.70,72.00,1458600,72.00
2012-05-21,76.10,76.75,74.40,74.65,1266800,74.65
2012-05-18,79.20,80.50,76.10,76.75,985800,76.75
2012-05-17,79.00,80.00,78.20,80.00,323700,80.00
2012-05-16,79.70,79.70,76.50,77.85,506300,77.85
2012-05-14,79.95,80.35,77.30,77.90,524900,77.90
2012-05-11,84.80,84.80,77.20,79.30,1957700,79.30
2012-05-10,84.90,86.05,83.10,84.70,929300,84.70
2012-05-09,84.00,85.15,82.05,84.00,1564600,84.00
2012-05-08,86.00,88.50,83.50,84.10,1735900,84.10
2012-05-07,83.80,85.75,80.80,85.60,513300,85.60
2012-05-04,84.50,86.75,83.20,84.10,1655500,84.10
2012-05-03,86.10,88.30,85.10,86.30,870500,86.30
2012-05-02,85.65,88.20,85.15,87.15,1244500,87.15
2012-04-30,85.25,87.00,83.40,84.60,1198900,84.60
2012-04-27,82.00,88.10,82.00,84.00,1916600,84.00
2012-04-26,89.00,89.00,84.70,85.90,2774100,85.90
2012-04-25,94.00,94.00,86.15,86.50,2317600,86.50
2012-04-24,95.40,95.90,90.55,91.00,1152900,91.00
2012-04-23,95.10,96.80,93.45,93.60,1168800,93.60
2012-04-20,97.25,98.00,95.10,95.70,1171800,95.70
2012-04-19,101.10,102.45,98.80,99.25,1190400,99.25
2012-04-18,100.65,103.30,100.10,101.20,2384300,101.20
2012-04-17,98.00,100.45,96.05,99.75,1402900,99.75
2012-04-16,93.30,98.45,93.30,97.55,632700,97.55
2012-04-13,99.25,100.75,97.05,97.40,1886300,97.40
2012-04-12,97.35,99.40,97.15,97.95,1759200,97.95
2012-04-11,103.30,103.30,95.50,96.70,4576200,96.70
2012-04-10,109.00,109.60,103.50,104.40,2204500,104.40
2012-04-09,112.25,113.05,107.80,108.50,1691000,108.50
2012-04-04,108.50,114.30,107.25,113.80,2953200,113.80
2012-04-03,109.50,111.00,108.00,108.50,1976000,108.50
2012-04-02,112.25,112.30,108.35,109.35,1944000,109.35
2012-03-30,113.90,114.95,110.90,111.25,4919000,111.25
2012-03-29,112.70,117.00,110.15,111.40,4387000,111.40
2012-03-28,115.90,119.00,113.25,118.10,3262800,118.10
2012-03-27,108.60,119.35,108.00,115.85,4131300,115.85
2012-03-26,111.20,111.55,107.45,107.45,1162700,107.45
2012-03-23,113.00,113.60,108.80,112.00,1728200,112.00
2012-03-21,105.15,114.90,104.80,114.60,3717800,114.60
2012-03-20,103.80,107.85,103.35,106.10,1159100,106.10
2012-03-19,103.00,109.70,102.70,103.35,1729400,103.35
2012-03-16,100.00,104.50,98.25,103.80,927600,103.80
2012-03-15,100.60,103.75,99.05,100.10,596300,100.10
2012-03-14,104.25,104.75,100.45,102.00,537300,102.00
2012-03-13,102.50,104.35,102.10,103.65,547600,103.65
2012-03-12,102.60,102.95,100.10,101.35,921700,101.35
2012-03-09,99.40,101.70,98.05,100.80,828300,100.80
2012-03-07,93.50,98.20,93.50,97.45,659700,97.45
2012-03-06,99.25,100.50,94.75,95.00,821100,95.00
2012-03-05,100.40,100.50,97.00,97.10,821800,97.10
2012-03-02,100.50,102.75,99.05,99.30,1118300,99.30
2012-03-01,98.95,101.20,96.60,100.50,1175000,100.50
2012-02-29,98.00,101.80,96.45,100.40,1879200,100.40
2012-02-28,90.55,96.45,90.00,96.30,1279200,96.30
2012-02-27,94.45,94.90,88.00,89.10,1364300,89.10
2012-02-24,99.95,101.25,92.75,93.80,4581000,93.80
2012-02-23,100.30,104.25,97.55,98.30,2818800,98.30
2012-02-22,105.00,105.05,99.70,100.20,2005100,100.20
2012-02-21,103.85,107.70,103.15,103.80,3166700,103.80
2012-02-17,105.60,108.85,102.80,103.70,2721900,103.70
2012-02-16,112.00,112.00,103.65,104.80,2002800,104.80
2012-02-15,96.00,111.40,96.00,107.80,5578400,107.80
2012-02-14,95.10,96.60,94.60,95.65,905300,95.65
2012-02-13,94.70,96.00,93.05,95.10,751600,95.10
2012-02-10,96.00,96.50,92.60,93.30,1243000,93.30
2012-02-09,94.20,96.45,92.95,96.00,1777100,96.00
2012-02-08,95.80,96.95,94.15,96.00,3391200,96.00
2012-02-07,95.50,96.95,93.30,94.80,5893700,94.80
2012-02-06,94.00,99.55,92.20,94.80,5814800,94.80
2012-02-03,89.00,94.95,86.85,93.65,2555900,93.65
2012-02-02,84.65,88.50,82.95,87.90,1096400,87.90
2012-02-01,81.80,84.75,80.75,84.65,1459200,84.65
2012-01-31,80.10,81.65,78.60,81.65,924600,81.65
2012-01-30,84.95,84.95,78.15,78.70,670800,78.70
2012-01-27,81.50,85.10,81.50,83.50,962300,83.50
2012-01-25,78.45,82.50,78.25,82.00,1335700,82.00
2012-01-24,76.70,79.10,75.45,77.55,940500,77.55
2012-01-23,75.70,79.40,74.30,75.45,2314100,75.45
2012-01-20,75.50,77.75,74.05,76.60,2601700,76.60
2012-01-19,70.90,75.35,70.40,75.30,2100500,75.30
2012-01-18,72.65,73.25,69.35,69.80,933600,69.80
2012-01-17,69.90,73.45,69.90,72.10,1236000,72.10
2012-01-16,69.80,70.95,69.30,69.60,339500,69.60
2012-01-13,70.15,72.15,69.90,70.60,888800,70.60
2012-01-12,71.85,73.00,69.60,70.55,1056600,70.55
2012-01-11,71.45,71.50,69.70,71.50,400000,71.50
2012-01-10,69.80,71.80,69.80,71.50,256100,71.50
2012-01-06,68.20,69.70,67.50,69.70,221000,69.70
2012-01-05,69.45,69.80,68.20,69.15,184700,69.15
2012-01-04,69.50,70.25,68.00,68.20,254500,68.20
2012-01-03,67.50,70.25,67.10,69.90,546000,69.90
2012-01-02,66.10,67.10,65.25,66.40,196500,66.40
2011-12-30,67.15,68.85,65.50,66.35,669000,66.35
2011-12-29,69.70,71.05,65.50,66.50,1107500,66.50
2011-12-28,69.65,70.30,69.05,69.65,372700,69.65
2011-12-27,70.05,72.05,69.05,69.45,1213700,69.45
2011-12-26,70.40,70.80,69.25,70.25,131700,70.25
2011-12-23,70.60,71.95,68.20,70.50,220600,70.50
2011-12-22,68.35,71.10,67.50,71.00,427100,71.00
2011-12-21,69.00,69.00,66.40,68.80,346800,68.80
2011-12-20,68.50,69.25,65.40,65.85,1474900,65.85
2011-12-19,67.95,68.90,67.10,68.10,905000,68.10
2011-12-16,70.95,72.40,67.25,67.90,362800,67.90
2011-12-15,70.30,71.80,68.85,70.10,375900,70.10
2011-12-14,71.90,72.30,70.75,71.40,405900,71.40
2011-12-13,70.60,72.40,69.55,71.70,734600,71.70
2011-12-12,74.50,74.95,70.55,70.65,287900,70.65
2011-12-09,72.30,74.75,70.15,73.70,391800,73.70
2011-12-08,75.05,75.60,72.30,73.10,336500,73.10
2011-12-07,74.20,76.80,74.20,75.60,731100,75.60
2011-12-05,74.25,75.65,74.00,74.90,351500,74.90
2011-12-02,72.70,75.90,72.35,75.50,755900,75.50
2011-12-01,73.90,75.25,71.90,73.75,429000,73.75
2011-11-30,79.90,79.90,69.30,71.90,1179200,71.90
2011-11-29,73.50,73.50,70.35,71.40,525200,71.40
2011-11-28,69.25,73.50,69.25,73.40,519100,73.40
2011-11-25,69.15,71.10,68.85,69.00,398600,69.00
2011-11-24,69.00,71.40,67.65,70.25,1308200,70.25
2011-11-23,68.60,69.60,67.10,68.05,753700,68.05
2011-11-22,68.80,70.80,67.60,69.35,407200,69.35
2011-11-21,67.75,69.25,67.50,67.50,609700,67.50
2011-11-18,66.00,70.50,65.65,69.50,615800,69.50
2011-11-17,68.20,70.55,67.00,67.20,414600,67.20
2011-11-16,70.75,71.00,69.00,70.00,1082100,70.00
2011-11-15,75.25,76.70,70.00,70.50,990800,70.50
2011-11-14,79.00,79.80,75.00,75.25,1338500,75.25
2011-11-11,77.50,78.30,75.60,77.70,579000,77.70
2011-11-09,80.80,80.80,77.15,77.70,474600,77.70
2011-11-08,81.00,81.75,79.65,80.00,595300,80.00
2011-11-04,81.00,81.90,79.60,80.00,1085600,80.00
2011-11-03,78.85,80.80,78.80,80.65,1111600,80.65
2011-11-02,78.10,79.85,77.30,79.30,568400,79.30
2011-11-01,80.50,81.60,78.15,78.95,707700,78.95
2011-10-31,82.50,83.95,80.00,80.65,1289000,80.65
2011-10-28,84.75,84.75,80.00,82.10,2034100,82.10
2011-10-26,78.80,81.00,77.75,79.55,317900,79.55
2011-10-25,73.90,79.50,73.50,79.00,1424000,79.00
2011-10-24,74.25,75.30,72.60,74.05,402600,74.05
2011-10-21,74.60,75.40,73.15,73.60,378200,73.60
2011-10-20,75.60,75.80,73.80,74.15,463300,74.15
2011-10-19,73.10,76.60,73.10,75.75,508100,75.75
2011-10-18,75.10,75.45,72.80,73.95,555100,73.95
2011-10-17,76.20,76.90,75.15,75.45,414900,75.45
2011-10-14,75.85,76.60,74.70,76.00,487100,76.00
2011-10-13,73.25,78.20,73.25,75.50,2039700,75.50
2011-10-12,74.70,77.50,73.10,76.90,1960500,76.90
2011-10-11,73.05,74.40,72.45,74.00,1031600,74.00
2011-10-10,72.05,72.65,70.50,72.60,528700,72.60
2011-10-07,72.65,73.00,69.70,71.35,748700,71.35
2011-10-05,69.90,71.80,69.40,70.40,668700,70.40
2011-10-04,70.00,72.00,68.10,69.10,728100,69.10
2011-10-03,72.05,72.05,69.50,70.00,494600,70.00
2011-09-30,72.90,75.25,71.05,72.45,1064100,72.45
2011-09-29,68.60,73.70,68.50,73.40,2071900,73.40
2011-09-28,71.90,71.90,68.90,69.30,947100,69.30
2011-09-27,74.00,75.20,70.35,71.05,1000400,71.05
2011-09-26,72.00,72.15,69.00,69.20,808600,69.20
2011-09-23,69.05,73.40,68.20,71.35,2037800,71.35
2011-09-22,74.90,77.30,70.00,70.15,3090900,70.15
2011-09-21,72.55,76.95,71.50,76.30,1814000,76.30
2011-09-20,71.65,73.50,71.60,72.40,794100,72.40
2011-09-19,68.10,72.35,68.10,71.50,1051800,71.50
2011-09-16,73.45,73.65,68.55,69.15,1854500,69.15
2011-09-15,72.80,73.90,71.60,73.65,660500,73.65
2011-09-14,72.95,74.90,71.35,73.20,1990300,73.20
2011-09-13,69.20,74.15,68.85,71.20,1858900,71.20
2011-09-12,69.10,69.75,66.25,68.50,1480300,68.50
2011-09-09,73.50,74.25,69.15,69.85,1819200,69.85
2011-09-08,73.90,74.35,73.00,73.50,2464000,73.50
2011-09-07,70.85,73.35,70.00,72.60,2011900,72.60
2011-09-06,67.05,70.85,65.55,69.95,2308200,69.95
2011-09-05,66.70,67.45,66.10,66.80,323100,66.80
2011-09-02,68.35,69.00,65.70,66.95,1267900,66.95
2011-08-30,65.35,67.20,64.80,67.10,461400,67.10
2011-08-29,63.55,65.85,63.55,65.00,922700,65.00
