Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,56.80,56.80,55.25,55.75,163400,56.25
2012-07-20,56.80,56.80,55.25,56.25,163400,56.25
2012-07-19,57.70,57.70,56.05,56.05,221500,56.05
2012-07-18,57.80,57.80,55.50,55.50,157800,55.50
2012-07-17,55.55,57.50,55.40,56.95,151700,56.95
2012-07-16,57.40,58.35,56.00,56.70,166000,56.70
2012-07-13,58.90,59.95,57.15,57.60,387900,57.60
2012-07-12,60.00,60.00,57.15,57.30,423600,57.30
2012-07-11,61.50,62.15,60.00,60.00,258600,60.00
2012-07-10,58.35,61.30,58.35,61.30,226600,61.30
2012-07-09,61.80,62.50,57.45,58.20,264500,58.20
2012-07-06,62.70,63.00,61.15,61.50,183500,61.50
2012-07-05,63.70,64.70,62.70,62.80,625900,62.80
2012-07-04,63.25,64.05,61.80,62.55,532700,62.55
2012-07-03,61.15,63.25,60.65,62.10,746900,62.10
2012-07-02,62.00,62.20,60.65,61.35,185300,61.35
2012-06-29,59.50,62.20,59.45,61.15,311000,61.15
2012-06-28,61.05,61.70,56.90,58.80,283700,58.80
2012-06-27,61.20,62.30,60.50,61.40,184500,61.40
2012-06-26,61.35,62.70,60.00,61.30,254800,61.30
2012-06-25,64.45,64.55,61.15,61.90,401400,61.90
2012-06-22,58.20,64.70,58.00,63.45,1249300,63.45
2012-06-21,58.90,59.90,58.10,59.90,146300,59.90
2012-06-20,59.05,59.40,57.10,59.35,84300,59.35
2012-06-19,57.10,59.90,57.10,58.40,145200,58.40
2012-06-18,59.50,59.50,56.00,58.40,179100,58.40
2012-06-15,57.20,58.45,56.80,57.00,179800,57.00
2012-06-14,58.00,59.40,57.15,57.20,185900,57.20
2012-06-13,59.85,61.35,58.45,58.85,591200,58.85
2012-06-12,55.00,61.30,54.20,59.50,1915100,59.50
2012-06-11,56.55,57.95,54.55,55.50,243400,55.50
2012-06-08,55.60,57.00,54.20,55.80,252000,55.80
2012-06-07,52.50,57.10,51.80,54.70,655200,54.70
2012-06-06,49.05,52.35,48.65,52.15,256100,52.15
2012-06-05,47.85,49.50,46.75,49.25,150900,49.25
2012-06-01,50.80,50.80,46.45,48.55,421900,48.55
2012-05-31,49.70,50.30,49.00,50.30,915500,50.30
2012-05-30,49.65,51.20,48.75,51.00,225200,51.00
2012-05-29,49.20,50.30,49.20,50.10,93800,50.10
2012-05-28,49.50,50.20,48.65,50.00,115300,50.00
2012-05-25,49.05,49.80,45.80,49.20,117300,49.20
2012-05-24,49.40,50.50,48.50,49.20,265100,49.20
2012-05-23,48.60,49.65,47.40,49.60,245000,49.60
2012-05-22,49.90,49.95,48.80,49.50,271100,49.50
2012-05-21,49.15,50.35,48.75,49.00,261100,49.00
2012-05-18,48.40,49.90,47.70,49.00,626900,49.00
2012-05-17,49.20,50.00,48.75,49.00,183800,49.00
2012-05-16,47.40,50.75,40.50,48.80,1548000,48.80
2012-05-14,45.10,47.30,44.20,46.40,366000,46.40
2012-05-11,47.00,47.00,44.70,46.35,351200,46.35
2012-05-10,47.50,48.25,46.00,46.50,232400,46.50
2012-05-09,46.05,49.80,44.85,47.50,819900,47.50
2012-05-08,51.05,53.00,44.10,46.10,1884900,46.10
2012-05-07,51.80,52.80,50.55,50.70,663900,50.70
2012-05-04,53.10,53.80,51.25,52.40,1001800,52.40
2012-05-03,53.25,54.30,52.50,53.60,363900,53.60
2012-05-02,56.00,56.00,52.60,53.05,239100,53.05
2012-04-30,53.25,55.50,53.15,55.20,267100,55.20
2012-04-27,55.00,55.00,52.35,52.80,186300,52.80
2012-04-26,57.80,57.85,53.30,53.90,680500,53.90
2012-04-25,59.50,60.30,54.70,56.70,292600,56.70
2012-04-24,59.50,61.00,58.75,59.40,119500,59.40
2012-04-23,62.65,62.65,59.00,59.15,466000,59.15
2012-04-20,63.25,66.00,61.40,61.85,230100,61.85
2012-04-19,64.05,64.75,63.25,64.20,137900,64.20
2012-04-18,64.40,65.15,63.85,64.10,170100,64.10
2012-04-17,65.00,66.00,63.55,63.55,252000,63.55
2012-04-16,63.50,65.10,62.15,65.00,196400,65.00
2012-04-13,66.50,66.80,61.60,62.20,253800,62.20
2012-04-12,63.05,67.00,62.10,65.80,247100,65.80
2012-04-11,64.25,65.40,63.10,64.25,283200,64.25
2012-04-10,64.80,65.50,63.65,65.05,180100,65.05
2012-04-09,66.00,67.35,63.50,64.45,341900,64.45
2012-04-04,68.00,69.00,66.55,67.35,166200,67.35
2012-04-03,68.85,70.95,67.15,67.95,481100,67.95
2012-04-02,67.10,68.80,65.50,67.40,211300,67.40
2012-03-30,63.60,67.85,63.35,67.05,384900,67.05
2012-03-29,61.50,65.95,60.00,65.70,682800,65.70
2012-03-28,64.00,65.35,61.20,61.20,677600,61.20
2012-03-27,64.85,65.50,63.15,64.25,314500,64.25
2012-03-26,66.80,66.80,62.50,62.65,1066000,62.65
2012-03-23,66.00,67.40,64.20,66.10,1008400,66.10
2012-03-21,70.10,72.85,68.15,72.00,688700,72.00
2012-03-20,67.35,71.10,66.00,70.15,864600,70.15
2012-03-19,71.05,73.10,66.65,66.90,1440400,66.90
2012-03-16,74.00,77.80,70.25,71.95,3404000,71.95
2012-03-15,77.00,77.80,72.60,72.60,956200,72.60
2012-03-14,74.10,77.00,73.80,76.55,627400,76.55
2012-03-13,74.00,75.50,73.00,73.65,1051100,73.65
2012-03-12,74.00,74.70,71.30,73.00,257100,73.00
2012-03-09,66.10,74.00,66.10,73.00,526300,73.00
2012-03-07,66.00,67.40,64.10,66.50,309700,66.50
2012-03-06,68.20,72.70,65.60,66.00,249100,66.00
2012-03-05,69.20,70.20,68.10,70.00,196100,70.00
2012-03-02,69.85,71.25,68.30,69.70,294200,69.70
2012-03-01,69.00,70.90,67.65,69.15,385400,69.15
2012-02-29,72.00,73.50,68.70,69.45,602300,69.45
2012-02-28,69.50,72.05,67.60,71.50,459600,71.50
2012-02-27,70.50,70.50,67.55,69.10,376800,69.10
2012-02-24,71.50,71.90,68.05,71.15,400700,71.15
2012-02-23,73.00,73.00,69.80,70.10,1006600,70.10
2012-02-22,84.95,84.95,72.25,72.90,1612500,72.90
2012-02-21,72.20,76.95,71.65,76.95,867200,76.95
2012-02-17,72.10,72.90,70.70,72.00,660700,72.00
2012-02-16,71.45,73.50,69.50,70.70,538900,70.70
2012-02-15,69.80,74.00,69.80,70.70,1075500,70.70
2012-02-14,67.80,72.70,66.20,72.20,1114600,72.20
2012-02-13,68.50,70.40,67.55,68.00,772800,68.00
2012-02-10,65.00,69.25,65.00,68.15,1077900,68.15
2012-02-09,65.00,67.80,63.55,65.00,1066200,65.00
2012-02-08,64.80,68.75,63.85,65.95,2653300,65.95
2012-02-07,70.00,70.70,62.35,64.50,4511000,64.50
2012-02-06,59.00,75.30,57.95,69.80,10863700,69.80
2012-02-03,55.20,57.90,54.90,57.90,209500,57.90
2012-02-02,56.00,57.25,54.00,55.00,165300,55.00
2012-02-01,53.25,56.50,53.25,55.00,183200,55.00
2012-01-31,51.20,53.90,51.00,53.20,210700,53.20
2012-01-30,56.00,56.20,49.80,51.50,261300,51.50
2012-01-27,56.20,57.95,55.30,55.90,178700,55.90
2012-01-25,55.00,57.40,54.80,56.00,192100,56.00
2012-01-24,52.60,55.70,52.30,54.45,165000,54.45
2012-01-23,53.85,54.50,52.55,52.70,284700,52.70
2012-01-20,53.60,55.15,53.25,53.55,265600,53.55
2012-01-19,53.10,54.00,52.85,53.45,112100,53.45
2012-01-18,53.50,54.00,51.60,52.50,417800,52.50
2012-01-17,51.55,53.60,51.15,53.00,282400,53.00
2012-01-16,51.20,52.00,49.75,51.95,150900,51.95
2012-01-13,50.30,52.65,50.30,51.10,414000,51.10
2012-01-12,50.00,51.40,48.10,51.25,148400,51.25
2012-01-11,50.20,51.50,48.55,49.50,208600,49.50
2012-01-10,46.00,50.85,45.05,50.05,1314100,50.05
2012-01-06,45.55,45.80,44.45,44.75,89700,44.75
2012-01-05,46.00,46.70,44.90,45.10,85000,45.10
2012-01-04,46.80,47.20,45.10,45.90,89900,45.90
2012-01-03,44.40,47.20,44.40,47.20,137800,47.20
2012-01-02,43.35,44.65,42.90,44.45,76500,44.45
2011-12-30,45.25,46.40,43.30,43.70,131300,43.70
2011-12-29,46.65,47.30,42.70,45.40,749300,45.40
2011-12-28,49.30,49.30,45.80,46.70,203600,46.70
2011-12-27,51.35,52.00,49.20,49.55,228400,49.55
2011-12-26,51.10,52.05,50.55,51.25,77100,51.25
2011-12-23,52.25,53.00,50.60,50.75,97200,50.75
2011-12-22,50.00,52.75,49.40,52.70,541100,52.70
2011-12-21,52.15,52.95,50.10,50.90,180900,50.90
2011-12-20,54.20,54.25,51.10,51.50,381900,51.50
2011-12-19,53.50,54.60,52.35,53.80,499200,53.80
2011-12-16,52.85,56.00,51.30,54.90,788100,54.90
2011-12-15,52.80,53.50,50.80,52.10,455800,52.10
2011-12-14,58.50,58.50,52.85,53.30,635800,53.30
2011-12-13,56.70,57.85,55.20,56.80,95000,56.80
2011-12-12,58.20,59.70,56.20,57.60,387500,57.60
2011-12-09,58.00,58.80,56.20,57.50,327800,57.50
2011-12-08,59.75,59.85,58.80,58.80,179200,58.80
2011-12-07,59.60,61.20,59.60,60.25,81800,60.25
2011-12-05,60.60,61.20,58.75,59.50,71000,59.50
2011-12-02,57.20,61.40,56.10,61.40,422400,61.40
2011-12-01,60.20,62.70,57.20,57.45,183400,57.45
2011-11-30,60.00,60.45,58.95,59.45,95100,59.45
2011-11-29,61.10,63.30,59.15,59.15,132100,59.15
2011-11-28,60.90,61.80,59.20,61.25,90900,61.25
2011-11-25,60.45,62.00,58.55,58.80,209100,58.80
2011-11-24,56.70,65.25,53.55,60.50,1410900,60.50
2011-11-23,59.20,60.00,53.20,57.00,524500,57.00
2011-11-22,57.80,60.30,56.85,59.00,120100,59.00
2011-11-21,57.50,59.00,56.50,57.70,732700,57.70
2011-11-18,57.00,58.00,55.15,57.80,461200,57.80
2011-11-17,64.85,64.85,56.20,58.00,759700,58.00
2011-11-16,67.30,67.40,64.25,64.95,946200,64.95
2011-11-15,69.65,70.25,66.80,66.80,121800,66.80
2011-11-14,70.30,71.50,68.90,71.50,1137600,71.50
2011-11-11,70.50,70.60,69.55,69.65,103800,69.65
2011-11-09,71.00,73.50,70.20,70.20,2004500,70.20
2011-11-08,71.50,72.00,70.70,70.90,510300,70.90
