Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,98.10,99.90,96.55,97.30,192900,97.30
2014-01-28,100.00,104.30,97.10,97.90,417700,97.90
2014-01-27,105.00,105.00,100.00,101.25,430600,101.25
2014-01-24,108.80,108.90,105.00,107.25,346300,107.25
2014-01-23,106.80,115.00,106.10,109.00,1675300,109.00
2014-01-22,106.90,107.35,105.55,106.75,108500,106.75
2014-01-21,106.45,107.75,106.45,107.10,150500,107.10
2014-01-20,106.00,107.45,105.00,106.85,128600,106.85
2014-01-17,107.40,109.50,106.75,107.20,169300,104.20
2014-01-16,109.40,109.95,107.40,107.75,154400,104.73
2014-01-15,108.95,109.20,107.55,108.60,170400,105.56
2014-01-14,108.80,109.20,106.35,107.30,147900,104.30
2014-01-13,108.10,110.70,108.10,109.55,694500,106.48
2014-01-10,110.05,111.90,107.55,108.00,330100,104.98
2014-01-09,112.00,115.20,110.10,110.85,361800,107.75
2014-01-08,112.45,113.80,110.50,111.60,306700,108.48
2014-01-07,114.65,115.50,106.40,111.05,345200,107.94
2014-01-06,114.85,115.65,113.00,113.45,134900,110.28
2014-01-03,117.85,117.85,112.45,114.55,350700,111.34
2014-01-02,116.40,122.70,116.00,117.05,1426700,113.77
2014-01-01,116.30,117.25,115.35,116.45,214200,113.19
2013-12-31,117.00,118.90,115.25,116.15,590400,112.90
2013-12-30,113.00,116.75,112.25,116.00,841300,112.75
2013-12-27,115.35,115.40,113.10,113.65,495200,110.47
2013-12-26,107.05,114.70,106.90,113.45,1790100,110.28
2013-12-25,107.05,107.05,107.05,107.05,000,104.05
2013-12-24,107.95,108.70,106.25,107.05,250600,104.05
2013-12-23,107.10,109.25,107.10,107.50,241600,104.49
2013-12-20,104.00,107.45,104.00,106.50,257300,103.52
2013-12-19,107.85,107.95,104.15,104.35,231700,101.43
2013-12-18,104.10,107.50,103.85,106.35,426900,103.37
2013-12-17,105.90,106.00,102.50,103.90,248400,100.99
2013-12-16,104.00,107.45,103.70,104.15,280400,101.24
2013-12-13,107.00,107.05,104.00,104.25,212600,101.33
2013-12-12,109.40,110.45,107.15,107.85,357000,104.83
2013-12-11,109.25,111.50,107.10,110.65,651900,107.55
2013-12-10,108.75,110.00,106.45,109.65,859400,106.58
2013-12-09,108.00,110.85,105.80,108.45,1284200,105.42
2013-12-06,102.75,105.80,101.80,104.45,593800,101.53
2013-12-05,101.90,103.90,101.50,102.30,468100,99.44
2013-12-04,101.95,102.50,98.50,99.30,435000,96.52
2013-12-03,103.00,104.90,101.75,102.20,495200,99.34
2013-12-02,100.00,104.70,100.00,102.95,470900,100.07
2013-11-29,100.20,102.95,99.90,101.10,409900,98.27
2013-11-28,101.50,102.30,100.00,100.35,202200,97.54
2013-11-27,100.80,102.25,98.65,100.05,301700,97.25
2013-11-26,101.75,104.50,100.00,100.85,438100,98.03
2013-11-25,102.25,104.70,101.10,102.15,515100,99.29
2013-11-22,105.95,108.50,100.40,101.55,723400,98.71
2013-11-21,108.00,108.00,104.50,105.05,790500,102.11
2013-11-20,105.80,112.25,103.15,108.65,2067600,105.61
2013-11-19,105.00,108.35,102.50,106.70,2409700,103.71
2013-11-18,97.35,105.05,97.35,104.50,2141700,101.58
2013-11-15,95.50,95.50,95.50,95.50,000,92.83
2013-11-14,93.00,98.20,93.00,95.50,940100,92.83
2013-11-13,90.90,94.00,89.10,91.90,848400,89.33
2013-11-12,91.80,94.00,90.20,91.20,788800,88.65
2013-11-11,93.00,94.40,90.45,91.85,1115300,89.28
2013-11-08,100.45,100.45,93.10,95.65,2595500,92.97
2013-11-07,102.90,107.00,98.30,99.85,2194900,97.06
2013-11-06,113.00,115.60,102.10,103.20,2623600,100.31
2013-11-05,109.00,116.50,107.35,112.10,5081200,108.96
2013-11-04,93.55,93.55,93.55,93.55,000,90.93
2013-11-01,83.00,96.00,82.50,93.55,3895000,90.93
