/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,2241.00,2241.95,2205.65,2218.75,642800,2221.75
2012-07-20,2244.90,2244.90,2205.30,2221.75,644200,2221.75
2012-07-19,2200.00,2250.00,2193.25,2240.00,1364000,2240.00
2012-07-18,2171.25,2188.90,2163.00,2176.00,984100,2176.00
2012-07-17,2184.90,2198.00,2162.30,2170.40,1687800,2170.40
2012-07-16,2230.00,2241.40,2163.25,2167.00,2305100,2167.00
2012-07-13,2218.00,2258.80,2218.00,2222.90,3344500,2222.90
2012-07-12,2250.00,2280.00,2219.00,2260.00,6783900,2260.00
2012-07-11,2450.00,2502.40,2445.00,2450.00,2118200,2450.00
2012-07-10,2444.00,2463.30,2441.35,2459.80,881800,2459.80
2012-07-09,2421.10,2468.90,2402.00,2436.00,914300,2436.00
2012-07-06,2476.00,2485.00,2440.00,2442.00,610900,2442.00
2012-07-05,2480.25,2488.00,2462.50,2483.05,722500,2483.05
2012-07-04,2500.00,2504.85,2469.00,2480.25,798800,2480.25
2012-07-03,2516.25,2516.25,2476.60,2492.20,803600,2492.20
2012-07-02,2503.00,2518.80,2490.70,2500.00,646900,2500.00
2012-06-29,2494.00,2519.00,2476.20,2498.00,1170600,2498.00
2012-06-28,2465.00,2497.00,2448.35,2468.90,951600,2468.90
2012-06-27,2452.00,2475.00,2448.45,2467.00,1084600,2467.00
2012-06-26,2453.10,2459.90,2429.55,2442.15,1291200,2442.15
2012-06-25,2474.90,2488.00,2458.25,2458.25,993600,2458.25
2012-06-22,2449.75,2484.50,2426.45,2475.00,801700,2475.00
2012-06-21,2456.00,2503.00,2440.15,2499.00,817000,2499.00
2012-06-20,2480.00,2485.00,2452.95,2470.00,816900,2470.00
2012-06-19,2500.00,2505.00,2457.90,2480.10,801700,2480.10
2012-06-18,2535.00,2544.35,2496.50,2505.05,889600,2505.05
2012-06-15,2510.05,2532.00,2502.75,2522.00,788900,2522.00
2012-06-14,2461.00,2510.00,2461.00,2498.50,985400,2498.50
2012-06-13,2451.25,2489.70,2442.00,2477.00,769700,2477.00
2012-06-12,2402.20,2470.00,2402.20,2454.00,516800,2454.00
