Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,46.40,46.85,42.90,43.65,1999600,43.65
2014-01-28,45.75,47.75,45.20,46.15,921200,46.15
2014-01-27,47.60,47.60,45.50,45.90,803100,45.90
2014-01-24,49.00,49.00,47.50,47.85,749600,47.85
2014-01-23,48.90,49.40,48.55,49.20,313500,49.20
2014-01-22,49.10,49.40,48.65,49.00,417000,49.00
2014-01-21,49.15,50.35,49.15,49.50,758100,49.50
2014-01-20,48.05,49.35,48.05,49.20,446200,49.20
2014-01-17,49.05,49.35,48.60,48.75,341600,48.75
2014-01-16,49.05,49.75,47.50,49.30,912500,49.30
2014-01-15,48.90,49.40,48.50,49.10,887400,49.10
2014-01-14,49.10,49.40,48.30,48.70,1334000,48.70
2014-01-13,49.05,49.95,48.05,49.15,1144500,49.15
2014-01-10,50.10,51.35,48.75,49.15,886000,49.15
2014-01-09,51.35,51.90,49.75,50.40,1237900,50.40
2014-01-08,50.25,51.60,49.65,51.10,1350700,51.10
2014-01-07,50.35,50.80,49.10,49.90,1029700,49.90
2014-01-06,51.00,51.15,50.00,50.40,643900,50.40
2014-01-03,50.75,51.35,50.20,51.10,708500,51.10
2014-01-02,52.25,53.95,50.60,50.95,2248900,50.95
2014-01-01,51.35,52.50,51.25,52.25,606900,52.25
2013-12-31,51.70,51.90,51.00,51.55,445200,51.55
2013-12-30,51.55,52.30,51.20,51.35,597800,51.35
2013-12-27,51.00,52.25,50.80,51.65,1461300,51.65
2013-12-26,50.00,52.80,49.70,52.30,6708800,52.30
2013-12-25,49.95,49.95,49.95,49.95,000,49.95
2013-12-24,50.00,50.40,49.50,49.95,552100,49.95
2013-12-23,49.45,50.65,49.05,49.90,951400,49.90
2013-12-20,47.35,49.45,47.35,49.15,548900,49.15
2013-12-19,49.35,49.60,47.25,47.85,921900,47.85
2013-12-18,47.00,49.30,46.85,49.05,1250200,49.05
2013-12-17,48.70,49.00,46.85,47.05,846900,47.05
2013-12-16,48.10,49.25,48.10,48.55,594100,48.55
2013-12-13,49.90,49.95,48.75,48.85,803800,48.85
2013-12-12,50.80,51.15,50.10,50.25,601600,50.25
2013-12-11,51.00,51.20,50.40,50.90,542800,50.90
2013-12-10,52.55,52.55,50.75,51.35,733100,51.35
2013-12-09,53.45,54.20,52.20,52.50,1244600,52.50
2013-12-06,51.90,52.30,51.15,52.00,722100,52.00
2013-12-05,52.10,52.10,51.20,51.80,606200,51.80
2013-12-04,50.90,52.05,50.65,50.85,1038800,50.85
2013-12-03,51.30,51.30,50.35,51.00,711800,51.00
2013-12-02,51.65,52.50,50.95,51.25,847600,51.25
2013-11-29,52.00,52.80,51.35,51.55,1726300,51.55
2013-11-28,51.30,52.55,50.50,52.20,2988500,52.20
2013-11-27,51.00,51.80,49.90,51.55,795100,51.55
2013-11-26,51.55,51.80,50.50,50.65,595100,50.65
2013-11-25,50.40,52.10,50.40,51.70,526300,51.70
2013-11-22,51.25,51.80,50.00,50.25,708900,50.25
2013-11-21,52.00,52.00,51.00,51.20,612700,51.20
2013-11-20,53.10,53.20,51.95,52.20,999500,52.20
2013-11-19,53.00,53.65,52.15,53.15,1303100,53.15
2013-11-18,52.60,53.45,52.35,53.20,1024900,53.20
2013-11-15,52.05,52.05,52.05,52.05,000,52.05
2013-11-14,51.40,53.05,51.40,52.05,1046400,52.05
2013-11-13,51.65,52.10,50.10,50.85,1310500,50.85
2013-11-12,52.00,53.00,51.10,51.90,1574900,51.90
2013-11-11,51.80,52.20,49.85,51.85,1846100,51.85
2013-11-08,51.70,53.10,51.10,52.05,964100,52.05
2013-11-07,53.95,54.25,51.15,51.75,1530700,51.75
2013-11-06,55.90,56.10,53.00,53.55,1626600,53.55
2013-11-05,53.80,57.45,53.05,55.00,4164400,55.00
2013-11-04,51.95,51.95,51.95,51.95,000,51.95
2013-11-01,51.00,53.45,50.30,51.95,3257000,51.95
2013-10-31,47.30,51.65,46.80,51.00,6039200,51.00
2013-10-30,48.10,48.45,46.80,47.10,616200,47.10
2013-10-29,46.80,48.20,46.40,47.80,1364200,47.80
2013-10-28,47.80,48.25,46.60,46.80,868500,46.80
2013-10-25,49.10,49.45,47.10,47.80,2457200,47.80
2013-10-24,50.10,50.80,49.20,49.50,1154300,49.50
2013-10-23,51.00,51.00,49.00,50.00,1326000,50.00
2013-10-22,50.15,50.60,49.65,50.35,818900,50.35
2013-10-21,50.50,50.50,49.55,49.95,595700,49.95
2013-10-18,49.90,50.20,49.30,49.95,695400,49.95
2013-10-17,49.10,50.20,49.10,49.50,578900,49.50
2013-10-16,50.00,50.00,50.00,50.00,000,50.00
2013-10-15,50.30,50.80,48.90,50.00,1958500,50.00
2013-10-14,48.80,50.70,48.80,50.20,1029400,50.20
2013-10-11,49.50,50.50,48.60,49.45,1299200,49.45
2013-10-10,49.00,49.55,48.25,48.80,830300,48.80
2013-10-09,47.90,49.20,47.35,48.85,849200,48.85
2013-10-08,49.55,49.85,48.05,48.30,805300,48.30
2013-10-07,47.35,48.75,47.35,48.50,560600,48.50
2013-10-04,48.00,49.00,47.25,48.25,1134800,48.25
2013-10-03,46.00,48.50,45.90,48.10,1086900,48.10
2013-10-02,46.10,46.10,46.10,46.10,000,46.10
2013-10-01,44.45,46.35,44.15,46.10,897700,46.10
2013-09-30,45.65,45.95,44.00,44.20,607600,44.20
