Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,275.00,275.00,270.20,270.85,130000,271.50
2012-07-20,275.00,275.00,270.20,271.50,130000,271.50
2012-07-19,272.05,275.00,270.00,274.65,238100,274.65
2012-07-18,272.25,273.15,268.25,268.95,426500,268.95
2012-07-17,271.75,274.00,269.10,271.80,264900,271.80
2012-07-16,272.60,272.60,268.25,271.00,239800,271.00
2012-07-13,272.50,276.15,270.15,271.15,269500,271.15
2012-07-12,267.20,274.20,266.90,272.75,463000,272.75
2012-07-11,262.20,269.00,262.20,267.00,227600,267.00
2012-07-10,268.00,268.00,264.30,266.30,311800,266.30
2012-07-09,272.00,272.95,264.35,264.35,375100,264.35
2012-07-06,267.00,271.20,265.20,270.00,622500,270.00
2012-07-05,264.95,267.80,262.65,265.50,222900,265.50
2012-07-04,264.95,266.70,262.00,264.40,611600,264.40
2012-07-03,256.00,267.00,255.35,265.60,653500,265.60
2012-07-02,255.10,258.95,252.65,256.30,266600,256.30
2012-06-29,253.05,256.40,251.50,256.00,444000,256.00
2012-06-28,258.45,258.55,251.50,253.40,1036700,253.40
2012-06-27,261.00,261.80,257.15,258.05,272500,258.05
2012-06-26,259.25,261.90,257.50,261.20,375800,261.20
2012-06-25,263.00,265.25,258.70,258.75,535800,258.75
2012-06-22,266.00,267.00,261.00,262.00,618700,262.00
2012-06-21,255.50,268.70,255.35,260.50,1630700,260.50
2012-06-20,252.00,255.35,250.35,255.00,683100,255.00
2012-06-19,241.50,251.50,240.55,251.20,1354100,251.20
2012-06-18,242.10,244.50,240.30,241.15,481800,241.15
2012-06-15,246.50,246.50,239.60,239.85,719900,239.85
2012-06-14,245.15,246.90,242.30,243.00,461200,243.00
2012-06-13,247.55,249.90,244.25,244.25,397600,244.25
2012-06-12,247.00,249.40,246.50,246.55,303600,246.55
2012-06-11,249.10,250.95,246.70,247.50,488400,247.50
2012-06-08,249.00,251.00,248.05,248.50,635800,248.50
2012-06-07,254.15,255.85,249.60,249.60,551400,249.60
2012-06-06,258.00,259.90,252.70,252.95,442400,252.95
2012-06-05,259.80,261.20,256.05,256.50,228900,256.50
2012-06-01,255.60,257.95,253.55,255.50,284000,255.50
2012-05-31,251.05,258.00,248.50,257.25,555400,257.25
2012-05-30,259.00,259.00,253.10,253.15,384300,253.15
2012-05-29,266.50,268.70,260.00,260.40,513100,260.40
2012-05-28,267.00,271.00,264.25,265.00,1271800,265.00
2012-05-25,235.35,271.20,235.35,266.00,497200,266.00
2012-05-24,281.40,289.90,269.05,269.60,1448400,269.60
2012-05-23,273.50,275.85,271.60,273.00,278200,273.00
2012-05-22,272.45,274.45,270.30,273.05,300700,273.05
2012-05-21,272.30,278.00,269.00,269.40,449500,269.40
2012-05-18,266.95,275.40,265.05,273.75,431600,273.75
2012-05-17,269.00,274.20,266.50,268.05,561600,268.05
2012-05-16,265.00,273.00,265.00,266.20,700400,266.20
