/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,252.90,254.95,252.30,252.85,1894500,253.30
2012-07-20,252.90,254.95,252.30,253.30,1897700,253.30
2012-07-19,254.60,256.05,252.70,254.25,2952400,254.25
2012-07-18,256.40,256.70,253.75,255.05,3299100,255.05
2012-07-17,253.45,256.00,252.70,255.80,3134600,255.80
2012-07-16,252.70,254.60,250.95,252.10,1700400,252.10
2012-07-13,251.35,254.45,250.35,253.70,2332700,253.70
2012-07-12,253.50,256.80,251.15,251.30,3173000,251.30
2012-07-11,256.85,257.80,252.70,254.10,4905900,254.10
2012-07-10,251.75,259.20,249.10,258.45,6037200,258.45
2012-07-09,250.65,254.90,250.50,250.65,4455300,250.65
2012-07-06,251.00,253.50,248.70,252.85,4607000,252.85
2012-07-05,247.00,251.00,246.30,250.70,3746000,250.70
2012-07-04,248.80,248.90,244.50,246.10,5702700,246.10
2012-07-03,250.00,250.25,245.45,247.90,10050800,247.90
2012-07-02,259.15,260.40,247.45,248.00,9828600,248.00
2012-06-29,251.65,260.00,251.65,259.90,9116800,259.90
2012-06-28,248.00,252.70,247.15,251.05,8441900,251.05
2012-06-27,248.30,249.60,247.25,247.50,3367500,247.50
2012-06-26,249.35,249.85,246.30,247.75,4086600,247.75
2012-06-25,250.00,253.90,249.10,249.40,3491700,249.40
2012-06-22,250.00,253.00,246.75,250.75,2632900,250.75
2012-06-21,245.60,252.00,245.50,252.00,4643100,252.00
2012-06-20,249.40,249.65,244.85,247.35,4184000,247.35
2012-06-19,242.70,250.00,242.70,248.70,6222100,248.70
2012-06-18,247.50,250.00,242.50,243.70,3409300,243.70
2012-06-15,244.95,248.80,244.00,247.00,6962600,247.00
2012-06-14,243.05,248.65,243.05,244.65,5868400,244.65
2012-06-13,242.35,244.90,242.15,244.75,3729200,244.75
2012-06-12,237.15,244.25,235.55,242.75,4341800,242.75
2012-06-11,237.80,241.00,236.50,239.50,3310100,239.50
2012-06-08,236.75,241.30,234.75,240.40,4720500,240.40
2012-06-07,235.60,239.30,232.60,238.00,6597600,238.00
2012-06-06,225.90,237.00,225.90,233.25,10266100,233.25
2012-06-05,230.75,232.70,225.00,225.00,5072000,225.00
2012-06-01,228.90,234.70,228.90,234.55,6754400,234.55
2012-05-31,229.20,232.50,227.50,231.00,20579800,231.00
2012-05-30,230.90,234.35,230.50,231.15,5435700,231.15
2012-05-29,235.75,235.95,230.00,231.50,5275500,231.50
2012-05-28,233.00,236.00,232.10,235.85,3536500,235.85
2012-05-25,233.00,236.00,230.80,232.00,9135800,232.00
2012-05-24,231.70,234.70,231.00,233.75,5786700,233.75
2012-05-23,231.05,233.00,230.00,231.20,4361900,231.20
2012-05-22,237.30,239.20,230.10,233.00,6833700,233.00
2012-05-21,239.65,240.95,234.00,234.35,4147200,234.35
2012-05-18,232.25,241.00,230.00,240.40,8376400,240.40
2012-05-17,229.00,236.65,229.00,235.40,10132300,235.40
2012-05-16,229.00,231.00,226.40,227.20,5100200,227.20
2012-05-14,234.00,236.00,232.00,233.05,3316900,233.05
2012-05-11,237.70,238.20,231.35,234.60,5214300,234.60
2012-05-10,241.40,243.40,236.35,239.40,6516500,239.40
2012-05-09,230.00,241.00,227.10,239.90,13316500,239.90
2012-05-08,237.00,241.90,223.85,226.80,11351700,226.80
2012-05-07,235.00,239.00,233.35,236.70,5053400,236.70
2012-05-04,241.40,244.95,237.35,238.10,6393500,238.10
2012-05-03,245.40,245.95,241.00,241.70,3768000,241.70
2012-05-02,245.55,247.85,243.50,244.50,4783800,244.50
2012-04-30,248.00,249.30,245.10,245.55,3186500,245.55
