Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,47.50,47.95,46.60,46.65,3939000,46.70
2012-07-20,48.00,48.00,46.50,46.70,3939000,46.70
2012-07-19,48.30,48.50,47.25,47.35,4633600,47.35
2012-07-18,46.80,47.95,45.55,47.60,6999400,47.60
2012-07-17,48.50,48.50,46.40,46.60,4495600,46.60
2012-07-16,48.10,49.20,46.80,47.50,8600900,47.50
2012-07-13,49.60,50.25,47.30,47.60,9693800,47.60
2012-07-12,51.25,51.25,48.55,49.10,9497100,49.10
2012-07-11,51.30,52.60,50.55,51.20,7049100,51.20
2012-07-10,49.05,51.35,43.20,51.25,9293500,51.25
2012-07-09,52.00,52.20,48.80,48.90,10123700,48.90
2012-07-06,51.75,54.90,51.75,52.90,5997000,52.90
2012-07-05,53.80,55.20,53.00,54.35,7502900,54.35
2012-07-04,53.60,53.85,52.50,53.50,4506900,53.50
2012-07-03,54.00,54.50,52.75,53.30,4998900,53.30
2012-07-02,53.80,54.10,52.60,53.50,4859000,53.50
2012-06-29,52.45,53.50,52.20,52.65,6780800,52.65
2012-06-28,51.80,52.15,51.20,51.50,5041400,51.50
2012-06-27,51.90,52.10,51.10,51.20,3453900,51.20
2012-06-26,52.40,52.45,50.60,51.25,7088500,51.25
2012-06-25,52.75,53.50,51.60,52.05,9595900,52.05
2012-06-22,51.25,52.60,50.25,51.30,12482400,51.30
2012-06-21,48.45,51.65,48.15,51.40,9807000,51.40
2012-06-20,48.40,49.40,47.20,48.95,6448200,48.95
2012-06-19,46.20,47.85,45.85,47.85,5728200,47.85
2012-06-18,49.00,49.60,45.80,46.70,8737000,46.70
2012-06-15,48.40,49.00,47.10,48.50,6863400,48.50
2012-06-14,49.05,50.10,47.60,48.05,7904400,48.05
2012-06-13,50.00,50.95,48.75,49.20,14454600,49.20
2012-06-12,46.50,49.90,45.90,49.85,13252400,49.85
2012-06-11,47.95,48.65,46.35,46.70,10280800,46.70
2012-06-08,44.10,47.05,42.90,46.90,15265000,46.90
2012-06-07,42.00,44.50,42.00,44.10,12260800,44.10
2012-06-06,39.75,42.85,39.20,41.90,12813900,41.90
2012-06-05,40.10,40.40,38.15,38.95,6263200,38.95
2012-06-01,40.70,41.10,37.75,38.00,6539000,38.00
2012-05-31,40.00,41.55,39.75,40.80,6812200,40.80
2012-05-30,41.65,42.70,40.10,40.45,5758400,40.45
2012-05-29,43.55,43.70,41.60,41.90,5386600,41.90
2012-05-28,42.00,43.70,41.70,43.00,3851600,43.00
2012-05-25,42.75,43.50,41.60,42.35,6120200,42.35
2012-05-24,41.40,42.65,39.70,42.40,8302800,42.40
2012-05-23,40.45,41.75,39.35,41.10,10166600,41.10
2012-05-22,45.15,45.70,40.05,40.15,10579500,40.15
2012-05-21,45.00,45.80,44.50,44.50,4119200,44.50
2012-05-18,44.80,45.50,43.90,45.00,5340100,45.00
2012-05-17,46.80,48.20,44.90,45.65,8197400,45.65
2012-05-16,46.00,47.85,43.50,46.70,9048000,46.70
2012-05-14,50.90,51.25,44.00,44.10,12776500,44.10
2012-05-11,52.50,52.75,49.30,51.00,9605500,51.00
2012-05-10,56.00,57.80,52.45,53.10,7152500,53.10
2012-05-09,57.40,58.50,55.75,56.65,6516800,56.65
2012-05-08,56.55,58.80,55.20,57.05,10455500,57.05
2012-05-07,56.40,56.70,53.40,56.20,8402100,56.20
2012-05-04,58.35,58.40,54.85,56.45,6732000,56.45
2012-05-03,60.70,60.90,58.20,58.80,5135100,58.80
2012-05-02,62.00,62.40,60.30,60.90,4993500,60.90
2012-04-30,62.00,62.45,60.65,61.80,3798300,61.80
2012-04-27,63.75,64.70,59.00,61.40,11742900,61.40
2012-04-26,65.45,65.45,62.85,63.95,20080800,63.95
2012-04-25,61.35,64.45,60.50,64.10,16029000,64.10
2012-04-24,60.85,61.85,58.60,61.00,8692100,61.00
2012-04-23,62.30,63.15,59.60,60.40,7914900,60.40
2012-04-20,60.10,63.45,60.10,62.40,11292500,62.40
2012-04-19,65.25,65.45,60.65,61.80,18447500,61.80
2012-04-18,70.00,70.40,64.80,65.00,19358500,65.00
2012-04-17,70.70,71.60,68.60,70.20,13180400,70.20
2012-04-16,72.90,74.10,67.70,70.70,35469500,70.70
2012-04-13,74.00,75.25,71.90,72.25,25921600,72.25
2012-04-12,70.95,74.75,70.85,74.05,27605400,74.05
2012-04-11,68.00,72.90,67.15,70.90,30544300,70.90
2012-04-10,72.50,72.60,67.40,68.85,14055500,68.85
2012-04-09,73.00,74.25,70.90,71.45,17352100,71.45
2012-04-04,68.85,72.20,68.50,70.95,20024900,70.95
2012-04-03,70.00,71.40,68.75,69.35,21259500,69.35
2012-04-02,66.50,70.55,66.50,70.40,21581700,70.40
2012-03-30,64.90,67.85,63.95,66.20,19930900,66.20
2012-03-29,59.90,66.10,59.50,65.05,32530500,65.05
2012-03-28,61.05,63.25,59.50,59.90,19025400,59.90
2012-03-27,60.05,61.20,59.25,60.65,20218600,60.65
2012-03-26,58.35,61.80,57.10,59.40,24800800,59.40
2012-03-23,57.00,59.70,56.40,58.55,14637700,58.55
2012-03-21,53.35,56.40,52.70,56.05,7755500,56.05
2012-03-20,51.70,54.10,51.50,53.15,8219000,53.15
2012-03-19,53.00,53.85,50.40,51.95,7109400,51.95
2012-03-16,55.50,57.20,52.15,52.60,9302200,52.60
2012-03-15,58.00,58.20,54.45,55.05,6306500,55.05
2012-03-14,58.40,59.40,57.00,58.20,6543400,58.20
2012-03-13,56.50,58.50,56.00,58.40,7662000,58.40
2012-03-12,55.15,56.40,54.15,55.40,10487600,55.40
2012-03-09,52.30,55.35,52.30,55.05,7734700,55.05
2012-03-07,50.00,52.40,48.50,51.45,8546800,51.45
2012-03-06,53.00,56.20,49.05,49.40,8433800,49.40
2012-03-05,54.30,54.80,52.65,53.70,5592900,53.70
2012-03-02,56.50,56.90,54.60,54.90,5807200,54.90
