Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,358.00,363.75,355.00,357.80,965000,361.00
2012-07-20,358.00,363.80,354.55,361.00,965000,361.00
2012-07-19,365.00,366.30,355.55,356.50,1467300,356.50
2012-07-18,356.05,364.70,354.20,360.00,1450900,360.00
2012-07-17,374.00,374.00,352.15,353.50,1041200,353.50
2012-07-16,375.90,378.50,366.00,366.95,897700,366.95
2012-07-13,379.70,383.00,373.50,375.30,1660100,375.30
2012-07-12,380.00,387.50,377.00,377.50,1161700,377.50
2012-07-11,388.90,392.95,380.00,380.50,1352000,380.50
2012-07-10,390.35,393.50,383.70,389.00,2423700,389.00
2012-07-09,384.00,390.60,378.20,386.80,2098900,386.80
2012-07-06,396.20,400.05,382.45,383.50,2268600,383.50
2012-07-05,401.90,407.70,396.00,396.00,2522000,396.00
2012-07-04,407.05,411.05,396.00,398.50,2447700,398.50
2012-07-03,390.00,408.90,384.25,407.25,2136600,407.25
2012-07-02,386.00,391.85,384.35,387.05,841500,387.05
2012-06-29,379.00,387.90,379.00,381.50,898800,381.50
2012-06-28,391.50,392.90,377.55,379.10,1219100,379.10
2012-06-27,392.50,396.50,386.05,388.85,1534300,388.85
2012-06-26,385.50,393.00,382.25,391.50,1546600,391.50
2012-06-25,388.00,394.40,381.25,385.60,1733000,385.60
2012-06-22,375.00,389.15,369.30,384.55,2542500,384.55
2012-06-21,372.00,381.70,371.00,376.60,1534100,376.60
2012-06-20,357.40,376.40,357.40,371.90,2570300,371.90
2012-06-19,351.20,365.50,349.05,356.95,2321500,356.95
2012-06-18,371.25,382.95,354.40,356.60,2377400,356.60
2012-06-15,374.95,379.40,367.20,368.95,1124400,368.95
2012-06-14,381.95,387.45,369.15,372.00,2322800,372.00
2012-06-13,372.00,385.60,369.20,381.00,3280000,381.00
2012-06-12,353.75,378.00,352.75,370.20,4173800,370.20
2012-06-11,360.00,367.95,350.50,354.00,2176700,354.00
2012-06-08,339.00,376.75,332.65,371.00,3206500,371.00
2012-06-07,336.00,343.50,329.10,338.00,1994900,338.00
2012-06-06,319.65,337.25,317.20,333.25,3005100,333.25
2012-06-05,320.75,326.60,315.35,317.00,1021700,317.00
2012-06-01,317.70,323.85,301.60,303.15,1571100,303.15
2012-05-31,314.90,321.15,311.40,314.05,797100,314.05
2012-05-30,318.00,324.50,315.00,316.30,802100,316.30
2012-05-29,317.90,324.80,313.80,320.20,1184000,320.20
2012-05-28,316.35,320.30,309.80,318.00,1241500,318.00
2012-05-25,315.10,321.30,309.50,312.50,1617200,312.50
2012-05-24,326.05,327.50,315.65,319.95,2164000,319.95
2012-05-23,308.00,325.80,298.00,323.05,2413600,323.05
2012-05-22,317.00,318.40,306.05,313.00,888400,313.00
2012-05-21,312.50,316.45,307.10,315.00,1385700,315.00
