/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,127.90,127.95,125.90,126.80,66700,126.80
2012-07-19,125.40,128.00,122.25,127.10,156000,127.10
2012-07-18,127.25,128.10,124.80,125.15,89400,125.15
2012-07-17,130.50,131.95,128.00,128.20,39500,128.20
2012-07-16,132.05,133.10,129.00,129.50,54000,129.50
2012-07-13,131.40,133.50,129.55,132.80,76400,132.80
2012-07-12,133.15,135.00,130.50,130.50,71800,130.50
2012-07-11,135.50,137.00,134.20,135.30,80400,135.30
2012-07-10,131.85,136.80,129.80,136.35,306400,136.35
2012-07-09,132.40,133.80,128.60,131.40,101300,131.40
2012-07-06,136.50,136.90,132.90,132.90,56800,132.90
2012-07-05,137.00,138.45,135.70,136.35,79100,136.35
2012-07-04,134.15,138.45,134.10,136.20,167800,136.20
2012-07-03,134.00,136.10,133.40,134.00,91900,134.00
2012-07-02,134.85,136.00,133.00,134.00,169200,134.00
2012-06-29,129.95,133.40,128.40,133.20,202600,133.20
2012-06-28,128.70,128.70,126.40,127.90,82400,127.90
2012-06-27,128.00,128.30,126.55,126.95,52400,126.95
2012-06-26,128.55,129.65,125.80,128.90,106400,128.90
2012-06-25,124.00,129.50,124.00,128.85,111600,128.85
2012-06-22,123.15,126.45,123.15,124.50,56100,124.50
2012-06-21,125.40,125.40,124.25,125.00,69500,125.00
2012-06-20,126.85,126.85,121.55,124.70,77400,124.70
2012-06-19,121.00,125.95,121.00,125.55,84600,125.55
2012-06-18,122.20,127.55,121.70,125.00,266600,125.00
2012-06-15,123.50,126.80,123.30,124.50,260400,124.50
2012-06-14,125.40,126.25,122.10,122.65,127300,122.65
2012-06-13,129.55,129.55,125.65,126.40,236900,126.40
2012-06-12,131.90,132.95,127.50,128.95,512900,128.95
2012-06-11,129.05,131.80,127.00,128.90,252400,128.90
2012-06-08,131.00,133.35,125.85,129.70,889300,129.70
2012-06-07,131.80,132.55,128.50,130.50,274900,130.50
2012-06-06,126.45,131.25,124.10,131.00,268400,131.00
2012-06-05,123.55,128.00,123.20,125.40,202200,125.40
2012-06-01,123.45,124.20,122.55,123.50,209100,123.50
2012-05-31,122.10,127.95,120.15,122.30,718900,122.30
2012-05-30,128.70,128.70,123.65,123.65,116800,123.65
2012-05-29,126.25,129.30,125.25,127.25,85300,127.25
2012-05-28,127.45,131.70,127.40,128.50,222000,128.50
2012-05-25,128.00,128.95,126.00,127.75,67100,127.75
2012-05-24,127.55,130.10,126.80,128.10,484200,128.10
2012-05-23,127.00,130.60,126.00,128.00,190700,128.00
2012-05-22,132.40,134.30,129.05,130.10,364300,130.10
2012-05-21,134.75,134.80,130.20,131.00,97200,131.00
2012-05-18,125.45,133.70,125.05,131.60,156000,131.60
2012-05-17,130.00,135.25,125.90,127.20,218600,127.20
2012-05-16,132.90,133.95,130.20,131.00,45600,131.00
2012-05-14,135.00,137.00,130.65,136.50,82600,136.50
2012-05-11,133.45,135.90,130.25,133.60,127500,133.60
2012-05-10,141.35,142.55,129.50,134.35,509700,134.35
2012-05-09,141.45,142.70,134.60,142.70,143600,142.70
2012-05-08,152.25,152.25,141.00,141.10,137300,141.10
2012-05-07,141.30,147.00,138.75,146.55,149400,146.55
2012-05-04,153.00,154.70,145.00,145.10,123300,145.10
2012-05-03,152.25,155.50,150.10,155.00,137800,155.00
2012-05-02,154.00,157.75,153.80,153.80,144300,153.80
2012-04-30,152.00,158.50,152.00,155.30,225500,155.30
2012-04-27,156.15,158.00,154.00,155.10,264700,155.10
2012-04-26,158.10,158.95,155.40,156.25,431900,156.25
2012-04-25,155.05,159.85,154.05,158.95,87800,158.95
2012-04-24,156.40,159.00,154.25,157.95,74200,157.95
2012-04-23,156.95,158.25,151.65,157.60,114900,157.60
2012-04-20,158.95,160.90,155.50,157.30,237500,157.30
2012-04-19,158.05,160.00,154.55,158.95,133100,158.95
2012-04-18,159.50,160.50,157.50,159.40,321700,159.40
2012-04-17,156.50,159.00,155.50,158.25,63200,158.25
2012-04-16,155.00,159.00,154.05,158.25,52800,158.25
2012-04-13,159.05,162.75,155.75,157.00,121400,157.00
2012-04-12,159.45,161.80,158.10,159.05,103300,159.05
2012-04-11,157.20,160.40,157.20,158.50,168100,158.50
2012-04-10,165.00,166.00,160.05,161.80,172600,161.80
2012-04-09,168.00,168.00,160.00,165.45,300800,165.45
