Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,426.00,432.40,423.30,426.60,912100,425.00
2012-07-20,426.90,432.40,423.25,425.00,912100,425.00
2012-07-19,432.00,436.00,423.60,426.40,1074800,426.40
2012-07-18,415.00,428.50,413.05,426.90,1853000,426.90
2012-07-17,415.20,424.85,413.75,415.60,1491600,415.60
2012-07-16,431.10,431.45,416.65,418.55,1917500,418.55
2012-07-13,446.30,450.20,426.40,428.00,2245500,428.00
2012-07-12,448.00,451.25,441.00,444.50,875600,444.50
2012-07-11,450.35,458.50,449.20,451.55,1001900,451.55
2012-07-10,441.40,458.00,441.40,454.30,1679500,454.30
2012-07-09,451.20,455.10,439.10,441.40,1551900,441.40
2012-07-06,465.00,466.00,453.05,454.40,3068600,454.40
2012-07-05,467.90,480.35,463.85,468.70,5107300,468.70
2012-07-04,453.00,472.70,452.30,466.95,4255300,466.95
2012-07-03,457.05,463.00,447.00,449.80,3326900,449.80
2012-07-02,471.15,474.00,451.70,454.30,2561500,454.30
2012-06-29,435.00,474.50,434.25,468.50,6020900,468.50
2012-06-28,432.00,435.95,429.05,430.00,2024800,430.00
2012-06-27,433.55,434.90,429.00,430.50,1198100,430.50
2012-06-26,429.05,434.40,428.55,431.75,1445800,431.75
2012-06-25,435.00,444.50,427.00,428.60,842600,428.60
2012-06-22,435.00,440.55,427.50,432.65,1002600,432.65
2012-06-21,434.00,442.00,431.75,440.00,902700,440.00
2012-06-20,430.95,442.55,430.00,439.00,3852400,439.00
2012-06-19,426.00,432.75,424.50,429.00,924500,429.00
2012-06-18,440.05,443.60,426.50,429.50,1051900,429.50
2012-06-15,434.95,439.50,432.30,437.00,1185500,437.00
2012-06-14,437.50,440.75,431.00,432.05,1661000,432.05
2012-06-13,431.90,443.80,431.85,439.90,2738400,439.90
2012-06-12,426.00,436.40,425.00,430.50,2424000,430.50
2012-06-11,443.20,450.25,429.00,429.85,1822100,429.85
2012-06-08,459.30,459.30,430.25,445.00,1969300,445.00
2012-06-07,436.00,442.50,433.05,438.50,4433000,438.50
2012-06-06,418.95,436.10,415.20,433.00,6185100,433.00
2012-06-05,421.00,423.50,409.05,414.80,2105200,414.80
2012-06-01,441.00,441.00,425.10,427.50,2718400,427.50
2012-05-31,449.00,454.00,437.20,441.40,2732600,441.40
2012-05-30,447.00,460.85,447.00,451.30,1021900,451.30
2012-05-29,455.55,462.90,453.00,454.00,817000,454.00
2012-05-28,458.00,460.80,448.50,455.00,1150500,455.00
2012-05-25,466.10,469.70,454.55,456.00,1198200,456.00
2012-05-24,457.70,471.95,450.55,470.50,1024000,470.50
2012-05-23,462.00,462.10,445.35,453.10,973500,453.10
2012-05-22,469.85,473.80,458.40,463.85,669100,463.85
2012-05-21,466.40,483.00,461.45,466.00,1076400,466.00
2012-05-18,453.00,474.80,448.00,470.00,1295000,470.00
2012-05-17,455.15,467.90,452.25,462.95,1675100,462.95
2012-05-16,456.70,462.90,449.00,450.00,905900,450.00
2012-05-14,455.15,469.00,443.45,459.00,1244300,459.00
2012-05-11,452.80,468.20,446.25,458.00,2231000,458.00
2012-05-10,470.10,485.95,452.85,453.75,1802600,453.75
2012-05-09,478.00,486.90,468.00,470.00,1204400,470.00
2012-05-08,503.50,510.75,476.30,476.30,1167000,476.30
2012-05-07,479.00,509.00,472.00,507.35,1310600,507.35
2012-05-04,494.00,498.80,475.60,489.00,1209200,489.00
2012-05-03,505.00,507.45,491.10,494.25,1162700,494.25
2012-05-02,504.00,515.50,502.30,504.50,1593300,504.50
2012-04-30,486.65,509.30,479.60,504.50,1946400,504.50
2012-04-27,492.90,498.05,475.00,480.35,1236600,480.35
2012-04-26,482.90,501.20,478.20,487.40,2369300,487.40
2012-04-25,479.90,487.80,472.70,477.25,1537600,477.25
2012-04-24,484.25,489.95,471.05,481.00,3257600,481.00
2012-04-23,500.00,504.00,479.10,479.70,1383900,479.70
2012-04-20,516.50,519.00,495.00,502.95,972000,502.95
2012-04-19,518.00,521.00,508.75,520.50,559400,520.50
2012-04-18,508.50,519.00,508.50,514.00,2195100,514.00
2012-04-17,499.50,512.50,495.75,510.00,1504700,510.00
2012-04-16,495.00,507.60,490.10,499.55,1297300,499.55
2012-04-13,512.40,519.90,490.70,494.00,2980300,494.00
