Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,76.50,78.10,76.30,77.75,10899200,77.65
2012-07-20,76.50,78.20,76.20,77.65,10899200,77.65
2012-07-19,78.20,78.50,76.40,76.95,10465900,76.95
2012-07-18,76.65,77.15,75.50,76.60,11201300,76.60
2012-07-17,77.80,78.45,76.55,76.75,13088300,76.75
2012-07-16,78.00,78.90,75.50,77.25,18322000,77.25
2012-07-13,79.00,79.20,77.15,77.45,13367500,77.45
2012-07-12,75.60,78.90,74.80,78.15,20449700,78.15
2012-07-11,77.00,77.75,75.90,76.20,13106900,76.20
2012-07-10,75.45,78.10,75.20,77.40,13043900,77.40
2012-07-09,76.60,76.70,74.05,75.00,11911800,75.00
2012-07-06,77.90,78.50,76.55,77.35,11597600,77.35
2012-07-05,77.40,78.60,76.40,78.20,15092800,78.20
2012-07-04,75.20,78.15,74.80,77.30,18561600,77.30
2012-07-03,75.30,76.25,73.70,74.80,12336700,74.80
2012-07-02,74.00,75.95,73.00,74.90,14800300,74.90
2012-06-29,72.55,74.05,72.55,73.25,12268900,73.25
2012-06-28,69.90,71.80,69.65,71.35,14372700,71.35
2012-06-27,70.85,70.90,68.50,69.55,11877500,69.55
2012-06-26,70.15,71.00,69.25,70.15,12795700,70.15
2012-06-25,72.40,72.70,69.10,69.60,15414800,69.60
2012-06-22,70.00,73.20,69.55,71.10,34740200,71.10
2012-06-21,70.65,74.80,70.35,74.70,22069300,74.70
2012-06-20,68.50,71.90,68.25,71.25,20444600,71.25
2012-06-19,68.75,70.25,68.05,70.00,12885800,70.00
2012-06-18,71.00,72.20,68.05,69.30,20016900,69.30
2012-06-15,68.80,70.30,68.25,69.70,13411800,69.70
2012-06-14,69.40,69.80,67.35,67.40,11914200,67.40
2012-06-13,69.40,70.80,69.05,69.60,14587600,69.60
2012-06-12,68.70,69.65,67.35,68.95,17924300,68.95
2012-06-11,69.65,71.55,68.85,69.00,17995800,69.00
2012-06-08,67.50,68.90,66.80,68.75,16521800,68.75
2012-06-07,67.15,68.60,66.30,68.45,19838100,68.45
2012-06-06,64.50,66.45,64.10,66.30,18111800,66.30
2012-06-05,65.30,66.65,63.10,63.75,23346900,63.75
2012-06-01,62.20,63.85,61.35,61.80,16664000,61.80
2012-05-31,59.00,64.35,59.00,62.35,21442500,62.35
2012-05-30,61.30,61.50,59.80,60.15,9928600,60.15
2012-05-29,62.50,63.00,61.60,61.70,10828500,61.70
2012-05-28,61.50,62.65,60.80,62.60,12882500,62.60
2012-05-25,60.05,61.80,59.85,61.35,18393500,61.35
2012-05-24,61.00,61.00,58.00,59.60,24975700,59.60
2012-05-23,61.00,61.60,59.65,60.10,15432600,60.10
2012-05-22,64.50,64.70,60.70,61.25,15224500,61.25
2012-05-21,62.10,64.15,62.10,63.20,13005300,63.20
2012-05-18,60.50,62.50,60.20,62.20,15395100,62.20
2012-05-17,60.35,62.65,59.75,62.40,20778900,62.40
2012-05-16,60.65,61.40,59.25,60.45,16248400,60.45
2012-05-14,63.00,63.65,60.20,61.10,16003600,61.10
2012-05-11,60.00,63.40,59.40,62.90,23335200,62.90
2012-05-10,60.95,62.50,59.55,60.30,18922200,60.30
2012-05-09,63.45,63.80,60.10,60.70,33593000,60.70
2012-05-08,70.20,71.00,63.00,63.45,25262300,63.45
2012-05-07,67.80,70.25,66.40,69.50,21603100,69.50
2012-05-04,72.00,72.50,70.40,70.80,12152500,70.80
2012-05-03,73.10,73.45,71.55,73.10,11449600,73.10
2012-05-02,74.40,75.45,73.35,73.50,11090600,73.50
2012-04-30,72.45,75.10,72.45,74.65,13507200,74.65
2012-04-27,71.70,73.65,70.75,72.80,15169300,72.80
2012-04-26,74.00,74.30,71.20,71.95,21677600,71.95
2012-04-25,74.70,75.60,72.10,73.50,19413200,73.50
2012-04-24,75.80,76.50,73.90,74.60,16976700,74.60
2012-04-23,77.75,78.75,74.90,75.45,16092500,75.45
2012-04-20,79.25,80.25,77.00,77.90,15697200,77.90
2012-04-19,82.55,82.95,79.70,80.30,12167100,80.30
2012-04-18,83.00,84.10,81.60,81.75,17936900,81.75
2012-04-17,79.90,83.25,78.35,82.35,22465400,82.35
2012-04-16,77.00,80.20,76.50,79.85,14666600,79.85
2012-04-13,80.90,82.15,75.30,77.25,20823700,77.25
2012-04-12,80.00,80.85,78.90,79.20,16796400,79.20
2012-04-11,80.20,80.70,78.25,79.20,26270300,79.20
2012-04-10,83.20,83.65,79.05,82.20,26091600,82.20
2012-04-09,84.80,84.90,81.80,82.50,20426300,82.50
2012-04-04,87.80,87.80,84.85,86.60,17240200,86.60
2012-04-03,86.00,88.95,86.00,88.70,27373200,88.70
2012-04-02,81.90,85.65,81.40,85.50,17417700,85.50
2012-03-30,79.35,82.10,79.20,81.30,12240000,81.30
2012-03-29,76.40,79.35,75.60,78.75,19616000,78.75
2012-03-28,80.15,80.60,76.55,76.95,17812200,76.95
2012-03-27,83.00,84.15,79.85,80.80,28761600,80.80
2012-03-26,79.70,82.40,79.50,81.70,28477100,81.70
2012-03-23,77.00,80.60,76.50,79.90,16966200,79.90
2012-03-21,77.70,82.45,77.30,82.25,21072500,82.25
2012-03-20,75.50,79.00,74.70,78.45,21370100,78.45
2012-03-19,78.05,80.00,74.65,75.50,16773500,75.50
2012-03-16,79.00,83.40,77.15,78.05,33916600,78.05
2012-03-15,80.00,80.50,77.30,78.30,15179700,78.30
2012-03-14,84.75,85.00,80.60,80.90,16805300,80.90
2012-03-13,80.80,84.25,80.55,83.20,23147400,83.20
2012-03-12,79.75,80.00,76.80,79.80,20200400,79.80
2012-03-09,75.90,78.90,75.00,78.40,22073700,78.40
2012-03-07,69.00,75.45,67.20,74.05,28092500,74.05
2012-03-06,68.40,72.35,66.20,69.40,48874100,69.40
2012-03-05,73.50,73.90,69.50,70.20,17911600,70.20
2012-03-02,75.60,76.70,74.00,74.70,15506100,74.70
2012-03-01,75.95,77.25,73.65,74.20,16887600,74.20
2012-02-29,76.20,77.85,73.10,76.40,19816500,76.40
2012-02-28,70.90,75.30,70.30,75.15,21083500,75.15
2012-02-27,74.75,74.90,68.60,69.75,18719500,69.75
2012-02-24,76.00,76.45,73.45,74.25,17705400,74.25
2012-02-23,79.05,80.00,73.90,74.80,38028400,74.80
2012-02-22,84.50,85.70,79.40,79.90,16553300,79.90
2012-02-21,84.70,86.30,83.50,84.80,13938100,84.80
2012-02-17,86.20,88.25,83.30,83.55,23486800,83.55
2012-02-16,85.55,86.00,82.30,84.40,23118500,84.40
2012-02-15,80.00,86.40,79.60,85.95,33770000,85.95
2012-02-14,77.25,80.00,76.75,79.80,21294700,79.80
2012-02-13,76.55,78.20,75.80,77.90,13145600,77.90
2012-02-10,78.50,79.70,75.30,76.35,19536800,76.35
2012-02-09,77.10,79.30,76.30,78.90,18581700,78.90
2012-02-08,75.15,77.70,74.40,77.45,18324600,77.45
2012-02-07,78.00,78.85,74.05,74.20,18423900,74.20
2012-02-06,77.00,80.40,76.55,77.60,28668000,77.60
2012-02-03,73.45,76.90,72.65,75.90,21651600,75.90
2012-02-02,73.70,75.85,72.00,73.65,31043600,73.65
2012-02-01,69.00,73.25,68.45,73.10,24315000,73.10
2012-01-31,67.20,70.35,64.60,69.85,25606700,69.85
2012-01-30,70.00,70.00,65.80,66.15,12185300,66.15
2012-01-27,73.80,73.95,70.15,70.50,13588100,70.50
2012-01-25,71.00,74.00,70.60,72.05,17459500,72.05
2012-01-24,67.35,71.45,67.10,70.50,19318900,70.50
2012-01-23,66.45,68.80,66.35,67.00,12988400,67.00
2012-01-20,67.20,68.40,65.60,67.15,18408700,67.15
2012-01-19,64.00,67.00,63.65,66.50,17461500,66.50
2012-01-18,63.60,64.65,62.25,62.30,17997200,62.30
2012-01-17,61.00,63.95,60.80,63.40,20491500,63.40
2012-01-16,59.55,60.80,58.15,60.20,17092400,60.20
2012-01-13,59.50,61.40,59.30,60.25,25899300,60.25
2012-01-12,56.80,59.10,56.00,58.85,22120700,58.85
2012-01-11,55.25,57.55,54.60,56.75,21656400,56.75
2012-01-10,53.80,55.25,53.65,55.10,12019200,55.10
2012-01-06,55.10,55.25,52.90,53.10,18729700,53.10
2012-01-05,54.20,57.10,53.85,55.60,20988800,55.60
2012-01-04,54.90,55.50,53.75,54.20,12048700,54.20
2012-01-03,53.15,54.90,53.15,54.65,10873600,54.65
2012-01-02,53.00,53.20,51.65,52.90,10536300,52.90
2011-12-30,54.10,54.25,52.10,52.45,8928300,52.45
2011-12-29,53.20,54.50,52.85,53.15,11252300,53.15
2011-12-28,53.80,54.35,52.35,53.55,13192300,53.55
2011-12-27,55.30,55.30,53.40,53.95,8846000,53.95
2011-12-26,54.05,55.45,53.40,55.20,9994300,55.20
2011-12-23,55.70,55.95,53.00,53.70,20457800,53.70
2011-12-22,53.20,55.30,51.70,55.20,20697800,55.20
2011-12-21,55.40,55.55,51.15,53.60,29077400,53.60
2011-12-20,58.30,58.40,52.85,52.95,27988900,52.95
2011-12-19,58.75,58.80,56.80,57.60,15109400,57.60
2011-12-16,62.15,63.05,58.50,58.60,19271200,58.60
2011-12-15,59.70,62.10,59.00,61.50,15151600,61.50
2011-12-14,60.55,62.25,60.10,60.85,23269900,60.85
2011-12-13,59.45,61.75,57.75,61.65,27445200,61.65
2011-12-12,64.50,64.60,59.70,59.75,23013400,59.75
2011-12-09,65.25,65.80,63.05,63.25,21454900,63.25
2011-12-08,70.05,71.20,66.10,66.20,20307500,66.20
2011-12-07,69.20,71.60,68.75,69.95,15298700,69.95
2011-12-05,67.00,69.40,66.40,69.05,15981700,69.05
2011-12-02,64.30,67.90,64.05,67.15,16377500,67.15
2011-12-01,65.00,65.60,63.80,65.05,13100800,65.05
2011-11-30,62.70,63.40,61.30,62.05,11805900,62.05
2011-11-29,64.60,65.40,62.60,62.80,13447100,62.80
2011-11-28,61.50,64.85,61.10,64.60,13246100,64.60
2011-11-25,60.95,62.35,60.20,60.70,14276200,60.70
2011-11-24,60.50,61.95,58.80,61.85,20042600,61.85
2011-11-23,62.90,62.90,59.85,60.10,17074200,60.10
