/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,34.15,34.30,33.70,33.80,336400,33.95
2012-07-20,34.15,34.30,33.70,33.95,336400,33.95
2012-07-19,34.40,34.40,33.90,34.25,176900,34.25
2012-07-18,34.00,34.35,33.70,34.00,301600,34.00
2012-07-17,34.55,34.80,33.75,33.90,604300,33.90
2012-07-16,35.10,35.10,34.40,34.55,264500,34.55
2012-07-13,35.70,35.70,34.75,34.80,375500,34.80
2012-07-12,35.05,35.10,34.55,35.00,365400,35.00
2012-07-11,35.00,35.60,34.90,35.00,750800,35.00
2012-07-10,34.50,35.30,34.40,34.95,597700,34.95
2012-07-09,36.30,36.30,34.55,34.70,740200,34.70
2012-07-06,36.10,36.40,35.15,35.65,712900,35.65
2012-07-05,35.40,36.50,35.10,36.00,1834600,36.00
2012-07-04,34.55,35.65,34.55,35.30,1329500,35.30
2012-07-03,34.50,34.90,34.45,34.50,762800,34.50
2012-07-02,34.85,35.00,34.00,34.25,1508600,34.25
2012-06-29,35.80,35.95,34.50,34.60,1499300,34.60
2012-06-28,32.30,36.75,32.30,34.90,2152400,34.90
2012-06-27,36.20,36.60,35.70,36.25,612400,36.25
2012-06-26,35.60,35.90,35.30,35.75,100900,35.75
2012-06-25,36.40,36.70,35.35,35.45,433300,35.45
2012-06-22,35.75,36.15,35.30,35.65,631200,35.65
2012-06-21,35.50,36.10,35.25,36.00,220600,36.00
2012-06-20,35.10,35.85,34.65,35.60,300500,35.60
2012-06-19,35.30,35.45,34.60,34.75,237400,34.75
2012-06-18,36.60,36.90,35.00,35.40,335700,35.40
2012-06-15,36.20,36.80,36.10,36.40,319500,36.40
2012-06-14,36.30,37.10,36.00,36.15,295500,36.15
2012-06-13,38.00,38.00,36.80,36.95,511100,36.95
2012-06-12,36.70,37.95,36.70,37.50,258800,37.50
2012-06-11,37.85,38.85,37.05,37.15,1061100,37.15
2012-06-08,37.35,37.90,37.20,37.75,204900,37.75
2012-06-07,38.05,38.10,37.30,37.50,300600,37.50
2012-06-06,36.75,38.00,36.50,37.40,485900,37.40
2012-06-05,37.20,37.60,36.05,36.05,332700,36.05
2012-06-01,35.70,36.95,35.60,36.65,1042900,36.65
2012-05-31,34.80,35.95,34.35,35.95,310400,35.95
2012-05-30,36.20,36.20,34.10,35.10,419300,35.10
2012-05-29,36.30,36.60,35.75,35.90,197700,35.90
2012-05-28,36.00,36.40,35.75,36.30,198000,36.30
2012-05-25,35.50,36.20,35.30,36.00,236000,36.00
2012-05-24,35.70,36.00,35.30,35.75,167300,35.75
2012-05-23,35.90,36.05,34.75,35.40,304800,35.40
2012-05-22,37.50,37.70,36.20,36.50,321500,36.50
2012-05-21,36.20,37.45,36.00,37.15,309600,37.15
2012-05-18,35.10,36.25,32.05,36.25,524200,36.25
2012-05-17,37.25,37.95,36.10,36.25,527300,36.25
2012-05-16,37.05,37.60,36.15,37.60,736000,37.60
2012-05-14,37.30,37.30,36.10,37.30,286300,37.30
2012-05-11,37.25,37.50,36.35,36.90,617600,36.90
2012-05-10,37.60,38.40,36.40,37.85,260000,37.85
2012-05-09,38.50,39.20,37.00,37.60,430600,37.60
2012-05-08,40.80,41.40,38.40,38.50,405700,38.50
2012-05-07,37.85,40.80,37.85,39.90,560000,39.90
2012-05-04,40.00,40.00,39.00,39.40,2357100,39.40
2012-05-03,40.15,40.25,39.55,40.00,290000,40.00
2012-05-02,40.05,41.35,40.00,40.05,353500,40.05
2012-04-30,39.55,40.70,39.30,40.55,466200,40.55
2012-04-27,39.65,40.20,39.30,39.65,317600,39.65
2012-04-26,39.50,40.25,39.00,39.50,1928500,39.50
2012-04-25,40.30,40.75,39.00,39.25,653100,39.25
2012-04-24,40.60,40.70,39.60,40.30,418700,40.30
2012-04-23,42.00,42.60,40.00,40.00,619800,40.00
2012-04-20,41.50,43.50,41.20,42.30,2199100,42.30
2012-04-19,41.05,41.90,41.05,41.75,761800,41.75
2012-04-18,42.60,42.65,41.30,41.50,431300,41.50
2012-04-17,41.20,42.55,40.55,42.45,1290300,42.45
2012-04-16,40.70,41.25,39.90,41.20,389600,41.20
2012-04-13,42.00,42.90,40.55,40.55,602200,40.55
2012-04-12,40.90,42.25,40.20,41.95,1087000,41.95
2012-04-11,40.10,41.25,39.85,40.45,442800,40.45
2012-04-10,40.50,41.50,39.50,41.45,799100,41.45
2012-04-09,41.70,41.70,40.25,40.25,344100,40.25
2012-04-04,42.70,42.80,41.50,42.00,1289500,42.00
2012-04-03,41.80,42.50,41.35,41.90,703100,41.90
2012-04-02,41.00,41.90,40.75,41.85,733200,41.85
2012-03-30,40.15,40.90,39.65,40.75,819700,40.75
2012-03-29,38.00,40.15,38.00,39.70,913400,39.70
2012-03-28,40.00,40.40,39.05,39.50,1135300,39.50
2012-03-27,40.55,41.35,39.00,40.00,2250100,40.00
2012-03-26,40.80,40.90,39.05,39.85,850500,39.85
2012-03-23,40.40,42.35,39.50,39.95,2329000,39.95
2012-03-21,40.50,41.95,40.50,41.60,656100,41.60
2012-03-20,40.50,41.40,40.00,41.00,744500,41.00
2012-03-19,40.25,41.85,40.10,40.20,909300,40.20
2012-03-16,43.00,43.00,40.15,40.45,2527900,40.45
2012-03-15,44.00,44.00,41.55,42.60,1527100,42.60
2012-03-14,45.00,45.00,42.75,43.50,1781800,43.50
2012-03-13,43.30,44.20,42.75,44.10,1320300,44.10
2012-03-12,43.50,43.50,41.30,42.60,1487100,42.60
2012-03-09,41.70,42.00,40.75,41.90,936500,41.90
2012-03-07,39.30,41.30,38.40,40.70,1900700,40.70
2012-03-06,40.00,41.45,38.30,39.50,2471700,39.50
2012-03-05,43.00,43.40,39.40,41.05,4296000,41.05
2012-03-02,44.00,44.55,43.25,43.40,806000,43.40
2012-03-01,43.80,44.65,43.10,44.10,1040300,44.10
2012-02-29,45.00,45.90,43.40,44.20,1799400,44.20
2012-02-28,43.00,44.40,42.70,43.60,1500000,43.60
2012-02-27,44.50,44.60,42.15,43.00,1312800,43.00
2012-02-24,43.65,44.80,43.10,44.35,818900,44.35
2012-02-23,44.75,44.95,42.80,44.05,2675600,44.05
2012-02-22,47.75,47.90,44.60,45.05,1594100,45.05
2012-02-21,47.00,48.30,46.30,47.40,2215600,47.40
2012-02-17,49.00,49.00,46.55,46.55,7490900,46.55
2012-02-16,49.75,49.75,46.80,47.15,3654400,47.15
2012-02-15,46.95,49.60,46.55,48.90,12757800,48.90
2012-02-14,45.90,46.95,45.90,46.60,701700,46.60
2012-02-13,45.50,46.80,45.05,46.05,1104400,46.05
2012-02-10,45.55,46.90,44.90,46.00,2332900,46.00
2012-02-09,47.40,47.40,45.10,46.35,1455400,46.35
2012-02-08,44.10,46.65,44.10,46.10,1872600,46.10
2012-02-07,45.30,46.20,43.85,44.65,2098700,44.65
2012-02-06,46.40,49.80,45.00,45.25,3095000,45.25
2012-02-03,44.15,45.55,44.10,45.30,1725600,45.30
2012-02-02,44.50,45.35,43.25,45.25,1756200,45.25
2012-02-01,44.05,44.85,43.55,44.55,1265100,44.55
2012-01-31,42.20,44.40,41.70,44.00,2929600,44.00
2012-01-30,42.75,44.50,41.75,41.80,2626500,41.80
2012-01-27,44.00,44.30,42.65,42.70,1600100,42.70
2012-01-25,41.50,44.15,41.30,43.60,3595300,43.60
2012-01-24,41.25,41.70,40.00,41.50,4218400,41.50
2012-01-23,40.50,41.70,40.10,40.70,1229500,40.70
2012-01-20,41.50,41.75,40.55,40.85,2617100,40.85
2012-01-19,41.00,41.95,40.70,41.00,4638700,41.00
2012-01-18,41.00,41.90,39.30,41.40,5238700,41.40
2012-01-17,39.95,41.40,39.25,40.80,3007200,40.80
2012-01-16,39.00,39.65,37.20,39.00,1733900,39.00
2012-01-13,35.30,39.95,35.25,39.20,5404900,39.20
2012-01-12,34.70,35.70,34.45,35.25,1412600,35.25
2012-01-11,34.40,36.00,33.45,34.65,1522600,34.65
2012-01-10,34.15,34.65,34.05,34.30,1138800,34.30
2012-01-06,33.80,34.40,33.30,33.60,937500,33.60
2012-01-05,34.40,35.00,33.95,34.25,823200,34.25
2012-01-04,34.55,35.55,34.20,34.20,845500,34.20
2012-01-03,34.40,35.50,34.40,35.30,921500,35.30
2012-01-02,35.60,35.60,33.85,34.15,783300,34.15
2011-12-30,36.90,37.40,34.80,35.00,893400,35.00
2011-12-29,35.05,37.70,35.05,36.55,1838700,36.55
2011-12-28,35.60,36.30,34.75,35.80,1244300,35.80
2011-12-27,35.90,36.40,34.90,36.40,886300,36.40
2011-12-26,35.50,36.45,34.90,36.25,517200,36.25
2011-12-23,34.25,35.40,34.25,35.15,350800,35.15
2011-12-22,34.50,35.05,33.85,34.55,317100,34.55
2011-12-21,34.15,35.25,33.70,34.70,301000,34.70
2011-12-20,35.45,35.85,33.50,33.75,562800,33.75
2011-12-19,36.25,36.50,35.20,35.45,319900,35.45
2011-12-16,38.40,39.00,36.20,36.35,810700,36.35
2011-12-15,37.50,37.95,36.10,37.15,563400,37.15
2011-12-14,37.00,38.30,36.95,37.95,700400,37.95
2011-12-13,37.25,37.65,36.80,37.60,387000,37.60
2011-12-12,38.50,38.50,37.00,37.55,345300,37.55
2011-12-09,38.25,38.50,37.50,38.10,935500,38.10
2011-12-08,39.05,39.45,38.20,38.50,1437900,38.50
2011-12-07,37.60,39.35,37.05,39.00,813000,39.00
2011-12-05,36.35,37.55,36.10,37.25,508800,37.25
2011-12-02,35.25,36.80,35.25,36.50,342600,36.50
2011-12-01,34.85,36.10,34.50,35.50,412500,35.50
2011-11-30,35.00,35.00,33.80,33.80,176900,33.80
2011-11-29,34.70,34.70,33.80,34.30,4502400,34.30
2011-11-28,34.25,35.00,33.85,34.40,2485300,34.40
