Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,53.85,54.10,50.95,53.15,6250300,53.20
2012-07-20,53.85,54.20,50.80,53.20,6250300,53.20
2012-07-19,56.80,56.80,52.80,53.05,892800,53.05
2012-07-18,51.50,53.20,50.65,52.30,1408500,52.30
2012-07-17,52.00,52.85,51.00,51.40,1137900,51.40
2012-07-16,53.90,54.35,51.40,52.00,1714400,52.00
2012-07-13,55.00,55.45,53.60,53.65,1781400,53.65
2012-07-12,55.60,55.60,54.10,54.40,1604200,54.40
2012-07-11,54.65,56.45,53.95,55.50,3515800,55.50
2012-07-10,52.90,55.50,52.65,55.15,3415700,55.15
2012-07-09,55.45,55.70,52.65,52.75,3316000,52.75
2012-07-06,57.00,57.00,54.20,55.60,2473300,55.60
2012-07-05,55.75,57.60,55.50,56.50,3162100,56.50
2012-07-04,54.50,56.00,53.40,55.70,3371600,55.70
2012-07-03,53.05,54.90,52.45,54.60,2907900,54.60
2012-07-02,52.95,53.50,50.50,52.75,1830400,52.75
2012-06-29,51.95,53.10,51.70,52.45,1817300,52.45
2012-06-28,51.60,52.50,51.05,51.30,5350100,51.30
2012-06-27,48.20,52.15,48.20,50.90,4721100,50.90
2012-06-26,49.35,49.70,47.65,48.20,3479300,48.20
2012-06-25,49.80,50.90,49.00,49.55,1903100,49.55
2012-06-22,48.50,50.50,48.40,49.55,3460200,49.55
2012-06-21,49.10,49.70,48.10,49.00,2430200,49.00
2012-06-20,49.00,50.40,48.10,49.65,2870400,49.65
2012-06-19,48.10,49.20,47.15,48.65,3215200,48.65
2012-06-18,50.85,50.90,48.10,48.75,3848000,48.75
2012-06-15,47.50,49.85,47.50,49.40,6278200,49.40
2012-06-14,47.20,47.95,46.90,47.50,3202000,47.50
2012-06-13,47.05,48.70,46.95,47.25,2591700,47.25
2012-06-12,46.60,48.20,45.70,47.50,1830000,47.50
2012-06-11,48.15,49.10,46.65,46.65,2923700,46.65
2012-06-08,45.30,47.90,44.80,47.65,4070700,47.65
2012-06-07,45.50,45.95,44.45,45.65,2654100,45.65
2012-06-06,44.25,45.65,44.25,44.90,1765600,44.90
2012-06-05,43.25,44.35,43.15,43.95,744700,43.95
2012-06-01,45.00,46.00,41.30,42.40,1797800,42.40
2012-05-31,44.00,45.50,43.60,45.20,1095500,45.20
2012-05-30,44.50,45.05,43.55,44.35,1594200,44.35
2012-05-29,45.30,46.20,44.40,44.65,2716600,44.65
2012-05-28,45.00,45.45,44.35,44.85,1763000,44.85
2012-05-25,43.60,45.15,43.40,44.80,1281500,44.80
2012-05-24,43.15,44.10,42.55,43.85,672600,43.85
2012-05-23,44.00,44.00,42.60,43.25,776500,43.25
2012-05-22,44.65,45.35,43.15,43.65,2308200,43.65
2012-05-21,45.50,45.50,44.05,44.25,1386500,44.25
2012-05-18,43.70,45.00,43.00,44.90,1061800,44.90
2012-05-17,44.50,45.60,44.15,44.55,1469400,44.55
2012-05-16,43.55,45.40,42.70,44.50,2520500,44.50
2012-05-14,43.35,43.35,41.80,42.50,1100400,42.50
2012-05-11,43.00,44.40,41.95,42.75,1798000,42.75
2012-05-10,44.00,45.60,43.30,43.60,1677700,43.60
2012-05-09,45.00,46.70,44.15,44.95,2351000,44.95
2012-05-08,49.40,49.65,44.45,45.50,3093700,45.50
2012-05-07,46.30,48.60,45.15,48.40,2088000,48.40
2012-05-04,48.80,48.80,46.70,46.85,2011900,46.85
2012-05-03,50.35,50.65,48.75,48.85,2208400,48.85
2012-05-02,50.00,52.85,49.80,50.35,6771900,50.35
2012-04-30,49.50,50.45,48.75,49.45,2162100,49.45
2012-04-27,50.05,50.50,48.15,48.80,1408500,48.80
2012-04-26,50.85,51.80,49.25,49.50,2141400,49.50
2012-04-25,51.05,52.15,48.20,50.50,5496800,50.50
