/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,688.75,708.25,680.60,703.15,1408600,703.60
2012-07-20,690.00,708.70,680.30,703.60,1408600,703.60
2012-07-19,678.45,696.50,675.55,690.30,1436700,690.30
2012-07-18,670.35,681.00,663.45,673.15,1595200,673.15
2012-07-17,681.20,686.65,666.50,672.00,1397000,672.00
2012-07-16,691.40,693.85,674.20,674.90,1150800,674.90
2012-07-13,703.05,710.95,688.30,689.45,1193100,689.45
2012-07-12,706.85,709.35,696.45,700.00,1064600,700.00
2012-07-11,709.95,722.60,708.70,713.00,1120200,713.00
2012-07-10,706.00,716.90,702.70,712.45,1109000,712.45
2012-07-09,702.10,711.95,692.00,702.00,1765300,702.00
2012-07-06,720.00,720.70,701.10,712.80,1972500,712.80
2012-07-05,728.00,733.70,718.95,722.00,1822300,722.00
2012-07-04,703.45,729.30,696.20,726.50,3131800,726.50
2012-07-03,681.70,701.00,678.55,692.80,2267500,692.80
2012-07-02,684.10,688.50,672.85,677.30,1209100,677.30
2012-06-29,675.00,686.00,674.60,677.50,1514300,677.50
2012-06-28,667.60,676.85,661.70,667.00,1958600,667.00
2012-06-27,650.35,671.45,648.95,667.20,2045400,667.20
2012-06-26,644.10,653.00,639.15,648.10,1261600,648.10
2012-06-25,649.10,664.95,644.20,647.00,1292700,647.00
2012-06-22,674.75,674.75,638.20,646.00,1538200,646.00
2012-06-21,635.10,663.00,635.10,659.80,1548800,659.80
2012-06-20,636.00,655.70,634.15,649.00,1676200,649.00
2012-06-19,628.00,639.00,623.15,635.20,1354300,635.20
2012-06-18,654.95,662.95,621.00,627.05,1832900,627.05
2012-06-15,632.20,656.90,632.20,647.85,1655900,647.85
2012-06-14,640.00,644.00,625.65,631.00,1486500,631.00
2012-06-13,644.45,651.80,636.95,641.10,1625100,641.10
2012-06-12,630.50,648.00,625.00,641.60,2022400,641.60
2012-06-11,649.90,688.80,630.60,630.85,1967700,630.85
2012-06-08,644.00,699.00,623.80,641.00,2192700,641.00
2012-06-07,632.40,654.75,616.25,646.00,2843600,646.00
2012-06-06,605.00,630.25,605.00,626.90,1675200,626.90
2012-06-05,611.00,620.00,600.50,600.90,1481800,600.90
2012-06-01,630.95,635.00,598.20,599.50,2258100,599.50
2012-05-31,610.70,640.00,609.05,634.90,3153300,634.90
2012-05-30,617.85,622.00,608.50,620.00,1779400,620.00
2012-05-29,610.00,629.90,609.65,620.65,2417700,620.65
2012-05-28,609.00,613.90,596.20,606.60,1975100,606.60
2012-05-25,590.55,615.10,585.35,605.70,2545500,605.70
2012-05-24,584.00,597.85,566.10,596.00,2915600,596.00
2012-05-23,592.25,594.20,570.20,577.25,2488100,577.25
2012-05-22,616.55,626.00,591.10,594.95,1976900,594.95
2012-05-21,601.95,622.90,596.35,611.50,1960700,611.50
2012-05-18,590.00,614.00,580.65,597.65,2749100,597.65
2012-05-17,620.00,632.90,595.15,601.40,3090000,601.40
2012-05-16,652.00,652.00,612.55,615.75,3152300,615.75
2012-05-14,625.00,632.30,608.70,621.25,3450200,621.25
2012-05-11,660.00,667.90,605.65,627.15,4903200,627.15
2012-05-10,660.00,685.60,655.50,665.30,2078900,665.30
2012-05-09,683.70,693.00,656.95,657.85,2120300,657.85
2012-05-08,725.00,735.40,682.60,684.40,2596600,684.40
2012-05-07,656.15,729.80,648.10,729.20,2547000,729.20
2012-05-04,676.00,680.50,654.25,670.40,1410500,670.40
2012-05-03,679.00,694.50,675.60,681.95,1073000,681.95
2012-05-02,695.00,711.30,694.00,696.00,1489400,696.00
