/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1206.65,1271.75,1200.00,1263.40,1211100,1265.05
2012-07-20,1214.20,1272.40,1199.10,1265.05,1211100,1265.05
2012-07-19,1230.00,1248.35,1209.00,1210.10,368900,1210.10
2012-07-18,1225.05,1233.20,1204.30,1229.70,312700,1229.70
2012-07-17,1230.00,1239.80,1221.40,1225.10,131600,1225.10
2012-07-16,1235.00,1242.00,1221.20,1230.00,149200,1230.00
2012-07-13,1248.05,1255.55,1218.70,1230.00,589000,1230.00
2012-07-12,1237.70,1253.90,1232.30,1252.00,296600,1252.00
2012-07-11,1244.00,1256.70,1235.30,1239.70,352600,1239.70
2012-07-10,1243.20,1250.00,1232.10,1240.00,266200,1240.00
2012-07-09,1238.00,1254.00,1230.80,1243.70,276200,1243.70
2012-07-06,1238.85,1255.75,1232.30,1242.00,370200,1242.00
2012-07-05,1222.15,1250.00,1216.55,1237.00,512900,1237.00
2012-07-04,1231.00,1239.00,1145.00,1221.00,308200,1221.00
2012-07-03,1227.90,1240.90,1214.10,1225.00,672200,1225.00
2012-07-02,1169.00,1237.00,1168.50,1218.00,1079300,1218.00
2012-06-29,1154.70,1177.00,1153.20,1168.00,574400,1168.00
2012-06-28,1140.00,1158.00,1125.00,1151.15,889300,1151.15
2012-06-27,1135.10,1145.65,1115.40,1131.65,656500,1131.65
2012-06-26,1150.00,1163.90,1123.40,1132.00,554300,1132.00
2012-06-25,1139.95,1165.00,1130.10,1152.90,574500,1152.90
2012-06-22,1159.00,1195.00,1125.10,1137.00,1126600,1137.00
2012-06-21,1200.00,1209.95,1165.05,1177.95,714000,1177.95
2012-06-20,1202.10,1228.00,1195.00,1209.75,432000,1209.75
2012-06-19,1209.95,1222.00,1190.10,1201.80,464700,1201.80
2012-06-18,1220.25,1239.85,1187.05,1206.50,439200,1206.50
2012-06-15,1235.00,1244.80,1201.70,1218.00,628200,1218.00
2012-06-14,1250.05,1263.80,1227.20,1230.10,301900,1230.10
2012-06-13,1255.00,1267.85,1243.60,1255.70,453400,1255.70
2012-06-12,1235.95,1266.20,1219.30,1254.00,686400,1254.00
2012-06-11,1217.00,1249.80,1210.00,1225.85,850800,1225.85
2012-06-08,1199.80,1217.00,1181.00,1205.35,627500,1205.35
2012-06-07,1195.00,1219.90,1179.70,1204.00,1214300,1204.00
2012-06-06,1185.00,1202.95,1151.20,1180.10,1012500,1180.10
2012-06-05,1151.00,1194.90,1151.00,1173.25,908500,1173.25
2012-06-01,1273.75,1280.00,1225.55,1233.00,481400,1233.00
2012-05-31,1259.40,1283.30,1243.75,1273.00,920300,1273.00
2012-05-30,1263.10,1304.85,1259.00,1263.00,572500,1263.00
2012-05-29,1320.00,1332.95,1283.00,1287.30,967300,1287.30
2012-05-28,1250.00,1354.40,1247.70,1330.00,1334700,1330.00
2012-05-25,1168.00,1256.80,1163.60,1243.05,1603500,1243.05
2012-05-24,1174.50,1185.00,1152.65,1163.80,613800,1163.80
2012-05-23,1129.80,1172.75,1117.65,1171.00,672900,1171.00
2012-05-22,1140.00,1151.70,1125.05,1135.00,554200,1135.00
2012-05-21,1139.25,1151.40,1123.70,1133.00,425500,1133.00
2012-05-18,1119.80,1149.20,1102.30,1135.10,616200,1135.10
2012-05-17,1179.95,1191.40,1121.10,1133.55,914800,1133.55
2012-05-16,1137.35,1184.40,1132.00,1179.65,709500,1179.65
2012-05-14,1138.85,1175.00,1125.70,1156.00,1012600,1156.00
2012-05-11,1050.90,1147.30,1026.60,1127.50,1921900,1127.50
2012-05-10,1099.50,1099.50,1036.05,1049.35,1036000,1049.35
2012-05-09,1074.70,1091.00,1043.50,1078.20,567700,1078.20
2012-05-08,1118.40,1133.00,1066.10,1066.10,436700,1066.10
2012-05-07,1082.60,1120.00,1065.05,1115.50,410400,1115.50
2012-05-04,1115.30,1128.50,1083.00,1096.00,569900,1096.00
2012-05-03,1189.55,1189.55,1120.50,1126.75,594900,1126.75
2012-05-02,1180.00,1208.05,1175.00,1180.00,569600,1180.00
2012-04-30,1189.10,1191.80,1164.00,1184.00,237700,1184.00
2012-04-27,1180.00,1192.50,1166.40,1180.00,357600,1180.00
2012-04-26,1181.35,1196.10,1148.65,1175.50,771800,1175.50
2012-04-25,1139.40,1195.00,1136.20,1170.80,762200,1170.80
2012-04-24,1139.85,1145.00,1098.00,1133.00,299800,1133.00
2012-04-23,1144.40,1155.00,1116.10,1126.00,225100,1126.00
2012-04-20,1155.30,1159.50,1130.70,1144.90,289700,1144.90
2012-04-19,1167.75,1177.90,1153.45,1164.00,235700,1164.00
2012-04-18,1159.45,1183.85,1154.75,1168.05,435600,1168.05
2012-04-17,1154.95,1163.55,1133.30,1148.65,322800,1148.65
2012-04-16,1138.00,1163.00,1132.70,1152.00,314700,1152.00
2012-04-13,1132.90,1152.60,1121.05,1138.95,514100,1138.95
2012-04-12,1147.00,1170.00,1112.10,1120.00,727000,1120.00
2012-04-11,1160.20,1162.75,1126.70,1138.05,678100,1138.05
2012-04-10,1175.00,1180.65,1157.00,1166.00,301600,1166.00
2012-04-09,1170.00,1206.00,1162.00,1170.00,726300,1170.00
2012-04-04,1183.95,1192.00,1170.40,1186.00,413100,1186.00
2012-04-03,1209.20,1223.25,1185.05,1188.00,847000,1188.00
2012-04-02,1080.00,1205.00,1080.00,1200.00,1093700,1200.00
2012-03-30,1085.10,1197.85,1082.75,1162.20,2106500,1162.20
2012-03-29,1059.90,1124.00,1055.15,1102.00,1068600,1102.00
2012-03-28,1100.05,1109.90,1065.75,1070.00,883800,1070.00
2012-03-27,1138.25,1138.25,1086.00,1114.60,603400,1114.60
2012-03-26,1134.95,1137.90,1103.55,1122.05,369300,1122.05
2012-03-23,1060.00,1143.55,1060.00,1133.00,798300,1133.00
2012-03-21,1037.40,1124.00,1024.20,1122.00,963200,1122.00
2012-03-20,1054.45,1069.75,1025.30,1036.00,473800,1036.00
2012-03-19,1095.00,1099.00,1042.00,1062.00,365400,1062.00
2012-03-16,1087.65,1102.70,1069.95,1077.90,398400,1077.90
2012-03-15,1088.80,1108.80,1073.40,1096.00,755100,1096.00
2012-03-14,1060.00,1104.65,1060.00,1093.80,797200,1093.80
2012-03-13,1065.00,1083.75,1031.10,1068.00,673100,1068.00
2012-03-12,1021.90,1070.00,1020.40,1064.00,1012100,1064.00
2012-03-09,962.00,1024.00,958.35,1017.55,1078300,1017.55
2012-03-07,956.00,964.80,940.15,946.45,308100,946.45
2012-03-06,943.75,972.60,936.55,958.00,526000,958.00
2012-03-05,959.35,960.00,928.85,943.00,762500,943.00
2012-03-02,1014.70,1023.00,948.20,958.30,1417300,958.30
2012-03-01,1039.95,1081.60,997.15,1002.75,1580600,1002.75
2012-02-29,1019.95,1054.00,1018.70,1040.00,732000,1040.00
2012-02-28,1024.35,1028.45,1008.50,1008.90,533200,1008.90
2012-02-27,1004.65,1057.00,994.35,1012.80,1076600,1012.80
2012-02-24,1049.40,1049.40,993.00,1003.00,905700,1003.00
2012-02-23,956.85,1040.00,940.25,1032.00,1379200,1032.00
2012-02-22,1007.00,1017.45,954.05,968.00,592100,968.00
2012-02-21,1000.00,1015.00,986.05,1004.65,512300,1004.65
2012-02-17,1040.00,1047.35,988.20,1003.50,823000,1003.50
2012-02-16,1015.00,1059.90,1010.60,1034.00,998100,1034.00
2012-02-15,1020.00,1029.00,1005.00,1018.00,653100,1018.00
2012-02-14,1000.00,1029.85,995.00,1004.90,737800,1004.90
2012-02-13,1005.30,1021.15,984.25,999.70,1095500,999.70
2012-02-10,1045.00,1049.70,992.55,1000.20,1414500,1000.20
2012-02-09,941.20,1044.70,941.20,1042.00,2568300,1042.00
2012-02-08,931.90,972.40,920.00,943.20,2192000,943.20
2012-02-07,976.40,984.25,913.40,917.70,1044100,917.70
2012-02-06,953.00,998.60,953.00,973.00,1071800,973.00
2012-02-03,940.05,987.95,932.50,972.10,1596000,972.10
2012-02-02,934.70,954.40,918.35,924.75,663800,924.75
2012-02-01,940.00,947.70,922.65,934.70,869000,934.70
2012-01-31,901.00,949.45,890.15,941.65,1768000,941.65
2012-01-30,853.65,911.00,841.65,898.80,1910800,898.80
2012-01-27,877.70,877.70,848.50,854.35,445500,854.35
2012-01-25,870.05,894.35,856.00,873.00,829900,873.00
2012-01-24,831.75,874.80,827.65,858.75,975300,858.75
2012-01-23,832.65,835.45,815.90,829.20,334000,829.20
2012-01-20,840.05,861.00,821.00,832.05,792200,832.05
2012-01-19,808.00,844.70,808.00,839.50,929700,839.50
2012-01-18,833.00,839.70,800.00,801.50,900200,801.50
2012-01-17,782.10,838.90,782.10,830.10,1790100,830.10
2012-01-16,778.70,792.10,770.00,781.30,510000,781.30
2012-01-13,788.00,797.50,775.00,781.50,451600,781.50
2012-01-12,788.00,806.70,774.10,787.00,1081000,787.00
2012-01-11,771.05,799.80,771.05,790.00,1085100,790.00
2012-01-10,745.50,781.95,742.50,776.25,965900,776.25
2012-01-06,750.50,758.95,743.70,753.70,488700,753.70
2012-01-05,759.00,769.90,745.00,750.00,577300,750.00
2012-01-04,756.55,772.80,752.50,758.00,1041000,758.00
2012-01-03,759.50,762.80,743.20,752.00,708500,752.00
2012-01-02,758.05,762.30,742.20,750.55,480800,750.55
2011-12-30,775.00,780.75,750.00,753.05,745300,753.05
2011-12-29,740.00,778.00,740.00,767.80,1088000,767.80
2011-12-28,759.10,763.95,740.65,750.05,882400,750.05
2011-12-27,775.00,781.95,756.35,766.80,609200,766.80
2011-12-26,762.50,785.00,762.50,770.95,890500,770.95
2011-12-23,793.00,803.70,757.75,759.20,1029700,759.20
2011-12-22,745.00,821.90,728.65,784.00,1544700,784.00
2011-12-21,732.40,749.00,722.00,747.00,993500,747.00
2011-12-20,762.00,776.70,696.40,722.00,1466300,722.00
2011-12-19,755.00,770.00,731.80,754.00,1023800,754.00
2011-12-16,785.05,798.70,746.20,750.00,992800,750.00
2011-12-15,740.00,786.00,727.10,784.50,1766600,784.50
2011-12-14,742.00,766.00,742.00,742.55,922400,742.55
2011-12-13,742.00,755.70,729.05,752.45,944700,752.45
2011-12-12,779.90,787.35,742.55,754.00,879000,754.00
2011-12-09,800.00,800.00,766.10,774.00,1130100,774.00
2011-12-08,826.50,835.00,798.55,804.00,853500,804.00
2011-12-07,849.90,858.35,819.60,820.35,1066200,820.35
2011-12-05,831.00,858.70,830.00,848.00,1065200,848.00
2011-12-02,795.00,842.00,791.00,841.00,1136300,841.00
2011-12-01,790.00,809.90,775.35,792.90,1210300,792.90
2011-11-30,760.25,781.90,750.85,772.60,863000,772.60
2011-11-29,781.00,796.50,756.65,760.30,956100,760.30
2011-11-28,763.05,784.00,763.05,774.00,600300,774.00
2011-11-25,746.20,775.00,742.80,758.00,829900,758.00
2011-11-24,764.00,764.05,736.00,751.00,875400,751.00
2011-11-23,741.70,764.95,725.15,764.70,1340600,764.70
2011-11-22,766.00,771.70,717.05,744.50,1726900,744.50
2011-11-21,785.00,788.45,753.55,758.05,858800,758.05
2011-11-18,776.90,804.00,745.25,798.05,1111200,798.05
2011-11-17,775.00,793.95,768.00,770.70,1310200,770.70
2011-11-16,696.50,785.00,696.50,782.00,2106200,782.00
2011-11-15,743.00,760.95,726.75,732.70,1142100,732.70
2011-11-14,790.00,797.05,739.25,744.95,1311500,744.95
2011-11-11,800.00,804.85,760.25,774.00,1005900,774.00
2011-11-09,809.00,814.00,795.00,796.00,561200,796.00
2011-11-08,810.15,817.90,799.10,802.00,972200,802.00
2011-11-04,816.30,820.50,795.25,807.90,2428800,807.90
2011-11-03,845.00,861.90,805.10,808.00,2775300,808.00
2011-11-02,824.00,844.50,819.10,833.00,924500,833.00
2011-11-01,800.00,829.00,793.00,823.90,1060200,823.90
2011-10-31,830.00,854.05,801.00,809.90,1024800,809.90
2011-10-28,872.00,878.80,830.50,838.50,981000,838.50
2011-10-26,858.50,861.65,848.25,855.25,223700,855.25
2011-10-25,857.90,860.85,819.20,852.00,1022600,852.00
2011-10-24,844.00,865.00,834.60,841.60,916600,841.60
2011-10-21,860.00,874.05,830.10,834.35,1181300,834.35
2011-10-20,890.00,892.90,845.20,860.00,1152300,860.00
