Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,667.00,674.95,662.90,664.00,537200,664.00
2014-01-28,657.00,670.00,645.05,659.80,1339400,659.80
2014-01-27,678.10,682.50,654.55,658.10,1614700,658.10
2014-01-24,695.00,704.80,681.00,684.75,857800,684.75
2014-01-23,707.00,711.55,703.20,705.30,337800,705.30
2014-01-22,705.00,718.00,698.20,710.30,1320200,710.30
2014-01-21,729.70,732.00,704.00,706.30,1700100,706.30
2014-01-20,725.80,737.50,720.00,728.15,499300,728.15
2014-01-17,730.50,737.75,720.00,727.10,323100,727.10
2014-01-16,730.30,735.00,723.00,731.45,551100,731.45
2014-01-15,714.00,731.15,712.55,729.15,555600,729.15
2014-01-14,716.00,723.10,707.00,711.30,263800,711.30
2014-01-13,695.15,724.75,695.15,716.90,472400,716.90
2014-01-10,704.10,714.80,698.00,700.45,366200,700.45
2014-01-09,710.50,715.55,706.65,710.15,307500,710.15
2014-01-08,709.00,717.00,703.65,712.90,312900,712.90
2014-01-07,712.00,715.00,700.00,708.15,643700,708.15
2014-01-06,710.00,717.00,705.60,714.10,446700,714.10
2014-01-03,707.10,716.30,696.60,712.55,572500,712.55
2014-01-02,722.60,731.45,703.00,707.40,456100,707.40
2014-01-01,732.00,732.05,720.75,722.55,392700,722.55
2013-12-31,734.95,735.00,725.50,728.25,180200,728.25
2013-12-30,740.50,741.10,725.70,731.80,446700,731.80
2013-12-27,729.70,742.95,727.00,740.05,534500,740.05
2013-12-26,727.00,735.00,722.05,725.90,925100,725.90
2013-12-25,728.80,728.80,728.80,728.80,000,728.80
2013-12-24,734.00,735.00,723.00,728.80,290500,728.80
2013-12-23,734.90,741.00,729.00,732.55,406400,732.55
2013-12-20,722.70,736.35,715.05,733.15,1089000,733.15
2013-12-19,757.00,757.10,720.00,721.95,680000,721.95
2013-12-18,740.90,763.15,738.50,750.20,1075400,750.20
2013-12-17,756.50,758.55,738.30,740.60,306700,740.60
2013-12-16,758.40,759.05,747.80,750.80,358100,750.80
2013-12-13,758.55,762.10,753.90,758.50,369000,758.50
2013-12-12,762.20,770.70,757.25,765.10,301300,765.10
2013-12-11,767.15,774.80,760.70,768.95,457300,768.95
2013-12-10,764.25,776.80,754.55,772.50,762300,772.50
2013-12-09,785.00,787.90,759.75,763.90,785900,763.90
2013-12-06,764.30,769.00,751.65,757.85,629200,757.85
2013-12-05,758.00,771.30,755.00,761.95,758700,761.95
2013-12-04,753.10,761.40,746.65,749.05,547800,749.05
2013-12-03,766.65,767.95,754.45,758.70,432800,758.70
2013-12-02,756.25,774.00,756.25,770.55,475300,770.55
2013-11-29,758.00,764.70,752.00,756.80,573700,756.80
2013-11-28,747.00,756.85,740.25,751.90,799700,751.90
2013-11-27,744.70,749.70,736.70,747.05,250600,747.05
2013-11-26,744.00,749.90,735.10,745.85,1648900,745.85
2013-11-25,722.00,748.00,720.60,745.65,509600,745.65
2013-11-22,716.10,728.00,713.50,716.60,530800,716.60
2013-11-21,726.00,728.40,708.00,711.50,639300,711.50
2013-11-20,735.35,744.80,725.65,732.95,445300,732.95
2013-11-19,746.00,746.00,732.65,735.35,405200,735.35
2013-11-18,737.70,745.00,732.40,743.05,605900,743.05
2013-11-15,725.65,725.65,725.65,725.65,000,725.65
2013-11-14,725.00,734.75,720.30,725.65,530700,725.65
2013-11-13,712.90,723.50,710.00,718.25,433100,718.25
2013-11-12,711.05,729.40,711.05,716.20,332500,716.20
2013-11-11,716.10,726.70,709.20,712.35,490100,712.35
2013-11-08,726.15,734.00,717.25,727.40,426300,727.40
2013-11-07,732.00,746.90,730.00,734.65,411300,734.65
2013-11-06,745.00,748.15,730.00,731.45,270600,731.45
2013-11-05,743.40,753.00,734.35,745.40,845500,745.40
2013-11-04,748.50,748.50,748.50,748.50,000,748.50
2013-11-01,753.00,756.20,745.55,748.50,1172900,748.50
2013-10-31,738.70,761.80,729.30,752.45,1146600,752.45
2013-10-30,736.00,744.55,733.10,738.10,636400,738.10
2013-10-29,706.00,735.00,703.75,733.05,1460200,733.05
2013-10-28,709.90,715.80,705.60,708.50,631000,708.50
2013-10-25,706.45,716.80,695.35,704.90,1061500,704.90
2013-10-24,705.70,730.50,703.60,707.05,1554600,707.05
2013-10-23,711.00,719.20,705.10,710.10,675800,710.10
2013-10-22,712.10,719.80,706.00,709.10,947900,709.10
2013-10-21,705.00,723.50,700.25,716.85,1429000,716.85
2013-10-18,680.10,704.35,678.60,701.35,1244900,701.35
2013-10-17,684.70,694.50,673.00,676.85,745500,676.85
2013-10-16,682.90,682.90,682.90,682.90,000,682.90
2013-10-15,703.00,705.00,678.20,682.90,668600,682.90
2013-10-14,705.00,714.50,695.50,698.60,713300,698.60
2013-10-11,715.00,720.05,702.60,705.00,883400,705.00
2013-10-10,717.00,723.50,700.30,705.70,972600,705.70
2013-10-09,687.00,723.70,685.35,718.80,594200,718.80
2013-10-08,705.50,716.75,686.00,694.85,522800,694.85
2013-10-07,693.25,700.00,677.10,686.75,489700,686.75
2013-10-04,697.80,707.60,689.80,695.55,777200,695.55
2013-10-03,690.00,704.85,687.60,700.10,785500,700.10
2013-10-02,685.10,685.10,685.10,685.10,000,685.10
2013-10-01,678.40,689.50,667.00,685.10,462800,685.10
2013-09-30,677.00,689.15,668.40,678.10,653500,678.10
2013-09-27,707.00,712.85,680.10,682.85,682300,682.85
2013-09-26,709.30,721.50,698.00,703.40,1272900,703.40
2013-09-25,721.20,724.75,695.25,709.30,1626500,709.30
2013-09-24,707.00,732.40,707.00,720.10,677500,720.10
2013-09-23,733.55,740.70,714.05,719.30,761900,719.30
2013-09-20,773.00,775.95,727.40,748.20,1267600,748.20
2013-09-19,747.10,779.00,742.00,771.65,1742800,771.65
2013-09-18,710.00,717.00,697.00,714.85,816200,714.85
2013-09-17,714.00,715.60,701.05,709.25,497900,709.25
2013-09-16,735.00,738.70,703.90,711.10,5671900,711.10
2013-09-13,694.90,722.90,691.20,716.00,972400,716.00
2013-09-12,715.20,720.85,691.85,700.50,654200,700.50
2013-09-11,700.00,718.30,689.00,715.20,969900,715.20
2013-09-10,686.30,714.40,685.10,708.45,952600,708.45
2013-09-09,677.25,677.25,677.25,677.25,000,677.25
2013-09-06,667.70,681.60,652.75,677.25,1096600,677.25
2013-09-05,625.25,675.00,625.25,662.00,1631600,662.00
2013-09-04,599.90,624.00,591.00,608.50,1079100,608.50
2013-09-03,630.20,640.00,596.00,600.65,1132200,600.65
2013-09-02,654.90,674.70,622.35,627.00,681300,627.00
2013-08-30,635.00,669.00,608.45,659.60,1774600,659.60
2013-08-29,608.50,659.80,596.25,647.45,2485800,647.45
2013-08-28,598.00,623.85,588.00,606.65,1567200,606.65
2013-08-27,620.00,622.00,601.00,613.55,1127600,613.55
2013-08-26,649.25,650.00,625.00,633.15,739000,633.15
2013-08-23,636.00,647.20,624.00,642.55,2028500,642.55
2013-08-22,621.80,638.50,615.00,630.60,1536700,630.60
2013-08-21,650.10,674.00,618.00,624.55,941600,624.55
2013-08-20,606.35,642.80,602.35,634.20,4764800,634.20
2013-08-19,629.00,635.00,612.15,620.80,659800,620.80
2013-08-16,652.25,660.75,626.90,632.25,1894200,632.25
2013-08-15,661.30,661.30,661.30,661.30,000,661.30
2013-08-14,660.00,669.35,653.90,661.30,1476100,661.30
2013-08-13,650.00,661.80,638.20,659.10,707800,659.10
2013-08-12,653.10,660.50,646.70,650.05,2723300,650.05
2013-08-09,652.75,652.75,652.75,652.75,000,652.75
2013-08-08,645.00,656.50,638.30,652.75,640400,652.75
2013-08-07,632.00,645.80,632.00,640.90,1004300,640.90
2013-08-06,656.70,656.70,630.00,638.15,2772800,638.15
2013-08-05,653.50,665.80,641.00,660.90,522200,660.90
2013-08-02,662.25,672.30,645.00,653.50,749200,653.50
2013-08-01,655.20,675.00,638.80,666.30,1089800,666.30
2013-07-31,648.00,659.70,622.50,652.35,1904700,652.35
2013-07-30,662.30,678.90,646.80,650.35,876400,650.35
2013-07-29,677.00,682.85,657.10,661.90,1293800,661.90
2013-07-26,693.80,695.00,667.50,679.95,915300,679.95
2013-07-25,688.70,699.00,681.20,685.15,673100,685.15
2013-07-24,716.90,716.90,680.00,689.45,796500,689.45
2013-07-23,705.00,733.95,703.00,730.10,613700,730.10
2013-07-22,685.20,703.50,681.15,700.65,659400,700.65
2013-07-19,711.10,713.80,686.20,690.85,1128900,690.85
2013-07-18,715.00,725.00,678.70,711.70,2420700,711.70
2013-07-17,715.00,717.20,700.05,711.40,1054900,711.40
2013-07-16,730.60,744.90,702.70,712.85,1001300,712.85
2013-07-15,755.80,762.30,746.00,757.45,438700,757.45
2013-07-12,753.00,761.90,736.65,758.10,591600,758.10
2013-07-11,730.00,752.00,730.00,745.80,808000,745.80
2013-07-10,718.00,736.50,717.60,726.35,891900,726.35
2013-07-09,696.10,719.00,685.65,714.05,557800,714.05
2013-07-08,697.00,700.95,683.10,692.25,529800,692.25
2013-07-05,707.75,707.75,698.50,702.65,214900,702.65
2013-07-04,702.10,710.80,694.50,699.55,409200,699.55
2013-07-03,711.80,715.05,695.25,698.85,404500,698.15
2013-07-02,720.10,724.55,713.00,715.75,336100,715.03
2013-07-01,723.00,735.00,715.20,723.95,460000,723.22
2013-06-28,708.00,727.00,707.50,722.20,1541800,721.48
2013-06-27,693.50,710.05,693.00,702.10,1168800,701.40
2013-06-26,718.50,720.00,683.00,688.25,1172600,687.56
2013-06-25,696.55,724.65,691.65,718.30,1239500,717.58
2013-06-24,725.00,725.00,690.10,693.70,665500,693.01
2013-06-21,731.00,738.00,720.30,729.50,685200,728.77
2013-06-20,759.00,760.05,731.35,738.60,597100,737.86
2013-06-19,762.85,769.50,758.65,766.15,419100,765.38
2013-06-18,755.50,771.60,750.05,762.80,791100,762.04
2013-06-17,756.70,761.35,745.30,756.15,410100,755.39
2013-06-14,752.90,761.95,748.00,756.70,259800,755.94
2013-06-13,739.00,747.90,738.20,743.40,303200,742.66
2013-06-12,745.25,754.60,740.65,746.35,746700,745.60
2013-06-11,748.00,764.90,747.00,749.40,916100,748.65
2013-06-10,765.50,768.30,743.35,753.65,425900,752.90
2013-06-07,774.70,775.00,762.00,762.90,403400,762.14
2013-06-06,766.50,777.95,760.00,774.70,346800,773.92
2013-06-05,762.00,771.90,758.70,768.45,405000,767.68
2013-06-04,765.00,776.70,762.65,767.30,403900,766.53
2013-06-03,781.25,785.70,765.20,770.40,350400,769.63
2013-05-31,793.00,796.00,776.80,782.95,685900,782.17
2013-05-30,779.00,807.35,772.30,799.85,770700,799.05
2013-05-29,775.00,782.00,764.40,777.25,320900,776.47
2013-05-28,788.00,792.00,772.60,775.40,437100,774.62
2013-05-27,781.35,793.90,769.25,789.45,616900,788.66
2013-05-24,767.10,784.25,759.40,781.05,380900,780.27
2013-05-23,763.00,772.15,752.60,765.55,454700,764.78
2013-05-22,766.10,773.30,759.35,768.10,317500,767.33
2013-05-21,781.75,782.80,762.85,765.10,536100,764.33
2013-05-20,794.50,797.95,778.00,781.75,531800,780.97
2013-05-17,774.00,799.00,768.70,794.35,571600,793.55
2013-05-16,763.00,781.50,761.95,777.95,784100,777.17
2013-05-15,730.00,770.05,726.90,768.25,783600,767.48
2013-05-14,725.80,732.40,720.75,729.90,328300,729.17
2013-05-13,736.00,736.65,723.00,725.00,342500,724.27
2013-05-10,721.25,733.45,716.00,730.45,431800,729.72
