Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,101.50,101.50,97.80,98.10,291100,98.10
2014-01-28,102.90,102.90,97.50,99.15,560300,99.15
2014-01-27,103.00,103.65,99.75,100.45,391600,100.45
2014-01-24,104.20,105.85,102.50,104.90,667300,104.90
2014-01-23,105.50,106.20,104.60,105.50,240600,105.50
2014-01-22,105.50,106.60,103.10,105.45,299700,105.45
2014-01-21,105.40,106.10,103.95,105.05,260800,105.05
2014-01-20,102.80,105.30,101.10,104.70,325300,104.70
2014-01-17,105.00,105.00,101.00,101.90,393200,101.90
2014-01-16,106.15,106.70,103.70,104.10,228100,104.10
2014-01-15,104.40,106.50,104.40,106.05,293300,106.05
2014-01-14,105.00,105.95,103.50,104.05,297800,104.05
2014-01-13,105.00,106.40,102.80,105.00,355600,105.00
2014-01-10,108.00,108.90,104.20,104.90,395600,104.90
2014-01-09,109.95,110.15,106.50,107.25,485200,107.25
2014-01-08,108.20,111.15,107.70,109.20,531700,109.20
2014-01-07,110.00,110.60,106.75,108.10,394400,108.10
2014-01-06,111.90,111.90,108.05,109.50,336700,109.50
2014-01-03,108.50,111.45,106.35,110.80,746100,110.80
2014-01-02,114.00,117.30,107.15,108.45,1198300,108.45
2014-01-01,112.00,114.95,110.50,113.55,589800,113.55
2013-12-31,110.10,112.95,108.70,111.35,734700,111.35
2013-12-30,111.20,112.50,108.35,109.65,486000,109.65
2013-12-27,113.40,114.85,109.60,111.25,1043000,111.25
2013-12-26,106.05,113.75,105.45,112.90,2265400,112.90
2013-12-25,105.15,105.15,105.15,105.15,000,105.15
2013-12-24,105.70,107.40,104.20,105.15,512300,105.15
2013-12-23,106.00,106.90,103.60,105.55,879100,105.55
2013-12-20,99.35,106.20,98.45,105.30,1099800,105.30
2013-12-19,101.00,101.65,98.15,98.55,330500,98.55
2013-12-18,98.05,101.55,97.20,100.65,580500,100.65
2013-12-17,100.00,100.50,97.55,97.90,270600,97.90
2013-12-16,99.50,100.25,98.00,99.20,342200,99.20
2013-12-13,99.20,100.40,98.65,98.90,275700,98.90
2013-12-12,101.75,102.15,99.80,100.25,412600,100.25
2013-12-11,103.50,103.50,100.50,101.25,258200,101.25
2013-12-10,104.20,104.85,102.60,103.45,313900,103.45
2013-12-09,107.55,108.00,104.40,105.05,455800,105.05
2013-12-06,105.00,105.70,103.70,105.00,273600,105.00
2013-12-05,104.20,106.00,103.25,104.60,425700,104.60
2013-12-04,102.75,104.95,101.65,102.10,506200,102.10
2013-12-03,104.50,104.70,102.20,103.15,277900,103.15
2013-12-02,104.00,107.15,104.00,104.90,609100,104.90
2013-11-29,100.05,104.20,99.55,103.45,636700,103.45
2013-11-28,99.50,101.50,99.05,100.10,331800,100.10
2013-11-27,99.50,99.95,98.15,98.80,293800,98.80
2013-11-26,100.05,101.35,99.00,99.45,321800,99.45
2013-11-25,98.60,100.80,98.60,100.55,388600,100.55
2013-11-22,100.35,100.40,97.90,98.60,322600,98.60
2013-11-21,101.50,101.50,98.70,99.15,534300,99.15
2013-11-20,104.30,104.40,101.45,102.10,457800,102.10
2013-11-19,104.40,105.40,103.50,104.35,697500,104.35
2013-11-18,102.00,103.95,102.00,103.60,491500,103.60
2013-11-15,100.60,100.60,100.60,100.60,000,100.60
2013-11-14,99.60,102.45,99.60,100.60,582300,100.60
2013-11-13,97.90,100.45,97.45,98.75,568000,98.75
2013-11-12,99.90,100.75,97.70,98.05,513500,98.05
2013-11-11,102.50,102.80,98.70,99.20,599100,99.20
2013-11-08,101.85,103.90,101.00,102.10,526000,102.10
2013-11-07,105.50,108.85,101.90,102.20,1964500,102.20
2013-11-06,104.90,105.45,101.00,101.50,793800,101.50
2013-11-05,103.80,106.90,101.60,103.95,1210900,103.95
2013-11-04,102.65,102.65,102.65,102.65,000,102.65
2013-11-01,102.00,105.40,101.05,102.65,1437700,102.65
2013-10-31,97.00,102.00,96.20,101.35,1191600,101.35
2013-10-30,100.00,100.65,96.25,96.55,593000,96.55
2013-10-29,94.50,100.20,93.05,99.60,1262200,99.60
2013-10-28,98.10,99.75,94.10,94.40,526200,94.40
2013-10-25,100.20,100.70,97.05,97.95,463300,97.95
2013-10-24,101.35,102.50,99.25,100.10,770800,100.10
2013-10-23,100.40,102.90,99.35,100.95,1453600,100.95
2013-10-22,98.55,101.10,96.40,99.30,2238200,99.30
2013-10-21,107.00,109.40,103.20,104.65,1348200,104.65
2013-10-18,104.55,108.05,104.25,106.20,1039500,106.20
2013-10-17,102.00,106.50,100.00,103.65,1707800,103.65
2013-10-16,102.70,102.70,102.70,102.70,000,102.70
2013-10-15,109.75,109.90,101.10,102.70,3143300,102.70
2013-10-14,94.75,110.45,94.25,108.90,5326800,108.90
2013-10-11,93.55,94.80,92.40,93.10,462000,93.10
2013-10-10,93.45,94.40,92.20,92.55,360500,92.55
2013-10-09,90.85,93.80,90.00,93.00,551600,93.00
2013-10-08,92.10,93.20,90.50,91.25,849500,91.25
2013-10-07,88.50,91.65,86.75,89.75,577400,89.75
2013-10-04,88.10,89.90,86.60,87.85,399300,87.85
2013-10-03,85.80,88.95,85.80,88.35,397100,88.35
2013-10-02,85.70,85.70,85.70,85.70,000,85.70
2013-10-01,83.45,86.35,82.65,85.70,367400,85.70
2013-09-30,86.55,86.55,82.25,83.40,292500,83.40
2013-09-27,86.60,89.25,85.85,86.90,517000,86.90
2013-09-26,87.00,88.20,85.75,86.25,1065500,86.25
2013-09-25,87.95,88.60,84.80,86.95,478700,86.95
