Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,204.20,204.60,198.45,199.40,225000,199.40
2014-01-24,211.70,211.70,206.20,207.15,191500,207.15
2014-01-23,211.00,212.90,210.10,211.95,122700,211.95
2014-01-22,213.45,213.45,209.90,211.05,212900,211.05
2014-01-21,211.20,213.90,211.20,212.35,189400,212.35
2014-01-20,210.00,212.00,208.10,211.20,178100,211.20
2014-01-17,211.00,214.30,207.85,208.30,276100,208.30
2014-01-16,215.00,215.90,209.50,211.00,753600,211.00
2014-01-15,209.45,213.70,209.00,213.00,328700,213.00
2014-01-14,205.85,210.20,205.15,207.80,351700,207.80
2014-01-13,204.60,206.00,202.10,204.70,252600,204.70
2014-01-10,209.20,209.75,202.00,202.65,455100,202.65
2014-01-09,211.80,213.20,207.25,207.75,362800,207.75
2014-01-08,210.20,212.70,209.50,210.40,197300,210.40
2014-01-07,214.00,214.95,207.00,209.80,282100,209.80
2014-01-06,215.50,216.90,210.00,212.35,271500,212.35
2014-01-03,211.00,216.70,208.50,215.10,417200,215.10
2014-01-02,221.90,224.65,210.25,211.50,522300,211.50
2014-01-01,220.70,223.90,219.35,221.80,348300,221.80
2013-12-31,218.10,219.90,215.90,219.20,384700,219.20
2013-12-30,217.05,218.80,215.20,216.65,180900,216.65
2013-12-27,217.50,220.75,216.25,217.00,316800,217.00
2013-12-26,216.30,217.55,213.65,215.35,590400,215.35
2013-12-25,216.00,216.00,216.00,216.00,000,216.00
2013-12-24,217.50,219.00,215.00,216.00,446400,216.00
2013-12-23,209.95,217.35,209.40,215.45,604500,215.45
2013-12-20,202.95,209.25,200.20,208.70,525600,208.70
2013-12-19,206.05,207.00,201.00,201.70,340100,201.70
2013-12-18,198.50,205.45,198.00,204.25,423100,204.25
2013-12-17,200.20,202.50,197.50,198.30,218400,198.30
2013-12-16,198.80,200.90,197.25,198.55,249500,198.55
2013-12-13,200.40,201.90,197.60,198.20,318300,198.20
2013-12-12,201.50,204.30,200.40,201.00,237300,201.00
2013-12-11,201.50,202.70,198.50,201.50,299000,201.50
2013-12-10,206.85,206.90,202.10,202.70,186600,202.70
2013-12-09,209.00,209.80,205.30,206.30,294300,206.30
2013-12-06,201.90,204.80,201.90,202.70,276700,202.70
2013-12-05,205.60,207.00,202.20,202.90,288400,202.90
2013-12-04,208.50,208.50,200.55,201.70,391500,201.70
2013-12-03,207.50,209.75,205.30,205.75,262500,205.75
2013-12-02,208.25,210.90,206.60,207.90,341900,207.90
2013-11-29,206.95,210.60,206.55,208.00,311400,208.00
2013-11-28,205.00,208.85,204.60,206.70,407100,206.70
2013-11-27,206.40,208.00,200.00,202.15,1712500,202.15
2013-11-26,211.75,213.45,206.50,207.25,276600,207.25
2013-11-25,212.60,214.95,208.75,210.15,394400,210.15
2013-11-22,210.30,214.25,208.25,210.15,238100,210.15
2013-11-21,219.00,219.00,209.30,210.05,374600,210.05
2013-11-20,227.00,227.30,219.20,220.30,138500,220.30
2013-11-19,225.60,228.50,224.05,226.70,194100,226.70
2013-11-18,223.50,227.90,223.50,226.95,329000,226.95
2013-11-15,220.20,220.20,220.20,220.20,000,220.20
2013-11-14,210.90,221.65,210.90,220.20,479200,220.20
2013-11-13,208.45,213.80,207.85,208.75,191000,208.75
