Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,15.10,15.10,14.60,14.70,25362200,14.70
2012-07-20,15.10,15.65,14.60,14.70,25362200,14.70
2012-07-19,14.90,15.05,14.65,14.70,23954000,14.70
2012-07-18,14.90,14.90,14.15,14.65,39103100,14.65
2012-07-17,15.50,15.50,14.75,14.80,23505300,14.80
2012-07-16,15.85,15.95,15.20,15.25,19539300,15.25
2012-07-13,16.20,16.25,15.60,15.70,39602700,15.70
2012-07-12,15.60,16.05,15.35,15.95,34545500,15.95
2012-07-11,15.90,16.00,15.75,15.85,20663700,15.85
2012-07-10,15.60,16.05,15.40,16.00,25305100,16.00
2012-07-09,16.20,16.20,15.40,15.40,35318900,15.40
2012-07-06,16.60,16.80,15.80,16.30,57185500,16.30
2012-07-05,16.00,16.55,15.85,16.45,38108800,16.45
2012-07-04,15.70,16.00,15.55,15.95,22501400,15.95
2012-07-03,15.95,16.00,15.40,15.65,38498200,15.65
2012-07-02,15.10,15.85,14.90,15.70,43233100,15.70
2012-06-29,14.05,15.05,14.05,15.00,43532900,15.00
2012-06-28,14.00,14.05,13.75,13.90,19793400,13.90
2012-06-27,14.10,14.20,13.80,13.85,16758000,13.85
2012-06-26,13.85,14.05,13.75,13.95,20334900,13.95
2012-06-25,14.25,14.60,13.60,13.90,34845600,13.90
2012-06-22,14.10,14.20,13.75,14.05,28363600,14.05
2012-06-21,13.70,14.25,13.65,14.15,27008600,14.15
2012-06-20,13.50,14.00,13.30,13.90,24981000,13.90
2012-06-19,13.20,13.40,13.05,13.30,16288700,13.30
2012-06-18,13.85,14.05,13.15,13.30,29576100,13.30
2012-06-15,13.70,13.70,13.30,13.45,15233300,13.45
2012-06-14,13.80,13.90,13.15,13.20,34200200,13.20
2012-06-13,14.35,14.40,13.70,13.80,37171400,13.80
2012-06-12,13.55,14.20,13.35,14.15,42057900,14.15
2012-06-11,13.50,14.55,13.50,13.65,69384900,13.65
2012-06-08,13.00,13.45,12.85,13.30,32254400,13.30
2012-06-07,13.60,13.60,13.05,13.25,40359200,13.25
2012-06-06,12.60,13.25,12.50,13.20,46877600,13.20
2012-06-05,12.20,12.55,12.20,12.30,23285100,12.30
2012-06-01,12.60,12.60,11.95,12.05,19366600,12.05
2012-05-31,12.30,12.70,12.05,12.35,36637500,12.35
2012-05-30,13.00,13.20,12.45,12.45,29831900,12.45
2012-05-29,12.65,13.25,12.60,12.95,33653100,12.95
2012-05-28,12.45,12.65,12.30,12.60,23624900,12.60
2012-05-25,12.10,12.45,11.90,12.30,29394500,12.30
2012-05-24,12.05,12.25,11.90,12.10,23320200,12.10
2012-05-23,12.00,12.10,11.80,11.95,18783200,11.95
2012-05-22,12.45,12.70,11.85,12.00,22033400,12.00
2012-05-21,12.30,12.45,12.00,12.35,23377400,12.35
2012-05-18,11.85,12.15,11.70,12.10,22408700,12.10
2012-05-17,12.30,12.55,11.95,12.15,20167700,12.15
2012-05-16,12.10,12.65,11.75,12.35,26895200,12.35
2012-05-14,12.30,12.50,11.90,11.95,22224300,11.95
2012-05-11,12.40,12.40,11.80,12.20,33442200,12.20
2012-05-10,11.80,13.80,11.80,12.35,37765600,12.35
2012-05-09,13.10,13.50,12.65,12.85,50144300,12.85
2012-05-08,13.90,13.95,12.75,12.80,48571400,12.80
2012-05-07,12.60,13.75,12.40,13.60,48196500,13.60
2012-05-04,13.25,13.40,12.55,12.95,46953700,12.95
2012-05-03,13.50,13.55,13.05,13.30,28603800,13.30
2012-05-02,14.10,14.35,13.55,13.60,32147700,13.60
2012-04-30,14.00,14.40,13.45,14.05,50693500,14.05
2012-04-27,14.00,14.20,12.45,13.05,59521800,13.05
2012-04-26,14.60,14.75,13.65,13.90,33840500,13.90
2012-04-25,15.50,15.75,14.10,14.45,42154400,14.45
2012-04-24,15.95,16.05,15.00,15.25,43237200,15.25
2012-04-23,17.20,17.30,15.55,15.80,32861800,15.80
2012-04-20,17.90,18.00,17.10,17.20,19689700,17.20
2012-04-19,18.30,18.30,17.80,17.95,18442400,17.95
2012-04-18,18.40,18.70,18.00,18.00,22800200,18.00
2012-04-17,18.10,18.25,17.60,18.00,22988500,18.00
2012-04-16,18.00,18.35,17.70,18.00,17846600,18.00
2012-04-13,18.65,18.85,17.75,17.80,15296800,17.80
2012-04-12,18.50,18.75,18.35,18.45,8951600,18.45
2012-04-11,18.45,18.90,18.00,18.45,15814100,18.45
2012-04-10,18.70,18.80,18.20,18.65,12843600,18.65
2012-04-09,19.00,19.25,18.45,18.55,15891000,18.55
2012-04-04,18.70,19.25,18.25,19.15,23920500,19.15
2012-04-03,19.00,19.40,18.95,19.05,20967500,19.05
2012-04-02,18.50,19.20,18.20,19.00,36759500,19.00
2012-03-30,17.75,18.40,17.55,18.35,25921400,18.35
2012-03-29,17.80,18.00,16.95,17.55,36733500,17.55
2012-03-28,18.65,19.00,17.55,17.75,39505700,17.75
2012-03-27,19.00,19.25,18.60,18.75,40500900,18.75
2012-03-26,19.25,19.40,18.50,18.65,35253100,18.65
2012-03-23,18.60,19.30,18.50,19.10,56846700,19.10
2012-03-21,19.30,20.15,18.95,20.15,53687900,20.15
2012-03-20,19.25,19.45,18.50,19.10,52451400,19.10
2012-03-19,18.90,19.60,18.40,19.10,62044800,19.10
2012-03-16,20.20,20.70,18.50,18.90,118734600,18.90
2012-03-15,21.90,22.25,19.25,20.00,97504800,20.00
2012-03-14,22.50,22.85,21.60,21.95,59416000,21.95
2012-03-13,20.80,22.50,20.65,22.30,69386800,22.30
2012-03-12,20.55,20.85,20.15,20.50,43580100,20.50
2012-03-09,19.20,20.50,19.00,20.40,44512300,20.40
2012-03-07,19.40,19.40,18.25,18.80,55623500,18.80
2012-03-06,19.50,20.70,18.05,18.95,58619800,18.95
2012-03-05,20.50,20.70,19.55,19.65,33679900,19.65
2012-03-02,21.30,21.50,20.60,20.75,34719900,20.75
