/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1415.00,1418.25,1384.10,1390.40,952900,1392.15
2012-07-20,1416.00,1419.20,1384.10,1392.15,952900,1392.15
2012-07-19,1418.05,1421.05,1400.05,1406.00,729000,1406.00
2012-07-18,1380.05,1405.00,1363.60,1402.85,1415100,1402.85
2012-07-17,1395.20,1399.70,1373.65,1375.25,1139600,1375.25
2012-07-16,1410.00,1414.90,1379.10,1386.00,1331700,1386.00
2012-07-13,1413.00,1422.90,1401.55,1406.50,760700,1406.50
2012-07-12,1421.05,1432.45,1404.00,1407.00,1359800,1407.00
2012-07-11,1405.35,1442.00,1404.00,1435.65,1671300,1435.65
2012-07-10,1394.00,1420.95,1388.50,1418.50,1348100,1418.50
2012-07-09,1396.20,1401.55,1380.00,1388.55,1158700,1388.55
2012-07-06,1421.30,1426.80,1398.00,1405.60,1135600,1405.60
2012-07-05,1415.00,1434.75,1408.00,1425.00,1421600,1425.00
2012-07-04,1408.80,1422.80,1397.00,1419.00,1668000,1419.00
2012-07-03,1406.25,1419.55,1397.00,1398.00,1194400,1398.00
2012-07-02,1400.75,1414.95,1391.20,1399.85,1501500,1399.85
2012-06-29,1359.00,1401.00,1357.05,1396.10,2406500,1396.10
2012-06-28,1353.25,1361.50,1337.20,1339.00,1814100,1339.00
2012-06-27,1360.45,1365.00,1344.00,1348.75,1449200,1348.75
2012-06-26,1356.40,1368.20,1338.45,1351.80,1531700,1351.80
2012-06-25,1360.25,1382.75,1351.00,1354.00,1506800,1354.00
2012-06-22,1350.00,1371.00,1342.10,1363.70,2052700,1363.70
2012-06-21,1335.90,1378.80,1334.60,1370.30,2578900,1370.30
2012-06-20,1335.50,1352.00,1331.95,1347.15,2074200,1347.15
2012-06-19,1311.80,1339.90,1304.00,1335.85,2776000,1335.85
2012-06-18,1333.00,1358.75,1296.00,1323.05,3351000,1323.05
2012-06-15,1301.00,1334.95,1287.15,1323.95,4577400,1323.95
2012-06-14,1341.00,1349.35,1288.75,1295.00,3053200,1295.00
2012-06-13,1315.00,1371.60,1301.25,1347.90,4024800,1347.90
2012-06-12,1274.00,1321.70,1269.30,1312.00,2306100,1312.00
2012-06-11,1320.00,1331.90,1275.15,1278.00,2584600,1278.00
2012-06-08,1279.85,1320.00,1262.45,1319.25,2636700,1319.25
2012-06-07,1275.25,1290.65,1254.25,1278.00,2542500,1278.00
2012-06-06,1217.50,1272.00,1213.50,1264.05,3362700,1264.05
2012-06-05,1180.00,1215.95,1166.20,1208.00,3123700,1208.00
2012-06-01,1165.50,1171.75,1130.05,1130.30,1488600,1130.30
2012-05-31,1175.30,1194.00,1161.00,1182.00,1510100,1182.00
2012-05-30,1192.30,1197.40,1178.20,1188.25,1222900,1188.25
2012-05-29,1212.20,1217.85,1198.60,1201.30,1306400,1201.30
2012-05-28,1186.20,1209.90,1184.05,1204.00,1783100,1204.00
2012-05-25,1162.00,1192.30,1158.30,1188.50,1298700,1188.50
2012-05-24,1158.10,1175.00,1141.30,1172.80,1535100,1172.80
2012-05-23,1150.00,1168.50,1142.35,1148.15,1647800,1148.15
2012-05-22,1206.30,1210.00,1154.00,1164.00,1981100,1164.00
2012-05-21,1165.00,1203.00,1162.00,1191.00,1837400,1191.00
2012-05-18,1140.00,1171.80,1135.10,1165.00,2572200,1165.00
2012-05-17,1215.10,1225.00,1154.05,1163.65,3386400,1163.65
2012-05-16,1203.90,1220.90,1195.50,1208.10,2890400,1208.10
2012-05-14,1146.90,1198.00,1109.45,1156.25,6636700,1156.25
2012-05-11,1143.00,1165.95,1123.70,1139.20,2028500,1139.20
2012-05-10,1160.55,1186.95,1151.10,1154.00,1397000,1154.00
2012-05-09,1149.00,1187.80,1142.20,1159.00,1934100,1159.00
2012-05-08,1203.55,1209.00,1154.00,1157.00,1953900,1157.00
2012-05-07,1132.80,1214.90,1111.85,1200.00,3217300,1200.00
2012-05-04,1193.70,1193.70,1132.05,1140.00,2828300,1140.00
2012-05-03,1203.30,1214.05,1194.00,1199.00,1288000,1199.00
2012-05-02,1225.00,1237.00,1211.00,1213.70,1097800,1213.70
2012-04-30,1220.00,1238.00,1220.00,1225.00,869700,1225.00
2012-04-27,1226.00,1239.00,1203.40,1218.00,1228100,1218.00
2012-04-26,1235.00,1238.70,1216.50,1225.00,1680000,1225.00
2012-04-25,1222.00,1237.80,1192.00,1229.20,2792700,1229.20
2012-04-24,1254.00,1259.50,1215.35,1216.90,2839100,1216.90
2012-04-23,1283.80,1305.70,1250.00,1251.35,1485200,1251.35
2012-04-20,1308.00,1316.00,1275.10,1291.95,1226800,1291.95
2012-04-19,1327.35,1329.85,1305.50,1321.60,939700,1321.60
2012-04-18,1341.00,1350.95,1318.40,1320.05,1466900,1320.05
2012-04-17,1314.70,1337.00,1290.50,1334.00,2476000,1334.00
2012-04-16,1280.00,1306.00,1276.05,1306.00,1303000,1306.00
2012-04-13,1303.25,1326.50,1275.05,1276.00,1324900,1276.00
2012-04-12,1290.20,1306.70,1288.10,1291.00,1256200,1291.00
2012-04-11,1275.00,1295.00,1266.00,1289.00,1296900,1289.00
2012-04-10,1306.00,1311.65,1276.00,1290.40,1560500,1290.40
2012-04-09,1329.05,1331.95,1294.25,1296.70,1213400,1296.70
2012-04-04,1351.10,1353.30,1334.40,1350.00,881800,1350.00
2012-04-03,1344.10,1367.20,1342.00,1361.05,1769200,1361.05
2012-04-02,1306.00,1336.90,1296.65,1334.40,1314900,1334.40
2012-03-30,1289.70,1315.00,1282.75,1302.30,2118000,1302.30
2012-03-29,1289.80,1297.75,1274.10,1280.60,1952600,1280.60
2012-03-28,1295.80,1323.00,1292.65,1304.00,1840600,1304.00
2012-03-27,1295.00,1322.00,1278.25,1305.30,1765800,1305.30
