/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,576.00,576.00,566.55,569.35,000,570.50
2012-07-20,576.00,576.00,566.50,570.50,371100,570.50
2012-07-19,571.00,573.80,565.15,572.00,479600,572.00
2012-07-18,568.00,575.45,565.20,568.30,265700,568.30
2012-07-17,574.80,578.00,566.60,570.05,1306200,570.05
2012-07-16,560.00,574.50,555.50,571.50,804300,571.50
2012-07-13,551.00,556.00,549.20,554.80,398400,554.80
2012-07-12,532.10,554.00,532.10,552.10,1061800,552.10
2012-07-11,547.85,549.70,545.70,548.00,409200,548.00
2012-07-10,547.75,550.40,545.45,547.30,345800,547.30
2012-07-09,549.80,549.80,544.00,545.80,385800,545.80
2012-07-06,541.05,547.55,540.50,546.00,626500,546.00
2012-07-05,541.40,544.00,538.00,541.35,493800,541.35
2012-07-04,543.00,547.95,536.00,538.15,568400,538.15
2012-07-03,538.10,547.45,535.00,538.00,468400,538.00
2012-07-02,544.55,546.00,541.45,544.00,285800,544.00
2012-06-29,534.90,544.90,533.85,544.90,589400,544.90
2012-06-28,525.95,534.90,523.30,532.05,1151600,532.05
2012-06-27,528.50,528.65,522.00,522.25,265700,522.25
2012-06-26,522.15,528.40,518.05,525.00,310700,525.00
2012-06-25,529.35,531.00,520.20,521.75,271200,521.75
2012-06-22,527.90,534.50,523.25,526.50,308900,526.50
2012-06-21,527.00,531.90,524.10,527.50,295200,527.50
2012-06-20,523.00,529.20,521.00,527.90,485200,527.90
2012-06-19,514.95,523.00,514.10,521.00,628300,521.00
2012-06-18,513.40,519.80,507.00,515.80,557000,515.80
2012-06-15,515.80,518.00,505.10,517.10,1614100,517.10
2012-06-14,514.05,520.00,514.05,515.80,387300,515.80
2012-06-13,511.90,524.20,511.00,518.80,889100,518.80
2012-06-12,522.70,526.35,507.10,511.05,832300,511.05
2012-06-11,556.60,556.60,521.10,521.50,962000,521.50
2012-06-08,548.35,548.75,538.50,546.00,507300,546.00
2012-06-07,556.75,559.40,543.50,549.00,564700,549.00
2012-06-06,532.50,559.95,532.50,553.00,783500,553.00
2012-06-05,538.00,545.00,527.00,541.00,529800,541.00
2012-06-01,541.70,548.50,533.15,537.00,299600,537.00
2012-05-31,529.00,545.05,525.00,538.00,568400,538.00
2012-05-30,529.20,535.90,522.50,529.75,581700,529.75
2012-05-29,535.00,535.95,528.00,532.00,239700,532.00
2012-05-28,532.85,539.80,531.35,534.75,529400,534.75
2012-05-25,534.40,535.75,525.15,532.00,507200,532.00
2012-05-24,534.35,542.00,527.55,534.00,529300,534.00
2012-05-23,540.00,546.90,522.00,537.50,1171800,537.50
2012-05-22,541.90,554.00,541.90,545.50,1258100,545.50
2012-05-21,537.25,549.45,532.25,544.00,705400,544.00
2012-05-18,541.95,543.40,528.55,535.30,347000,535.30
2012-05-17,547.60,553.95,533.80,544.85,492200,544.85
2012-05-16,526.15,554.10,526.10,542.00,698400,542.00
2012-05-14,549.80,549.80,515.00,542.00,982800,542.00
2012-05-11,520.00,521.55,507.50,515.00,1025500,515.00
