Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,1095.25,1150.40,1095.00,1147.50,4553400,1146.95
2012-07-20,1095.25,1151.70,1094.75,1146.95,4553400,1146.95
2012-07-19,1175.00,1175.00,1110.00,1113.85,8345300,1113.85
2012-07-18,1197.35,1229.00,1186.80,1228.65,508700,1228.65
2012-07-17,1210.50,1215.75,1190.60,1195.00,273100,1195.00
2012-07-16,1190.00,1212.95,1178.40,1204.40,599600,1204.40
2012-07-13,1200.25,1207.90,1175.65,1184.15,592800,1184.15
2012-07-12,1199.80,1216.00,1189.15,1197.15,559500,1197.15
2012-07-11,1214.00,1218.00,1200.05,1206.60,407300,1206.60
2012-07-10,1193.00,1228.80,1181.00,1219.00,794600,1219.00
2012-07-09,1212.00,1213.00,1183.75,1187.00,403900,1187.00
2012-07-06,1240.35,1242.00,1211.50,1215.90,611000,1215.90
2012-07-05,1215.55,1250.00,1213.50,1244.00,1278100,1244.00
2012-07-04,1197.25,1224.50,1197.25,1219.20,1044700,1219.20
2012-07-03,1188.00,1201.20,1185.45,1190.20,973800,1190.20
2012-07-02,1180.00,1204.80,1155.00,1176.50,1141200,1176.50
2012-06-29,1140.00,1176.00,1140.00,1169.40,1346700,1169.40
2012-06-28,1126.95,1132.00,1110.35,1119.00,516400,1119.00
2012-06-27,1121.00,1124.00,1109.00,1122.20,532500,1122.20
2012-06-26,1115.00,1120.95,1105.05,1114.00,302200,1114.00
2012-06-25,1106.60,1133.90,1106.60,1110.00,910200,1110.00
2012-06-22,1078.00,1113.30,1074.50,1100.00,904600,1100.00
2012-06-21,1080.00,1094.00,1062.10,1090.00,844900,1090.00
2012-06-20,1089.00,1092.55,1073.00,1077.75,616000,1077.75
2012-06-19,1090.00,1103.70,1076.40,1090.20,430200,1090.20
2012-06-18,1115.00,1127.45,1083.50,1093.05,610100,1093.05
2012-06-15,1094.00,1110.00,1077.30,1105.70,685800,1105.70
2012-06-14,1110.15,1125.30,1073.15,1075.00,882600,1075.00
2012-06-13,1138.00,1144.00,1102.50,1106.65,1333400,1106.65
2012-06-12,1104.00,1152.80,1103.35,1142.35,534200,1142.35
2012-06-11,1132.00,1143.40,1102.00,1107.25,724200,1107.25
2012-06-08,1137.00,1137.00,1111.15,1127.00,456000,1127.00
2012-06-07,1120.00,1146.40,1110.60,1138.10,984700,1138.10
2012-06-06,1079.90,1115.80,1076.35,1105.50,925800,1105.50
2012-06-05,1077.50,1089.90,1058.30,1080.00,605000,1080.00
2012-06-01,1106.95,1118.60,1071.00,1075.00,879700,1075.00
2012-05-31,1129.00,1134.35,1093.15,1105.00,3301100,1105.00
2012-05-30,1112.05,1157.35,1110.00,1147.00,1151100,1147.00
2012-05-29,1111.00,1136.20,1105.00,1123.00,817100,1123.00
2012-05-28,1124.10,1130.00,1098.20,1103.50,874000,1103.50
2012-05-25,1133.00,1150.00,1109.00,1117.90,921100,1117.90
2012-05-24,1128.90,1148.85,1115.45,1145.00,955700,1145.00
2012-05-23,1141.00,1163.90,1116.00,1155.20,782000,1155.20
2012-05-22,1218.85,1224.60,1143.35,1147.90,950800,1147.90
2012-05-21,1173.25,1215.95,1170.55,1200.00,413800,1200.00
2012-05-18,1175.25,1193.00,1156.00,1168.15,612400,1168.15
2012-05-17,1200.00,1218.00,1188.00,1205.00,599600,1205.00
2012-05-16,1202.25,1202.25,1167.35,1195.00,673600,1195.00
2012-05-14,1235.00,1258.00,1231.85,1250.00,491900,1250.00
2012-05-11,1247.95,1251.15,1217.10,1240.00,486100,1240.00
2012-05-10,1290.15,1305.40,1250.15,1255.20,415200,1255.20
2012-05-09,1292.25,1312.00,1285.55,1301.90,330100,1301.90
2012-05-08,1324.00,1331.70,1299.05,1305.10,632900,1305.10
2012-05-07,1264.95,1329.00,1254.00,1326.40,680600,1326.40
2012-05-04,1287.30,1291.50,1260.95,1275.40,644700,1275.40
2012-05-03,1329.80,1329.80,1284.10,1295.65,662700,1295.65
2012-05-02,1384.50,1384.50,1324.00,1327.90,666600,1327.90
2012-04-30,1399.00,1399.00,1358.25,1374.25,956000,1374.25
2012-04-27,1381.05,1388.40,1374.15,1381.50,429200,1381.50
2012-04-26,1380.00,1399.00,1366.10,1374.00,762000,1374.00
2012-04-25,1362.10,1389.00,1362.10,1384.30,593400,1384.30
2012-04-24,1375.00,1376.60,1349.75,1364.95,270400,1364.95
2012-04-23,1391.10,1408.00,1372.10,1375.00,518900,1375.00
2012-04-20,1392.25,1417.05,1380.00,1389.00,816600,1389.00
2012-04-19,1364.40,1401.40,1357.40,1399.75,922500,1399.75
2012-04-18,1350.00,1366.70,1345.05,1359.40,642600,1359.40
2012-04-17,1394.80,1394.80,1326.40,1342.30,583100,1342.30
2012-04-16,1312.55,1352.85,1309.90,1345.00,526300,1345.00
2012-04-13,1315.25,1350.00,1312.40,1315.25,943900,1315.25
2012-04-12,1279.70,1315.70,1276.30,1306.00,671600,1306.00
2012-04-11,1263.15,1285.10,1262.05,1274.00,401100,1274.00
2012-04-10,1282.00,1295.20,1260.65,1273.00,534300,1273.00
2012-04-09,1305.00,1321.40,1275.00,1282.05,420500,1282.05
2012-04-04,1309.55,1337.80,1306.85,1313.00,543700,1313.00
2012-04-03,1345.00,1349.60,1303.90,1307.00,475200,1307.00
2012-04-02,1361.00,1364.20,1332.00,1335.30,486200,1335.30
2012-03-30,1309.00,1356.50,1293.05,1350.00,650400,1350.00
2012-03-29,1279.80,1319.95,1264.20,1311.00,918100,1311.00
2012-03-28,1274.85,1294.95,1254.00,1288.20,584500,1288.20
2012-03-27,1310.00,1310.25,1258.30,1273.15,1138200,1273.15
2012-03-26,1315.00,1322.30,1290.40,1295.10,696000,1295.10
2012-03-23,1320.05,1320.50,1286.20,1307.00,806800,1307.00
2012-03-21,1365.00,1372.90,1333.00,1360.00,841200,1360.00
2012-03-20,1362.10,1363.00,1328.50,1357.00,471300,1357.00
2012-03-19,1377.50,1378.80,1353.15,1362.60,323100,1362.60
2012-03-16,1352.25,1428.95,1339.00,1379.00,1604800,1379.00
2012-03-15,1365.00,1379.65,1355.10,1364.75,575200,1364.75
2012-03-14,1380.00,1399.70,1366.55,1369.95,688900,1369.95
2012-03-13,1345.00,1384.00,1345.00,1368.00,863800,1368.00
2012-03-12,1351.00,1356.00,1328.70,1336.90,434600,1336.90
2012-03-09,1320.00,1359.00,1320.00,1340.00,625500,1340.00
2012-03-07,1321.10,1329.90,1281.00,1308.20,438100,1308.20
2012-03-06,1302.00,1350.00,1300.35,1332.00,662000,1332.00
2012-03-05,1320.70,1333.90,1309.10,1313.90,547900,1313.90
2012-03-02,1334.00,1336.70,1306.65,1328.05,924100,1328.05
2012-03-01,1267.90,1322.00,1247.75,1320.00,1543200,1320.00
2012-02-29,1275.20,1291.80,1239.00,1260.00,736500,1260.00
2012-02-28,1263.50,1279.00,1243.05,1268.90,741700,1268.90
2012-02-27,1285.10,1290.00,1235.25,1259.90,345300,1259.90
2012-02-24,1290.00,1296.55,1277.80,1282.00,375000,1282.00
2012-02-23,1291.00,1307.35,1271.65,1287.05,845200,1287.05
2012-02-22,1307.00,1329.30,1281.05,1296.25,510700,1296.25
2012-02-21,1317.05,1337.05,1295.20,1309.00,665600,1309.00
2012-02-17,1359.00,1366.10,1318.05,1324.70,650500,1324.70
2012-02-16,1300.00,1375.00,1279.20,1350.00,1510700,1350.00
2012-02-15,1276.00,1324.90,1275.30,1305.20,1011500,1305.20
2012-02-14,1220.20,1274.50,1220.20,1270.00,899800,1270.00
2012-02-13,1242.20,1258.40,1215.25,1225.25,639400,1225.25
2012-02-10,1262.05,1273.95,1233.25,1237.10,631700,1237.10
2012-02-09,1259.75,1278.90,1255.15,1266.05,541800,1266.05
2012-02-08,1248.00,1280.00,1245.45,1265.00,517100,1265.00
2012-02-07,1251.00,1262.00,1240.00,1245.00,443300,1245.00
2012-02-06,1250.00,1265.00,1235.50,1252.00,560000,1252.00
2012-02-03,1220.00,1254.00,1205.00,1235.00,647700,1235.00
2012-02-02,1225.00,1233.45,1204.20,1213.80,619800,1213.80
2012-02-01,1190.00,1227.00,1183.00,1212.20,1040200,1212.20
2012-01-31,1198.00,1209.90,1167.65,1181.60,1045400,1181.60
2012-01-30,1204.00,1226.00,1185.00,1188.00,656500,1188.00
2012-01-27,1167.80,1219.00,1159.70,1218.00,951800,1218.00
2012-01-25,1157.00,1198.00,1142.00,1156.90,1776400,1156.90
2012-01-24,1167.40,1172.15,1128.00,1156.85,2008400,1156.85
2012-01-23,1084.00,1172.45,1070.05,1166.90,2590600,1166.90
2012-01-20,1131.00,1135.00,1085.00,1105.20,729300,1105.20
2012-01-19,1116.50,1135.00,1107.00,1129.50,857800,1129.50
2012-01-18,1112.00,1144.85,1092.50,1108.00,2781700,1108.00
2012-01-17,1020.00,1120.00,1019.10,1110.00,3155200,1110.00
2012-01-16,970.00,1019.85,970.00,1019.85,781500,1019.85
2012-01-13,997.00,1009.20,974.00,975.50,516900,975.50
2012-01-12,984.80,1009.00,982.05,992.60,522500,992.60
2012-01-11,988.55,995.00,972.20,990.00,433900,990.00
2012-01-10,981.00,993.00,977.25,986.00,356500,986.00
2012-01-06,928.70,955.80,927.00,950.95,349100,950.95
2012-01-05,948.00,948.00,925.60,930.75,458700,930.75
2012-01-04,953.00,969.00,943.15,945.00,296600,945.00
2012-01-03,947.00,964.70,941.35,953.00,363100,953.00
2012-01-02,923.00,944.35,917.00,938.00,531400,938.00
2011-12-30,935.00,939.90,911.00,920.05,390600,920.05
2011-12-29,954.00,959.50,915.50,926.55,544000,926.55
2011-12-28,964.90,972.20,950.25,960.40,232200,960.40
2011-12-27,971.00,979.40,951.30,964.10,230300,964.10
2011-12-26,984.00,991.00,965.05,965.10,351100,965.10
2011-12-23,975.00,988.50,968.25,973.95,372500,973.95
2011-12-22,941.00,978.95,941.00,971.85,648100,971.85
2011-12-21,926.10,969.00,926.10,958.25,702700,958.25
2011-12-20,924.00,926.90,908.70,919.80,366300,919.80
2011-12-19,925.00,931.20,900.00,911.10,620800,911.10
2011-12-16,931.70,949.90,908.70,933.90,848800,933.90
2011-12-15,940.00,940.00,911.45,933.85,539200,933.85
2011-12-14,950.00,963.55,937.00,941.00,616800,941.00
2011-12-13,952.10,969.40,950.00,956.00,519100,956.00
2011-12-12,985.80,990.05,951.00,959.25,546100,959.25
