/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,814.00,826.35,807.25,817.90,2270600,819.15
2012-07-20,814.00,827.00,807.00,819.15,2270600,819.15
2012-07-19,784.75,814.50,782.10,809.90,2156500,809.90
2012-07-18,789.60,795.65,773.00,781.00,1607100,781.00
2012-07-17,776.50,798.05,776.50,790.00,2174600,790.00
2012-07-16,776.50,790.90,765.10,778.45,2321300,778.45
2012-07-13,776.10,783.70,753.00,774.30,4083800,774.30
2012-07-12,715.00,780.00,714.15,764.80,4370300,764.80
2012-07-11,716.95,736.85,714.15,718.50,1807800,718.50
2012-07-10,727.00,741.95,710.10,720.00,2246200,720.00
2012-07-09,755.00,764.00,723.00,726.15,1613200,726.15
2012-07-06,742.00,770.95,740.70,760.15,2451900,760.15
2012-07-05,730.10,752.00,728.85,740.10,2451200,740.10
2012-07-04,750.00,754.80,726.00,730.20,1230900,730.20
2012-07-03,717.10,750.70,715.90,742.10,2485000,742.10
2012-07-02,689.00,720.00,681.50,714.50,1779800,714.50
2012-06-29,670.55,690.90,670.55,683.00,1180200,683.00
2012-06-28,674.55,680.80,660.25,661.70,1182300,661.70
2012-06-27,664.00,677.80,658.35,666.30,1502300,666.30
2012-06-26,653.80,668.00,653.20,660.55,767000,660.55
2012-06-25,666.95,673.80,655.00,658.25,785000,658.25
2012-06-22,670.90,674.60,651.50,660.05,1640500,660.05
2012-06-21,665.90,682.45,663.80,678.25,1069600,678.25
2012-06-20,652.20,680.80,633.00,673.35,1634300,673.35
2012-06-19,657.60,667.85,645.05,650.00,1379800,650.00
2012-06-18,690.00,695.00,653.00,655.85,1670500,655.85
2012-06-15,665.00,695.00,655.10,679.75,1830400,679.75
2012-06-14,686.00,686.00,652.95,656.00,1592500,656.00
2012-06-13,638.70,687.35,637.20,678.00,4061300,678.00
2012-06-12,613.10,640.00,606.50,635.00,1494900,635.00
2012-06-11,635.00,642.85,614.00,614.90,1015600,614.90
2012-06-08,638.90,638.90,614.10,626.00,1147300,626.00
2012-06-07,629.80,644.70,621.00,634.55,1391100,634.55
2012-06-06,505.00,626.00,505.00,621.75,1569100,621.75
2012-06-05,592.95,606.90,581.40,583.55,1132800,583.55
2012-06-01,570.05,588.60,566.35,582.40,2114200,582.40
2012-05-31,600.50,604.60,547.30,567.70,3949000,567.70
2012-05-30,642.25,642.25,595.35,610.00,1793100,610.00
2012-05-29,645.00,663.75,642.00,650.70,1431200,650.70
2012-05-28,636.90,653.95,632.30,643.00,783200,643.00
2012-05-25,628.20,649.90,622.40,640.70,1328200,640.70
2012-05-24,627.25,631.00,605.20,626.75,1377000,626.75
2012-05-23,621.30,631.80,601.00,625.00,1295300,625.00
2012-05-22,647.20,655.00,618.90,621.70,860900,621.70
2012-05-21,647.95,658.00,635.65,639.00,868500,639.00
2012-05-18,621.10,645.00,608.35,644.55,1315900,644.55
2012-05-17,639.85,661.50,621.00,625.00,1733400,625.00
2012-05-16,656.00,657.40,626.30,631.10,1301600,631.10
2012-05-14,621.30,634.90,610.50,632.50,1286000,632.50
2012-05-11,628.95,634.80,609.10,611.40,1386900,611.40
2012-05-10,650.00,663.40,624.00,632.00,2238600,632.00
2012-05-09,691.50,696.95,643.20,650.90,1569700,650.90
2012-05-08,718.90,733.70,692.25,696.00,1272800,696.00
2012-05-07,741.00,741.00,685.30,720.00,1981900,720.00
2012-05-04,761.00,785.90,721.65,736.70,2426700,736.70
