Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,327.60,333.00,324.55,327.65,356900,328.00
2012-07-20,327.60,333.30,322.95,328.00,356900,328.00
2012-07-19,330.10,333.45,321.50,331.00,630900,331.00
2012-07-18,320.50,330.75,317.10,328.00,1267000,328.00
2012-07-17,308.00,321.40,307.00,319.20,668400,319.20
2012-07-16,315.50,316.80,310.25,310.60,79500,310.60
2012-07-13,315.00,318.05,310.00,315.25,157300,315.25
2012-07-12,319.95,319.95,309.40,312.30,258500,312.30
2012-07-11,318.15,323.70,314.95,319.85,443800,319.85
2012-07-10,324.00,324.00,316.10,317.80,306400,317.80
2012-07-09,316.35,321.00,314.00,318.45,417800,318.45
2012-07-06,315.00,319.70,312.20,317.55,435400,317.55
2012-07-05,311.95,316.75,311.55,313.25,933900,313.25
2012-07-04,299.20,312.00,298.00,309.35,947400,309.35
2012-07-03,296.70,298.70,294.80,296.80,172800,296.80
2012-07-02,298.50,300.05,293.65,296.00,248300,296.00
2012-06-29,294.90,299.50,294.90,297.05,259000,297.05
2012-06-28,293.05,298.80,291.15,292.55,363500,292.55
2012-06-27,295.50,302.60,291.25,292.00,602600,292.00
2012-06-26,289.00,295.90,289.00,295.00,168400,295.00
2012-06-25,287.95,294.75,287.80,292.05,259600,292.05
2012-06-22,289.65,294.75,285.10,292.10,411400,292.10
2012-06-21,292.65,292.65,284.50,289.00,271900,289.00
2012-06-20,277.10,289.85,276.55,289.50,287200,289.50
2012-06-19,267.35,280.80,267.35,279.35,245300,279.35
2012-06-18,272.05,278.50,267.95,274.10,195400,274.10
2012-06-15,271.60,279.40,270.00,276.00,314100,276.00
2012-06-14,283.30,286.75,270.45,275.40,429500,275.40
2012-06-13,290.60,290.65,285.55,286.90,149200,286.90
2012-06-12,289.20,293.50,286.10,290.00,261700,290.00
2012-06-11,295.90,296.65,288.50,290.50,431000,290.50
2012-06-08,289.25,299.70,287.65,293.50,851300,293.50
2012-06-07,292.95,294.70,283.45,289.25,270600,289.25
2012-06-06,292.70,295.75,289.75,290.25,713500,290.25
2012-06-05,277.40,293.80,273.00,287.05,1172700,287.05
2012-06-01,274.00,279.60,273.15,274.95,118000,274.95
2012-05-31,271.20,282.50,268.20,278.95,688700,278.95
2012-05-30,279.80,282.60,274.20,274.20,198100,274.20
2012-05-29,268.80,281.90,267.30,280.95,515200,280.95
2012-05-28,274.20,279.80,272.55,275.00,205800,275.00
2012-05-25,285.65,285.65,274.00,276.00,318000,276.00
2012-05-24,274.40,282.00,271.25,281.20,180100,281.20
2012-05-23,269.00,275.00,268.05,274.45,276000,274.45
2012-05-22,272.70,275.60,269.15,270.80,153900,270.80
2012-05-21,271.70,275.40,267.40,271.20,69900,271.20
2012-05-18,273.80,279.80,267.25,270.00,299400,270.00
2012-05-17,267.90,277.95,266.50,277.00,303800,277.00
2012-05-16,261.60,267.40,260.00,264.50,130300,264.50
2012-05-14,263.00,266.95,259.40,261.30,97900,261.30
2012-05-11,262.20,270.00,254.25,264.90,225800,264.90
2012-05-10,272.25,276.10,264.55,267.50,105900,267.50
2012-05-09,261.50,274.80,261.50,273.60,235100,273.60
2012-05-08,271.65,271.80,265.00,266.05,186700,266.05
2012-05-07,267.75,273.95,261.30,271.10,166500,271.10
2012-05-04,270.95,270.95,261.60,267.75,284400,267.75
2012-05-03,274.10,276.75,270.05,271.40,101800,271.40
2012-05-02,276.25,281.90,274.20,274.20,137400,274.20
2012-04-30,281.10,282.50,277.10,280.05,251400,280.05
2012-04-27,270.70,278.40,270.70,276.65,265100,276.65
2012-04-26,268.00,274.40,266.05,268.85,663900,268.85
2012-04-25,269.70,273.40,262.25,270.00,192000,270.00
2012-04-24,266.90,274.00,263.10,270.40,600400,270.40
2012-04-23,278.50,282.00,263.40,267.35,352500,267.35
2012-04-20,282.00,284.25,273.00,275.00,258500,275.00
2012-04-19,278.80,288.45,275.60,281.50,428000,281.50
2012-04-18,280.00,282.00,275.50,277.30,140600,277.30
2012-04-17,277.20,279.80,275.60,279.50,92300,279.50
2012-04-16,281.45,284.10,275.10,277.65,184500,277.65
2012-04-13,273.15,283.25,273.15,279.15,332800,279.15
2012-04-12,272.00,275.85,272.00,274.95,212600,274.95
2012-04-11,274.90,277.55,270.05,272.00,195800,272.00
2012-04-10,277.00,277.85,273.05,274.00,108400,274.00
2012-04-09,271.00,277.90,271.00,275.50,291800,275.50
2012-04-04,277.00,281.00,272.00,274.50,223900,274.50
2012-04-03,280.00,285.00,273.95,276.40,405800,276.40
2012-04-02,273.00,284.35,271.05,283.85,617000,283.85
2012-03-30,261.80,274.00,261.80,271.75,408500,271.75
2012-03-29,271.50,273.25,255.10,260.00,1558600,260.00
2012-03-28,270.10,278.50,265.10,271.10,766800,271.10
2012-03-27,266.20,273.30,261.35,270.05,620300,270.05
2012-03-26,269.80,279.45,260.55,262.70,801700,262.70
2012-03-23,260.10,271.00,256.95,268.40,595000,268.40
2012-03-21,242.15,263.50,242.15,261.50,740700,261.50
2012-03-20,246.95,253.00,243.20,248.25,583000,248.25
2012-03-19,242.25,250.90,236.40,247.20,307200,247.20
2012-03-16,240.85,245.40,236.00,239.55,99900,239.55
2012-03-15,243.75,247.50,238.00,238.00,200500,238.00
2012-03-14,244.55,249.80,243.70,247.00,315400,247.00
2012-03-13,240.00,245.80,237.90,244.45,302200,244.45
2012-03-12,237.95,239.35,234.20,237.90,441700,237.90
2012-03-09,235.10,241.45,233.00,236.00,164800,236.00
2012-03-07,241.90,247.65,233.30,235.00,315400,235.00
2012-03-06,234.05,251.90,231.15,242.25,462800,242.25
2012-03-05,233.95,239.70,231.20,234.95,152800,234.95
2012-03-02,233.00,239.50,229.55,233.10,195900,233.10
2012-03-01,233.00,236.00,229.00,229.50,293100,229.50
2012-02-29,242.85,242.85,228.50,231.50,327000,231.50
2012-02-28,220.45,234.70,219.70,234.00,739600,234.00
2012-02-27,219.70,221.25,214.10,216.05,384400,216.05
2012-02-24,218.00,221.00,214.20,219.70,266900,219.70
2012-02-23,213.75,221.90,212.10,215.30,1840700,215.30
2012-02-22,227.15,229.40,210.55,210.60,796500,210.60
2012-02-21,213.15,228.40,212.15,227.70,720500,227.70
2012-02-17,218.35,219.40,206.60,213.00,319900,213.00
2012-02-16,216.00,218.55,210.60,216.55,347900,216.55
2012-02-15,212.75,219.00,212.15,215.00,491100,215.00
2012-02-14,214.35,216.60,211.55,213.40,482200,213.40
2012-02-13,200.15,213.95,200.15,212.00,1154200,212.00
2012-02-10,198.00,202.90,196.10,199.40,662100,199.40
2012-02-09,191.10,199.30,191.00,197.45,675300,197.45
2012-02-08,200.00,200.00,189.60,191.55,439300,191.55
2012-02-07,198.40,201.60,192.00,192.15,279000,192.15
2012-02-06,199.80,204.60,193.65,196.00,355800,196.00
2012-02-03,191.00,201.35,191.00,200.70,707700,200.70
2012-02-02,197.40,197.85,190.00,190.20,255000,190.20
2012-02-01,188.90,196.35,187.30,195.60,806000,195.60
2012-01-31,181.25,189.10,176.25,188.45,771900,188.45
2012-01-30,182.20,185.85,181.00,181.00,445100,181.00
2012-01-27,182.10,184.85,181.00,183.50,627300,183.50
2012-01-25,180.40,183.00,179.05,179.45,784500,179.45
2012-01-24,179.90,183.50,177.50,179.35,790300,179.35
2012-01-23,180.70,180.70,175.05,178.50,553200,178.50
2012-01-20,182.95,184.70,177.25,178.55,504700,178.55
2012-01-19,187.50,188.95,181.80,183.65,577000,183.65
2012-01-18,195.00,195.05,186.00,186.40,208200,186.40
2012-01-17,195.75,196.40,192.45,194.40,297800,194.40
2012-01-16,190.95,196.00,190.00,194.50,282900,194.50
2012-01-13,193.00,196.50,186.00,191.65,460100,191.65
2012-01-12,192.10,195.60,190.15,190.50,101800,190.50
2012-01-11,208.90,208.90,192.30,193.50,354000,193.50
2012-01-10,194.95,199.95,194.25,198.90,106700,198.90
2012-01-06,197.00,199.50,192.10,193.05,158600,193.05
2012-01-05,198.00,202.45,194.75,196.15,171000,196.15
2012-01-04,232.00,232.00,184.50,196.50,301100,196.50
2012-01-03,186.00,195.90,181.05,192.50,493000,192.50
2012-01-02,190.85,191.35,180.45,186.55,307300,186.55
2011-12-30,189.40,194.90,185.45,186.60,504300,186.60
2011-12-29,181.90,206.75,179.60,187.70,1384800,187.70
2011-12-28,186.10,187.30,180.15,181.30,171800,181.30
2011-12-27,193.35,194.70,186.45,187.15,273700,187.15
2011-12-26,199.00,199.50,182.40,196.75,102300,196.75
2011-12-23,205.95,209.00,197.30,199.15,128200,199.15
2011-12-22,198.80,207.60,193.30,202.20,180000,202.20
2011-12-21,192.60,204.40,190.05,198.20,397100,198.20
2011-12-20,180.60,195.00,180.05,188.35,312500,188.35
2011-12-19,190.65,190.65,179.65,181.10,392300,181.10
2011-12-16,190.90,194.00,174.05,193.00,2594200,193.00
2011-12-15,205.00,205.00,165.50,187.95,2900200,187.95
2011-12-14,212.95,212.95,200.50,201.45,379900,201.45
2011-12-13,204.00,213.75,202.00,210.00,343600,210.00
2011-12-12,222.55,225.00,200.00,205.35,542700,205.35
2011-12-09,227.95,227.95,218.00,222.00,217500,222.00
2011-12-08,228.60,230.00,221.55,222.40,120700,222.40
2011-12-07,231.90,232.20,228.60,229.50,227000,229.50
2011-12-05,231.95,231.95,226.05,229.75,64600,229.75
