/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,394.60,404.00,394.55,399.35,145800,399.85
2012-07-20,394.60,404.35,394.55,399.85,145800,399.85
2012-07-19,385.00,396.60,384.00,395.90,91700,395.90
2012-07-18,383.05,385.70,382.20,382.20,135900,382.20
2012-07-17,383.15,386.00,382.05,383.00,81000,383.00
2012-07-16,382.00,387.80,374.95,384.00,126900,384.00
2012-07-13,384.00,389.80,380.25,383.00,104300,383.00
2012-07-12,381.90,384.00,376.00,380.10,355600,380.10
2012-07-11,387.00,404.70,376.85,383.65,543600,383.65
2012-07-10,380.25,388.00,377.60,383.10,450600,383.10
2012-07-09,380.50,384.00,378.55,381.00,161500,381.00
2012-07-06,387.05,389.00,380.00,383.50,53800,383.50
2012-07-05,386.40,395.50,380.00,389.00,111900,389.00
2012-07-04,385.10,392.00,380.00,383.70,100900,383.70
2012-07-03,372.90,385.95,370.00,384.00,840000,384.00
2012-07-02,373.85,374.90,366.10,370.20,38300,370.20
2012-06-29,368.00,374.90,363.00,370.55,132400,370.55
2012-06-28,363.00,368.85,356.10,361.90,76100,361.90
2012-06-27,358.00,371.75,358.00,360.95,90800,360.95
2012-06-26,356.00,361.15,355.15,359.25,28700,359.25
2012-06-25,355.45,360.00,354.50,356.35,113000,356.35
2012-06-22,349.95,355.80,348.10,352.60,136700,352.60
2012-06-21,350.35,357.00,348.50,351.00,69800,351.00
2012-06-20,341.00,354.80,340.50,351.55,323700,351.55
2012-06-19,343.50,343.50,332.15,342.00,143400,342.00
2012-06-18,346.50,356.00,338.60,339.00,141100,339.00
2012-06-15,341.90,346.90,338.90,340.80,106600,340.80
2012-06-14,351.95,351.95,340.00,341.80,113200,341.80
2012-06-13,350.00,354.00,345.00,346.00,147500,346.00
2012-06-12,342.75,354.80,342.55,348.55,224700,348.55
2012-06-11,356.00,362.15,344.15,345.90,166400,345.90
2012-06-08,348.40,358.10,345.45,352.00,183000,352.00
2012-06-07,348.35,353.40,343.00,352.00,279900,352.00
2012-06-06,348.05,354.70,337.30,351.00,711300,351.00
2012-06-05,365.25,373.80,316.85,347.00,1321900,347.00
2012-06-01,373.00,374.90,367.00,368.00,52000,368.00
2012-05-31,372.10,377.95,371.25,375.00,201100,375.00
2012-05-30,376.00,380.00,373.05,375.30,50800,375.30
2012-05-29,382.00,385.00,375.00,377.60,70700,377.60
2012-05-28,379.90,383.75,371.20,383.50,47300,383.50
2012-05-25,374.80,378.00,371.00,375.40,55400,375.40
2012-05-24,369.80,382.50,367.55,374.90,88500,374.90
2012-05-23,377.00,377.00,366.60,366.65,20100,366.65
2012-05-22,385.60,395.50,375.30,375.70,25500,375.70
2012-05-21,388.00,394.90,379.00,381.00,34400,381.00
2012-05-18,380.30,389.90,373.10,387.80,80000,387.80
2012-05-17,394.95,400.50,387.05,390.00,154600,390.00
2012-05-16,393.20,399.00,391.55,392.35,56900,392.35
2012-05-14,388.15,408.70,382.70,403.00,153100,403.00
2012-05-11,388.95,399.00,385.00,388.00,76300,388.00
2012-05-10,383.00,390.95,383.00,388.50,152000,388.50
2012-05-09,380.10,386.10,376.00,386.00,114000,386.00
2012-05-08,397.40,397.95,377.50,380.90,90900,380.90
2012-05-07,379.20,392.00,373.00,391.45,107300,391.45
2012-05-04,378.00,383.20,375.00,375.00,104700,375.00
2012-05-03,381.95,382.80,378.20,380.25,76300,380.25
2012-05-02,365.10,382.50,363.70,377.00,288700,377.00
2012-04-30,365.10,372.30,363.00,369.00,97500,369.00
2012-04-27,363.10,369.95,363.10,369.30,43800,369.30
2012-04-26,362.00,367.50,357.15,364.50,170200,364.50
2012-04-25,371.75,373.95,357.25,358.20,90100,358.20
2012-04-24,378.95,378.95,366.60,370.00,160500,370.00
2012-04-23,385.85,387.00,371.00,371.00,45100,371.00
2012-04-20,386.75,389.70,382.20,387.30,142600,387.30
2012-04-19,380.05,387.00,377.00,385.00,136200,385.00
2012-04-18,380.00,385.80,377.65,377.80,182900,377.80
2012-04-17,381.60,383.50,375.15,376.95,134600,376.95
2012-04-16,381.00,387.50,371.25,380.50,98100,380.50
2012-04-13,399.00,399.85,378.95,379.40,150200,379.40
2012-04-12,391.15,402.95,391.15,397.25,93400,397.25
2012-04-11,392.55,403.40,390.20,392.00,80000,392.00
2012-04-10,404.45,408.20,396.45,400.00,100300,400.00
2012-04-09,410.05,414.00,402.55,403.70,168900,403.70
2012-04-04,413.35,417.00,410.10,414.00,126900,414.00
2012-04-03,418.80,419.60,414.25,417.05,73500,417.05
2012-04-02,408.00,417.00,406.00,416.50,68800,416.50
2012-03-30,397.75,409.80,394.20,405.25,70300,405.25
2012-03-29,409.75,415.00,393.30,395.00,125700,395.00
2012-03-28,417.25,424.80,408.15,412.00,80200,412.00
2012-03-27,435.00,439.90,412.90,415.00,208700,415.00
2012-03-26,428.55,433.00,411.25,429.00,210100,429.00
2012-03-23,408.95,425.00,405.85,425.00,144900,425.00
2012-03-21,419.00,426.00,419.00,422.15,63600,422.15
2012-03-20,422.05,424.00,415.30,421.00,142500,421.00
2012-03-19,416.50,424.95,408.20,422.00,92800,422.00
2012-03-16,415.15,418.05,412.60,416.00,128300,416.00
2012-03-15,412.25,423.70,412.00,415.15,201000,415.15
2012-03-14,414.85,439.90,410.90,415.90,109000,415.90
2012-03-13,412.00,413.80,408.00,410.00,362300,410.00
2012-03-12,407.00,411.00,403.00,409.00,188500,409.00
2012-03-09,390.70,409.00,389.00,406.60,284300,406.60
2012-03-07,391.00,393.90,381.45,386.00,125200,386.00
2012-03-06,390.00,397.85,386.20,387.40,186700,387.40
2012-03-05,391.05,401.95,391.00,394.00,513900,394.00
2012-03-02,425.00,425.00,358.65,390.50,1533100,390.50
2012-03-01,432.55,438.85,424.25,432.80,687900,432.80
2012-02-29,425.05,439.00,419.10,431.20,782300,431.20
2012-02-28,416.05,424.50,410.40,423.85,686300,423.85
2012-02-27,408.00,420.00,406.85,414.00,367600,414.00
2012-02-24,407.95,422.40,400.50,410.70,313000,410.70
2012-02-23,400.70,421.00,397.05,415.00,862100,415.00
2012-02-22,415.55,419.60,405.00,408.00,415100,408.00
2012-02-21,404.00,416.15,402.05,410.70,919600,410.70
2012-02-17,387.10,405.50,385.00,400.00,908000,400.00
2012-02-16,381.00,390.00,379.60,385.00,318000,385.00
2012-02-15,381.00,391.00,377.35,383.00,1832900,383.00
2012-02-14,382.00,386.90,379.00,381.95,211000,381.95
2012-02-13,375.45,385.80,370.25,380.20,846700,380.20
2012-02-10,374.65,377.00,367.10,373.20,158500,373.20
2012-02-09,371.90,378.40,365.00,374.00,434200,374.00
2012-02-08,372.35,376.20,363.95,370.15,114500,370.15
2012-02-07,375.40,379.50,368.05,369.40,157100,369.40
2012-02-06,380.00,385.85,370.50,373.65,485200,373.65
2012-02-03,382.50,396.00,370.00,370.15,836600,370.15
2012-02-02,376.90,384.90,372.35,380.00,222000,380.00
2012-02-01,377.55,382.80,367.20,373.30,123100,373.30
2012-01-31,375.90,385.00,373.00,378.50,698600,378.50
2012-01-30,384.00,388.30,372.10,375.70,302900,375.70
2012-01-27,366.05,385.30,365.00,379.00,228400,379.00
2012-01-25,349.50,373.90,344.00,365.00,384600,365.00
2012-01-24,347.00,350.00,344.80,345.40,71200,345.40
2012-01-23,349.80,351.00,343.05,347.15,93900,347.15
2012-01-20,352.75,352.75,344.50,344.80,133800,344.80
2012-01-19,352.05,354.90,342.40,346.00,276600,346.00
2012-01-18,364.85,365.00,345.15,350.00,285500,350.00
2012-01-17,348.90,365.00,348.90,361.90,381000,361.90
2012-01-16,334.85,349.00,334.10,346.00,128400,346.00
2012-01-13,338.35,341.80,334.00,335.00,67200,335.00
2012-01-12,337.00,340.00,327.05,339.00,194800,339.00
2012-01-11,330.00,336.00,329.00,335.00,325000,335.00
2012-01-10,318.95,329.35,318.05,328.00,221100,328.00
2012-01-06,308.85,311.00,303.00,307.00,62200,307.00
2012-01-05,307.00,314.35,305.40,309.25,125800,309.25
2012-01-04,310.05,313.00,303.30,305.20,232000,305.20
2012-01-03,304.95,311.00,303.90,309.05,457400,309.05
2012-01-02,300.00,305.55,299.10,302.00,114100,302.00
2011-12-30,297.05,303.00,296.40,299.30,401500,299.30
2011-12-29,299.90,301.50,295.30,296.95,228400,296.95
2011-12-28,303.35,308.00,298.70,300.00,131200,300.00
2011-12-27,311.30,316.00,302.80,304.10,183200,304.10
2011-12-26,307.05,312.80,304.60,308.15,161200,308.15
2011-12-23,315.05,317.55,303.10,307.00,345300,307.00
2011-12-22,326.05,330.00,309.15,310.85,378800,310.85
2011-12-21,331.00,332.40,325.15,327.50,242600,327.50
2011-12-20,339.95,339.95,324.00,324.00,105500,324.00
2011-12-19,340.95,340.95,332.00,338.00,148000,338.00
2011-12-16,345.05,354.50,337.00,337.00,238500,337.00
2011-12-15,338.25,348.00,332.30,346.80,328700,346.80
2011-12-14,335.70,342.60,335.70,338.50,445400,338.50
2011-12-13,325.00,336.65,323.50,335.80,270200,335.80
2011-12-12,324.75,329.90,321.65,325.00,123000,325.00
2011-12-09,324.70,329.45,318.95,324.70,182400,324.70
2011-12-08,326.50,331.00,323.00,325.55,551400,325.55
2011-12-07,329.30,332.00,315.10,325.00,222600,325.00
2011-12-05,313.00,326.90,312.10,324.15,365300,324.15
2011-12-02,313.00,316.90,310.35,316.00,254700,316.00
2011-12-01,324.80,335.55,310.00,310.00,504900,310.00
2011-11-30,322.15,331.35,309.30,322.60,368800,322.60
2011-11-29,320.00,335.30,315.45,320.55,373800,320.55
2011-11-28,311.50,318.00,308.50,316.70,94100,316.70
2011-11-25,310.00,324.00,306.25,308.00,209300,308.00
2011-11-24,299.25,317.70,296.25,315.00,156000,315.00
2011-11-23,303.25,305.00,291.00,298.00,371400,298.00
2011-11-22,301.50,313.70,296.00,306.90,407000,306.90
2011-11-21,300.50,306.70,295.00,299.85,905400,299.85
2011-11-18,301.00,307.10,292.45,304.00,242700,304.00
2011-11-17,282.05,314.80,278.25,300.00,1119000,300.00
2011-11-16,317.80,317.80,285.05,287.95,694800,287.95
2011-11-15,329.40,329.40,311.40,314.00,195200,314.00
2011-11-14,335.10,358.00,322.20,323.10,125100,323.10
2011-11-11,339.45,339.45,322.30,332.65,150100,332.65
2011-11-09,341.00,341.00,332.00,334.00,233700,334.00
2011-11-08,344.00,344.00,337.10,338.10,73600,338.10
2011-11-04,341.75,344.85,337.00,339.60,417900,339.60
2011-11-03,339.95,343.90,333.85,337.00,89900,337.00
2011-11-02,341.00,344.85,338.00,338.00,242200,338.00
2011-11-01,342.00,349.80,338.35,342.00,218200,342.00
2011-10-31,336.85,344.90,332.50,344.50,147600,344.50
2011-10-28,328.00,344.45,328.00,336.15,138200,336.15
2011-10-26,332.00,335.00,328.00,330.00,19900,330.00
2011-10-25,319.00,337.00,310.10,333.80,262700,333.80
2011-10-24,323.90,324.70,316.10,320.00,66300,320.00
2011-10-21,325.05,326.80,316.60,318.00,95000,318.00
2011-10-20,327.25,335.75,320.10,321.65,82100,321.65
2011-10-19,325.15,331.00,324.10,329.85,136200,329.85
2011-10-18,337.00,337.00,319.25,321.25,170200,321.25
2011-10-17,350.00,350.70,325.10,338.00,215500,338.00
2011-10-14,336.15,349.30,334.55,346.10,201500,346.10
2011-10-13,344.70,344.70,339.10,342.70,105100,342.70
2011-10-12,331.20,345.00,331.20,337.70,409600,337.70
2011-10-11,335.05,338.50,325.15,326.95,159500,326.95
2011-10-10,324.95,337.00,318.40,331.50,212000,331.50
2011-10-07,319.00,328.50,311.50,321.80,105100,321.80
2011-10-05,331.60,334.95,312.90,318.25,185700,318.25
2011-10-04,335.60,338.80,324.00,328.00,89900,328.00
2011-10-03,337.25,341.15,330.00,337.00,232300,337.00
2011-09-30,339.00,353.30,339.00,340.10,259900,340.10
2011-09-29,339.80,350.00,331.25,348.50,434600,348.50
2011-09-28,334.85,343.90,327.50,340.00,360400,340.00
2011-09-27,329.95,339.85,324.60,332.00,184300,332.00
2011-09-26,334.95,334.95,315.30,321.85,130300,321.85
2011-09-23,319.85,344.00,309.20,333.00,380200,333.00
2011-09-22,342.00,343.25,317.10,318.00,183400,318.00
2011-09-21,344.90,346.80,341.35,343.20,343700,343.20
2011-09-20,277.85,345.45,277.85,343.00,178700,343.00
2011-09-19,346.30,346.30,336.60,337.85,115000,337.85
2011-09-16,344.00,350.00,338.60,344.00,625100,344.00
2011-09-15,344.00,347.40,341.10,343.00,245700,343.00
2011-09-14,336.00,346.90,335.00,341.35,390100,341.35
2011-09-13,336.00,344.20,331.10,333.95,130000,333.95
2011-09-12,339.95,341.60,332.80,335.15,184000,335.15
2011-09-09,356.00,358.25,340.20,341.50,193400,341.50
2011-09-08,358.75,366.25,351.65,354.00,383900,354.00
2011-09-07,356.30,365.05,354.15,358.80,457400,358.80
2011-09-06,358.40,359.85,351.15,356.10,214900,356.10
2011-09-05,354.00,360.85,320.25,359.80,367700,359.80
2011-09-02,352.35,364.65,352.35,360.20,470900,360.20
2011-08-30,361.00,366.45,350.20,355.10,578100,355.10
2011-08-29,350.00,368.95,328.00,358.00,1407800,358.00
2011-08-26,366.00,371.35,344.20,348.90,467600,348.90
2011-08-25,395.00,395.00,363.00,366.00,1586500,366.00
2011-08-24,388.05,403.00,378.15,383.30,1826100,383.30
2011-08-23,390.00,397.00,373.45,387.80,843700,387.80
2011-08-22,338.00,398.00,306.20,385.40,2930700,385.40
2011-08-19,351.00,362.35,338.40,357.90,270700,357.90
2011-08-18,385.05,386.80,354.00,355.00,189400,355.00
2011-08-17,395.05,403.90,380.00,381.50,168200,381.50
2011-08-16,407.10,417.35,390.05,391.10,209700,391.10
2011-08-12,407.70,408.80,396.10,400.95,101200,400.95
2011-08-11,406.05,410.70,391.35,396.95,167300,396.95
2011-08-10,415.00,415.00,402.55,408.60,146900,408.60
2011-08-09,401.50,410.75,392.80,395.00,227100,395.00
2011-08-08,414.00,419.95,400.00,412.00,208000,412.00
2011-08-05,432.00,434.85,415.55,420.90,176500,420.90
2011-08-04,443.00,454.40,443.00,445.00,79200,445.00
2011-08-03,451.70,452.50,442.10,451.00,96500,451.00
2011-08-02,448.90,457.10,435.00,453.70,365000,453.70
2011-08-01,454.40,459.50,438.10,446.50,222400,446.50
2011-07-29,460.05,474.00,443.00,446.95,447500,446.95
2011-07-28,436.80,475.90,435.20,461.10,1733600,461.10
2011-07-27,434.50,440.90,428.05,436.95,149400,436.95
2011-07-26,433.20,441.45,430.10,433.90,74500,433.90
2011-07-25,445.00,447.00,432.60,438.15,120800,438.15
2011-07-22,424.25,446.70,424.25,443.50,361100,443.50
2011-07-21,427.50,427.50,420.10,423.85,124900,423.85
2011-07-20,449.80,449.80,427.80,428.85,99800,428.85
2011-07-19,433.00,443.00,432.10,438.00,158100,438.00
2011-07-18,431.05,436.00,424.55,435.00,135700,435.00
2011-07-15,437.55,448.00,427.00,428.30,255100,428.30
2011-07-14,440.00,445.85,434.20,437.50,122800,437.50
2011-07-13,431.00,441.00,425.60,440.50,299900,440.50
2011-07-12,449.50,453.95,425.55,428.50,398700,428.50
2011-07-11,463.90,463.90,454.05,454.05,41700,454.05
2011-07-08,464.30,475.00,461.15,463.40,294400,463.40
2011-07-07,464.95,469.00,460.75,464.00,196600,464.00
2011-07-06,459.40,464.90,456.25,462.90,146400,462.90
2011-07-05,460.55,461.50,454.05,457.00,135900,457.00
2011-07-04,445.00,458.80,441.90,457.15,153700,457.15
2011-07-01,424.60,444.50,424.60,443.80,67300,443.80
2011-06-30,442.00,445.00,433.00,433.95,88900,433.95
2011-06-29,441.75,445.00,437.25,439.20,78200,439.20
2011-06-28,439.00,442.50,432.35,438.00,58700,438.00
2011-06-27,437.45,441.70,433.90,437.00,52100,437.00
2011-06-24,429.95,440.70,424.00,437.90,82400,437.90
2011-06-23,426.45,429.00,418.95,424.10,54100,424.10
2011-06-22,422.50,434.95,421.30,423.30,71500,423.30
2011-06-21,435.00,439.25,420.30,422.25,155900,422.25
2011-06-20,447.00,447.00,419.00,424.60,256700,424.60
2011-06-17,452.05,458.00,443.30,443.30,428300,443.30
2011-06-16,470.10,470.10,450.40,450.65,201000,450.65
2011-06-15,466.05,473.65,466.05,469.00,152800,469.00
2011-06-14,461.55,470.00,461.50,467.00,94900,467.00
2011-06-13,458.25,468.00,456.00,460.50,109300,460.50
2011-06-10,468.00,470.55,456.00,460.60,86300,460.60
2011-06-09,478.75,481.60,465.20,466.00,222500,466.00
2011-06-08,466.65,488.00,465.65,476.75,875000,476.75
2011-06-07,466.90,471.05,462.60,470.00,134800,470.00
2011-06-06,456.25,469.80,455.70,465.80,132000,465.80
2011-06-03,474.80,476.45,461.75,463.70,107300,463.70
2011-06-02,475.10,478.00,468.30,470.00,136000,470.00
2011-06-01,469.10,484.80,466.75,476.90,328900,476.90
2011-05-31,471.35,473.50,465.00,467.05,173200,467.05
2011-05-30,471.10,481.80,458.60,467.70,537300,467.70
2011-05-27,445.00,482.05,420.00,469.65,1791600,469.65
2011-05-26,461.00,472.05,446.70,453.00,764200,453.00
2011-05-25,428.95,461.75,427.80,461.75,750200,461.75
2011-05-24,429.00,432.25,424.00,428.00,143700,428.00
2011-05-23,424.15,431.50,415.40,428.70,127900,428.70
2011-05-20,419.40,426.90,415.00,426.00,157100,426.00
2011-05-19,418.00,423.70,414.30,421.00,134700,421.00
2011-05-18,434.80,435.00,403.35,417.00,1022100,417.00
2011-05-17,445.95,451.60,436.60,438.60,103200,438.60
2011-05-16,444.35,457.90,444.35,448.00,69900,448.00
2011-05-13,426.05,453.00,426.05,450.00,105600,450.00
2011-05-12,448.75,450.80,443.55,443.55,45000,443.55
2011-05-11,451.80,453.00,447.90,448.00,50300,448.00
2011-05-10,450.00,454.60,443.30,448.80,102000,448.80
2011-05-09,436.10,449.50,434.05,448.20,195000,448.20
