Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,10061.05,10180.00,10011.00,10053.75,4400,10125.00
2012-07-20,10061.05,10180.00,10001.00,10125.00,4400,10125.00
2012-07-19,10300.00,10310.00,10072.00,10111.00,6400,10111.00
2012-07-18,10139.95,10265.00,10080.00,10224.10,3200,10224.10
2012-07-17,10199.40,10250.00,10035.10,10053.00,2900,10053.00
2012-07-16,10204.70,10249.00,10112.00,10190.00,5000,10190.00
2012-07-13,10300.00,10340.00,10080.05,10160.00,5500,10160.00
2012-07-12,10421.00,10480.00,10220.00,10220.00,6800,10220.00
2012-07-11,10530.80,10600.00,10460.00,10495.00,4500,10495.00
2012-07-10,10498.95,10609.00,10485.10,10549.90,6700,10549.90
2012-07-09,10469.95,10549.95,10420.10,10471.00,6700,10471.00
2012-07-06,10612.00,10710.00,10480.00,10529.95,11600,10529.95
2012-07-05,10231.45,10645.00,10140.50,10641.00,20700,10641.00
2012-07-04,10149.00,10350.00,10140.05,10211.00,10100,10211.00
2012-07-03,10204.75,10240.00,10075.00,10125.00,6000,10125.00
2012-07-02,10066.05,10286.10,10020.00,10151.00,10300,10151.00
2012-06-29,9990.00,10094.35,9892.95,9979.95,16300,9979.95
2012-06-28,10151.00,10204.90,9826.65,9860.00,9500,9860.00
2012-06-27,10052.00,10140.00,10000.00,10090.00,5500,10090.00
2012-06-26,10064.40,10100.35,9936.00,9982.00,6400,9982.00
2012-06-25,10192.15,10219.95,9982.00,9998.00,9200,9998.00
2012-06-22,10299.65,10320.05,10120.20,10125.00,7800,10125.00
2012-06-21,10190.00,10308.75,10050.00,10233.05,6800,10233.05
2012-06-20,10200.00,10225.00,10051.15,10151.00,8300,10151.00
2012-06-19,10250.05,10293.80,9997.95,10150.00,7400,10150.00
2012-06-18,10539.95,10590.00,10186.30,10201.00,7500,10201.00
2012-06-15,10400.00,10545.00,10400.00,10430.00,7000,10430.00
2012-06-14,10547.75,10600.00,10340.00,10384.65,7200,10384.65
2012-06-13,10661.05,10709.50,10505.05,10516.00,5800,10516.00
2012-06-12,10465.90,10748.60,10450.00,10650.00,12400,10650.00
2012-06-11,10820.00,10908.35,10380.10,10461.00,10500,10461.00
2012-06-08,10777.00,10777.00,10600.85,10750.00,9200,10750.00
2012-06-07,10850.00,10877.00,10720.00,10768.00,5200,10768.00
2012-06-06,10690.00,10852.90,10630.00,10753.40,15200,10753.40
2012-06-05,10808.60,10810.20,10477.90,10630.00,7600,10630.00
2012-06-01,10700.05,10901.00,10555.05,10600.00,7400,10600.00
2012-05-31,10790.15,10966.95,10586.45,10850.00,8100,10850.00
2012-05-30,11001.00,11001.00,10740.00,10760.00,7500,10760.00
2012-05-29,10950.00,11150.25,10801.10,11020.00,12100,11020.00
2012-05-28,10973.00,10973.00,10801.05,10936.85,7900,10936.85
2012-05-25,10550.05,10874.00,10390.40,10874.00,14700,10874.00
2012-05-24,10350.00,10600.00,10210.00,10595.00,10500,10595.00
2012-05-23,10259.20,10350.00,10185.00,10350.00,5300,10350.00
2012-05-22,10681.95,10690.00,10225.10,10251.00,8300,10251.00
2012-05-21,10385.10,10619.20,10385.10,10575.00,6400,10575.00
2012-05-18,10207.60,10440.00,10050.00,10440.00,5100,10440.00
2012-05-17,10458.60,10568.80,10250.00,10250.00,9400,10250.00
2012-05-16,10251.10,10538.00,9980.75,10400.00,9400,10400.00
2012-05-14,10389.20,10499.80,10011.00,10059.95,9100,10059.95
2012-05-11,10590.00,10593.00,10125.00,10206.00,13200,10206.00
2012-05-10,10443.95,10700.00,10401.00,10615.00,23900,10615.00
2012-05-09,10240.00,10600.00,10200.00,10300.05,12900,10300.05
2012-05-08,10600.05,10725.00,10250.00,10310.05,15400,10310.05
2012-05-07,10109.20,10664.00,9872.20,10570.00,17200,10570.00
2012-05-04,11206.00,11260.00,10250.00,10321.00,31500,10321.00
2012-05-03,11275.00,11345.00,11180.00,11241.00,12800,11241.00
2012-05-02,11519.90,11550.00,11241.00,11265.00,18900,11265.00
2012-04-30,11341.90,11520.00,11280.00,11490.00,17700,11490.00
2012-04-27,11279.20,11449.00,11210.10,11251.10,16500,11251.10
2012-04-26,11480.80,11578.80,11175.00,11251.60,48500,11251.60
2012-04-25,11191.60,11485.00,11050.00,11425.00,17600,11425.00
2012-04-24,11278.40,11475.50,10957.05,11225.00,9800,11225.00
2012-04-23,11210.30,11538.00,11180.00,11199.00,16200,11199.00
2012-04-20,11313.00,11500.00,11300.00,11330.00,20800,11330.00
2012-04-19,11220.00,11422.00,11171.45,11351.00,22200,11351.00
2012-04-18,11050.00,11294.00,10951.15,11275.50,33000,11275.50
2012-04-17,10790.00,11145.00,10732.50,10969.90,30800,10969.90
2012-04-16,10661.00,10860.00,10600.00,10741.00,10500,10741.00
2012-04-13,10825.05,10999.95,10589.30,10645.00,25500,10645.00
2012-04-12,10699.00,10998.95,10671.00,10682.00,15000,10682.00
2012-04-11,10675.05,11070.00,10611.05,10705.00,25400,10705.00
2012-04-10,11000.00,11009.95,10682.00,10780.00,16600,10780.00
2012-04-09,10601.00,11084.00,10400.00,11000.00,46600,11000.00
2012-04-04,10350.00,10750.00,10262.10,10699.95,32800,10699.95
2012-04-03,10550.00,10600.00,10307.00,10414.00,13000,10414.00
2012-04-02,9956.05,10568.95,9900.00,10470.00,36100,10470.00
2012-03-30,9790.00,9990.00,9700.00,9890.00,12800,9890.00
2012-03-29,9800.00,9921.00,9575.00,9655.00,37300,9655.00
2012-03-28,9860.00,9975.00,9800.00,9839.95,9400,9839.95
2012-03-27,9780.00,9990.00,9700.00,9864.00,18600,9864.00
2012-03-26,9894.70,10030.00,9601.00,9654.05,16600,9654.05
2012-03-23,9998.95,10355.50,9800.00,9940.00,34500,9940.00
2012-03-21,9695.00,10700.00,9641.00,10615.00,29900,10615.00
2012-03-20,9610.05,9839.00,9610.05,9724.00,6500,9724.00
2012-03-19,9870.00,9940.00,9621.00,9770.00,7300,9770.00
2012-03-16,10147.00,10147.00,9782.05,9809.90,6800,9809.90
2012-03-15,9999.00,10155.00,9931.05,9985.00,10300,9985.00
2012-03-14,10291.90,10344.70,10040.00,10085.00,9700,10085.00
2012-03-13,9999.00,10299.90,9999.00,10249.00,19100,10249.00
2012-03-12,9949.00,10075.00,9810.50,10061.00,16300,10061.00
2012-03-09,9800.00,9928.20,9600.35,9813.00,10700,9813.00
2012-03-07,9512.35,9730.00,9460.00,9597.00,7900,9597.00
2012-03-06,9635.00,9774.80,9522.30,9575.00,7900,9575.00
2012-03-05,9800.00,9820.00,9543.50,9635.00,9200,9635.00
2012-03-02,9782.15,10175.00,9720.10,9935.00,33500,9935.00
2012-03-01,9850.00,9918.00,9671.50,9747.00,9200,9747.00
2012-02-29,9710.00,10000.00,9710.00,9950.00,34300,9950.00
2012-02-28,9350.05,9764.60,9350.05,9630.95,15900,9630.95
2012-02-27,9450.00,9473.00,9216.00,9300.00,20200,9300.00
2012-02-24,9678.10,9680.00,9310.00,9401.00,12700,9401.00
2012-02-23,9494.00,9648.00,9222.00,9520.00,33200,9520.00
2012-02-22,10046.95,10115.00,9292.00,9380.00,29200,9380.00
2012-02-21,9800.00,10155.00,9670.00,10040.00,28600,10040.00
2012-02-17,9808.85,9890.00,9630.00,9785.00,21600,9785.00
2012-02-16,9838.05,10014.80,9626.00,9660.00,23300,9660.00
2012-02-15,9539.95,9975.00,9441.00,9900.00,35400,9900.00
2012-02-14,9395.00,9643.00,9350.00,9475.00,23000,9475.00
2012-02-13,9250.00,9690.00,9250.00,9335.00,46300,9335.00
2012-02-10,8614.15,9350.00,8614.10,9340.00,51100,9340.00
2012-02-09,8495.00,8775.00,8357.30,8745.00,37600,8745.00
2012-02-08,8295.00,8547.95,8270.10,8473.00,13400,8473.00
2012-02-07,8449.00,8449.00,8252.50,8256.10,6600,8256.10
2012-02-06,8248.90,8516.00,8248.90,8370.00,15200,8370.00
2012-02-03,8350.00,8360.00,8129.00,8180.00,10600,8180.00
2012-02-02,8309.00,8470.00,8161.00,8350.00,19300,8350.00
2012-02-01,7910.00,8350.00,7880.00,8350.00,20700,8350.00
2012-01-31,7657.00,7940.00,7657.00,7900.00,19400,7900.00
2012-01-30,7350.00,7793.05,7280.00,7649.90,21500,7649.90
2012-01-27,7447.00,7489.95,7338.00,7372.00,4500,7372.00
2012-01-25,7231.05,7460.00,7182.15,7401.00,10800,7401.00
2012-01-24,7190.00,7245.00,7180.00,7200.00,3200,7200.00
2012-01-23,7215.00,7250.00,7105.05,7160.00,3600,7160.00
2012-01-20,7201.00,7272.65,7100.40,7110.00,3800,7110.00
2012-01-19,7290.00,7290.00,7170.00,7184.00,10300,7184.00
2012-01-18,7295.00,7360.00,7141.10,7180.00,4000,7180.00
2012-01-17,7276.85,7420.00,7230.00,7260.00,8500,7260.00
2012-01-16,7240.00,7298.45,7164.00,7215.00,10300,7215.00
2012-01-13,7315.05,7375.00,7235.50,7280.00,7200,7280.00
2012-01-12,7215.00,7346.00,7159.65,7339.00,17800,7339.00
