/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,59.50,59.65,58.00,58.15,508300,58.20
2012-07-20,59.50,59.80,58.00,58.20,508300,58.20
2012-07-19,57.70,59.60,57.45,59.40,308500,59.40
2012-07-18,62.00,62.00,56.60,57.45,126000,57.45
2012-07-17,58.30,58.85,57.05,57.05,125500,57.05
2012-07-16,58.55,59.00,58.10,58.15,149900,58.15
2012-07-13,58.90,59.30,58.10,58.15,132900,58.15
2012-07-12,59.00,59.10,58.05,58.35,208400,58.35
2012-07-11,58.50,60.65,58.50,59.90,610300,59.90
2012-07-10,59.40,59.75,58.65,59.00,233400,59.00
2012-07-09,57.25,59.30,57.25,59.25,458600,59.25
2012-07-06,59.95,60.15,58.35,58.60,458700,58.60
2012-07-05,59.15,60.20,58.55,59.55,473300,59.55
2012-07-04,60.70,60.90,58.55,59.05,1044200,59.05
2012-07-03,56.50,61.85,55.90,59.90,3328000,59.90
2012-07-02,55.40,56.00,54.35,55.75,718200,55.75
2012-06-29,53.60,54.50,53.40,54.20,463200,54.20
2012-06-28,54.55,55.45,52.70,53.15,1002500,53.15
2012-06-27,55.00,55.35,54.50,54.70,253200,54.70
2012-06-26,54.65,55.35,54.40,54.55,259900,54.55
2012-06-25,54.80,55.45,54.10,55.25,754600,55.25
2012-06-22,54.00,55.65,54.00,54.35,883400,54.35
2012-06-21,53.00,54.75,52.70,54.50,1600300,54.50
2012-06-20,52.75,53.40,52.55,52.80,750000,52.80
2012-06-19,53.05,53.35,52.25,52.65,200100,52.65
2012-06-18,53.05,53.75,52.45,53.10,483100,53.10
2012-06-15,52.75,53.75,52.50,52.90,521900,52.90
2012-06-14,52.90,53.35,52.10,52.30,985600,52.30
2012-06-13,52.40,53.40,52.10,52.85,1208500,52.85
2012-06-12,51.10,52.30,50.30,51.90,644400,51.90
2012-06-11,53.65,54.45,51.15,51.60,787900,51.60
2012-06-08,53.95,54.00,52.10,52.65,768300,52.65
2012-06-07,54.05,54.95,53.50,53.95,1721200,53.95
2012-06-06,53.00,53.60,52.35,52.60,953900,52.60
2012-06-05,52.60,53.20,51.80,52.35,342500,52.35
2012-06-01,56.00,56.40,53.00,53.45,532200,53.45
2012-05-31,55.30,55.95,53.00,55.55,411700,55.55
2012-05-30,57.90,57.90,55.00,55.40,205000,55.40
2012-05-29,58.30,59.00,57.60,57.65,115500,57.65
2012-05-28,58.20,58.90,58.20,58.60,120100,58.60
2012-05-25,58.70,59.00,57.80,58.00,168300,58.00
2012-05-24,58.75,60.00,58.00,58.50,519900,58.50
2012-05-23,57.35,58.40,56.60,57.10,461700,57.10
2012-05-22,58.80,60.15,57.05,57.45,308800,57.45
2012-05-21,58.75,60.50,58.30,58.35,360800,58.35
2012-05-18,55.80,59.50,55.15,59.35,222600,59.35
2012-05-17,57.70,58.30,56.00,56.80,214600,56.80
2012-05-16,57.00,58.95,55.05,56.60,434300,56.60
2012-05-14,56.40,56.40,54.80,55.00,105000,55.00
2012-05-11,55.70,56.50,55.30,56.00,115500,56.00
2012-05-10,57.10,58.50,55.50,55.70,320600,55.70
2012-05-09,56.50,57.60,56.20,56.90,190200,56.90
2012-05-08,58.55,59.90,56.30,56.50,203800,56.50
2012-05-07,58.35,59.45,56.10,59.05,368100,59.05
2012-05-04,60.30,60.30,58.65,58.70,242400,58.70
2012-05-03,61.50,62.05,60.40,60.70,323700,60.70
2012-05-02,62.05,63.25,61.20,61.45,234500,61.45
2012-04-30,61.75,62.65,61.40,62.60,153400,62.60
2012-04-27,62.40,62.60,61.05,61.30,228000,61.30
2012-04-26,62.05,62.85,61.20,61.55,1117300,61.55
2012-04-25,61.50,63.40,60.65,61.70,282400,61.70
2012-04-24,61.00,63.30,61.00,62.75,207800,62.75
2012-04-23,61.05,62.90,61.05,61.95,210900,61.95
2012-04-20,64.50,65.70,62.00,62.50,1116100,62.50
2012-04-19,66.75,67.10,65.40,65.40,235300,65.40
2012-04-18,67.50,68.00,66.50,66.65,191900,66.65
2012-04-17,65.00,67.90,64.70,67.10,531100,67.10
2012-04-16,64.00,65.30,63.25,65.00,139200,65.00
2012-04-13,65.00,67.00,62.70,64.00,855900,64.00
2012-04-12,65.45,67.15,64.90,66.85,331400,66.85
2012-04-11,65.50,66.70,64.65,65.20,190700,65.20
2012-04-10,65.00,66.10,62.05,66.00,322400,66.00
2012-04-09,67.15,67.75,64.20,64.50,159500,64.50
2012-04-04,68.50,68.85,67.00,67.90,186800,67.90
2012-04-03,62.10,69.60,62.10,68.65,543300,68.65
2012-04-02,68.50,68.50,66.10,67.80,506100,67.80
2012-03-30,61.15,69.45,61.15,68.50,1348300,68.50
2012-03-29,59.00,61.35,58.30,61.35,610600,61.35
2012-03-28,62.20,62.35,58.80,59.25,384600,59.25
2012-03-27,61.95,63.00,61.15,62.10,358000,62.10
2012-03-26,63.00,63.55,60.80,61.40,244400,61.40
2012-03-23,65.00,66.00,61.05,62.65,1073600,62.65
2012-03-21,66.70,69.70,66.20,69.60,383600,69.60
2012-03-20,66.45,67.50,65.30,66.65,243500,66.65
2012-03-19,66.70,66.90,64.30,66.35,453500,66.35
2012-03-16,66.65,67.80,65.55,65.80,341400,65.80
2012-03-15,68.90,69.65,66.10,66.25,290700,66.25
