Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,40.90,41.00,39.90,40.15,1045500,40.20
2012-07-20,41.05,41.05,39.90,40.20,1045500,40.20
2012-07-19,41.40,42.00,40.50,40.90,1123800,40.90
2012-07-18,40.50,41.30,39.20,40.80,2257000,40.80
2012-07-17,41.00,43.80,40.10,40.25,2894900,40.25
2012-07-16,42.30,42.55,40.10,40.45,2426300,40.45
2012-07-13,42.35,43.15,41.10,42.25,1751700,42.25
2012-07-12,42.50,42.90,41.40,42.10,2765200,42.10
2012-07-11,43.90,44.50,42.90,43.10,2001800,43.10
2012-07-10,43.00,44.35,42.50,44.00,3166100,44.00
2012-07-09,42.75,44.40,41.30,42.90,4596500,42.90
2012-07-06,42.80,45.30,42.80,43.30,3403500,43.30
2012-07-05,45.00,45.60,44.20,45.00,2342800,45.00
2012-07-04,44.75,46.05,43.90,44.80,3435300,44.80
2012-07-03,46.50,46.85,43.65,44.80,5127900,44.80
2012-07-02,45.60,47.20,45.00,46.50,5020500,46.50
2012-06-29,41.80,46.10,41.55,45.25,13137700,45.25
2012-06-28,42.10,42.10,39.75,40.00,3004500,40.00
2012-06-27,41.00,41.30,40.00,40.15,1988500,40.15
2012-06-26,39.70,41.35,39.60,40.30,2601900,40.30
2012-06-25,41.15,41.80,39.70,39.90,2918500,39.90
2012-06-22,42.10,43.70,40.30,40.55,6610800,40.55
2012-06-21,38.80,42.95,38.15,42.70,6272600,42.70
2012-06-20,37.90,39.10,37.30,38.95,2401600,38.95
2012-06-19,35.50,37.40,35.50,37.35,1950700,37.35
2012-06-18,38.00,38.35,35.15,36.20,3473600,36.20
2012-06-15,37.00,37.90,36.40,37.40,2138600,37.40
2012-06-14,37.00,37.70,36.15,36.70,5885500,36.70
2012-06-13,33.75,37.15,33.75,36.65,9142700,36.65
2012-06-12,33.70,34.35,32.50,33.80,5278700,33.80
2012-06-11,33.95,36.50,33.25,33.70,4977100,33.70
2012-06-08,32.70,33.90,31.85,33.85,4623600,33.85
2012-06-07,31.85,32.95,31.55,32.55,4246500,32.55
2012-06-06,31.00,31.90,30.85,31.30,4136400,31.30
2012-06-05,30.00,31.65,30.00,30.50,2587600,30.50
2012-06-01,30.75,30.90,29.35,29.45,1078500,29.45
2012-05-31,30.50,31.00,30.00,30.70,1653100,30.70
2012-05-30,32.40,32.50,30.30,30.45,2006500,30.45
2012-05-29,32.80,32.95,31.60,31.80,1383200,31.80
2012-05-28,31.10,32.65,31.00,32.45,1856000,32.45
2012-05-25,31.00,31.60,30.35,31.00,1678400,31.00
2012-05-24,31.35,31.60,30.50,31.10,1887100,31.10
2012-05-23,31.30,31.75,30.90,31.40,1061500,31.40
2012-05-22,33.25,33.55,31.15,31.30,1370900,31.30
2012-05-21,31.80,33.40,31.75,32.30,1764800,32.30
2012-05-18,32.20,32.50,31.40,31.80,2386700,31.80
2012-05-17,33.20,33.95,32.25,32.30,2211100,32.30
2012-05-16,32.80,33.95,32.25,32.65,2515500,32.65
2012-05-14,35.90,36.40,33.70,33.70,2141900,33.70
2012-05-11,37.00,37.50,35.40,35.50,2322200,35.50
2012-05-10,38.45,39.30,35.70,37.50,2681900,37.50
2012-05-09,40.00,41.10,38.00,38.20,2037100,38.20
2012-05-08,43.80,44.40,40.05,40.25,2023500,40.25
2012-05-07,42.80,43.60,40.60,43.15,1514500,43.15
2012-05-04,43.10,44.50,42.15,42.50,1991000,42.50
2012-05-03,47.90,48.40,43.15,44.00,2677500,44.00
2012-05-02,51.15,51.50,47.10,47.35,2889400,47.35
2012-04-30,51.00,51.60,49.65,50.20,1575100,50.20
2012-04-27,49.60,52.45,48.00,50.15,2042300,50.15
2012-04-26,51.10,51.75,49.60,50.20,1022700,50.20
2012-04-25,52.75,53.75,50.30,50.85,1588200,50.85
2012-04-24,55.45,55.45,52.25,52.70,2043900,52.70
2012-04-23,56.90,57.45,53.20,54.70,1723300,54.70
2012-04-20,56.30,58.40,54.90,56.90,2620200,56.90
2012-04-19,59.00,59.00,55.95,57.05,2135100,57.05
2012-04-18,56.25,61.00,56.05,58.15,8049600,58.15
2012-04-17,55.00,55.90,53.15,55.65,1859800,55.65
2012-04-16,54.15,56.20,53.15,54.15,991100,54.15
2012-04-13,57.20,58.95,54.10,54.75,3190400,54.75
2012-04-12,52.75,57.50,52.00,57.00,3126100,57.00
2012-04-11,53.20,55.30,52.50,53.30,1372400,53.30
2012-04-10,55.80,56.30,52.50,53.55,1475400,53.55
2012-04-09,56.95,57.50,54.60,55.05,846300,55.05
2012-04-04,56.00,57.85,55.65,57.20,1596500,57.20
2012-04-03,55.15,57.90,54.85,56.40,2212200,56.40
2012-04-02,56.40,56.80,53.85,55.00,1736000,55.00
2012-03-30,51.60,57.50,50.65,55.50,4352200,55.50
2012-03-29,46.80,51.80,46.20,51.75,2225300,51.75
2012-03-28,47.10,48.40,46.20,46.60,3415700,46.60
