Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,186.10,191.95,186.10,191.05,493600,190.80
2012-07-20,186.10,191.95,186.10,190.80,493600,190.80
2012-07-19,191.00,195.30,191.00,191.00,813600,191.00
2012-07-18,185.15,190.95,183.10,189.95,241500,189.95
2012-07-17,187.10,189.70,185.00,186.00,123200,186.00
2012-07-16,190.30,190.60,184.80,187.00,533100,187.00
2012-07-13,185.10,190.90,182.00,189.00,322500,189.00
2012-07-12,186.10,189.00,182.40,186.00,224800,186.00
2012-07-11,191.60,193.95,185.10,186.30,1195400,186.30
2012-07-10,193.95,194.20,190.50,192.95,239000,192.95
2012-07-09,196.90,196.95,191.00,193.50,268900,193.50
2012-07-06,199.10,199.10,195.10,197.15,139400,197.15
2012-07-05,199.45,199.45,195.10,197.20,292200,197.20
2012-07-04,199.30,202.80,198.25,198.50,1019900,198.50
2012-07-03,198.00,200.50,194.20,199.00,571600,199.00
2012-07-02,187.60,198.40,187.15,196.00,634200,196.00
2012-06-29,183.05,187.20,181.05,186.70,220300,186.70
2012-06-28,182.30,186.75,179.10,180.55,668700,180.55
2012-06-27,181.00,183.90,180.30,181.50,236300,181.50
2012-06-26,177.00,180.95,175.05,179.00,311000,179.00
2012-06-25,173.70,177.55,173.70,176.20,310100,176.20
2012-06-22,171.15,177.70,171.15,175.00,198400,175.00
2012-06-21,173.45,176.00,171.20,175.00,84800,175.00
2012-06-20,172.00,175.75,172.00,174.55,283000,174.55
2012-06-19,167.95,172.65,167.60,171.90,444200,171.90
2012-06-18,169.15,170.50,166.55,166.55,145800,166.55
2012-06-15,168.50,171.55,167.10,167.55,267100,167.55
2012-06-14,165.40,169.80,164.50,167.55,368700,167.55
2012-06-13,166.40,167.70,164.50,165.00,85700,165.00
2012-06-12,166.45,166.90,164.25,166.40,173500,166.40
2012-06-11,168.90,170.90,166.00,166.35,151500,166.35
2012-06-08,167.00,170.00,165.00,168.00,1038900,168.00
2012-06-07,169.65,169.95,166.65,167.55,173200,167.55
2012-06-06,167.40,168.80,166.10,167.50,233200,167.50
2012-06-05,166.55,167.85,165.90,166.05,213700,166.05
2012-06-01,166.95,168.00,164.85,165.05,144600,165.05
2012-05-31,164.40,167.80,163.10,166.00,200200,166.00
2012-05-30,166.45,171.35,164.00,164.95,488500,164.95
2012-05-29,174.00,174.00,164.20,167.15,379100,167.15
2012-05-28,171.00,171.60,166.50,167.80,390200,167.80
2012-05-25,167.00,171.65,159.00,170.25,582400,170.25
2012-05-24,172.10,172.20,163.25,166.70,380500,166.70
2012-05-23,166.60,172.25,165.75,169.35,430600,169.35
2012-05-22,171.05,173.75,162.05,166.50,881500,166.50
2012-05-21,178.00,178.00,167.70,168.60,431100,168.60
2012-05-18,169.95,178.45,169.95,175.70,443100,175.70
2012-05-17,167.90,178.80,165.90,172.80,676400,172.80
2012-05-16,169.95,175.00,164.25,166.00,325600,166.00
2012-05-14,166.75,169.80,165.25,166.00,199100,166.00
2012-05-11,168.00,169.00,165.20,168.80,184800,168.80
2012-05-10,164.30,169.00,163.80,168.00,176600,168.00
2012-05-09,167.00,167.00,163.05,164.70,90100,164.70
2012-05-08,172.50,174.70,164.50,165.25,195300,165.25
2012-05-07,171.90,173.25,168.65,172.85,300300,172.85
2012-05-04,173.10,175.55,171.10,172.05,240600,172.05
2012-05-03,174.70,176.60,172.05,173.95,153500,173.95
2012-05-02,177.45,178.90,175.30,176.15,233000,176.15
2012-04-30,175.50,179.00,173.10,175.20,527500,175.20
2012-04-27,169.15,171.60,169.15,171.00,153100,171.00
2012-04-26,169.10,171.30,167.65,168.50,595600,168.50
2012-04-25,171.85,171.85,167.60,170.00,132300,170.00
2012-04-24,172.00,174.00,170.00,170.00,144600,170.00
2012-04-23,172.25,173.50,171.00,171.10,613400,171.10
2012-04-20,170.00,174.90,168.60,171.05,630500,171.05
2012-04-19,168.70,171.10,166.35,170.95,171800,170.95
2012-04-18,170.75,170.95,165.00,168.00,174200,168.00
2012-04-17,165.00,171.35,164.80,169.05,572600,169.05
2012-04-16,165.80,167.00,164.80,165.55,235100,165.55
2012-04-13,163.75,169.30,162.70,164.50,463500,164.50
2012-04-12,161.05,163.65,161.00,162.00,256800,162.00
2012-04-11,162.25,162.25,159.30,161.05,164500,161.05
2012-04-10,164.05,164.90,161.60,162.60,130000,162.60
2012-04-09,168.35,168.35,162.90,162.90,160000,162.90
2012-04-04,169.15,169.50,166.05,168.15,181700,168.15
2012-04-03,166.00,169.70,165.50,169.00,329500,169.00
2012-04-02,157.00,165.80,157.00,165.20,434500,165.20
2012-03-30,156.95,161.95,156.95,160.55,294000,160.55
2012-03-29,157.35,159.00,154.25,155.65,1019700,155.65
2012-03-28,162.30,162.75,157.05,158.70,220200,158.70
2012-03-27,164.40,164.40,160.65,163.30,430400,163.30
2012-03-26,165.00,165.00,160.00,160.00,249100,160.00
2012-03-23,160.50,165.40,160.15,164.90,326500,164.90
2012-03-21,162.05,164.50,160.50,164.25,1201000,164.25
2012-03-20,158.30,164.50,157.80,164.25,1684700,164.25
2012-03-19,156.80,162.00,155.05,157.70,1449200,157.70
2012-03-16,171.05,171.05,155.25,159.10,4416500,159.10
2012-03-15,178.00,179.00,169.60,171.00,610000,171.00
2012-03-14,182.00,182.90,176.90,177.50,599200,177.50
2012-03-13,184.00,184.90,178.80,179.70,387400,179.70
2012-03-12,186.95,186.95,179.15,180.40,395800,180.40
2012-03-09,183.05,186.80,181.20,183.35,323700,183.35
2012-03-07,182.50,183.60,177.30,182.20,547100,182.20
2012-03-06,184.00,189.85,181.60,183.10,731100,183.10
2012-03-05,182.80,186.60,181.55,185.60,614700,185.60
2012-03-02,184.70,186.90,181.70,184.40,780900,184.40
2012-03-01,181.55,188.50,178.30,183.15,813000,183.15
2012-02-29,179.35,184.90,177.60,179.35,533400,179.35
2012-02-28,183.40,183.40,174.10,178.35,436400,178.35
2012-02-27,181.50,181.50,172.20,174.00,321400,174.00
2012-02-24,181.90,184.00,176.00,177.95,316300,177.95
2012-02-23,187.95,189.05,178.25,180.25,721600,180.25
2012-02-22,197.55,198.70,186.40,188.25,403300,188.25
2012-02-21,198.95,201.90,195.60,196.50,289600,196.50
