/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,156.70,157.45,155.55,155.90,841600,156.40
2012-07-20,156.70,157.45,155.55,156.40,841600,156.40
2012-07-19,158.00,159.05,156.50,157.35,5181600,157.35
2012-07-18,158.25,158.70,156.10,157.15,1380000,157.15
2012-07-17,159.45,160.15,157.30,157.65,1578400,157.65
2012-07-16,158.80,160.80,158.35,158.85,1205800,158.85
2012-07-13,159.25,161.10,158.70,159.75,830700,159.75
2012-07-12,158.90,160.35,157.00,159.15,1751400,159.15
2012-07-11,158.60,161.70,158.60,160.30,2058500,160.30
2012-07-10,159.50,160.70,157.50,160.70,1318600,160.70
2012-07-09,159.25,160.55,157.50,160.15,1388700,160.15
2012-07-06,161.00,161.85,159.70,160.70,610600,160.70
2012-07-05,160.50,162.35,159.00,161.40,1439100,161.40
2012-07-04,161.30,162.00,158.50,160.80,1565500,160.80
2012-07-03,161.50,162.60,159.00,161.30,1771800,161.30
2012-07-02,160.00,162.00,159.25,161.10,1232600,161.10
2012-06-29,158.85,160.40,158.05,159.90,2562200,159.90
2012-06-28,156.00,158.35,154.85,157.00,3775000,157.00
2012-06-27,155.00,156.55,154.25,155.00,1585900,155.00
2012-06-26,152.60,154.45,151.65,154.25,1861600,154.25
2012-06-25,151.55,154.10,151.45,152.55,2643000,152.55
2012-06-22,150.40,153.35,149.55,151.85,2307800,151.85
2012-06-21,149.80,152.00,149.00,152.00,1407900,152.00
2012-06-20,150.00,152.20,148.90,149.55,2192800,149.55
2012-06-19,148.50,151.15,147.35,148.55,2841800,148.55
2012-06-18,151.05,152.40,147.45,149.75,1618300,149.75
2012-06-15,148.00,151.30,147.00,150.10,2847900,150.10
2012-06-14,153.00,154.40,147.60,148.30,3943300,148.30
2012-06-13,157.50,157.80,153.50,154.00,1378500,154.00
2012-06-12,154.70,158.50,153.55,157.70,1645600,157.70
2012-06-11,156.30,158.80,154.60,154.70,1350900,154.70
2012-06-08,154.50,157.30,152.50,156.10,1717400,156.10
2012-06-07,153.10,157.10,151.75,154.50,2851600,154.50
2012-06-06,147.50,153.40,147.50,152.60,2986500,152.60
2012-06-05,144.05,147.50,144.05,147.35,1807900,147.35
2012-06-01,146.30,146.65,144.10,144.50,1819700,144.50
2012-05-31,144.20,148.00,144.15,146.10,3496900,146.10
2012-05-30,143.90,146.45,143.90,145.25,2671900,145.25
2012-05-29,145.10,146.15,143.90,145.00,1692100,145.00
2012-05-28,141.70,144.90,141.70,144.75,986900,144.75
2012-05-25,142.10,143.00,141.05,142.25,1382600,142.25
2012-05-24,141.10,143.25,139.95,142.90,1247000,142.90
2012-05-23,141.00,141.70,139.00,141.05,1725800,141.05
2012-05-22,143.55,145.25,140.75,141.40,2602800,141.40
2012-05-21,144.60,146.00,141.75,142.95,1877000,142.95
2012-05-18,141.00,147.50,140.05,144.50,3012800,144.50
2012-05-17,141.05,142.85,141.00,142.40,2374200,142.40
2012-05-16,142.40,142.90,138.85,141.55,3102800,141.55
2012-05-14,148.15,150.10,146.50,146.90,3577000,146.90
2012-05-11,149.40,150.90,146.10,148.00,1980800,148.00
2012-05-10,151.00,153.75,148.25,149.95,2693200,149.95
2012-05-09,154.65,155.30,150.20,152.00,1772400,152.00
2012-05-08,156.90,157.65,154.55,156.40,2258200,156.40
2012-05-07,154.00,157.05,152.50,156.30,1540400,156.30
2012-05-04,156.00,158.30,154.05,154.95,1493800,154.95
2012-05-03,159.80,159.80,155.75,157.50,2996600,157.50
2012-05-02,162.00,163.25,159.25,159.35,1844600,159.35
2012-04-30,161.40,164.35,161.40,162.50,1339500,162.50
2012-04-27,161.60,163.35,161.00,161.50,816000,161.50
2012-04-26,164.10,165.95,160.40,162.50,2580800,162.50
2012-04-25,167.90,167.90,163.35,164.50,880200,164.50
2012-04-24,165.95,168.25,164.50,168.00,1208900,168.00
2012-04-23,164.80,166.45,163.05,166.35,1852900,166.35
2012-04-20,168.00,168.90,163.60,165.70,961600,165.70
2012-04-19,168.90,169.50,167.00,168.15,926800,168.15
2012-04-18,167.55,169.75,167.30,167.70,2318500,167.70
2012-04-17,165.05,168.90,164.70,167.40,3104400,167.40
