Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,490.50,498.15,486.10,496.30,130500,497.00
2012-07-20,490.50,498.15,486.10,497.00,130600,497.00
2012-07-19,491.00,494.00,481.95,494.00,71800,494.00
2012-07-18,482.30,484.00,476.25,482.40,24300,482.40
2012-07-17,482.05,486.00,475.60,481.30,160700,481.30
2012-07-16,488.95,488.95,478.00,483.00,40000,483.00
2012-07-13,480.00,486.50,480.00,484.25,58200,484.25
2012-07-12,473.00,482.70,472.00,480.00,48700,480.00
2012-07-11,473.35,479.00,470.50,476.50,72500,476.50
2012-07-10,475.10,479.00,473.90,475.45,139000,475.45
2012-07-09,491.95,491.95,471.15,472.25,160700,472.25
2012-07-06,496.05,496.05,487.10,488.00,276600,488.00
2012-07-05,498.05,502.55,493.00,496.80,274500,496.80
2012-07-04,500.00,510.45,497.35,501.15,126600,501.15
2012-07-03,496.50,506.00,495.65,504.90,124900,504.90
2012-07-02,494.30,504.60,494.30,500.00,202900,500.00
2012-06-29,500.00,504.90,491.50,500.00,163000,500.00
2012-06-28,492.10,501.20,488.35,496.00,80500,496.00
2012-06-27,496.05,500.00,483.15,497.00,129500,497.00
2012-06-26,486.05,499.00,486.05,495.10,65300,495.10
2012-06-25,491.10,501.60,487.20,489.85,153000,489.85
2012-06-22,463.05,497.65,463.05,490.95,210500,490.95
2012-06-21,470.00,479.75,470.00,478.35,64800,478.35
2012-06-20,465.80,477.00,465.70,472.00,84700,472.00
2012-06-19,456.30,468.70,456.30,466.00,103400,466.00
2012-06-18,468.05,470.00,460.00,462.00,51600,462.00
2012-06-15,464.35,469.15,460.20,466.10,53600,466.10
2012-06-14,461.80,465.95,451.55,463.00,53100,463.00
2012-06-13,457.55,468.90,451.20,461.55,132700,461.55
2012-06-12,457.00,463.40,439.55,463.00,132200,463.00
2012-06-11,456.85,462.00,455.00,457.00,47600,457.00
2012-06-08,455.95,458.30,454.00,455.00,150400,455.00
2012-06-07,460.75,460.75,452.15,455.00,60000,455.00
2012-06-06,457.90,458.95,450.65,457.00,81100,457.00
2012-06-05,453.25,455.90,445.20,454.00,252700,454.00
2012-06-01,436.55,443.95,433.25,443.00,83300,443.00
2012-05-31,445.05,445.05,431.00,439.90,167800,439.90
2012-05-30,457.00,457.00,442.60,443.50,93100,443.50
2012-05-29,448.00,459.00,448.00,457.10,156700,457.10
2012-05-28,457.00,458.10,442.20,449.00,224200,449.00
2012-05-25,453.70,455.90,450.00,450.15,41500,450.15
2012-05-24,464.00,479.00,450.10,453.95,163700,453.95
2012-05-23,442.50,451.50,439.05,447.20,71600,447.20
2012-05-22,441.50,445.70,438.00,443.00,143700,443.00
2012-05-21,441.45,441.90,435.50,437.60,246600,437.60
2012-05-18,444.05,444.05,431.25,439.20,125100,439.20
2012-05-17,438.20,445.25,435.65,443.50,125900,443.50
2012-05-16,441.90,444.15,430.45,438.30,92900,438.30
2012-05-14,464.00,464.00,451.25,452.80,60500,452.80
2012-05-11,464.00,468.35,450.25,453.50,78600,453.50
