Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,284.80,285.20,279.80,281.85,1481100,282.85
2012-07-20,284.80,285.25,279.80,282.85,1481100,282.85
2012-07-19,285.00,287.40,283.05,285.00,2893800,285.00
2012-07-18,286.00,288.75,284.05,284.40,3098400,284.40
2012-07-17,288.20,290.00,283.20,284.00,2304200,284.00
2012-07-16,284.10,288.30,282.55,287.50,1928500,287.50
2012-07-13,280.65,286.00,280.65,285.00,2384100,285.00
2012-07-12,275.50,283.40,275.50,282.00,3628100,282.00
2012-07-11,276.75,279.90,275.20,278.00,2017100,278.00
2012-07-10,279.00,282.00,275.70,279.70,2857900,279.70
2012-07-09,277.05,280.40,276.20,277.65,1742800,277.65
2012-07-06,280.00,280.00,273.65,278.80,4337800,278.80
2012-07-05,284.00,284.90,276.70,279.50,5322600,279.50
2012-07-04,290.55,291.00,281.40,283.95,3635700,283.95
2012-07-03,287.50,293.25,287.10,289.80,3125000,289.80
2012-07-02,284.95,290.00,279.40,288.65,1570000,288.65
2012-06-29,279.00,285.80,278.50,284.05,4101500,284.05
2012-06-28,276.25,279.30,275.50,278.00,1588600,278.00
2012-06-27,278.50,279.00,273.10,276.70,2488600,276.70
2012-06-26,271.65,280.00,271.65,277.75,2290500,277.75
2012-06-25,279.75,282.00,270.30,274.00,1744200,274.00
2012-06-22,272.75,280.10,271.60,280.00,2234300,280.00
2012-06-21,272.00,278.45,270.75,274.40,3571000,274.40
2012-06-20,269.25,274.35,268.05,271.90,3040800,271.90
2012-06-19,261.65,270.00,261.65,267.00,2529700,267.00
2012-06-18,267.60,268.50,261.60,264.70,2110700,264.70
2012-06-15,269.00,273.90,264.85,266.60,7233700,266.60
2012-06-14,269.00,269.65,264.15,267.60,1645800,267.60
2012-06-13,262.00,269.80,259.25,267.45,3270800,267.45
2012-06-12,256.00,263.00,254.35,261.40,2726400,261.40
2012-06-11,261.40,261.75,254.20,256.60,4259900,256.60
2012-06-08,261.30,261.85,255.05,259.00,3833200,259.00
2012-06-07,261.95,264.95,258.50,264.10,2841700,264.10
2012-06-06,254.00,263.00,254.00,260.00,2772200,260.00
2012-06-05,255.00,255.40,252.20,253.60,1483700,253.60
2012-06-01,251.00,254.55,245.40,246.00,1802000,246.00
2012-05-31,250.15,254.55,248.25,253.50,3855200,253.50
2012-05-30,260.60,261.55,250.05,251.60,2710100,251.60
2012-05-29,254.90,257.60,253.85,256.25,1578200,256.25
2012-05-28,257.55,257.90,252.50,253.90,866800,253.90
2012-05-25,254.25,259.80,252.30,258.00,1983600,258.00
2012-05-24,252.20,259.35,248.20,258.25,5330000,258.25
2012-05-23,245.00,245.90,240.10,243.60,1945700,243.60
2012-05-22,248.55,251.00,244.00,244.65,2192600,244.65
2012-05-21,246.30,250.45,245.70,245.70,1672300,245.70
2012-05-18,243.60,249.75,242.70,248.15,2486000,248.15
2012-05-17,247.65,250.40,242.50,245.90,2721500,245.90
