/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,36.05,37.15,35.85,36.55,2957600,36.65
2012-07-20,36.85,37.20,35.85,36.65,2957600,36.65
2012-07-19,37.00,37.55,36.60,36.80,2357300,36.80
2012-07-18,36.70,37.50,36.40,36.80,5192400,36.80
2012-07-17,36.60,37.50,35.75,36.00,6830000,36.00
2012-07-16,38.90,38.95,35.55,35.90,7443700,35.90
2012-07-13,38.00,39.40,37.55,38.40,11106800,38.40
2012-07-12,35.00,38.50,33.50,37.65,21804900,37.65
2012-07-11,33.10,37.75,33.10,36.10,17260500,36.10
2012-07-10,32.90,37.05,31.80,36.90,27489600,36.90
2012-07-09,34.55,35.50,33.25,33.60,5349300,33.60
2012-07-06,34.50,35.40,33.35,35.30,7797500,35.30
2012-07-05,34.30,35.50,34.00,34.30,11393200,34.30
2012-07-04,31.70,34.80,31.35,34.15,25937500,34.15
2012-07-03,29.80,31.80,29.80,31.05,19259600,31.05
2012-07-02,30.90,32.05,28.85,30.15,21424000,30.15
2012-06-29,34.65,35.45,30.00,30.10,23298300,30.10
2012-06-28,40.05,40.60,32.65,32.95,14603100,32.95
2012-06-27,39.40,41.00,39.20,39.60,1387800,39.60
2012-06-26,38.35,39.75,38.20,39.25,704200,39.25
2012-06-25,39.40,40.55,37.35,38.25,691800,38.25
2012-06-22,40.05,40.05,38.40,39.40,1134200,39.40
2012-06-21,35.90,40.85,35.00,40.30,2950400,40.30
2012-06-20,34.30,36.45,34.30,35.60,955000,35.60
2012-06-19,36.15,36.60,33.75,34.30,887600,34.30
2012-06-18,36.40,37.35,36.15,36.35,531300,36.35
2012-06-15,37.70,38.00,36.55,36.75,638400,36.75
2012-06-14,37.00,38.20,37.00,37.50,471500,37.50
2012-06-13,38.00,38.40,37.25,37.65,369400,37.65
2012-06-12,38.95,39.15,37.15,37.50,605500,37.50
2012-06-11,39.45,40.70,38.20,38.60,492800,38.60
2012-06-08,40.85,40.90,39.15,39.45,518200,39.45
2012-06-07,39.30,41.20,38.60,40.50,1206700,40.50
2012-06-06,38.20,39.40,37.10,38.60,565400,38.60
2012-06-05,38.60,39.35,37.50,38.05,315200,38.05
2012-06-01,41.70,42.00,40.05,40.35,331000,40.35
2012-05-31,41.90,48.30,40.80,41.30,381200,41.30
2012-05-30,42.75,43.50,41.25,41.35,884000,41.35
2012-05-29,44.25,44.70,42.55,42.75,653600,42.75
2012-05-28,44.85,45.35,43.40,43.95,418700,43.95
2012-05-25,44.00,45.55,43.90,44.70,256100,44.70
2012-05-24,45.00,45.85,42.35,45.45,466000,45.45
2012-05-23,44.20,45.10,42.25,45.00,724200,45.00
2012-05-22,46.00,46.85,42.45,45.00,1307400,45.00
2012-05-21,49.65,49.70,45.20,45.60,1009800,45.60
2012-05-18,49.20,49.45,48.00,48.70,283100,48.70
2012-05-17,49.80,50.70,49.55,49.95,332800,49.95
2012-05-16,50.75,50.75,48.70,48.95,271200,48.95
2012-05-14,51.90,52.70,48.70,49.00,185500,49.00
2012-05-11,52.70,52.90,50.25,51.45,188800,51.45
2012-05-10,53.65,55.70,52.50,52.60,423700,52.60
2012-05-09,51.85,53.65,51.85,52.70,290400,52.70
2012-05-08,53.05,54.80,49.70,52.75,1837600,52.75
2012-05-07,50.20,53.45,47.95,52.80,496100,52.80
2012-05-04,58.75,58.75,50.00,50.20,306900,50.20
2012-05-03,53.40,53.70,51.65,52.70,238300,52.70
2012-05-02,54.50,54.50,53.00,53.40,168700,53.40
2012-04-30,53.00,54.20,52.65,53.75,298100,53.75
2012-04-27,53.00,53.75,51.65,52.65,347200,52.65
2012-04-26,55.00,55.75,51.50,52.20,1025500,52.20
2012-04-25,56.70,56.90,54.50,54.95,157900,54.95
2012-04-24,55.60,56.70,54.25,55.95,259800,55.95
2012-04-23,57.55,58.50,55.05,55.10,414700,55.10
2012-04-20,57.15,58.65,57.05,57.85,1072200,57.85
2012-04-19,58.00,59.10,55.05,57.25,2457000,57.25
2012-04-18,61.35,61.40,59.10,59.35,499400,59.35
2012-04-17,59.00,61.30,56.85,60.85,649900,60.85
2012-04-16,58.35,59.25,57.80,59.05,340200,59.05
2012-04-13,61.25,61.45,57.80,58.70,447300,58.70
2012-04-12,59.35,61.40,59.25,60.80,767000,60.80
2012-04-11,58.60,59.55,58.30,59.00,291700,59.00
2012-04-10,60.25,60.90,59.00,59.30,636800,59.30
2012-04-09,62.10,63.20,59.55,60.00,332200,60.00
2012-04-04,64.10,64.30,62.40,63.30,439500,63.30
2012-04-03,60.70,64.20,60.40,63.30,1067400,63.30
2012-04-02,59.95,61.35,59.30,60.15,458200,60.15
2012-03-30,58.45,60.50,58.00,60.30,599200,60.30
2012-03-29,58.15,59.90,57.05,58.05,936100,58.05
2012-03-28,60.95,61.30,58.10,58.70,240800,58.70
2012-03-27,61.90,62.50,60.45,61.00,713300,61.00
2012-03-26,60.30,62.60,59.00,59.90,496300,59.90
2012-03-23,59.50,62.60,58.10,62.35,507300,62.35
2012-03-21,62.40,64.20,61.50,63.10,347400,63.10
2012-03-20,60.30,62.50,59.40,62.30,370000,62.30
2012-03-19,63.75,63.75,59.80,60.00,456200,60.00
2012-03-16,66.70,66.70,62.30,62.30,266600,62.30
2012-03-15,66.60,66.65,63.80,64.20,272200,64.20
2012-03-14,68.50,68.50,66.30,66.65,272500,66.65
2012-03-13,68.10,68.90,66.15,66.30,687100,66.30
2012-03-12,67.05,68.45,65.50,67.40,678100,67.40
2012-03-09,64.00,67.05,64.00,66.55,383200,66.55
2012-03-07,63.05,64.90,62.50,63.40,269400,63.40
2012-03-06,66.25,68.50,63.30,63.60,392200,63.60
2012-03-05,68.85,68.85,65.70,66.10,308100,66.10
2012-03-02,70.95,70.95,68.00,68.55,472400,68.55
2012-03-01,72.50,72.50,68.30,69.20,432200,69.20
2012-02-29,73.00,73.00,70.05,71.00,738900,71.00
2012-02-28,68.05,73.00,67.85,70.80,1571000,70.80
2012-02-27,73.95,73.95,66.00,66.80,563800,66.80
2012-02-24,75.45,76.45,72.05,73.25,554200,73.25
2012-02-23,74.15,79.00,71.80,74.65,2417400,74.65
2012-02-22,82.95,83.20,75.20,75.20,1012400,75.20
2012-02-21,80.65,82.95,79.05,82.50,727800,82.50
2012-02-17,80.50,83.85,78.45,79.70,879900,79.70
2012-02-16,82.85,83.45,79.15,80.00,820100,80.00
2012-02-15,82.35,84.15,81.75,83.10,1068700,83.10
2012-02-14,81.90,82.90,80.75,81.20,1597600,81.20
2012-02-13,76.40,81.20,75.50,80.70,1940800,80.70
2012-02-10,76.85,78.50,74.55,76.50,1032200,76.50
2012-02-09,75.15,78.00,75.00,76.55,695100,76.55
2012-02-08,75.50,76.50,74.00,75.70,446400,75.70
2012-02-07,75.50,78.25,73.40,74.00,999100,74.00
2012-02-06,75.40,77.50,74.25,75.05,686600,75.05
2012-02-03,74.60,75.70,73.60,74.65,581700,74.65
2012-02-02,76.60,77.50,73.30,74.40,726500,74.40
2012-02-01,77.20,77.85,75.50,76.40,822400,76.40
2012-01-31,74.30,76.80,71.80,76.80,610700,76.80
2012-01-30,79.00,79.65,73.40,73.50,1216000,73.50
2012-01-27,79.45,80.90,77.55,78.75,1260100,78.75
2012-01-25,74.25,77.70,73.65,77.10,1507400,77.10
2012-01-24,74.90,75.50,72.65,73.25,850200,73.25
2012-01-23,75.00,75.90,73.55,74.10,496600,74.10
2012-01-20,77.45,79.00,72.90,74.60,2063800,74.60
2012-01-19,72.90,76.00,72.90,75.55,1170700,75.55
2012-01-18,71.85,76.30,71.65,72.35,1417800,72.35
2012-01-17,71.70,73.45,71.50,72.30,402000,72.30
2012-01-16,71.85,73.90,70.70,71.40,759300,71.40
2012-01-13,71.50,74.65,71.00,72.10,881800,72.10
2012-01-12,73.75,74.50,70.30,71.00,1306600,71.00
2012-01-11,73.70,76.80,72.80,73.25,1460600,73.25
2012-01-10,74.70,75.20,72.65,73.30,920000,73.30
2012-01-06,66.80,68.45,65.55,68.35,374800,68.35
2012-01-05,69.15,70.50,67.30,67.85,452400,67.85
2012-01-04,67.45,71.30,66.60,68.90,1107900,68.90
2012-01-03,64.80,68.70,64.00,67.90,416800,67.90
2012-01-02,63.50,64.85,63.30,64.10,194900,64.10
2011-12-30,64.25,65.20,62.65,63.75,265600,63.75
2011-12-29,63.20,65.90,62.15,63.20,1068000,63.20
2011-12-28,65.90,66.50,63.20,63.65,339200,63.65
2011-12-27,65.85,67.50,64.50,66.40,340700,66.40
2011-12-26,66.65,67.65,65.00,66.10,227300,66.10
2011-12-23,66.15,68.70,65.35,66.50,295400,66.50
2011-12-22,65.90,66.80,57.00,65.85,203100,65.85
2011-12-21,65.60,66.75,63.60,65.60,272900,65.60
2011-12-20,63.00,65.35,60.75,64.25,496200,64.25
2011-12-19,64.65,64.65,61.05,62.45,322700,62.45
2011-12-16,65.70,67.20,63.55,64.40,452900,64.40
2011-12-15,65.65,66.00,63.85,64.80,411800,64.80
2011-12-14,66.85,68.45,65.50,66.15,444700,66.15
2011-12-13,66.55,68.45,66.20,67.75,532400,67.75
2011-12-12,69.25,70.90,64.10,68.10,1093600,68.10
2011-12-09,65.75,69.95,64.50,69.00,912400,69.00
2011-12-08,66.10,67.65,65.50,66.10,576300,66.10
2011-12-07,70.85,71.45,65.95,66.95,1267000,66.95
2011-12-05,67.95,72.35,67.95,70.20,1289800,70.20
2011-12-02,65.50,69.70,65.50,68.25,581400,68.25
2011-12-01,67.85,69.90,65.40,66.25,852100,66.25
2011-11-30,69.20,70.85,63.70,66.00,1958500,66.00
2011-11-29,69.65,72.40,68.20,68.80,1750500,68.80
2011-11-28,67.20,69.40,67.20,68.30,559000,68.30
2011-11-25,66.30,69.90,63.55,67.05,1675500,67.05
2011-11-24,63.70,67.40,60.25,66.50,1151900,66.50
2011-11-23,64.05,66.00,59.70,60.35,1156400,60.35
2011-11-22,59.50,66.60,58.65,65.30,1599100,65.30
2011-11-21,55.95,60.35,55.90,58.50,358500,58.50
2011-11-18,57.00,58.00,55.30,57.70,181200,57.70
2011-11-17,60.20,60.85,56.15,56.80,340900,56.80
2011-11-16,62.00,64.00,59.45,60.60,330800,60.60
2011-11-15,65.30,65.30,61.85,62.00,232600,62.00
2011-11-14,67.75,68.85,63.65,65.50,585700,65.50
2011-11-11,67.95,68.35,65.05,68.05,534200,68.05
2011-11-09,68.90,68.90,67.50,68.40,663800,68.40
2011-11-08,68.55,70.70,67.50,67.90,2015200,67.90
2011-11-04,66.80,68.95,66.00,68.95,3409900,68.95
2011-11-03,59.00,65.90,59.00,65.70,6017400,65.70
2011-11-02,57.10,58.30,56.45,57.15,354700,57.15
2011-11-01,59.00,59.35,56.70,56.95,479000,56.95
2011-10-31,59.75,60.40,58.55,59.10,258600,59.10
2011-10-28,61.25,61.80,58.50,58.70,652200,58.70
2011-10-26,59.40,59.80,58.25,59.55,159900,59.55
2011-10-25,53.10,60.70,53.10,59.70,941800,59.70
2011-10-24,57.50,58.20,55.60,55.85,256500,55.85
2011-10-21,59.90,60.20,56.25,56.70,356600,56.70
2011-10-20,57.20,60.00,56.80,58.90,552700,58.90
2011-10-19,59.20,59.35,57.50,57.60,265300,57.60
2011-10-18,58.50,59.60,57.30,58.75,555100,58.75
2011-10-17,59.80,59.80,58.10,58.80,143200,58.80
2011-10-14,59.55,60.25,58.45,58.55,216600,58.55
2011-10-13,60.05,61.90,59.05,59.85,651100,59.85
2011-10-12,59.20,59.90,58.50,59.20,645600,59.20
2011-10-11,60.50,61.00,58.60,58.85,359600,58.85
2011-10-10,58.10,61.00,58.10,59.55,344600,59.55
2011-10-07,59.10,61.35,58.75,61.20,353700,61.20
2011-10-05,61.15,61.40,57.55,57.60,185000,57.60
2011-10-04,60.00,61.50,59.30,59.50,280900,59.50
2011-10-03,60.00,61.30,58.10,61.05,340600,61.05
2011-09-30,62.25,62.25,59.40,59.60,306400,59.60
2011-09-29,61.00,63.00,59.70,60.15,736300,60.15
2011-09-28,63.80,64.20,61.00,61.30,412500,61.30
2011-09-27,61.00,63.20,60.85,62.40,384600,62.40
2011-09-26,61.35,63.40,58.40,61.25,315800,61.25
2011-09-23,59.90,62.30,55.75,60.50,727600,60.50
2011-09-22,61.90,62.90,56.50,58.85,520800,58.85
2011-09-21,62.50,63.45,62.25,62.75,163600,62.75
2011-09-20,61.55,63.35,59.40,62.50,345200,62.50
2011-09-19,62.75,63.45,60.20,61.00,411300,61.00
2011-09-16,63.50,63.85,61.70,62.40,327800,62.40
2011-09-15,63.50,63.85,62.50,62.75,534900,62.75
2011-09-14,60.00,62.40,59.35,62.10,504400,62.10
2011-09-13,61.20,62.50,59.25,59.70,583500,59.70
2011-09-12,63.05,64.30,59.40,59.80,573000,59.80
2011-09-09,65.30,69.00,63.60,64.00,1565100,64.00
