Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,154.85,162.10,154.75,161.25,612700,161.55
2012-07-20,154.85,162.15,154.60,161.55,612700,161.55
2012-07-19,156.35,156.70,154.60,155.00,161800,155.00
2012-07-18,152.00,155.30,149.35,154.90,215800,154.90
2012-07-17,154.25,156.35,146.00,152.10,384700,152.10
2012-07-16,158.40,159.35,153.80,154.60,277000,154.60
2012-07-13,163.85,163.85,157.60,157.95,455500,157.95
2012-07-12,163.25,163.25,159.60,160.30,124300,160.30
2012-07-11,162.00,165.40,161.60,162.10,253900,162.10
2012-07-10,163.00,164.50,160.05,163.25,316700,163.25
2012-07-09,159.50,163.85,158.00,161.50,418800,161.50
2012-07-06,155.95,165.20,155.95,159.30,280700,159.30
2012-07-05,163.00,165.50,161.95,164.40,849400,164.40
2012-07-04,157.95,162.80,157.50,161.95,605000,161.95
2012-07-03,158.70,159.90,156.50,158.30,228500,158.30
2012-07-02,154.65,160.20,154.35,158.90,766300,158.90
2012-06-29,156.45,157.70,153.15,154.00,1025000,154.00
2012-06-28,154.00,157.95,149.65,156.00,2514500,156.00
2012-06-27,148.00,153.90,147.25,153.60,2579800,153.60
2012-06-26,145.75,149.10,145.40,147.30,795800,147.30
2012-06-25,149.95,150.35,145.40,145.50,711800,145.50
2012-06-22,143.00,149.80,140.60,148.70,723800,148.70
2012-06-21,146.40,146.50,144.35,145.10,686000,145.10
2012-06-20,144.35,147.85,144.35,146.00,547400,146.00
2012-06-19,147.75,147.80,144.00,145.25,494900,145.25
2012-06-18,146.95,147.80,143.50,146.00,401500,146.00
2012-06-15,143.95,146.70,141.90,145.15,1441700,145.15
2012-06-14,143.85,149.00,142.20,144.15,901800,144.15
2012-06-13,147.95,148.20,143.55,144.00,617900,144.00
2012-06-12,146.45,149.75,143.00,148.45,830200,148.45
2012-06-11,156.75,156.75,139.10,150.80,1350800,150.80
2012-06-08,153.60,155.10,152.50,154.00,416200,154.00
2012-06-07,154.10,157.00,153.30,155.00,414900,155.00
2012-06-06,152.75,155.45,151.20,153.60,411300,153.60
2012-06-05,151.00,155.70,150.00,151.80,634200,151.80
2012-06-01,160.50,161.70,157.00,157.85,743500,157.85
2012-05-31,165.30,165.30,160.50,160.50,734400,160.50
2012-05-30,166.80,166.85,164.20,165.50,367900,165.50
2012-05-29,168.60,168.65,166.05,166.05,200800,166.05
2012-05-28,166.70,168.60,165.50,167.40,587900,167.40
2012-05-25,168.00,168.05,165.50,166.05,641200,166.05
2012-05-24,171.50,172.80,167.50,167.70,550900,167.70
2012-05-23,175.60,178.00,169.70,172.00,1237000,172.00
2012-05-22,174.55,177.90,168.00,175.40,1213000,175.40
2012-05-21,176.90,180.90,169.85,173.80,579700,173.80
2012-05-18,172.00,178.00,170.65,177.55,197000,177.55
2012-05-17,176.05,179.40,173.45,175.65,261700,175.65
2012-05-16,174.05,177.25,171.60,175.90,182800,175.90
2012-05-14,173.30,173.30,168.85,172.00,241800,172.00
2012-05-11,175.10,175.90,169.00,172.80,104200,172.80
2012-05-10,172.00,177.85,171.50,174.70,201200,174.70
2012-05-09,174.90,175.00,168.95,173.05,231400,173.05
2012-05-08,179.20,181.90,171.90,175.50,453800,175.50
2012-05-07,173.80,181.00,173.00,181.00,395500,181.00
2012-05-04,180.10,183.95,173.90,176.50,356900,176.50
2012-05-03,182.30,185.00,181.30,183.10,298800,183.10
2012-05-02,185.55,187.60,183.50,183.50,372600,183.50
2012-04-30,182.30,188.20,181.65,187.50,229200,187.50
2012-04-27,183.00,185.70,182.45,184.30,264600,184.30
2012-04-26,179.40,184.60,176.60,183.15,802100,183.15
2012-04-25,178.20,179.50,174.80,178.70,354800,178.70
2012-04-24,175.55,179.70,175.10,176.50,185000,176.50
2012-04-23,181.05,182.10,175.50,178.05,309400,178.05
2012-04-20,182.80,184.30,179.10,181.00,443900,181.00
2012-04-19,181.95,186.45,181.40,182.90,897600,182.90
2012-04-18,175.65,182.95,175.65,180.70,685600,180.70
2012-04-17,179.00,179.00,175.70,176.40,347500,176.40
2012-04-16,178.40,179.35,176.50,178.20,293600,178.20
2012-04-13,179.95,182.00,176.65,178.15,670400,178.15
2012-04-12,178.95,180.90,176.45,177.75,402200,177.75
2012-04-11,180.50,183.35,160.00,177.50,416600,177.50
2012-04-10,187.30,187.30,180.50,180.60,695500,180.60
2012-04-09,185.10,186.00,182.05,184.80,442000,184.80
2012-04-04,191.15,191.50,186.80,187.60,846500,187.60
2012-04-03,200.50,200.90,191.50,192.75,894000,192.75
2012-04-02,201.75,203.85,197.15,198.30,348400,198.30
2012-03-30,199.50,205.40,197.20,200.60,568200,200.60
2012-03-29,199.00,215.00,189.35,201.50,2500000,201.50
2012-03-28,248.80,252.70,246.00,246.10,580800,246.10
2012-03-27,256.00,259.95,247.95,248.30,1193500,248.30
2012-03-26,277.95,278.50,253.20,256.00,747400,256.00
2012-03-23,273.95,278.10,270.65,274.75,157800,274.75
2012-03-21,276.00,280.80,274.05,279.55,173500,279.55
2012-03-20,277.55,282.40,272.30,275.00,294900,275.00
2012-03-19,273.85,281.75,270.00,276.75,269800,276.75
2012-03-16,272.95,276.45,268.85,269.00,210800,269.00
2012-03-15,252.35,275.00,252.35,270.25,177200,270.25
2012-03-14,274.65,284.70,271.50,274.90,718600,274.90
2012-03-13,273.45,277.45,271.70,272.20,144600,272.20
2012-03-12,274.95,278.00,269.60,272.75,170600,272.75
2012-03-09,259.95,275.05,258.95,274.95,421100,274.95
2012-03-07,261.90,261.90,252.10,257.50,226000,257.50
2012-03-06,266.00,272.10,260.35,260.50,156800,260.50
2012-03-05,270.00,271.00,262.00,265.35,141100,265.35
2012-03-02,271.35,274.80,270.00,271.90,211000,271.90
2012-03-01,272.85,281.00,265.30,269.85,324900,269.85
2012-02-29,264.65,280.40,264.65,271.65,327400,271.65
2012-02-28,261.60,265.90,258.50,264.80,215400,264.80
