Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,122.00,131.85,121.50,127.30,1680300,127.30
2012-07-20,121.55,131.85,121.50,127.30,1680300,127.30
2012-07-19,123.85,124.80,121.30,122.00,251700,122.00
2012-07-18,121.60,123.55,118.60,123.15,432600,123.15
2012-07-17,122.60,124.00,119.05,119.60,380100,119.60
2012-07-16,122.35,124.75,121.55,122.10,593900,122.10
2012-07-13,119.60,123.15,118.10,121.30,1234600,121.30
2012-07-12,120.45,120.60,117.70,118.45,208900,118.45
2012-07-11,121.00,122.50,120.20,120.80,310800,120.80
2012-07-10,119.20,121.50,118.85,121.10,219900,121.10
2012-07-09,118.00,124.10,118.00,118.95,537700,118.95
2012-07-06,127.45,127.80,124.75,125.35,424100,125.35
2012-07-05,122.90,126.90,121.95,125.95,626200,125.95
2012-07-04,122.75,123.55,121.05,122.25,350400,122.25
2012-07-03,121.10,123.50,120.70,121.55,484500,121.55
2012-07-02,118.45,121.60,117.10,120.25,381800,120.25
2012-06-29,117.10,119.10,116.55,118.10,484600,118.10
2012-06-28,115.00,117.60,115.00,115.70,457000,115.70
2012-06-27,113.05,116.55,112.95,114.45,762200,114.45
2012-06-26,111.95,114.80,110.80,112.35,563400,112.35
2012-06-25,112.80,112.80,110.10,111.20,447700,111.20
2012-06-22,113.80,113.80,109.85,110.70,453400,110.70
2012-06-21,113.70,114.90,112.10,112.90,424600,112.90
2012-06-20,111.80,113.90,109.05,113.05,793800,113.05
2012-06-19,114.60,116.25,110.20,111.25,755600,111.25
2012-06-18,119.45,119.55,113.50,114.55,292900,114.55
2012-06-15,117.85,118.95,117.30,117.85,361400,117.85
2012-06-14,120.00,120.85,116.10,116.65,284600,116.65
2012-06-13,120.10,121.95,118.35,119.00,312900,119.00
2012-06-12,119.40,120.30,118.15,119.25,300600,119.25
2012-06-11,122.60,125.30,119.00,120.00,351500,120.00
2012-06-08,122.55,122.55,119.70,121.30,200400,121.30
2012-06-07,121.95,123.80,120.50,122.55,350900,122.55
2012-06-06,119.45,121.90,119.10,120.70,340400,120.70
2012-06-05,120.00,121.15,117.45,118.50,159200,118.50
2012-06-01,121.05,121.10,116.35,118.20,381000,118.20
2012-05-31,119.30,121.90,118.65,120.90,204900,120.90
2012-05-30,122.10,123.50,120.00,120.45,349800,120.45
2012-05-29,125.00,125.30,121.40,122.10,240800,122.10
2012-05-28,123.50,124.85,122.05,124.30,468400,124.30
2012-05-25,123.25,123.50,120.00,122.75,385900,122.75
2012-05-24,119.50,123.50,116.90,122.95,981400,122.95
2012-05-23,123.00,124.10,117.40,119.30,640500,119.30
2012-05-22,129.05,129.30,123.00,123.95,717200,123.95
2012-05-21,128.00,131.00,126.65,127.75,723900,127.75
2012-05-18,124.95,129.40,122.90,127.45,651200,127.45
2012-05-17,128.85,130.90,124.50,125.80,596500,125.80
2012-05-16,125.00,129.90,122.55,127.20,1171700,127.20
2012-05-14,160.80,161.80,132.20,139.25,1399300,139.25
2012-05-11,168.00,168.00,157.30,160.50,259800,160.50
2012-05-10,172.75,175.40,166.60,167.70,121500,167.70
2012-05-09,172.80,175.50,169.85,171.85,102300,171.85
2012-05-08,175.50,178.70,170.20,172.40,303100,172.40
2012-05-07,169.95,175.05,166.70,174.35,121700,174.35
2012-05-04,179.10,180.50,170.55,171.95,145400,171.95
2012-05-03,181.60,182.00,177.50,178.85,110700,178.85
2012-05-02,181.00,183.40,178.90,181.10,155400,181.10
