/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-05-18,514.05,519.40,514.05,515.10,1346600,515.10
2012-05-17,513.05,517.00,513.00,517.00,50400,517.00
2012-05-16,518.00,518.00,512.15,513.50,1241900,513.50
2012-05-14,506.15,514.30,506.10,513.20,103200,513.20
2012-05-11,511.55,512.45,511.50,512.15,193200,512.15
2012-05-10,508.50,512.45,508.50,512.00,77000,512.00
2012-05-09,509.15,511.90,509.10,511.10,110600,511.10
2012-05-08,509.75,512.55,509.35,511.35,64400,511.35
2012-05-07,506.00,508.90,506.00,507.75,14800,507.75
2012-05-04,507.00,508.25,507.00,508.00,14300,508.00
2012-05-03,509.00,509.00,506.95,507.50,4300,507.50
2012-05-02,506.35,508.00,506.35,507.50,41600,507.50
2012-04-30,506.65,508.70,506.60,507.50,14700,507.50
2012-04-27,506.15,507.95,506.10,507.10,8300,507.10
2012-04-26,508.15,508.50,506.00,506.05,259800,506.05
2012-04-25,509.95,509.95,506.60,508.00,25600,508.00
2012-04-24,506.05,509.00,506.05,508.00,64700,508.00
2012-04-23,506.10,508.95,506.00,506.65,129600,506.65
2012-04-20,506.05,507.00,506.00,506.05,68300,506.05
2012-04-19,505.00,506.75,505.00,506.00,79700,506.00
2012-04-18,504.95,507.00,504.00,506.00,61600,506.00
2012-04-17,504.15,505.50,504.15,505.05,171500,505.05
2012-04-16,504.00,505.70,503.55,504.80,401700,504.80
2012-04-13,507.00,507.00,503.20,504.20,77000,504.20
2012-04-12,503.70,505.70,503.15,505.05,173400,505.05
2012-04-11,505.00,505.15,502.75,503.15,63500,503.15
2012-04-10,501.65,509.70,501.65,505.50,464900,505.50
2012-04-09,502.95,503.00,490.60,495.10,114500,495.10
2012-04-04,489.00,493.00,485.25,491.00,116700,491.00
2012-04-03,487.00,499.25,487.00,493.00,205600,493.00
2012-04-02,493.95,494.50,486.95,492.15,104200,492.15
2012-03-30,485.00,495.65,479.05,494.00,735600,494.00
2012-03-29,491.75,494.90,479.50,483.20,310300,483.20
2012-03-28,494.30,503.00,470.70,494.50,546700,494.50
2012-03-27,509.00,511.05,496.40,499.85,194100,499.85
2012-03-26,513.50,517.95,503.55,505.00,225600,505.00
2012-03-23,497.95,520.70,496.10,512.90,398500,512.90
2012-03-21,492.00,500.90,489.75,500.90,108100,500.90
2012-03-20,498.00,501.00,490.25,498.35,112400,498.35
2012-03-19,496.00,503.80,493.10,497.25,174700,497.25
2012-03-16,471.60,501.15,471.60,495.00,260000,495.00
2012-03-15,510.10,510.10,494.40,495.00,345900,495.00
2012-03-14,476.00,513.65,468.00,507.05,1066400,507.05
2012-03-13,477.05,479.85,470.25,471.15,12200,471.15
2012-03-12,470.20,479.80,470.20,475.00,12600,475.00
2012-03-09,471.95,477.90,467.15,475.00,12900,475.00
2012-03-07,465.00,473.90,463.10,470.00,9700,470.00
2012-03-06,472.20,477.00,468.10,468.50,46700,468.50
2012-03-05,470.15,478.00,467.00,468.10,15700,468.10
2012-03-02,477.00,487.40,452.15,479.90,240700,479.90
2012-03-01,467.25,479.20,467.25,476.90,39600,476.90
2012-02-29,489.00,489.00,476.10,480.00,27100,480.00
2012-02-28,478.95,486.95,473.05,474.00,59400,474.00
2012-02-27,488.00,494.80,470.00,474.05,193600,474.05
2012-02-24,466.00,482.00,461.10,482.00,47900,482.00
2012-02-23,470.30,474.15,456.60,464.95,121800,464.95
2012-02-22,471.95,474.95,466.05,474.00,49000,474.00
2012-02-21,470.10,477.60,468.10,472.00,35200,472.00
2012-02-17,462.60,478.00,460.45,477.50,127100,477.50
2012-02-16,466.05,472.00,450.10,460.25,93600,460.25
2012-02-15,470.10,472.00,467.05,467.10,54200,467.10
2012-02-14,470.85,473.00,464.30,472.00,63600,472.00
2012-02-13,472.00,474.80,468.65,471.00,42400,471.00
2012-02-10,475.00,475.00,468.10,470.20,69100,470.20
2012-02-09,468.90,474.30,466.25,469.00,137700,469.00
2012-02-08,466.90,471.65,464.05,471.50,95000,471.50
2012-02-07,463.10,472.00,459.25,469.05,117600,469.05
2012-02-06,462.05,472.00,462.05,463.15,77100,463.15
2012-02-03,468.85,472.00,461.00,463.00,101200,463.00
2012-02-02,469.70,469.70,462.50,465.45,104500,465.45
2012-02-01,463.30,471.50,463.15,465.05,57700,465.05
2012-01-31,460.80,467.70,456.10,467.70,100500,467.70
2012-01-30,462.05,470.00,442.75,462.50,221300,462.50
2012-01-27,481.50,484.95,465.00,465.60,204300,465.60
2012-01-25,478.55,502.00,475.25,480.40,1563000,480.40
2012-01-24,473.95,474.75,469.80,473.80,60000,473.80
2012-01-23,471.15,478.00,470.00,471.00,57600,471.00
2012-01-20,469.95,474.00,468.15,469.00,27700,469.00
