Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,176.25,178.10,172.05,173.55,000,174.00
2012-07-20,176.20,178.15,172.05,174.00,3455600,174.00
2012-07-19,184.50,184.60,177.35,177.65,2693900,177.65
2012-07-18,185.10,185.65,179.70,181.40,2395500,181.40
2012-07-17,185.40,187.20,183.75,184.65,1811700,184.65
2012-07-16,186.00,186.50,181.10,184.35,1189000,184.35
2012-07-13,183.10,185.85,182.05,185.00,1617200,185.00
2012-07-12,184.00,185.75,182.10,183.60,1745200,183.60
2012-07-11,188.00,189.65,184.50,184.70,1743200,184.70
2012-07-10,184.00,189.90,184.00,188.70,2067200,188.70
2012-07-09,187.25,188.00,181.85,184.45,2010600,184.45
2012-07-06,188.90,196.00,184.00,187.20,4057200,187.20
2012-07-05,180.40,187.05,179.00,186.10,2619300,186.10
2012-07-04,177.80,181.50,175.10,181.45,2241900,181.45
2012-07-03,178.60,181.80,176.60,177.10,2117300,177.10
2012-07-02,179.40,179.95,175.35,177.80,1891200,177.80
2012-06-29,175.10,179.95,174.70,178.45,2726900,178.45
2012-06-28,174.50,175.95,171.00,172.45,2187500,172.45
2012-06-27,167.10,175.00,166.90,173.55,3624200,173.55
2012-06-26,164.90,167.00,158.20,164.85,1270100,164.85
2012-06-25,167.50,169.15,163.25,164.05,988600,164.05
2012-06-22,167.20,167.20,161.10,166.45,2247100,166.45
2012-06-21,160.50,168.35,160.50,167.30,2187100,167.30
2012-06-20,161.00,164.30,160.20,163.60,1514200,163.60
2012-06-19,159.20,161.40,156.00,161.00,1991100,161.00
2012-06-18,170.90,176.05,159.70,160.40,2497100,160.40
2012-06-15,162.95,169.40,162.95,168.20,3255300,168.20
2012-06-14,168.95,171.55,161.00,161.20,3612400,161.20
2012-06-13,162.60,170.80,162.00,169.70,5349800,169.70
2012-06-12,156.15,163.50,155.95,162.00,3017100,162.00
2012-06-11,156.95,160.80,156.10,157.45,3812100,157.45
2012-06-08,153.05,155.40,151.90,155.30,1603400,155.30
2012-06-07,152.70,156.50,151.00,155.40,3116700,155.40
2012-06-06,145.65,151.90,145.65,150.55,5291900,150.55
2012-06-05,148.35,149.10,144.90,145.45,2525700,145.45
2012-06-01,148.30,149.75,145.30,148.20,1656800,148.20
2012-05-31,150.00,150.20,146.05,149.10,3075600,149.10
2012-05-30,149.00,151.50,146.70,148.95,1826900,148.95
2012-05-29,151.20,152.00,149.55,150.00,1133000,150.00
2012-05-28,150.30,151.45,149.50,150.95,1543700,150.95
2012-05-25,148.35,150.90,146.00,149.80,1657100,149.80
2012-05-24,149.55,149.95,143.30,148.90,2656800,148.90
2012-05-23,148.10,150.25,145.00,148.40,2065900,148.40
2012-05-22,150.90,154.00,148.15,148.50,5986200,148.50
2012-05-21,145.50,149.90,145.50,147.80,2577300,147.80
2012-05-18,143.35,146.40,141.55,146.00,1688100,146.00
2012-05-17,142.65,148.20,142.40,145.75,3056600,145.75
2012-05-16,142.20,144.25,138.75,140.70,3169300,140.70
2012-05-14,160.40,160.40,139.50,141.30,3998100,141.30
2012-05-11,145.00,149.30,141.50,145.30,3203600,145.30
2012-05-10,147.40,150.80,144.60,145.00,3834100,145.00
2012-05-09,146.50,150.65,144.60,146.40,3940600,146.40
2012-05-08,152.00,157.80,145.30,146.20,4301800,146.20
