Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,508.25,515.90,504.60,507.35,29100,507.60
2012-07-20,508.20,516.00,504.60,507.60,29100,507.60
2012-07-19,500.30,519.65,500.30,510.00,48000,510.00
2012-07-18,498.25,513.85,498.25,512.00,52000,512.00
2012-07-17,501.85,505.45,501.80,505.00,48200,505.00
2012-07-16,507.00,507.50,498.15,503.60,19700,503.60
2012-07-13,499.95,511.55,499.95,505.00,118000,505.00
2012-07-12,471.95,503.50,471.95,499.00,42300,499.00
2012-07-11,505.75,505.95,500.00,502.00,34500,502.00
2012-07-10,504.90,505.50,498.00,505.50,103500,505.50
2012-07-09,502.00,506.90,481.70,503.40,83600,503.40
2012-07-06,521.00,527.65,517.10,519.00,82800,519.00
2012-07-05,517.00,526.90,517.00,522.50,55400,522.50
2012-07-04,520.20,528.00,520.20,520.40,25600,520.40
2012-07-03,524.25,525.00,520.25,522.25,61000,522.25
2012-07-02,528.00,530.00,517.00,523.80,39800,523.80
2012-06-29,530.00,532.00,525.05,527.00,116900,527.00
2012-06-28,523.25,530.00,520.00,527.50,87700,527.50
2012-06-27,522.00,523.70,515.10,519.75,82900,519.75
2012-06-26,524.05,529.85,516.05,518.05,51400,518.05
2012-06-25,517.00,525.50,517.00,525.00,552600,525.00
2012-06-22,523.95,523.95,514.50,519.70,132800,519.70
2012-06-21,517.00,526.80,514.50,525.00,316400,525.00
2012-06-20,504.50,522.00,504.50,520.25,384000,520.25
2012-06-19,492.00,505.90,492.00,504.40,355600,504.40
2012-06-18,488.00,498.00,483.10,490.40,305000,490.40
2012-06-15,475.00,489.55,465.15,483.05,311100,483.05
2012-06-14,444.05,474.00,444.05,472.00,200500,472.00
2012-06-13,453.80,457.80,447.00,451.00,125200,451.00
2012-06-12,444.00,451.00,442.10,449.50,51200,449.50
2012-06-11,443.00,447.40,441.00,445.95,140000,445.95
2012-06-08,430.70,444.00,430.70,444.00,81200,444.00
2012-06-07,440.00,441.95,431.05,437.55,41200,437.55
