Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,113.45,118.55,113.15,115.85,813100,115.60
2012-07-20,113.45,118.55,113.15,115.60,813100,115.60
2012-07-19,114.95,116.10,113.10,113.85,369300,113.85
2012-07-18,113.00,114.95,111.60,114.20,462100,114.20
2012-07-17,115.50,117.90,112.70,113.20,667900,113.20
2012-07-16,120.00,120.00,113.70,116.20,411800,116.20
2012-07-13,123.00,123.00,119.10,119.45,435600,119.45
2012-07-12,120.90,121.80,118.25,121.00,574500,121.00
2012-07-11,124.00,126.40,121.00,121.65,397600,121.65
2012-07-10,123.50,124.80,121.80,124.50,334500,124.50
2012-07-09,126.75,126.80,121.00,121.35,283400,121.35
2012-07-06,128.85,131.40,125.60,126.30,666900,126.30
2012-07-05,127.90,129.85,126.60,128.50,214800,128.50
2012-07-04,128.25,128.95,125.05,126.90,271900,126.90
2012-07-03,128.10,130.30,120.40,127.50,265700,127.50
2012-07-02,128.00,129.85,127.55,128.20,239200,128.20
2012-06-29,126.25,128.45,125.50,127.00,348000,127.00
2012-06-28,128.90,129.90,123.55,124.40,1219500,124.40
2012-06-27,119.60,127.30,119.60,126.65,748000,126.65
2012-06-26,120.50,122.00,119.55,120.45,212000,120.45
2012-06-25,122.65,124.00,120.40,121.45,381600,121.45
2012-06-22,122.50,125.40,121.20,123.00,292100,123.00
2012-06-21,124.00,125.25,122.50,123.50,331000,123.50
2012-06-20,123.50,126.20,123.00,124.95,731600,124.95
2012-06-19,119.50,123.75,117.50,122.85,735300,122.85
2012-06-18,121.40,122.20,117.70,119.00,1196800,119.00
2012-06-15,117.45,121.70,117.00,119.65,527600,119.65
2012-06-14,115.75,119.50,115.75,116.00,793900,116.00
2012-06-13,119.00,119.50,115.70,117.00,310200,117.00
2012-06-12,119.00,120.40,116.50,118.40,374800,118.40
2012-06-11,118.85,121.90,117.00,119.65,1055400,119.65
2012-06-08,116.90,119.00,114.05,117.40,1385400,117.40
2012-06-07,108.15,117.15,108.15,116.35,1883500,116.35
2012-06-06,106.30,108.20,106.00,107.30,676700,107.30
2012-06-05,110.00,110.00,105.65,105.85,495500,105.85
2012-06-01,111.50,112.70,105.50,106.85,495700,106.85
