/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,61.25,61.25,59.10,59.35,156700,59.15
2012-07-20,61.10,61.25,59.10,59.15,546600,59.15
2012-07-19,61.45,62.40,61.10,61.15,680600,61.15
2012-07-18,60.45,61.60,59.85,61.35,1005000,61.35
2012-07-17,62.25,62.35,59.60,59.95,740500,59.95
2012-07-16,62.85,63.10,61.25,61.60,488100,61.60
2012-07-13,62.10,63.85,62.05,62.25,463300,62.25
2012-07-12,64.40,64.40,62.90,63.25,606000,63.25
2012-07-11,65.05,65.30,63.70,64.45,851900,64.45
2012-07-10,62.00,65.60,61.40,64.30,1549700,64.30
2012-07-09,64.00,64.00,61.60,62.50,617400,62.50
2012-07-06,65.55,65.60,63.75,64.10,802800,64.10
2012-07-05,64.45,65.15,64.45,64.80,752300,64.80
2012-07-04,64.30,65.00,63.15,64.60,780200,64.60
2012-07-03,65.25,65.55,62.90,63.35,1274200,63.35
2012-07-02,65.50,66.35,64.45,64.90,1229700,64.90
2012-06-29,63.40,65.05,63.15,65.00,1359200,65.00
2012-06-28,63.40,63.75,62.10,62.20,1053200,62.20
2012-06-27,62.50,63.35,61.40,63.05,1567000,63.05
2012-06-26,59.45,61.30,59.40,61.20,858900,61.20
2012-06-25,59.15,60.40,59.00,59.35,463500,59.35
2012-06-22,60.00,60.45,58.10,58.95,569000,58.95
2012-06-21,58.10,60.40,58.05,60.15,748100,60.15
2012-06-20,57.60,59.20,57.40,58.70,558100,58.70
2012-06-19,57.30,58.00,56.70,57.65,405800,57.65
2012-06-18,59.35,59.80,57.10,57.55,478000,57.55
2012-06-15,57.80,59.30,57.80,59.05,406300,59.05
2012-06-14,59.75,60.35,58.00,58.20,704700,58.20
2012-06-13,60.45,61.00,58.50,59.65,810500,59.65
2012-06-12,59.15,60.75,58.75,60.35,604700,60.35
2012-06-11,60.90,62.40,59.10,59.25,1149300,59.25
2012-06-08,58.90,60.50,57.55,60.50,524200,60.50
2012-06-07,59.25,59.30,57.80,59.05,595800,59.05
2012-06-06,57.25,58.40,56.70,58.10,540400,58.10
2012-06-05,55.00,56.50,54.85,56.35,344700,56.35
2012-06-01,55.40,56.10,54.50,55.00,549600,55.00
2012-05-31,56.90,57.25,55.00,55.40,1329400,55.40
2012-05-30,55.10,57.90,54.25,56.90,1029900,56.90
2012-05-29,55.25,56.00,55.00,55.60,282400,55.60
2012-05-28,54.00,55.75,53.70,55.55,354300,55.55
2012-05-25,54.50,54.95,53.85,54.10,405000,54.10
2012-05-24,53.10,54.50,52.40,54.40,420100,54.40
2012-05-23,53.20,54.00,52.35,53.75,559300,53.75
2012-05-22,54.40,54.65,52.30,54.00,812400,54.00
2012-05-21,52.80,53.90,52.05,53.50,482200,53.50
2012-05-18,50.70,52.25,50.10,52.00,499500,52.00
2012-05-17,51.75,53.05,51.10,51.70,490100,51.70
2012-05-16,51.15,52.00,50.20,51.20,835900,51.20
2012-05-14,52.70,53.25,50.15,50.50,640900,50.50
2012-05-11,54.00,54.25,52.40,52.65,602500,52.65
2012-05-10,55.85,56.70,53.60,54.00,584100,54.00
2012-05-09,55.80,57.15,55.15,55.75,690800,55.75
2012-05-08,58.60,59.80,55.55,55.95,682600,55.95
2012-05-07,56.05,58.30,54.80,58.10,638500,58.10
2012-05-04,58.50,58.80,56.25,57.05,510700,57.05
2012-05-03,60.00,60.50,58.10,59.00,582900,59.00
2012-05-02,60.00,61.70,60.00,60.50,580400,60.50
2012-04-30,58.20,60.25,58.15,59.85,610000,59.85
