/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,58.45,58.45,52.95,53.30,2065000,53.00
2012-07-20,58.45,58.45,52.85,53.00,2065000,53.00
2012-07-19,54.40,55.25,54.25,54.50,1845000,54.50
2012-07-18,54.00,54.80,52.70,53.45,2383400,53.45
2012-07-17,56.05,56.55,53.45,53.70,1994000,53.70
2012-07-16,57.35,57.55,55.45,55.75,1981600,55.75
2012-07-13,56.55,58.75,56.55,56.90,1963700,56.90
2012-07-12,56.60,58.50,56.00,58.15,4202900,58.15
2012-07-11,58.75,58.90,57.35,57.85,3580500,57.85
2012-07-10,54.40,59.40,54.40,58.80,5753400,58.80
2012-07-09,46.25,55.70,46.25,54.35,2218000,54.35
2012-07-06,55.95,56.75,54.55,56.05,3610300,56.05
2012-07-05,54.30,56.60,54.15,56.25,4559000,56.25
2012-07-04,52.50,54.85,51.35,54.70,4076600,54.70
2012-07-03,51.70,52.60,51.40,52.15,2778700,52.15
2012-07-02,49.50,51.90,49.10,51.30,4383000,51.30
2012-06-29,47.65,49.00,47.35,48.85,2468400,48.85
2012-06-28,48.50,48.50,46.50,46.80,2318100,46.80
2012-06-27,48.05,48.55,47.40,48.00,1559100,48.00
2012-06-26,48.15,48.55,47.25,47.65,1758300,47.65
2012-06-25,48.35,49.65,47.65,47.75,3238000,47.75
2012-06-22,47.60,48.65,46.50,47.85,2861500,47.85
2012-06-21,46.85,48.40,46.10,48.30,1864200,48.30
2012-06-20,46.00,46.85,45.80,46.70,1508400,46.70
2012-06-19,45.20,46.20,44.40,45.85,2016500,45.85
2012-06-18,47.30,48.10,45.10,45.30,1853500,45.30
2012-06-15,46.30,47.15,46.05,46.90,1588200,46.90
2012-06-14,47.90,48.35,45.60,45.85,2037100,45.85
2012-06-13,48.00,48.90,47.75,48.00,1813300,48.00
2012-06-12,46.25,48.30,46.25,48.05,1827800,48.05
2012-06-11,47.25,48.90,46.50,46.65,2006000,46.65
2012-06-08,46.55,47.35,45.75,47.30,1723900,47.30
2012-06-07,45.80,47.30,45.55,46.95,2260200,46.95
2012-06-06,44.00,45.80,44.00,45.75,1767600,45.75
2012-06-05,43.75,44.55,42.85,43.90,1260900,43.90
2012-06-01,44.95,45.10,43.75,43.85,1281900,43.85
2012-05-31,44.50,45.65,43.60,44.75,2009500,44.75
2012-05-30,46.20,46.25,44.00,44.15,1858900,44.15
2012-05-29,47.75,47.75,46.10,46.10,1650000,46.10
2012-05-28,46.00,47.80,45.90,47.45,1943400,47.45
2012-05-25,45.40,46.45,45.00,45.90,1329500,45.90
2012-05-24,45.15,45.75,43.90,45.45,1510600,45.45
2012-05-23,44.80,45.50,44.30,44.80,1487000,44.80
2012-05-22,46.55,47.45,44.65,44.90,1622900,44.90
2012-05-21,45.45,47.00,45.40,46.00,1609300,46.00
2012-05-18,44.90,45.75,43.55,45.65,2153000,45.65
2012-05-17,44.90,46.50,44.70,45.35,2398500,45.35
2012-05-16,44.40,45.40,43.25,44.25,1806000,44.25
2012-05-14,45.00,45.90,43.20,43.70,1740200,43.70
2012-05-11,44.90,46.00,43.25,45.00,2519600,45.00
2012-05-10,45.00,46.75,44.50,44.90,1995400,44.90
2012-05-09,47.25,47.65,45.10,45.25,2840400,45.25
2012-05-08,50.35,50.65,46.50,46.70,2280800,46.70
2012-05-07,48.75,50.75,47.50,50.35,2390200,50.35
2012-05-04,51.00,51.00,48.75,49.25,2466700,49.25
2012-05-03,52.15,52.40,51.00,51.20,2030700,51.20
2012-05-02,53.50,54.80,51.80,52.00,2828000,52.00
2012-04-30,53.50,54.80,53.05,53.95,2220500,53.95
2012-04-27,54.80,55.00,51.50,52.00,2770800,52.00
2012-04-26,52.70,55.50,51.65,54.85,5121300,54.85
2012-04-25,52.45,53.40,50.50,51.95,2716300,51.95
2012-04-24,53.90,53.90,51.60,52.15,3431800,52.15
2012-04-23,55.10,55.65,53.10,53.35,2086500,53.35
2012-04-20,56.70,57.10,54.50,55.10,3103500,55.10
2012-04-19,57.25,57.75,56.30,57.05,2174500,57.05
2012-04-18,57.90,58.15,56.30,56.65,2379200,56.65
2012-04-17,55.70,57.45,55.00,57.10,2761000,57.10
2012-04-16,54.95,56.05,53.55,56.00,2012400,56.00
2012-04-13,57.60,58.25,54.05,54.60,3068200,54.60
2012-04-12,57.20,58.45,56.35,57.25,2817900,57.25
