/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,494.00,494.00,481.50,482.25,622900,482.00
2012-07-20,494.00,494.00,481.50,482.00,622900,482.00
2012-07-19,493.00,494.95,488.35,489.60,444000,489.60
2012-07-18,496.05,497.85,487.05,488.75,435500,488.75
2012-07-17,497.00,504.00,491.10,493.40,838500,493.40
2012-07-16,492.00,499.00,484.05,493.00,483900,493.00
2012-07-13,490.00,494.00,488.65,490.20,219200,490.20
2012-07-12,492.90,492.95,482.80,487.45,422000,487.45
2012-07-11,495.00,498.70,490.10,493.70,303400,493.70
2012-07-10,494.00,499.00,491.00,494.40,449200,494.40
2012-07-09,506.00,506.90,488.65,490.40,615600,490.40
2012-07-06,513.80,513.80,502.00,504.00,378800,504.00
2012-07-05,506.00,514.90,506.00,510.30,589400,510.30
2012-07-04,505.90,512.40,503.05,510.05,1002700,510.05
2012-07-03,499.00,509.00,498.30,501.00,1086900,501.00
2012-07-02,493.00,498.35,491.35,496.80,516600,496.80
2012-06-29,490.00,497.70,487.50,489.40,1086800,489.40
2012-06-28,485.00,492.40,485.00,487.20,767400,487.20
2012-06-27,489.90,491.70,484.40,487.90,503700,487.90
2012-06-26,485.00,489.45,478.00,487.00,471600,487.00
2012-06-25,490.00,494.40,482.00,482.65,379700,482.65
2012-06-22,486.00,494.80,484.35,487.80,805100,487.80
2012-06-21,487.40,492.20,481.65,488.10,532700,488.10
2012-06-20,484.00,490.95,483.55,487.00,653800,487.00
2012-06-19,471.20,484.00,471.20,483.05,796600,483.05
2012-06-18,480.40,482.00,471.00,472.65,588100,472.65
2012-06-15,473.15,480.70,471.10,476.60,680500,476.60
2012-06-14,481.00,483.60,470.20,470.55,711500,470.55
2012-06-13,478.00,485.80,475.80,479.70,904300,479.70
2012-06-12,486.15,486.15,472.15,478.50,1251800,478.50
2012-06-11,495.50,495.50,482.40,482.60,669100,482.60
2012-06-08,482.05,495.40,482.05,488.70,959800,488.70
2012-06-07,501.00,501.95,485.10,489.00,909300,489.00
2012-06-06,488.00,501.90,479.20,493.90,1775600,493.90
2012-06-05,492.00,496.50,478.10,483.00,743100,483.00
2012-06-01,516.80,519.85,490.05,491.70,1085900,491.70
2012-05-31,523.90,526.85,513.00,518.00,1455200,518.00
2012-05-30,538.70,539.90,523.45,526.50,750300,526.50
2012-05-29,526.00,542.35,524.55,535.00,1827600,535.00
2012-05-28,527.30,532.95,522.10,524.00,1108300,524.00
2012-05-25,526.00,537.65,520.15,529.35,1871300,529.35
2012-05-24,505.05,528.50,501.10,526.45,1699800,526.45
2012-05-23,487.15,504.00,487.15,501.55,1007600,501.55
