Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,63.70,65.10,63.45,63.75,1699800,63.70
2012-07-20,63.50,65.10,63.35,63.70,6439800,63.70
2012-07-19,65.60,65.80,63.50,63.80,6541600,63.80
2012-07-18,64.50,65.50,63.20,64.90,7626300,64.90
2012-07-17,67.50,67.90,64.15,64.30,8443400,64.30
2012-07-16,69.00,69.00,66.80,67.05,7687100,67.05
2012-07-13,69.50,69.75,67.90,68.05,6138800,68.05
2012-07-12,70.50,70.50,67.80,68.35,8668600,68.35
2012-07-11,71.15,72.00,70.10,70.30,16854900,70.30
2012-07-10,66.90,71.65,66.50,71.00,15332300,71.00
2012-07-09,68.35,68.40,66.25,66.60,6441800,66.60
2012-07-06,69.30,69.75,68.05,68.60,10173200,68.60
2012-07-05,67.40,69.20,67.10,68.55,9996000,68.55
2012-07-04,66.50,67.45,64.30,67.35,12252000,67.35
2012-07-03,64.70,66.10,64.25,65.75,9670700,65.75
2012-07-02,63.90,64.90,63.45,64.20,6388500,64.20
2012-06-29,62.75,64.20,62.60,63.45,7193600,63.45
2012-06-28,62.60,63.25,61.60,62.05,7838200,62.05
2012-06-27,63.25,63.45,62.50,62.55,4179100,62.55
2012-06-26,63.10,63.45,62.20,62.70,4901500,62.70
2012-06-25,63.00,64.35,62.70,62.80,6247600,62.80
2012-06-22,63.05,63.95,61.90,62.60,9112100,62.60
2012-06-21,63.90,64.80,63.00,64.20,7520500,64.20
2012-06-20,63.50,64.90,62.85,64.05,10937500,64.05
2012-06-19,60.80,64.35,59.45,64.00,36182200,64.00
2012-06-18,69.15,69.50,64.40,65.25,9510300,65.25
2012-06-15,68.00,68.90,67.40,68.20,6952300,68.20
2012-06-14,69.30,69.60,67.15,67.60,9704800,67.60
2012-06-13,67.35,69.90,67.05,68.50,19780400,68.50
2012-06-12,65.60,67.25,65.05,66.75,8068400,66.75
2012-06-11,67.30,67.70,65.10,65.30,7545500,65.30
2012-06-08,66.20,66.45,64.55,66.25,8475000,66.25
2012-06-07,65.60,66.95,64.25,65.95,10011000,65.95
2012-06-06,62.30,65.70,62.30,65.20,8122100,65.20
2012-06-05,63.00,63.65,61.40,62.10,6295900,62.10
2012-06-01,64.20,65.10,62.40,62.45,5718300,62.45
2012-05-31,63.10,65.40,62.65,64.95,10087200,64.95
2012-05-30,65.00,65.35,62.50,64.05,10107500,64.05
2012-05-29,67.25,67.50,65.75,65.85,4318700,65.85
2012-05-28,67.75,68.60,66.40,67.20,11075300,67.20
