Date,Open,High,Low,Close,Volume,Adj Close
2012-07-20,192.35,193.20,187.55,191.55,2321500,191.50
2012-07-20,190.75,193.25,187.55,191.50,2323400,191.50
2012-07-19,192.90,196.20,190.35,190.85,1361300,190.85
2012-07-18,193.20,194.40,189.20,191.80,1201000,191.80
2012-07-17,192.40,194.75,191.20,192.50,1309500,192.50
2012-07-16,194.00,194.65,190.00,190.10,1255600,190.10
2012-07-13,194.70,196.50,192.50,192.60,1248700,192.60
2012-07-12,197.00,197.00,193.20,193.50,1542700,193.50
2012-07-11,198.80,202.00,196.45,197.20,2516900,197.20
2012-07-10,194.15,199.90,194.10,199.50,2136100,199.50
2012-07-09,200.00,200.00,193.05,193.30,1508300,193.30
2012-07-06,198.00,201.70,197.60,200.50,2718400,200.50
2012-07-05,195.65,199.40,193.00,198.10,1870400,198.10
2012-07-04,193.80,195.50,189.40,194.35,1322600,194.35
2012-07-03,192.95,196.70,192.30,192.30,1483600,192.30
2012-07-02,193.25,193.70,188.65,192.40,1632900,192.40
2012-06-29,184.95,193.10,184.10,190.65,3787500,190.65
2012-06-28,185.90,187.50,181.05,181.40,2476400,181.40
2012-06-27,179.00,186.00,179.00,184.50,3141000,184.50
2012-06-26,175.55,179.00,175.05,177.20,900000,177.20
2012-06-25,178.50,180.95,174.15,174.80,776100,174.80
2012-06-22,175.95,178.85,173.55,177.60,1040700,177.60
2012-06-21,175.05,179.85,173.05,179.35,1611700,179.35
2012-06-20,171.30,177.00,171.30,177.00,1387300,177.00
2012-06-19,170.60,172.95,167.35,172.50,1273000,172.50
2012-06-18,181.95,182.50,169.60,171.85,1625100,171.85
2012-06-15,173.50,178.85,172.60,178.00,1632900,178.00
2012-06-14,179.90,181.65,171.60,172.20,2683200,172.20
2012-06-13,174.75,181.70,174.75,179.70,3702300,179.70
2012-06-12,170.95,176.25,170.15,174.85,4637300,174.85
2012-06-11,170.75,175.30,170.00,171.45,3793500,171.45
2012-06-08,169.95,170.25,165.75,170.25,2105300,170.25
2012-06-07,170.00,170.75,166.35,169.95,2998700,169.95
2012-06-06,159.25,168.95,159.25,167.80,4295500,167.80
2012-06-05,164.70,165.50,157.70,158.60,1905800,158.60
2012-06-01,165.95,170.00,161.50,162.00,1760700,162.00
2012-05-31,167.70,167.90,162.50,164.50,3958700,164.50
2012-05-30,168.95,171.00,165.00,168.00,2234600,168.00
2012-05-29,171.00,171.95,168.15,168.30,1027700,168.30
2012-05-28,170.00,173.20,169.10,170.65,1510800,170.65
2012-05-25,171.70,172.60,168.10,169.80,2017300,169.80
2012-05-24,171.90,173.65,169.00,171.90,2336400,171.90
2012-05-23,172.30,176.20,168.15,168.60,2288900,168.60
2012-05-22,175.00,178.80,172.25,173.60,2115600,173.60
2012-05-21,167.65,176.00,167.65,173.35,1934100,173.35
2012-05-18,169.50,171.65,166.10,168.70,1931800,168.70
2012-05-17,170.00,175.45,170.00,171.95,1608400,171.95
2012-05-16,174.00,174.05,168.50,169.25,1995300,169.25
2012-05-14,182.00,184.05,175.10,178.00,1129800,178.00
2012-05-11,180.35,185.40,176.80,181.55,1487100,181.55
2012-05-10,186.00,190.45,181.00,181.55,1677500,181.55
2012-05-09,186.40,187.80,183.05,185.45,2083300,185.45
2012-05-08,189.10,196.75,185.00,185.25,3222900,185.25
2012-05-07,190.00,191.40,179.45,191.10,3585900,191.10
2012-05-04,198.00,200.35,190.10,191.00,2609000,191.00
